@relation 'test_set-weka.filters.unsupervised.attribute.Remove-R2,4-6'

@attribute class {DRG039,DRG057,DRG064,DRG065,DRG069,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG178,DRG189,DRG190,DRG193,DRG191,DRG192,DRG194,DRG195,DRG202,DRG203,DRG207,DRG208,DRG238,DRG243,DRG291,DRG244,DRG246,DRG247,DRG249,DRG251,DRG252,DRG253,DRG254,DRG280,DRG281,DRG282,DRG286,DRG287,DRG292,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG309,DRG310,DRG312,DRG313,DRG314,DRG315,DRG329,DRG330,DRG372,DRG377,DRG378,DRG379,DRG389,DRG390,DRG391,DRG392,DRG394,DRG418,DRG419,DRG439,DRG460,DRG469,DRG470,DRG473,DRG480,DRG481,DRG482,DRG491,DRG536,DRG552,DRG563,DRG602,DRG603,DRG638,DRG640,DRG641,DRG682,DRG683,DRG684,DRG689,DRG690,DRG698,DRG699,DRG811,DRG812,DRG853,DRG870,DRG871,DRG885,DRG872,DRG897,DRG917,DRG948,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMobile,RIDALHuntsville,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZSunCity,RIDAZMesa,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARJonesboro,RIDMOSpringfield,RIDARFortSmith,RIDCARedding,RIDCASanMateoCounty,RIDCANapa,RIDCASacramento,RIDCASanDiego,RIDCABakersfield,RIDCAChico,RIDCALosAngeles,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCAFresno,RIDCASantaBarbara,RIDCASantaRosa,RIDCAModesto,RIDCAContraCostaCounty,RIDCASanLuisObispo,RIDCAPalmSprings/RanchoM,RIDCASanBernardino,RIDCAAlamedaCounty,RIDCASanFrancisco,RIDCASanJose,RIDCASalinas,RIDALMontgomery,RIDFLPensacola,RIDTNMemphis,RIDCOGreeley,RIDPAErie,RIDCASantaCruz,RIDCODenver,RIDCOFortCollins,RIDCOPueblo,RIDCOColoradoSprings,RIDCTNewHaven,RIDCTHartford,RIDARTexarkana,RIDGARome,RIDMSTupelo,RIDGAColumbus,RIDNHLebanon,RIDNYSyracuse,RIDNCAsheville,RIDOHAkron,RIDOKTulsa,RIDPAYork,RIDPAHarrisburg,RIDTXHouston,RIDTXDallas,RIDTXWaco,RIDFLOrlando,RIDMIKalamazoo,RIDMSJackson,RIDMOSt.Louis,RIDMEPortland,RIDNHManchester,RIDNJCamden,RIDNYBuffalo,RIDNJHackensack,RIDNCGreenville,RIDNDBismarck,RIDNDMinot,RIDOHToledo,RIDOHElyria,RIDTNJackson,RIDVAArlington,RIDVANorfolk,RIDVARoanoke,RIDWVCharleston,RIDWIMadison,RIDWIWausau,RIDWIGreenBay,RIDFLSarasota,RIDFLMiami,RIDNMAlbuquerque,RIDCOBoulder,RIDCTBridgeport,RIDCOGrandJunction,RIDMSMeridian,RIDFLTampa,RIDFLOrmondBeach,RIDFLFortLauderdale,RIDGAAtlanta,RIDGASavannah,RIDUTSaltLakeCity,RIDWASpokane,RIDMIDetroit,RIDFLFortMyers,RIDILSpringfield,RIDILBlueIsland,RIDILChicago,RIDDCWashington,RIDDEWilmington,RIDFLClearwater,RIDGAMacon,RIDHIHonolulu}
@attribute averageMedicarePayments numeric

@data
DRG039,RIDALDothan,4408.2
DRG039,RIDALBirmingham,4186.02
DRG039,RIDALBirmingham,4376.23
DRG039,RIDALMobile,4383.73
DRG039,RIDALHuntsville,4509.11
DRG039,RIDALMobile,3972.85
DRG039,RIDALTuscaloosa,5179.38
DRG039,RIDALMobile,3898.88
DRG039,RIDALBirmingham,4962.45
DRG039,RIDALBirmingham,4471.68
DRG039,RIDALMobile,4219.9
DRG039,RIDALBirmingham,3944.42
DRG039,RIDAKAnchorage,6413.78
DRG039,RIDAZPhoenix,6951.45
DRG039,RIDAZTucson,5764.87
DRG039,RIDAZPhoenix,8008.11
DRG039,RIDAZTucson,5379.83
DRG039,RIDAZTucson,4903.33
DRG039,RIDAZPhoenix,6133.57
DRG039,RIDAZPhoenix,5969.55
DRG039,RIDAZPhoenix,9056.06
DRG039,RIDAZPhoenix,7422.66
DRG039,RIDAZPhoenix,6541.92
DRG039,RIDAZPhoenix,5473
DRG039,RIDAZSunCity,4951.9
DRG039,RIDAZPhoenix,7321.64
DRG039,RIDAZMesa,4846.36
DRG039,RIDAZPhoenix,5665.41
DRG039,RIDAZPhoenix,5174.25
DRG039,RIDAZPhoenix,5854.8
DRG039,RIDAZPhoenix,5204.54
DRG039,RIDAZSunCity,5312.16
DRG039,RIDAZPhoenix,6264.76
DRG039,RIDAZTucson,3592.85
DRG039,RIDNVLasVegas,5652.65
DRG039,RIDAZPhoenix,5674.2
DRG039,RIDAZMesa,4788.12
DRG039,RIDARSpringdale,4372.61
DRG039,RIDARLittleRock,4837.54
DRG039,RIDARSpringdale,4576.33
DRG039,RIDARJonesboro,5247.85
DRG039,RIDARSpringdale,4234.68
DRG039,RIDARLittleRock,4759.7
DRG039,RIDMOSpringfield,4424.64
DRG039,RIDARLittleRock,4569.41
DRG039,RIDARLittleRock,4622.34
DRG039,RIDARFortSmith,4263.19
DRG039,RIDARLittleRock,5682.66
DRG039,RIDARLittleRock,8533.83
DRG039,RIDARLittleRock,4592.46
DRG039,RIDARJonesboro,5067.77
DRG039,RIDARLittleRock,5166.29
DRG039,RIDARLittleRock,4068.1
DRG039,RIDCARedding,6936.52
DRG039,RIDCASanMateoCounty,6872.5
DRG039,RIDCANapa,8376.35
DRG039,RIDCASacramento,6924.7
DRG039,RIDCASanDiego,6358.07
DRG039,RIDCABakersfield,6213.19
DRG039,RIDCAChico,5966.62
DRG039,RIDCALosAngeles,6639.33
DRG039,RIDCABakersfield,6247.48
DRG039,RIDCALosAngeles,10056
DRG039,RIDCAOrangeCounty,6347.1
DRG039,RIDCASanDiego,7925.84
DRG039,RIDCAVentura,6393.35
DRG039,RIDCAStockton,7758.53
DRG039,RIDCAFresno,6580.29
DRG039,RIDCASantaBarbara,6967.76
DRG039,RIDCASacramento,7905.65
DRG039,RIDCASanDiego,5583
DRG039,RIDCASanDiego,6598.3
DRG039,RIDCASacramento,6946.7
DRG039,RIDCAOrangeCounty,5465.62
DRG039,RIDCASantaRosa,7773.5
DRG039,RIDCAModesto,6888.26
DRG039,RIDCALosAngeles,5585.21
DRG039,RIDCAContraCostaCounty,6776.5
DRG039,RIDCASanMateoCounty,6084.89
DRG039,RIDCASanDiego,7410.23
DRG039,RIDCAOrangeCounty,5386.02
DRG039,RIDCAChico,6278.33
DRG039,RIDCASanLuisObispo,6249.22
DRG039,RIDCALosAngeles,7639.7
