@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4-6'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageMedicarePayments numeric

@data
DRG039,RIDALDothan,4763.73
DRG039,RIDALBirmingham,4976.71
DRG039,RIDALBirmingham,4453.79
DRG039,RIDALBirmingham,4129.16
DRG039,RIDALBirmingham,4851.44
DRG039,RIDALMontgomery,5374.14
DRG039,RIDALBirmingham,4761.41
DRG039,RIDALBirmingham,5858.5
DRG039,RIDALHuntsville,5228.4
DRG039,RIDALBirmingham,4386.94
DRG057,RIDALDothan,3865.5
DRG057,RIDALBirmingham,3914.37
DRG057,RIDALMontgomery,5364.41
DRG057,RIDALMontgomery,4223.15
DRG057,RIDALBirmingham,4374.1
DRG057,RIDALBirmingham,5795.82
DRG057,RIDALBirmingham,3909.54
DRG057,RIDALBirmingham,4063
DRG057,RIDALHuntsville,4869.04
DRG057,RIDALBirmingham,3476.63
DRG069,RIDALMontgomery,3386.18
DRG069,RIDALDothan,2674.82
DRG064,RIDALDothan,9167.08
DRG064,RIDALBirmingham,9870.53
DRG064,RIDALBirmingham,8606.93
DRG064,RIDALHuntsville,8112.57
DRG064,RIDALBirmingham,9483
DRG064,RIDALBirmingham,9351.19
DRG064,RIDALBirmingham,9118.3
DRG064,RIDALMontgomery,11369.52
DRG064,RIDALMontgomery,9791.44
DRG064,RIDALBirmingham,9833.81
DRG069,RIDALHuntsville,2796.8
DRG069,RIDALDothan,2688.11
DRG069,RIDALBirmingham,2691.1
DRG069,RIDALHuntsville,3433.45
DRG069,RIDALBirmingham,2835.38
DRG069,RIDAZPhoenix,4524.57
DRG069,RIDAZMesa,3595.93
DRG069,RIDARJonesboro,3470.37
DRG065,RIDALDothan,5438.5
DRG065,RIDALBirmingham,5454
DRG065,RIDALBirmingham,4920.08
DRG065,RIDALHuntsville,4982.08
DRG065,RIDALBirmingham,5293.86
DRG065,RIDALBirmingham,4690.92
DRG065,RIDALBirmingham,5532.83
DRG065,RIDALBirmingham,5460.18
DRG065,RIDALMontgomery,6526.02
DRG065,RIDALMontgomery,5491.84
DRG066,RIDALDothan,3618.93
DRG066,RIDALBirmingham,3579.72
DRG066,RIDALBirmingham,3252.07
DRG066,RIDALHuntsville,3157.33
DRG066,RIDALBirmingham,3519
DRG066,RIDALBirmingham,3397.18
DRG066,RIDALBirmingham,3521.41
DRG066,RIDALBirmingham,3762.76
DRG066,RIDALMontgomery,4624.35
DRG066,RIDALMontgomery,3511.09
DRG074,RIDALDothan,4097.23
DRG074,RIDALBirmingham,3451.64
DRG074,RIDALBirmingham,4129.66
DRG074,RIDALMontgomery,4972.35
DRG074,RIDALMontgomery,3664.61
DRG074,RIDALBirmingham,4177.58
DRG074,RIDALBirmingham,3669.76
DRG074,RIDALBirmingham,5501.68
DRG074,RIDALHuntsville,4253.71
DRG074,RIDALBirmingham,4526.35
DRG101,RIDALDothan,3249.66
DRG101,RIDALBirmingham,3005.95
DRG101,RIDALBirmingham,3041.36
DRG101,RIDALBirmingham,3152.56
DRG101,RIDALBirmingham,3405.16
DRG101,RIDALMontgomery,4247.6
DRG101,RIDALMontgomery,3256.32
DRG101,RIDALBirmingham,3221.79
DRG101,RIDALBirmingham,4290.73
DRG101,RIDALMontgomery,3509.64
DRG149,RIDALMontgomery,3131.21
DRG149,RIDALMontgomery,2680
DRG149,RIDALBirmingham,2491.09
DRG149,RIDALHuntsville,2691.12
DRG149,RIDALBirmingham,2289.6
DRG149,RIDALBirmingham,2260.25
DRG149,RIDALTuscaloosa,2728.84
DRG149,RIDALMobile,2392.13
DRG149,RIDALBirmingham,3523.37
DRG149,RIDALBirmingham,2371.73
DRG176,RIDALDothan,5338.09
DRG176,RIDALBirmingham,4633.85
DRG176,RIDALHuntsville,4977.41
DRG176,RIDALBirmingham,4565.7
DRG176,RIDALBirmingham,4887
DRG176,RIDALBirmingham,4924.33
DRG176,RIDALMontgomery,6102.04
DRG176,RIDALMontgomery,5345
DRG176,RIDALBirmingham,4653.6
DRG176,RIDALBirmingham,6405.82
DRG177,RIDALDothan,10553.23
DRG177,RIDALBirmingham,10686.11
DRG177,RIDALBirmingham,9859.32
DRG177,RIDALHuntsville,10099
DRG177,RIDALBirmingham,10958.6
DRG177,RIDALBirmingham,10573.08
DRG177,RIDALDothan,9937.82
DRG177,RIDALMontgomery,10628.66
DRG177,RIDALBirmingham,11339
DRG177,RIDALBirmingham,11025.37
DRG189,RIDFLClearwater,6695.27
DRG189,RIDMABoston,8386.47
DRG189,RIDMABoston,9991.16
DRG189,RIDMABoston,7314.88
DRG189,RIDNHManchester,7218.53
DRG189,RIDNYAlbany,9974
DRG189,RIDTXHouston,6774.72
DRG189,RIDWIMilwaukee,7014.45
DRG178,RIDALDothan,7017.5
DRG178,RIDALBirmingham,7318.62
DRG178,RIDALBirmingham,7338.25
DRG178,RIDALBirmingham,7254.86
DRG178,RIDALHuntsville,6233.85
DRG178,RIDALBirmingham,7363.7
DRG178,RIDALBirmingham,6708.18
DRG178,RIDALBirmingham,6528.35
DRG178,RIDALBirmingham,7539.22
DRG178,RIDALDothan,7268.13
DRG190,RIDFLMiami,9684.79
DRG191,RIDMABoston,5795.16
DRG191,RIDNYAlbany,6384.63
DRG191,RIDNDBismarck,5083.92
DRG191,RIDTXDallas,4377.92
DRG193,RIDFLOrlando,8759.08
DRG193,RIDFLMiami,12161.02
DRG193,RIDFLPensacola,6626.15
DRG189,RIDALDothan,6552.4
