@relation 'drg_DRG194_set-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.Remove-R2,4,7-weka.filters.unsupervised.attribute.Remove-R1'

@attribute providerRegionDescription {RIDCASantaCruz,RIDCTHartford,RIDFLMiami,RIDFLOcala,RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDALMobile,RIDGARome,RIDFLPensacola,RIDFLOrlando,RIDMSTupelo,RIDALTuscaloosa,RIDAKAnchorage,RIDAZPhoenix,RIDAZTucson,RIDAZMesa,RIDAZSunCity,RIDNMAlbuquerque,RIDNVLasVegas,RIDARSpringdale,RIDARLittleRock,RIDARFortSmith,RIDTNMemphis,RIDARJonesboro,RIDMOSpringfield,RIDARTexarkana,RIDCAAlamedaCounty,RIDCARedding,RIDCASanMateoCounty,RIDCASanFrancisco,RIDCANapa,RIDCASacramento,RIDCASanLuisObispo,RIDCALosAngeles,RIDCASanBernardino,RIDCASanDiego,RIDCAChico,RIDCABakersfield,RIDCASanJose,RIDCAFresno,RIDCAOrangeCounty,RIDCAVentura,RIDCAStockton,RIDCASantaRosa,RIDCASantaBarbara,RIDCASalinas,RIDCAModesto,RIDCAContraCostaCounty,RIDCAPalmSprings/RanchoM,RIDORMedford,RIDCOGreeley,RIDCOBoulder,RIDCODenver,RIDCOGrandJunction,RIDCOColoradoSprings,RIDCOFortCollins,RIDCOPueblo,RIDCTNewHaven,RIDCTBridgeport,RIDDEWilmington,RIDMDSalisbury,RIDDCWashington,RIDFLJacksonville,RIDFLFortLauderdale,RIDFLFortMyers,RIDFLOrmondBeach,RIDFLPanamaCity,RIDFLSt.Petersburg,RIDFLBradenton,RIDFLClearwater,RIDFLTampa,RIDFLHudson,RIDFLSarasota,RIDFLGainesville,RIDFLTallahassee,RIDFLLakeland,RIDGAAtlanta,RIDGAMacon,RIDTNChattanooga,RIDGAAlbany,RIDGASavannah,RIDGAAugusta,RIDGAColumbus,RIDHIHonolulu,RIDIDBoise,RIDWASpokane,RIDIDIdahoFalls,RIDUTSaltLakeCity,RIDILPeoria,RIDMOSt.Louis,RIDILJoliet,RIDILMelrosePark,RIDILEvanston,RIDILRockford,RIDILSpringfield,RIDILChicago,RIDILAurora,RIDILElgin,RIDILBlueIsland,RIDWIMilwaukee,RIDILUrbana,RIDILHinsdale,RIDILBloomington,RIDINEvansville,RIDKYPaducah,RIDIADavenport,RIDINIndianapolis,RIDINGary,RIDINLafayette,RIDINMunster,RIDINSouthBend,RIDKYLouisville,RIDINFortWayne,RIDINTerreHaute,RIDOHCincinnati,RIDINMuncie,RIDIADesMoines,RIDIAIowaCity,RIDNEOmaha,RIDIAWaterloo,RIDIACedarRapids,RIDIAMasonCity,RIDIADubuque,RIDSDSiouxFalls,RIDIASiouxCity,RIDKSTopeka,RIDMOJoplin,RIDMOKansasCity,RIDKSWichita,RIDOKTulsa,RIDTXAmarillo,RIDKYCovington,RIDKYLexington,RIDTNNashville,RIDWVHuntington,RIDTNKnoxville,RIDKYOwensboro,RIDLAMetairie,RIDLALafayette,RIDLAHouma,RIDLAShreveport,RIDLAMonroe,RIDLALakeCharles,RIDLABatonRouge,RIDLAAlexandria,RIDLANewOrleans,RIDLASlidell,RIDMEBangor,RIDMEPortland,RIDMDBaltimore,RIDMDTakomaPark,RIDWVMorgantown,RIDMAWorcester,RIDMABoston,RIDRIProvidence,RIDMASpringfield,RIDNYAlbany,RIDMIAnnArbor,RIDMIGrandRapids,RIDMIMuskegon,RIDMIKalamazoo,RIDMIRoyalOak,RIDMIDearborn,RIDMISt.Joseph,RIDMIDetroit,RIDMIPontiac,RIDMILansing,RIDMISaginaw,RIDMIMarquette,RIDWIGreenBay,RIDMITraverseCity,RIDOHToledo,RIDMIPetoskey,RIDMIFlint,RIDMNMinneapolis,RIDMNDuluth,RIDMNRochester,RIDMNSt.Cloud,RIDMNSt.Paul,RIDWILaCrosse,RIDNDFargo/MoorheadMN,RIDNHLebanon,RIDMSJackson,RIDMSGulfport,RIDMSOxford,RIDMSMeridian,RIDMSHattiesburg,RIDMOColumbia,RIDMOCapeGirardeau,RIDMTBillings,RIDMTGreatFalls,RIDMTMissoula,RIDNELincoln,RIDNVReno,RIDNHManchester,RIDNJHackensack,RIDNJNewark,RIDPAPhiladelphia,RIDNJNewBrunswick,RIDNJCamden,RIDNJRidgewood,RIDNJMorristown,RIDNJPaterson,RIDPAAllentown,RIDTXElPaso,RIDTXLubbock,RIDNYEastLongIsland,RIDNYBuffalo,RIDNYWhitePlains,RIDNYRochester,RIDNYBronx,RIDNYBinghamton,RIDNYManhattan,RIDNYElmira,RIDVTBurlington,RIDNYSyracuse,RIDPAErie,RIDPASayre,RIDNCCharlotte,RIDNCAsheville,RIDNCWinstonSalem,RIDNCDurham,RIDNCRaleigh,RIDNCGreenville,RIDNCHickory,RIDTNJohnsonCity,RIDNCGreensboro,RIDNCWilmington,RIDOREugene,RIDVANorfolk,RIDNDBismarck,RIDNDMinot,RIDNDGrandForks,RIDOHColumbus,RIDOHDayton,RIDOHCanton,RIDOHAkron,RIDOHCleveland,RIDOHKettering,RIDOHYoungstown,RIDPAPittsburgh,RIDOHElyria,RIDOKOklahomaCity,RIDTXDallas,RIDOKLawton,RIDORPortland,RIDORBend,RIDORSalem,RIDPAScranton,RIDPADanville,RIDPAHarrisburg,RIDPAReading,RIDPAJohnstown,RIDPAYork,RIDPAAltoona,RIDPALancaster,RIDPAWilkesBarre,RIDSCCharleston,RIDSCFlorence,RIDSCSpartanburg,RIDSCGreenville,RIDSCColumbia,RIDSDRapidCity,RIDTNJackson,RIDTNKingsport,RIDTXBeaumont,RIDTXSanAntonio,RIDTXWichitaFalls,RIDTXBryan,RIDTXHouston,RIDTXVictoria,RIDTXHarlingen,RIDTXLongview,RIDTXFortWorth,RIDTXWaco,RIDTXCorpusChristi,RIDTXTemple,RIDTXAbilene,RIDTXAustin,RIDTXTyler,RIDTXMcAllen,RIDTXOdessa,RIDTXSanAngelo,RIDUTProvo,RIDUTOgden,RIDVACharlottesville,RIDVAWinchester,RIDWIMarshfield,RIDVARichmond,RIDVALynchburg,RIDVAArlington,RIDVARoanoke,RIDVANewportNews,RIDWASeattle,RIDWAEverett,RIDWAYakima,RIDWAOlympia,RIDWATacoma,RIDWVCharleston,RIDWIAppleton,RIDWIWausau,RIDWIMadison,RIDWINeenah,RIDWYCasper}
@attribute averageCoveredPayments {'\'(-inf-16988.408]\'','\'(16988.408-28884.216]\'','\'(28884.216-40780.024]\'','\'(40780.024-52675.832]\'','\'(52675.832-64571.64]\'','\'(64571.64-76467.448]\'','\'(76467.448-88363.256]\'','\'(88363.256-100259.064]\'','\'(100259.064-112154.872]\'','\'(112154.872-inf)\''}
@attribute averageTotalPayments {'\'(-inf-6573.001]\'','\'(6573.001-8426.802]\'','\'(8426.802-10280.603]\'','\'(10280.603-12134.404]\'','\'(12134.404-13988.205]\'','\'(13988.205-15842.006]\'','\'(15842.006-17695.807]\'','\'(17695.807-19549.608]\'','\'(19549.608-21403.409]\'','\'(21403.409-inf)\''}

@data
RIDCASantaCruz,'\'(52675.832-64571.64]\'','\'(8426.802-10280.603]\''
RIDCTHartford,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDFLMiami,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDFLOcala,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLMiami,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDFLMiami,'\'(64571.64-76467.448]\'','\'(6573.001-8426.802]\''
RIDFLMiami,'\'(64571.64-76467.448]\'','\'(8426.802-10280.603]\''
RIDFLMiami,'\'(40780.024-52675.832]\'','\'(10280.603-12134.404]\''
RIDALDothan,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDALHuntsville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDGARome,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALMontgomery,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALMontgomery,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALMontgomery,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDFLPensacola,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALBirmingham,'\'(52675.832-64571.64]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDFLOrlando,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDMSTupelo,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALTuscaloosa,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDALDothan,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDFLPensacola,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALDothan,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALTuscaloosa,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDFLPensacola,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(28884.216-40780.024]\'','\'(6573.001-8426.802]\''
RIDALBirmingham,'\'(40780.024-52675.832]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALTuscaloosa,'\'(-inf-16988.408]\'','\'(6573.001-8426.802]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALHuntsville,'\'(28884.216-40780.024]\'','\'(-inf-6573.001]\''
RIDALBirmingham,'\'(76467.448-88363.256]\'','\'(-inf-6573.001]\''
RIDALMobile,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALTuscaloosa,'\'(16988.408-28884.216]\'','\'(6573.001-8426.802]\''
RIDALBirmingham,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(-inf-16988.408]\'','\'(-inf-6573.001]\''
RIDALMontgomery,'\'(16988.408-28884.216]\'','\'(-inf-6573.001]\''
