@relation 'training_set-weka.filters.unsupervised.attribute.Remove-R2,4'

@attribute class {DRG039,DRG057,DRG069,DRG064,DRG065,DRG066,DRG074,DRG101,DRG149,DRG176,DRG177,DRG189,DRG178,DRG190,DRG191,DRG193,DRG194,DRG192,DRG195,DRG202,DRG203,DRG207,DRG238,DRG252,DRG253,DRG208,DRG254,DRG291,DRG243,DRG244,DRG246,DRG247,DRG249,DRG251,DRG280,DRG292,DRG281,DRG282,DRG286,DRG287,DRG293,DRG300,DRG301,DRG303,DRG305,DRG308,DRG312,DRG309,DRG310,DRG313,DRG314,DRG315,DRG330,DRG377,DRG329,DRG372,DRG378,DRG379,DRG389,DRG390,DRG391,DRG394,DRG439,DRG392,DRG460,DRG473,DRG418,DRG419,DRG469,DRG470,DRG480,DRG481,DRG536,DRG482,DRG552,DRG491,DRG563,DRG602,DRG603,DRG638,DRG640,DRG682,DRG641,DRG683,DRG684,DRG689,DRG690,DRG811,DRG698,DRG699,DRG812,DRG853,DRG885,DRG870,DRG871,DRG872,DRG897,DRG948,DRG917,DRG918}
@attribute providerRegionDescription {RIDALDothan,RIDALBirmingham,RIDALMontgomery,RIDALHuntsville,RIDAZPhoenix,RIDAZMesa,RIDARJonesboro,RIDALTuscaloosa,RIDALMobile,RIDFLClearwater,RIDMABoston,RIDNHManchester,RIDNYAlbany,RIDTXHouston,RIDWIMilwaukee,RIDFLMiami,RIDNDBismarck,RIDTXDallas,RIDFLOrlando,RIDFLPensacola,RIDGAAtlanta,RIDMOSt.Louis,RIDILJoliet,RIDMEBangor,RIDCASantaCruz,RIDCTHartford,RIDFLOcala,RIDCTNewHaven,RIDSCCharleston,RIDNJCamden,RIDNYBronx,RIDPAErie,RIDKSWichita,RIDPAPittsburgh,RIDMEPortland,RIDGAAugusta,RIDGAMacon,RIDILEvanston,RIDILElgin,RIDMDSalisbury,RIDMIAnnArbor,RIDMILansing,RIDKYPaducah,RIDNJMorristown,RIDCANapa,RIDCASacramento,RIDCODenver,RIDCOGreeley,RIDCTBridgeport,RIDFLFortMyers,RIDCAChico,RIDTNMemphis,RIDOHCanton,RIDARSpringdale,RIDCAFresno,RIDCAStockton,RIDCALosAngeles,RIDMNDuluth,RIDCAOrangeCounty,RIDCASanDiego,RIDCASanBernardino,RIDNCRaleigh,RIDWIAppleton,RIDILBloomington,RIDPAAllentown,RIDCARedding,RIDAZTucson,RIDIAIowaCity,RIDMIDearborn,RIDILSpringfield,RIDARLittleRock,RIDCOBoulder,RIDCOFortCollins,RIDPAJohnstown,RIDWIMadison,RIDNEOmaha,RIDOHCleveland,RIDTXElPaso,RIDCASalinas,RIDCABakersfield,RIDDCWashington,RIDFLJacksonville,RIDHIHonolulu,RIDILChicago,RIDINGary,RIDLAShreveport,RIDLAMonroe,RIDCAModesto}
@attribute averageCoveredPayments numeric
@attribute averageTotalPayments numeric
@attribute averageMedicarePayments numeric

@data
DRG039,RIDALDothan,32963.07,5777.24,4763.73
DRG039,RIDALBirmingham,15131.85,5787.57,4976.71
DRG039,RIDALBirmingham,37560.37,5434.95,4453.79
DRG039,RIDALBirmingham,13998.28,5417.56,4129.16
DRG039,RIDALBirmingham,31633.27,5658.33,4851.44
DRG039,RIDALMontgomery,16920.79,6653.8,5374.14
DRG039,RIDALBirmingham,11977.13,5834.74,4761.41
DRG039,RIDALBirmingham,35841.09,8031.12,5858.5
DRG039,RIDALHuntsville,28523.39,6113.38,5228.4
DRG039,RIDALBirmingham,75233.38,5541.05,4386.94
DRG057,RIDALDothan,20312.78,4894.76,3865.5
DRG057,RIDALBirmingham,22074.08,6025.54,3914.37
DRG057,RIDALMontgomery,21452.7,6030.29,5364.41
DRG057,RIDALMontgomery,20397.52,5166.31,4223.15
DRG057,RIDALBirmingham,10701.64,5218.53,4374.1
DRG057,RIDALBirmingham,35213.76,6847.74,5795.82
DRG057,RIDALBirmingham,16587.27,5038.63,3909.54
DRG057,RIDALBirmingham,21577.61,4841.76,4063
DRG057,RIDALHuntsville,26144.21,5607.42,4869.04
DRG057,RIDALBirmingham,32279,4194.09,3476.63
DRG069,RIDALMontgomery,5062.59,4277.31,3386.18
DRG069,RIDALDothan,22034.35,3758,2674.82
DRG064,RIDALDothan,38820.39,10260.21,9167.08
DRG064,RIDALBirmingham,22946.38,10562.23,9870.53
DRG064,RIDALBirmingham,45393.21,10439.46,8606.93
DRG064,RIDALHuntsville,25082.19,9116.66,8112.57
DRG064,RIDALBirmingham,24204.84,10174.69,9483
DRG064,RIDALBirmingham,64537.85,10256.9,9351.19
DRG064,RIDALBirmingham,23733.69,10071.23,9118.3
DRG064,RIDALMontgomery,38000.68,12314.04,11369.52
DRG064,RIDALMontgomery,43183.86,10746.8,9791.44
DRG064,RIDALBirmingham,19270.9,10442.54,9833.81
DRG069,RIDALHuntsville,23957.7,5708.65,2796.8
DRG069,RIDALDothan,26806.52,4006.23,2688.11
DRG069,RIDALBirmingham,12191.95,3857.1,2691.1
DRG069,RIDALHuntsville,9692.54,4148,3433.45
DRG069,RIDALBirmingham,8942.76,4213.07,2835.38
DRG069,RIDAZPhoenix,21987.52,5530.68,4524.57
DRG069,RIDAZMesa,34225.53,4920.13,3595.93
DRG069,RIDARJonesboro,7429.93,4175.87,3470.37
DRG065,RIDALDothan,27345.1,6542.08,5438.5
DRG065,RIDALBirmingham,16930.43,6383.56,5454
DRG065,RIDALBirmingham,27320.14,6180.42,4920.08
DRG065,RIDALHuntsville,14580.42,6102.97,4982.08
DRG065,RIDALBirmingham,16743.5,6306.26,5293.86
DRG065,RIDALBirmingham,26139.71,5581.28,4690.92
DRG065,RIDALBirmingham,32865.13,6428.83,5532.83
DRG065,RIDALBirmingham,15412.86,6404.81,5460.18
DRG065,RIDALMontgomery,28504.9,7788,6526.02
