class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG314,PID10001,RIDALDothan,40,35343.27,10161.90,8602.20
DRG314,PID10006,RIDALBirmingham,11,35588.81,9508.27,9205.36
DRG314,PID10016,RIDALBirmingham,11,52267.54,9954.45,9237.00
DRG314,PID10019,RIDALBirmingham,16,17354.06,10106.75,9544.75
DRG314,PID10023,RIDALMontgomery,17,24506.41,11537.05,9737.05
DRG314,PID10024,RIDALMontgomery,27,39205.48,10123.00,9574.59
DRG314,PID10029,RIDALBirmingham,39,16815.97,10014.58,8754.33
DRG314,PID10033,RIDALBirmingham,95,44650.97,14953.75,11784.62
DRG314,PID10039,RIDALHuntsville,106,58824.82,12759.55,10054.47
DRG314,PID10040,RIDALBirmingham,18,108547.94,10104.16,9636.94
DRG314,PID10046,RIDALBirmingham,13,64112.69,10293.07,8348.61
DRG314,PID10055,RIDALDothan,18,50684.61,9206.55,8600.50
DRG314,PID10056,RIDALBirmingham,30,39294.46,12287.46,8232.93
DRG314,PID10078,RIDALBirmingham,21,40652.47,10000.42,9626.14
DRG314,PID10079,RIDALHuntsville,13,16048.38,10526.69,10096.23
DRG314,PID10085,RIDALHuntsville,22,17230.13,9878.72,9251.31
DRG314,PID10087,RIDALMobile,18,24441.38,15469.00,13714.44
DRG314,PID10090,RIDALMobile,18,28421.00,9541.83,8899.44
DRG314,PID10092,RIDALTuscaloosa,59,31237.71,10749.30,9520.23
DRG314,PID10103,RIDALBirmingham,36,75537.00,11897.55,10841.55
DRG314,PID10104,RIDALBirmingham,16,97223.37,14520.06,10294.56
DRG314,PID10113,RIDALMobile,63,28067.55,10058.50,8426.01
DRG314,PID10114,RIDALBirmingham,11,28949.18,9360.81,8672.00
DRG314,PID10118,RIDALBirmingham,13,26114.23,12421.15,11988.23
DRG314,PID10139,RIDALBirmingham,30,101198.46,9559.03,8306.96
DRG314,PID10149,RIDALMontgomery,13,27964.92,10553.15,10040.53
DRG314,PID20001,RIDAKAnchorage,20,76820.40,20804.25,18194.75
DRG314,PID30002,RIDAZPhoenix,56,46952.58,14025.89,12732.78
DRG314,PID30006,RIDAZTucson,37,42726.91,13180.86,12702.48
DRG314,PID30010,RIDAZTucson,26,40458.65,11034.11,10102.96
DRG314,PID30011,RIDAZTucson,16,35550.18,10728.25,10133.87
DRG314,PID30012,RIDAZPhoenix,14,22724.71,12710.00,11928.50
DRG314,PID30013,RIDAZPhoenix,32,34076.12,12044.62,11319.09
DRG314,PID30014,RIDAZPhoenix,20,64134.60,12778.65,10961.20
DRG314,PID30016,RIDAZPhoenix,16,25936.56,10560.56,8800.12
DRG314,PID30023,RIDAZPhoenix,16,55704.81,18984.06,18424.00
DRG314,PID30024,RIDAZPhoenix,35,63152.02,16349.68,15268.71
DRG314,PID30030,RIDAZPhoenix,17,31721.64,13495.52,12306.35
DRG314,PID30036,RIDAZMesa,36,127538.63,24515.25,23540.88
DRG314,PID30038,RIDAZPhoenix,27,59240.14,12566.25,10746.03
DRG314,PID30055,RIDAZPhoenix,21,41528.61,13630.76,12290.76
DRG314,PID30061,RIDAZSunCity,38,53119.44,10903.73,9871.21
DRG314,PID30064,RIDAZTucson,30,84870.30,23166.66,21821.53
DRG314,PID30065,RIDAZMesa,66,41206.31,13050.09,10902.87
DRG314,PID30069,RIDAZPhoenix,12,42122.58,11239.33,10490.00
DRG314,PID30085,RIDAZTucson,14,49791.50,10634.42,8185.35
DRG314,PID30087,RIDAZPhoenix,24,45021.58,10598.29,8592.79
DRG314,PID30088,RIDAZMesa,55,43262.69,10489.60,9613.38
DRG314,PID30089,RIDAZPhoenix,64,55426.92,13064.81,11961.85
DRG314,PID30093,RIDAZSunCity,30,40814.36,10963.63,9834.30
DRG314,PID30103,RIDAZPhoenix,38,46509.97,18730.18,16208.44
DRG314,PID30110,RIDAZPhoenix,20,37460.90,12436.25,11250.40
DRG314,PID30115,RIDAZPhoenix,60,50988.68,12894.28,11471.03
DRG314,PID30119,RIDAZMesa,32,60703.43,11392.59,10517.78
DRG314,PID30121,RIDAZMesa,23,84597.47,13586.43,10759.00
DRG314,PID30122,RIDAZMesa,12,49112.33,12114.50,9444.91
DRG314,PID40004,RIDARSpringdale,22,35401.13,9990.86,8590.27
DRG314,PID40007,RIDARLittleRock,27,44933.22,11571.14,10031.74
DRG314,PID40010,RIDARSpringdale,11,27927.63,9462.36,8541.90
DRG314,PID40014,RIDARLittleRock,22,28756.13,10151.04,9389.40
DRG314,PID40016,RIDARLittleRock,39,26657.69,13996.41,13238.58
DRG314,PID40020,RIDARJonesboro,33,16373.75,12530.57,9402.81
DRG314,PID40022,RIDARSpringdale,31,42103.16,11684.09,9226.87
DRG314,PID40026,RIDARLittleRock,23,36427.82,10289.04,9751.82
DRG314,PID40027,RIDMOSpringfield,22,23937.86,9287.00,8183.77
DRG314,PID40029,RIDARLittleRock,21,25550.23,9883.09,8363.42
DRG314,PID40036,RIDARLittleRock,30,33200.10,10410.06,9357.76
DRG314,PID40042,RIDTNMemphis,19,30877.78,12910.78,11751.73
DRG314,PID40055,RIDARFortSmith,25,35521.44,10761.60,10219.52
DRG314,PID40062,RIDARFortSmith,11,45142.63,9772.81,8546.63
DRG314,PID40071,RIDARLittleRock,47,36896.61,11514.91,10953.00
DRG314,PID40078,RIDARLittleRock,28,78494.42,12112.50,11471.35
DRG314,PID40114,RIDARLittleRock,77,38602.07,10753.50,9704.71
DRG314,PID40118,RIDARJonesboro,11,43891.09,12779.63,9740.72
DRG314,PID40119,RIDARLittleRock,24,35838.91,12203.41,9997.58
DRG314,PID50002,RIDCAAlamedaCounty,20,129364.45,19201.85,18978.60
DRG314,PID50007,RIDCASanMateoCounty,25,65986.72,13030.76,12307.56
DRG314,PID50009,RIDCANapa,12,132782.08,17208.16,16736.50
DRG314,PID50017,RIDCASacramento,13,65453.69,18279.76,13252.15
DRG314,PID50018,RIDCALosAngeles,15,27235.46,18813.06,18161.26
DRG314,PID50022,RIDCASanBernardino,53,73110.77,15695.09,13373.15
DRG314,PID50024,RIDCASanDiego,15,42877.86,15701.06,15138.80
DRG314,PID50025,RIDCASanDiego,46,60803.86,22977.32,22269.93
DRG314,PID50026,RIDCASanDiego,24,69269.75,12469.70,11911.70
DRG314,PID50036,RIDCABakersfield,25,78626.04,16130.48,15139.76
DRG314,PID50038,RIDCASanJose,28,77539.42,26340.17,25777.64
DRG314,PID50039,RIDCAChico,35,78305.57,13641.20,12975.54
DRG314,PID50043,RIDCAAlamedaCounty,32,94963.40,19351.09,18741.50
DRG314,PID50045,RIDCASanDiego,11,58860.18,14686.27,14174.63
DRG314,PID50047,RIDCASanFrancisco,22,108170.22,21068.90,20658.77
DRG314,PID50056,RIDCALosAngeles,48,43178.89,15547.47,14840.75
DRG314,PID50057,RIDCABakersfield,59,68443.66,13822.81,12424.42
DRG314,PID50058,RIDCALosAngeles,15,73347.80,15979.26,15415.40
DRG314,PID50060,RIDCAFresno,48,60499.52,20314.27,19294.60
DRG314,PID50063,RIDCALosAngeles,20,90130.65,18769.20,18449.75
DRG314,PID50069,RIDCAOrangeCounty,32,64421.06,13172.18,11565.31
DRG314,PID50077,RIDCASanDiego,46,85734.97,16788.93,16132.91
DRG314,PID50079,RIDCASanFrancisco,21,93583.76,16742.90,15888.09
DRG314,PID50082,RIDCAVentura,22,67078.68,14110.54,13648.90
DRG314,PID50084,RIDCAStockton,23,84285.86,15397.43,14515.69
DRG314,PID50089,RIDCASanBernardino,14,134508.07,23337.85,22339.64
DRG314,PID50093,RIDCAFresno,72,52981.98,14177.40,12597.05
DRG314,PID50099,RIDCASanBernardino,41,61255.34,12875.39,12151.53
DRG314,PID50100,RIDCASanDiego,29,109490.75,18324.62,16036.31
DRG314,PID50101,RIDCASanFrancisco,11,68287.36,17183.18,16552.36
DRG314,PID50103,RIDCALosAngeles,32,89867.40,19490.21,18980.81
DRG314,PID50104,RIDCALosAngeles,59,64255.16,20202.79,19522.84
DRG314,PID50107,RIDCASantaBarbara,15,87528.13,16713.80,12946.86
DRG314,PID50108,RIDCASacramento,30,60770.13,16714.16,13905.13
DRG314,PID50112,RIDCALosAngeles,30,72141.86,15272.50,14564.60
DRG314,PID50115,RIDCASanDiego,15,56951.33,12501.46,11637.86
DRG314,PID50116,RIDCALosAngeles,51,91045.96,16100.09,15485.39
DRG314,PID50121,RIDCAFresno,17,66815.76,15203.29,14670.58
DRG314,PID50125,RIDCASanJose,43,148733.62,20970.27,20257.93
DRG314,PID50126,RIDCALosAngeles,33,61901.63,16732.54,16299.03
DRG314,PID50128,RIDCASanDiego,12,57242.75,13216.91,12564.58
DRG314,PID50129,RIDCASanBernardino,36,66065.30,15186.61,13918.72
DRG314,PID50132,RIDCALosAngeles,27,97915.29,17194.29,16023.92
DRG314,PID50133,RIDCASacramento,22,109694.04,24370.22,23965.81
DRG314,PID50145,RIDCASalinas,12,72779.25,16088.75,15622.41
DRG314,PID50149,RIDCALosAngeles,19,51699.42,19784.94,19103.52
DRG314,PID50153,RIDCASanJose,16,125130.50,20111.18,19209.43
DRG314,PID50168,RIDCAOrangeCounty,16,113638.56,16387.56,15894.25
DRG314,PID50169,RIDCALosAngeles,37,91700.86,12883.05,12017.16
DRG314,PID50174,RIDCASantaRosa,21,105165.71,15955.80,15163.76
DRG314,PID50179,RIDCAModesto,15,118120.86,13750.20,13157.13
DRG314,PID50180,RIDCAContraCostaCounty,23,232067.39,31155.60,29163.65
DRG314,PID50191,RIDCALosAngeles,26,57510.65,17628.19,17284.80
DRG314,PID50195,RIDCAAlamedaCounty,27,88361.33,17420.25,16569.37
DRG314,PID50197,RIDCASanMateoCounty,13,128841.07,14015.61,13580.38
DRG314,PID50204,RIDCALosAngeles,23,69664.30,12925.21,12531.47
DRG314,PID50222,RIDCASanDiego,29,72635.24,14431.58,13612.03
DRG314,PID50224,RIDCAOrangeCounty,35,55663.40,12555.54,11977.97
DRG314,PID50226,RIDCAOrangeCounty,32,73569.18,12524.34,11784.46
DRG314,PID50228,RIDCASanFrancisco,23,70915.86,27685.82,26780.86
DRG314,PID50230,RIDCAOrangeCounty,11,88740.09,18121.45,17358.36
DRG314,PID50231,RIDCALosAngeles,34,109036.94,17683.00,16865.52
DRG314,PID50232,RIDCASanLuisObispo,14,64971.92,12010.57,11128.00
DRG314,PID50235,RIDCALosAngeles,51,174829.27,18771.80,17646.23
DRG314,PID50238,RIDCALosAngeles,34,88473.61,15359.79,14286.00
DRG314,PID50239,RIDCALosAngeles,12,112852.08,16958.16,16345.00
DRG314,PID50242,RIDCASantaCruz,18,103750.22,18417.11,17856.44
DRG314,PID50243,RIDCAPalmSprings/RanchoM,21,109867.80,14552.52,14086.57
DRG314,PID50245,RIDCASanBernardino,22,37705.81,20263.81,19476.90
DRG314,PID50261,RIDCABakersfield,13,62053.30,15037.61,14411.23
DRG314,PID50262,RIDCALosAngeles,37,93347.54,26769.83,26373.83
DRG314,PID50278,RIDCALosAngeles,48,99235.08,14502.35,13916.77
DRG314,PID50280,RIDCARedding,18,70857.83,14972.61,14410.16
DRG314,PID50281,RIDCALosAngeles,16,72100.00,16654.87,15482.00
DRG314,PID50289,RIDCASanMateoCounty,12,134999.00,18556.08,17335.16
DRG314,PID50290,RIDCALosAngeles,23,46995.69,11449.56,10912.34
DRG314,PID50295,RIDCABakersfield,14,65240.50,12261.71,11704.85
DRG314,PID50300,RIDCASanBernardino,28,35967.53,13489.50,12866.28
DRG314,PID50305,RIDCAAlamedaCounty,19,123579.68,23139.73,21467.00
DRG314,PID50308,RIDCASanJose,15,94420.53,14574.00,13896.93
DRG314,PID50309,RIDCASacramento,26,67682.80,13191.96,12736.03
DRG314,PID50324,RIDCASanDiego,11,126086.63,16165.00,13518.54
DRG314,PID50327,RIDCASanBernardino,64,77984.40,22142.90,20425.39
DRG314,PID50329,RIDCAOrangeCounty,15,64004.06,14629.13,13482.53
DRG314,PID50334,RIDCASalinas,15,73247.53,21120.66,18733.40
DRG314,PID50336,RIDCASacramento,15,140503.80,13121.33,12519.73
DRG314,PID50348,RIDCAOrangeCounty,20,81210.65,20076.10,19463.15
DRG314,PID50350,RIDCALosAngeles,18,30728.00,15325.50,14874.88
DRG314,PID50351,RIDCALosAngeles,56,89256.01,12775.94,12214.94
DRG314,PID50353,RIDCALosAngeles,39,92233.05,13183.12,12453.69
DRG314,PID50360,RIDCASanFrancisco,14,112978.42,17210.14,16401.50
DRG314,PID50367,RIDCAContraCostaCounty,20,132124.50,18441.35,17880.15
DRG314,PID50376,RIDCALosAngeles,11,65899.36,24636.00,23999.45
DRG314,PID50380,RIDCASanJose,15,165757.06,16543.80,15629.93
DRG314,PID50382,RIDCALosAngeles,66,40566.50,16252.77,15683.04
DRG314,PID50390,RIDCASanBernardino,16,50466.93,13060.50,12498.50
DRG314,PID50393,RIDCALosAngeles,17,138507.23,19315.52,17971.82
DRG314,PID50394,RIDCAVentura,13,57838.46,11480.61,10873.53
DRG314,PID50396,RIDCASantaBarbara,23,82917.30,16083.26,15509.00
DRG314,PID50424,RIDCASanDiego,16,40756.00,13077.50,11535.62
DRG314,PID50426,RIDCAOrangeCounty,14,87383.07,13624.28,13222.28
DRG314,PID50438,RIDCALosAngeles,32,84617.71,14823.09,14065.06
DRG314,PID50441,RIDCASanMateoCounty,35,220308.62,37983.74,37333.37
DRG314,PID50444,RIDCAModesto,27,68260.77,17323.03,16781.59
DRG314,PID50454,RIDCASanFrancisco,35,118202.88,27932.48,27247.94
DRG314,PID50455,RIDCABakersfield,23,56852.26,13947.34,13400.60
DRG314,PID50464,RIDCAModesto,16,149669.50,15690.18,15331.37
DRG314,PID50468,RIDCALosAngeles,19,47362.36,15784.57,15084.52
DRG314,PID50471,RIDCALosAngeles,24,56952.04,16111.12,15454.79
DRG314,PID50481,RIDCALosAngeles,28,122487.35,13403.32,12883.42
DRG314,PID50485,RIDCALosAngeles,45,73315.35,17354.00,16113.42
DRG314,PID50488,RIDCAAlamedaCounty,16,76950.31,16837.00,16328.06
DRG314,PID50492,RIDCAFresno,12,87408.83,33413.58,9813.08
DRG314,PID50496,RIDCAContraCostaCounty,51,135067.86,18297.01,17491.25
DRG314,PID50498,RIDCASacramento,11,31740.63,10805.81,10085.45
DRG314,PID50502,RIDCALosAngeles,46,70511.97,18033.10,16882.47
DRG314,PID50516,RIDCASacramento,22,68273.54,17638.86,12965.68
DRG314,PID50523,RIDCAContraCostaCounty,26,69989.76,15854.57,15339.50
DRG314,PID50549,RIDCAVentura,17,121723.23,17936.23,16540.94
