drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG684,PID10001,RIDALDothan,16,18211.06,3723.75,2804.00
DRG684,PID10011,RIDALBirmingham,12,15049.16,3592.58,2565.58
DRG684,PID10016,RIDALBirmingham,13,22089.00,4415.84,2238.07
DRG684,PID10024,RIDALMontgomery,29,17340.89,4053.51,2864.48
DRG684,PID10029,RIDALBirmingham,11,6052.18,3768.54,2945.27
DRG684,PID10033,RIDALBirmingham,30,15161.50,4786.03,3805.23
DRG684,PID10038,RIDALBirmingham,16,13640.50,3590.50,2487.93
DRG684,PID10039,RIDALHuntsville,12,17680.08,4209.91,3163.25
DRG684,PID10046,RIDALBirmingham,20,24551.05,3335.10,2497.30
DRG684,PID10054,RIDALHuntsville,16,16782.37,3504.93,2665.93
DRG684,PID10056,RIDALBirmingham,28,11354.07,3326.71,2562.00
DRG684,PID10078,RIDALBirmingham,12,10513.50,3549.00,2708.00
DRG684,PID10092,RIDALTuscaloosa,31,15843.19,4442.54,2779.54
DRG684,PID10103,RIDALBirmingham,18,16675.66,3820.05,2925.66
DRG684,PID10104,RIDALBirmingham,13,19385.84,3956.30,2531.69
DRG684,PID10113,RIDALMobile,20,12754.15,3784.35,2635.20
DRG684,PID10118,RIDALBirmingham,11,21540.54,4456.63,3750.81
DRG684,PID10131,RIDALHuntsville,22,20879.04,3577.86,2538.00
DRG684,PID10139,RIDALBirmingham,14,41628.14,3358.00,2718.00
DRG684,PID30002,RIDAZPhoenix,19,21412.00,5192.68,3991.26
DRG684,PID30006,RIDAZTucson,19,15461.89,4480.42,3535.57
DRG684,PID30011,RIDAZTucson,19,15944.31,4104.36,2888.52
DRG684,PID30012,RIDAZPhoenix,11,16023.36,4619.90,3805.36
DRG684,PID30013,RIDAZPhoenix,25,14774.76,4435.36,3626.72
DRG684,PID30014,RIDAZPhoenix,15,19515.06,4224.46,3474.06
DRG684,PID30061,RIDAZSunCity,31,19052.80,3796.03,3108.41
DRG684,PID30065,RIDAZMesa,17,15517.88,4718.41,3316.58
DRG684,PID30088,RIDAZMesa,19,16745.57,3969.00,3274.47
DRG684,PID30093,RIDAZSunCity,27,21613.11,3887.51,3098.03
DRG684,PID30110,RIDAZPhoenix,14,16306.64,4658.71,3937.85
DRG684,PID30115,RIDAZPhoenix,17,25003.58,4933.94,3794.35
DRG684,PID30119,RIDAZMesa,15,28630.33,4126.00,3446.80
DRG684,PID30121,RIDAZMesa,18,25470.00,4449.66,3637.44
DRG684,PID40004,RIDARSpringdale,13,17472.69,3614.23,2835.46
DRG684,PID40007,RIDARLittleRock,19,11633.31,3945.84,2957.05
DRG684,PID40014,RIDARLittleRock,16,10093.75,3715.00,2866.00
DRG684,PID40016,RIDARLittleRock,23,8437.26,5076.04,3976.21
DRG684,PID40020,RIDARJonesboro,17,5203.11,4030.64,3172.52
DRG684,PID40036,RIDARLittleRock,22,11487.04,3569.00,2800.09
DRG684,PID40042,RIDTNMemphis,13,12544.15,4817.84,3749.92
DRG684,PID40055,RIDARFortSmith,17,8267.17,3729.70,3132.29
DRG684,PID40071,RIDARLittleRock,11,19700.72,4222.00,3707.45
DRG684,PID40114,RIDARLittleRock,17,13876.35,3735.94,3207.00
DRG684,PID50009,RIDCANapa,11,46049.27,5487.90,4773.36
DRG684,PID50013,RIDCANapa,13,33124.23,7114.46,4773.53
DRG684,PID50026,RIDCASanDiego,14,26570.00,4866.50,4062.50
DRG684,PID50030,RIDCAChico,14,20325.35,5031.28,4389.00
DRG684,PID50036,RIDCABakersfield,21,31092.47,5817.52,3835.09
DRG684,PID50057,RIDCABakersfield,17,21855.47,5083.00,4027.00
