drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID20017,RIDAKAnchorage,23,34805.13,8401.95,6413.78
DRG057,PID20001,RIDAKAnchorage,11,31858.54,8799,8081.54
DRG064,PID20001,RIDAKAnchorage,34,56571.44,17773.02,16696.61
DRG064,PID20012,RIDAKAnchorage,11,28336.18,25443,24413.9
DRG065,PID20001,RIDAKAnchorage,72,47362.62,10424.84,9364.02
DRG065,PID20006,RIDAKAnchorage,17,34568.82,13128.76,10175.35
DRG065,PID20012,RIDAKAnchorage,22,36185.72,16412.9,15491.09
DRG065,PID20017,RIDAKAnchorage,11,31073.18,8970.63,7402.27
DRG065,PID20024,RIDAKAnchorage,12,24046.83,11745.33,10815.33
DRG065,PID20026,RIDAKAnchorage,18,22539.05,14650.83,13597.72
DRG066,PID20001,RIDAKAnchorage,35,32045.68,7150.28,6010.25
DRG066,PID20006,RIDAKAnchorage,16,38351.68,8332,7276.75
DRG066,PID20012,RIDAKAnchorage,13,18430.53,11312.69,10277.61
DRG066,PID20026,RIDAKAnchorage,20,14545.4,10308.5,9469.1
DRG069,PID20001,RIDAKAnchorage,19,26668.84,6335.57,5384.05
DRG069,PID20026,RIDAKAnchorage,12,11863.75,9175,8425.66
DRG101,PID20001,RIDAKAnchorage,17,25251.17,6544.52,5813.94
DRG101,PID20006,RIDAKAnchorage,22,21061,8820.95,6070.18
DRG176,PID20001,RIDAKAnchorage,26,35672.65,10349.5,7460.65
DRG177,PID20001,RIDAKAnchorage,18,48690.55,16684.33,15935
DRG177,PID20017,RIDAKAnchorage,11,73758.72,15982.09,14855.9
DRG178,PID20001,RIDAKAnchorage,21,60877,17020.23,13151.52
DRG178,PID20006,RIDAKAnchorage,19,29802.36,15063.42,14409.73
DRG178,PID20026,RIDAKAnchorage,17,39366,18607.94,17897.76
DRG189,PID20001,RIDAKAnchorage,40,55686.3,12566.07,11807.6
DRG189,PID20006,RIDAKAnchorage,14,33246.71,13096.57,11521.07
DRG189,PID20017,RIDAKAnchorage,18,46478.27,9902.22,9214
DRG190,PID20001,RIDAKAnchorage,44,38283.97,10291.81,9447.9
DRG190,PID20006,RIDAKAnchorage,25,42837.6,11866.96,11011.76
DRG190,PID20008,RIDAKAnchorage,11,29728.63,13617.72,12691.54
DRG190,PID20012,RIDAKAnchorage,21,20748.19,16454.28,15650.28
DRG190,PID20017,RIDAKAnchorage,22,42556.45,10367.18,6311.18
DRG190,PID20024,RIDAKAnchorage,20,42068.7,16347.45,15344.7
DRG190,PID20026,RIDAKAnchorage,20,15964.3,14957.6,14229.8
DRG191,PID20001,RIDAKAnchorage,45,31072.24,8196.71,7472.88
DRG191,PID20006,RIDAKAnchorage,23,31085.47,9612.13,9027.08
DRG191,PID20012,RIDAKAnchorage,35,19229.62,13304.25,12445.05
DRG191,PID20018,RIDAKAnchorage,12,8711.33,11190.08,10535.08
DRG191,PID20024,RIDAKAnchorage,11,24603.54,9656.09,8735.72
DRG191,PID20026,RIDAKAnchorage,28,11719.07,11844.75,11163.17
DRG192,PID20001,RIDAKAnchorage,24,25155.66,6424.83,5179.66
