drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10005,RIDALBirmingham,14,15131.85,5787.57,4976.71
DRG039,PID10006,RIDALBirmingham,24,37560.37,5434.95,4453.79
DRG039,PID10011,RIDALBirmingham,25,13998.28,5417.56,4129.16
DRG039,PID10016,RIDALBirmingham,18,31633.27,5658.33,4851.44
DRG039,PID10029,RIDALBirmingham,51,11977.13,5834.74,4761.41
DRG039,PID10033,RIDALBirmingham,32,35841.09,8031.12,5858.5
DRG039,PID10040,RIDALBirmingham,34,75233.38,5541.05,4386.94
DRG039,PID10046,RIDALBirmingham,14,67327.92,5461.57,4493.57
DRG039,PID10056,RIDALBirmingham,43,22862.23,5374.65,4186.02
DRG039,PID10078,RIDALBirmingham,21,31110.85,5366.23,4376.23
DRG039,PID10103,RIDALBirmingham,33,51343.75,5996,4962.45
DRG039,PID10104,RIDALBirmingham,29,55219.31,5710.31,4471.68
DRG039,PID10139,RIDALBirmingham,19,73846.21,4987.26,3944.42
DRG057,PID10011,RIDALBirmingham,24,22074.08,6025.54,3914.37
DRG057,PID10029,RIDALBirmingham,28,10701.64,5218.53,4374.1
DRG057,PID10033,RIDALBirmingham,47,35213.76,6847.74,5795.82
DRG057,PID10035,RIDALBirmingham,11,16587.27,5038.63,3909.54
DRG057,PID10038,RIDALBirmingham,13,21577.61,4841.76,4063
DRG057,PID10040,RIDALBirmingham,11,32279,4194.09,3476.63
DRG057,PID10046,RIDALBirmingham,11,29284.9,4722.36,4104.9
DRG057,PID10056,RIDALBirmingham,27,16074.66,4575.22,3584.4
DRG057,PID10078,RIDALBirmingham,22,24654.36,5672.31,4657.68
DRG057,PID10103,RIDALBirmingham,12,58523,5936.83,5287.16
DRG057,PID10104,RIDALBirmingham,27,46616.88,5357.96,4522.62
DRG057,PID10118,RIDALBirmingham,20,17657.2,6288.95,5389.75
DRG057,PID10139,RIDALBirmingham,16,45197.81,4493.25,3860.5
DRG064,PID10005,RIDALBirmingham,13,22946.38,10562.23,9870.53
DRG064,PID10006,RIDALBirmingham,32,45393.21,10439.46,8606.93
DRG064,PID10011,RIDALBirmingham,13,24204.84,10174.69,9483
DRG064,PID10016,RIDALBirmingham,21,64537.85,10256.9,9351.19
DRG064,PID10019,RIDALBirmingham,13,23733.69,10071.23,9118.3
DRG064,PID10025,RIDALBirmingham,11,19270.9,10442.54,9833.81
DRG064,PID10029,RIDALBirmingham,34,15519.5,10584.79,9705.79
DRG064,PID10033,RIDALBirmingham,119,60849.27,14728.4,12512.57
DRG064,PID10035,RIDALBirmingham,24,36588.7,10313.79,8865.87
DRG064,PID10040,RIDALBirmingham,18,100144.94,9908.5,8911.16
DRG064,PID10046,RIDALBirmingham,16,60726.12,9374.81,8808.81
DRG064,PID10056,RIDALBirmingham,42,31531.02,10162.76,9038.21
DRG064,PID10059,RIDALBirmingham,12,21815.08,10921.91,10361.25
DRG064,PID10078,RIDALBirmingham,30,34055.56,10349.56,8742.23
DRG064,PID10103,RIDALBirmingham,41,52779.65,10773.6,10009.9
DRG064,PID10104,RIDALBirmingham,36,77819.91,11157.16,10379.05
DRG064,PID10114,RIDALBirmingham,14,35844.07,10205.64,9747
DRG064,PID10118,RIDALBirmingham,34,42143.88,12135.26,10368.17
DRG064,PID10139,RIDALBirmingham,25,120088.88,9415.44,8654.64
DRG069,PID10056,RIDALBirmingham,49,12191.95,3857.1,2691.1
DRG069,PID10065,RIDALBirmingham,13,8942.76,4213.07,2835.38
DRG065,PID10005,RIDALBirmingham,23,16930.43,6383.56,5454
DRG065,PID10006,RIDALBirmingham,61,27320.14,6180.42,4920.08
DRG065,PID10011,RIDALBirmingham,30,16743.5,6306.26,5293.86
DRG065,PID10012,RIDALBirmingham,14,26139.71,5581.28,4690.92
DRG065,PID10016,RIDALBirmingham,30,32865.13,6428.83,5532.83
DRG065,PID10019,RIDALBirmingham,44,15412.86,6404.81,5460.18
DRG065,PID10025,RIDALBirmingham,22,12620,6976.31,5607.27
DRG065,PID10029,RIDALBirmingham,78,13762.61,6576.83,5664.71
DRG065,PID10033,RIDALBirmingham,104,37680.25,8720.75,7201.43
DRG065,PID10035,RIDALBirmingham,37,19354.56,6227.1,5345.91
DRG065,PID10038,RIDALBirmingham,13,31537.07,6312.15,5065.84
DRG065,PID10040,RIDALBirmingham,54,64503.62,5980.12,4916.48
DRG065,PID10046,RIDALBirmingham,47,44769.82,6075.97,5088.76
DRG065,PID10056,RIDALBirmingham,103,23198.31,6249.4,4881.03
DRG065,PID10059,RIDALBirmingham,11,19319.09,7045.9,6125.54
DRG065,PID10065,RIDALBirmingham,22,9975.36,6805.77,4929.36
DRG065,PID10073,RIDALBirmingham,13,12253.46,6338.07,5041.53
DRG065,PID10078,RIDALBirmingham,45,24790.24,6219.08,5372.33
DRG065,PID10089,RIDALBirmingham,15,20160.73,6642.2,4924.6
DRG065,PID10103,RIDALBirmingham,61,36098.13,6720.96,5703.6
DRG065,PID10104,RIDALBirmingham,60,57980.18,7864.63,5409.3
DRG065,PID10114,RIDALBirmingham,29,21539.48,6219.96,5327.68
DRG065,PID10118,RIDALBirmingham,42,20217.54,7206.3,6376.88
DRG065,PID10125,RIDALBirmingham,18,13056.55,6424.5,5610.5
DRG065,PID10139,RIDALBirmingham,56,74280.16,5856.87,4871.32
DRG065,PID10157,RIDALBirmingham,14,29785.35,5924.28,4967.71
DRG065,PID10158,RIDALBirmingham,17,16422.7,6239.11,5575.11
DRG065,PID10164,RIDALBirmingham,21,21369.61,6939.85,5867.85
DRG065,PID250002,RIDALBirmingham,11,15081,5886.54,5297.72
DRG069,PID10040,RIDALBirmingham,31,47517.38,3834,2894.9
DRG066,PID10005,RIDALBirmingham,11,17170.27,4691.36,3579.72
DRG066,PID10006,RIDALBirmingham,27,16392.37,4263.55,3252.07
DRG066,PID10011,RIDALBirmingham,19,19042.89,4405.94,3519
DRG066,PID10012,RIDALBirmingham,16,16320.31,4390.81,3397.18
DRG066,PID10016,RIDALBirmingham,12,29767.41,5128.08,3521.41
DRG066,PID10019,RIDALBirmingham,17,12790.7,4489.58,3762.76
DRG066,PID10029,RIDALBirmingham,54,8675.4,4651.7,3458.35
DRG066,PID10033,RIDALBirmingham,91,28430.27,5947.9,4943.32
DRG066,PID10035,RIDALBirmingham,18,16303.88,4716.38,3244.27
DRG066,PID10038,RIDALBirmingham,12,23899.5,4154,3216
DRG066,PID10040,RIDALBirmingham,29,59397.41,4297.51,3249.1
DRG066,PID10046,RIDALBirmingham,28,38763.5,4291.75,3289.03
DRG066,PID10056,RIDALBirmingham,62,13801.35,4158.37,3103.69
DRG066,PID10078,RIDALBirmingham,24,19425.08,4447.25,3248
DRG066,PID10103,RIDALBirmingham,21,28289.04,4884.42,3867.85
DRG066,PID10104,RIDALBirmingham,24,36251.91,5091.45,3604.91
DRG066,PID10112,RIDALBirmingham,13,6234.3,4190.69,3409.46
DRG066,PID10118,RIDALBirmingham,22,21301.9,5626.81,4509.36
DRG066,PID10139,RIDALBirmingham,52,57435.15,4269.25,3040
DRG066,PID10164,RIDALBirmingham,22,15168.68,4764,3742.18
DRG069,PID10046,RIDALBirmingham,42,31843.14,3987.16,2853.78
DRG069,PID10005,RIDALBirmingham,16,14260,4273.43,3218.18
DRG069,PID10006,RIDALBirmingham,33,17091.66,3901.36,3120.15
DRG069,PID10011,RIDALBirmingham,28,18208,4641.64,2908.82
DRG069,PID10012,RIDALBirmingham,15,20022.66,3823.46,2850.93
DRG069,PID10016,RIDALBirmingham,31,22626.67,4062.25,3169.67
DRG069,PID10019,RIDALBirmingham,12,11959.91,4072.5,3328.5
DRG069,PID10029,RIDALBirmingham,31,7370.96,4295.58,2970.22
DRG069,PID10033,RIDALBirmingham,51,26658.31,5624.96,4189.8
