drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10001,RIDALDothan,91,32963.07,5777.24,4763.73
DRG039,PID10055,RIDALDothan,45,39607.28,5356.28,4408.2
DRG057,PID10001,RIDALDothan,38,20312.78,4894.76,3865.5
DRG057,PID10049,RIDALDothan,13,21597.46,4634.61,3860.76
DRG057,PID10055,RIDALDothan,16,30142.25,4854,3873.5
DRG069,PID10049,RIDALDothan,17,22034.35,3758,2674.82
DRG064,PID10001,RIDALDothan,84,38820.39,10260.21,9167.08
DRG064,PID10055,RIDALDothan,26,68888,13016.23,10025.03
DRG069,PID10055,RIDALDothan,17,26806.52,4006.23,2688.11
DRG064,PID100142,RIDALDothan,11,21829.81,10166.36,9251.81
DRG065,PID10001,RIDALDothan,169,27345.1,6542.08,5438.5
DRG065,PID10049,RIDALDothan,17,31097.41,6087,5091.94
DRG065,PID10055,RIDALDothan,64,37860.98,6142,5228.25
DRG065,PID100142,RIDALDothan,34,15618,6499.85,5297.14
DRG066,PID10001,RIDALDothan,33,17605.51,4596.39,3618.93
DRG066,PID10049,RIDALDothan,11,24751.27,4277,3256.63
DRG066,PID10055,RIDALDothan,22,22744.18,4311.31,3113.72
DRG066,PID100142,RIDALDothan,18,12883.44,5172.77,3522.11
DRG069,PID10001,RIDALDothan,37,20688.83,4134.1,3103.4
DRG074,PID10001,RIDALDothan,13,18489.15,4876,4097.23
DRG074,PID10055,RIDALDothan,15,28579,4531,3705.13
DRG101,PID10001,RIDALDothan,27,19619.7,4667.22,3249.66
DRG101,PID10055,RIDALDothan,15,29718.8,4000.13,3100.93
DRG176,PID10001,RIDALDothan,33,23680.3,6020.27,5338.09
DRG176,PID10055,RIDALDothan,34,40537.97,5746.79,4741.97
DRG177,PID10001,RIDALDothan,21,48240.09,11634.52,10553.23
DRG177,PID10021,RIDALDothan,17,17198.88,10533.35,9937.82
DRG177,PID10055,RIDALDothan,28,62195.46,11714.46,9871.42
DRG177,PID10062,RIDALDothan,16,16135.43,11614.43,10908.93
DRG177,PID100142,RIDALDothan,13,25614,11626.76,10456.15
DRG178,PID10001,RIDALDothan,22,31341.59,7873.54,7017.5
DRG178,PID10021,RIDALDothan,15,11068.06,8318.26,7268.13
