drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10039,RIDALHuntsville,135,28523.39,6113.38,5228.4
DRG039,PID10085,RIDALHuntsville,27,9234.51,5676.55,4509.11
DRG057,PID10039,RIDALHuntsville,64,26144.21,5607.42,4869.04
DRG057,PID10085,RIDALHuntsville,12,8569.91,4581.41,3832.08
DRG057,PID10131,RIDALHuntsville,13,26197.07,4841.84,4060.61
DRG064,PID10010,RIDALHuntsville,21,25082.19,9116.66,8112.57
DRG064,PID10039,RIDALHuntsville,178,52699.69,11501.2,10468.32
DRG069,PID10054,RIDALHuntsville,20,23957.7,5708.65,2796.8
DRG064,PID10085,RIDALHuntsville,25,13147.12,9477.32,8892.52
DRG064,PID10131,RIDALHuntsville,18,52745.11,9846.94,8959.66
DRG069,PID10061,RIDALHuntsville,11,9692.54,4148,3433.45
DRG065,PID10010,RIDALHuntsville,45,14580.42,6102.97,4982.08
DRG065,PID10039,RIDALHuntsville,191,31363.69,7224.58,5881.33
DRG065,PID10054,RIDALHuntsville,11,28811.18,9738.72,5175.27
DRG065,PID10061,RIDALHuntsville,22,9263.27,6469.54,5650.63
DRG065,PID10079,RIDALHuntsville,25,14489.52,6703.92,5668.88
DRG065,PID10085,RIDALHuntsville,46,9198.34,6291.69,5307.47
DRG065,PID10131,RIDALHuntsville,33,35454.21,6037.72,5220.27
DRG066,PID10010,RIDALHuntsville,12,11045.16,4090,3157.33
DRG066,PID10039,RIDALHuntsville,79,23593.17,5218.88,3482.51
DRG066,PID10054,RIDALHuntsville,12,27682.58,4511.91,3581.91
DRG066,PID10079,RIDALHuntsville,12,11938.25,5365.08,3369.75
DRG066,PID10131,RIDALHuntsville,26,32882.92,4584.92,3104.88
DRG069,PID10010,RIDALHuntsville,42,9614.28,3847.66,2788.85
DRG069,PID10039,RIDALHuntsville,79,23076.94,4403.93,3350.5
DRG069,PID10079,RIDALHuntsville,13,12411.15,4368.15,3338
DRG069,PID10085,RIDALHuntsville,17,6105.17,4079.35,2923
