drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10083,RIDALMobile,15,25411.33,5282.93,4383.73
DRG039,PID10090,RIDALMobile,27,15895.85,5930.11,3972.85
DRG039,PID10100,RIDALMobile,18,10710.88,4968,3898.88
DRG039,PID10113,RIDALMobile,66,14948.15,5550.9,4219.9
DRG039,PID250040,RIDALMobile,24,47045.12,5768.25,4830.25
DRG057,PID10083,RIDALMobile,12,24224.41,4769.5,3739.83
DRG057,PID10090,RIDALMobile,13,12261.76,4767.15,3727.15
DRG057,PID10113,RIDALMobile,56,14891.23,4913.89,4102.32
DRG057,PID250040,RIDALMobile,25,30238.08,6351.88,4039.16
DRG064,PID10087,RIDALMobile,13,15505.53,14533,12459.76
DRG064,PID10090,RIDALMobile,36,36942.13,15405.66,8310.44
DRG064,PID10100,RIDALMobile,13,22469.92,8943.23,8082.3
DRG064,PID10113,RIDALMobile,60,36794.05,10332.9,8987.31
DRG064,PID10144,RIDALMobile,25,18755,8814.48,7871.28
DRG064,PID250040,RIDALMobile,48,52792.58,10952.41,9974.62
DRG065,PID10083,RIDALMobile,21,29484.66,6302.14,4662.9
DRG065,PID10087,RIDALMobile,11,10136.36,9479.45,8553.27
DRG065,PID10090,RIDALMobile,59,19261.06,6093,4826.45
DRG065,PID10100,RIDALMobile,38,15909.18,5578.97,4545.6
DRG065,PID10113,RIDALMobile,97,22454.43,6969.42,4788.18
DRG065,PID10128,RIDALMobile,12,5222.5,5972.91,4973.66
DRG065,PID10144,RIDALMobile,34,18879.73,6234.55,4139.52
DRG065,PID250040,RIDALMobile,83,35448.81,6726.06,5223.86
DRG066,PID10083,RIDALMobile,21,22891.28,4142.71,3235.47
DRG066,PID10090,RIDALMobile,31,11244.67,4118.22,2969.48
DRG066,PID10100,RIDALMobile,20,16238.65,3999.4,2990.2
DRG066,PID10113,RIDALMobile,54,16141.59,4571.64,3260.61
DRG066,PID10120,RIDALMobile,13,11343.15,4453.92,3505.92
DRG066,PID10144,RIDALMobile,12,9935.91,3979,2952
DRG066,PID250040,RIDALMobile,41,27495.36,4627.09,3510.63
DRG069,PID10083,RIDALMobile,16,22162.81,3787,3014.75
DRG069,PID10090,RIDALMobile,33,13605.33,3773.63,2815.09
DRG069,PID10100,RIDALMobile,19,15524.21,3566,2621.15
DRG069,PID10113,RIDALMobile,77,15692.79,3924.01,3046.51
DRG069,PID10144,RIDALMobile,13,12925.61,3548.07,2428.38
DRG069,PID250040,RIDALMobile,35,24497.25,4233.65,3135.91
DRG074,PID10090,RIDALMobile,12,23436,6651,3052.66
DRG074,PID10113,RIDALMobile,64,17452.53,4774.71,3048.4
DRG074,PID250040,RIDALMobile,30,57906.7,6783.06,5711.06
DRG101,PID10083,RIDALMobile,12,22127.58,3944.33,3197.66
DRG101,PID10087,RIDALMobile,13,8930.61,6169.3,5298.53
DRG101,PID10090,RIDALMobile,14,12608.35,3945.28,2981.85
DRG101,PID10113,RIDALMobile,75,15097.66,4392.01,3219.06
DRG101,PID10144,RIDALMobile,16,11876.12,3723.87,2633.81
DRG101,PID250040,RIDALMobile,33,20976.33,4415.6,3096.72
DRG149,PID10113,RIDALMobile,30,12466.23,3468.73,2392.13
DRG149,PID250040,RIDALMobile,17,19453.94,3633.05,2839.64
DRG176,PID10083,RIDALMobile,13,32166.84,5822.07,4128
DRG176,PID10090,RIDALMobile,20,21140.2,5533,4857
DRG176,PID10100,RIDALMobile,12,17074,5097.66,4248.66
DRG176,PID10113,RIDALMobile,40,26163.45,6251.8,5059.9
DRG176,PID10144,RIDALMobile,20,16814.3,5196.2,4238.8
DRG176,PID250040,RIDALMobile,21,33283.47,6029.52,5233.14
DRG177,PID10090,RIDALMobile,26,40922.69,10682.57,9880.8
DRG177,PID10100,RIDALMobile,14,29382.78,9701.07,9056.5
DRG177,PID10113,RIDALMobile,53,37811.81,10906.13,10152.73
DRG177,PID250040,RIDALMobile,96,65607.07,12113.32,10381.03
DRG178,PID10083,RIDALMobile,12,64719.16,7716.66,6964.66
DRG178,PID10090,RIDALMobile,17,22739.17,8870.7,6303.76
DRG178,PID10113,RIDALMobile,65,30808.06,7808.81,6809.96
DRG178,PID10120,RIDALMobile,11,22493,8341,7523.54
DRG178,PID10129,RIDALMobile,11,17786.18,9174.18,7620.27
DRG178,PID250036,RIDALMobile,15,15291.4,8256.33,7803.53
DRG178,PID250040,RIDALMobile,52,41811.8,8153.23,7376.32
DRG189,PID10083,RIDALMobile,37,53757.78,6713.91,5740.67
DRG189,PID10090,RIDALMobile,67,29230.16,8180.95,5892.2
DRG189,PID10100,RIDALMobile,22,31351.36,6249.18,5536.09
DRG189,PID10113,RIDALMobile,68,24069.04,7397.08,6449.08
DRG189,PID10144,RIDALMobile,22,17859.86,8457.13,5321.31
DRG189,PID250036,RIDALMobile,23,13795.39,7531.08,6750.56
DRG189,PID250040,RIDALMobile,124,50603.94,9243.7,8667.55
DRG190,PID10083,RIDALMobile,27,40310.44,6579.44,5015.88
DRG190,PID10090,RIDALMobile,71,21879.67,6695.14,5094.19
DRG190,PID10100,RIDALMobile,32,20063.78,6087.37,4377.81
DRG190,PID10113,RIDALMobile,72,26865.59,6846.25,5393.02
DRG190,PID10120,RIDALMobile,20,15112.2,6559.55,5663.55
DRG190,PID10129,RIDALMobile,20,13060.55,7418.6,6521
DRG190,PID10144,RIDALMobile,40,17481.45,5673.8,4530.32
DRG190,PID10152,RIDALMobile,11,23584.81,6764,5946.54
DRG190,PID250036,RIDALMobile,14,12737.28,7196.07,6713.21
DRG190,PID250040,RIDALMobile,117,31490.46,6554.29,5568.4
DRG191,PID10083,RIDALMobile,52,32132.23,5017.17,4025.01
DRG191,PID10090,RIDALMobile,44,17533.95,5792.22,3800.02
DRG191,PID10091,RIDALMobile,11,8431.09,4870.81,4256.27
DRG191,PID10100,RIDALMobile,30,18287.26,4715.03,3738.23
DRG191,PID10113,RIDALMobile,148,22112.39,5317.64,4510.81
DRG191,PID10120,RIDALMobile,17,12682.88,5729.47,4389
DRG191,PID10129,RIDALMobile,16,12498.31,6398.18,5169.43
DRG191,PID10144,RIDALMobile,38,11811.6,5697.18,3456.47
DRG191,PID10152,RIDALMobile,15,22021.6,5444.46,4620.73
DRG191,PID250036,RIDALMobile,20,10651.75,5713.2,4707.2
DRG191,PID250040,RIDALMobile,127,25554.06,5404.93,4522.37
DRG192,PID10015,RIDALMobile,12,5714.16,4253.16,3320.5
DRG192,PID10083,RIDALMobile,40,31771.12,3761.67,2797.47
DRG192,PID10090,RIDALMobile,21,11533.61,3879.04,2749.52
DRG192,PID10091,RIDALMobile,30,8730.73,3762.8,2865.73
DRG192,PID10100,RIDALMobile,17,13348.58,3522,2599.17
DRG192,PID10113,RIDALMobile,91,15360.08,4219.3,2905.64
DRG192,PID10120,RIDALMobile,42,10723.52,4078.71,3331.66
DRG192,PID10128,RIDALMobile,25,4690.36,3684,2824.64
DRG192,PID10129,RIDALMobile,14,12111.14,4571.07,3686.21
DRG192,PID10144,RIDALMobile,33,11868.33,4359.33,2194.87
DRG192,PID10152,RIDALMobile,11,20362.45,4083,3062.63
DRG192,PID250036,RIDALMobile,27,6113.51,4355.37,3324.77
DRG192,PID250040,RIDALMobile,41,18912.82,4240.63,2911.56
DRG193,PID10083,RIDALMobile,11,78552.72,7554.45,6305.09
DRG193,PID10090,RIDALMobile,110,25557.27,7939.44,6674.86
DRG193,PID10100,RIDALMobile,27,23682.44,7087.55,6252.59
DRG193,PID10113,RIDALMobile,77,37341.5,8475.75,7277.1
DRG193,PID10144,RIDALMobile,35,19503.11,7507.11,6127.6
DRG193,PID250040,RIDALMobile,69,59802.26,9739.4,8926.05
DRG194,PID10015,RIDALMobile,14,7387.85,5800.71,5241.57
DRG194,PID10083,RIDALMobile,77,46974.38,5598.61,4414.53
DRG194,PID10090,RIDALMobile,62,17334.29,5197.29,4306.77
DRG194,PID10100,RIDALMobile,44,16812.77,4881.7,3776.36
DRG194,PID10113,RIDALMobile,145,26568.79,6444.55,4389.97
DRG194,PID10120,RIDALMobile,42,13511.09,5613.78,4784.92
DRG194,PID10128,RIDALMobile,14,7493.21,5289.92,4245.64
DRG194,PID10129,RIDALMobile,29,15654.96,6362.55,5099.1
DRG194,PID10144,RIDALMobile,41,12336.31,5170.87,3741.04
DRG194,PID10152,RIDALMobile,14,25060.42,5758,4799.14
DRG194,PID250036,RIDALMobile,13,9830.38,5772,4906.15
DRG194,PID250040,RIDALMobile,71,26374.59,5609.77,4468.54
DRG195,PID10083,RIDALMobile,35,32647.11,3674.17,2805.48
DRG195,PID10090,RIDALMobile,33,12425.78,4003.87,2513.72
