drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10023,RIDALMontgomery,67,16920.79,6653.8,5374.14
DRG057,PID10023,RIDALMontgomery,17,21452.7,6030.29,5364.41
DRG057,PID10024,RIDALMontgomery,19,20397.52,5166.31,4223.15
DRG069,PID10047,RIDALMontgomery,32,5062.59,4277.31,3386.18
DRG064,PID10023,RIDALMontgomery,48,38000.68,12314.04,11369.52
DRG064,PID10024,RIDALMontgomery,36,43183.86,10746.8,9791.44
DRG064,PID10149,RIDALMontgomery,12,46900,11135.58,10373.33
DRG065,PID10023,RIDALMontgomery,72,28504.9,7788,6526.02
DRG065,PID10024,RIDALMontgomery,82,21663.43,6485.63,5491.84
DRG065,PID10126,RIDALMontgomery,12,15720.58,6345.5,5512.5
DRG065,PID10148,RIDALMontgomery,11,6969.9,5978.54,5155.27
DRG065,PID10149,RIDALMontgomery,31,22327.77,6644.48,5776.35
DRG065,PID10150,RIDALMontgomery,12,41730.83,7245,6218
DRG066,PID10023,RIDALMontgomery,39,18203.61,5462.82,4624.35
DRG066,PID10024,RIDALMontgomery,43,16572.76,4811,3511.09
DRG066,PID10149,RIDALMontgomery,17,17579.29,4915.35,3857.47
DRG069,PID10023,RIDALMontgomery,47,17312.93,5296.57,3656.42
DRG069,PID10024,RIDALMontgomery,51,15894.84,4183.47,3036.56
DRG069,PID10034,RIDALMontgomery,12,6357.5,4409,3465.66
DRG069,PID10097,RIDALMontgomery,12,5543.5,4752,3628
DRG069,PID10148,RIDALMontgomery,16,5787.56,4020,2892
DRG069,PID10149,RIDALMontgomery,24,15085.33,4420.33,3384.91
DRG074,PID10023,RIDALMontgomery,14,20371.85,5774.07,4972.35
DRG074,PID10024,RIDALMontgomery,18,22215.22,6089.94,3664.61
DRG101,PID10023,RIDALMontgomery,20,16271.15,5036.8,4247.6
DRG101,PID10024,RIDALMontgomery,31,19228.61,4274.64,3256.32
DRG101,PID10034,RIDALMontgomery,14,5797.42,4313.64,3509.64
DRG149,PID10023,RIDALMontgomery,14,15280.28,4295.42,3131.21
DRG149,PID10024,RIDALMontgomery,12,12631.5,3618,2680
DRG176,PID10023,RIDALMontgomery,24,31922.41,7846.45,6102.04
DRG176,PID10024,RIDALMontgomery,11,26301.81,6062.45,5345
DRG176,PID10108,RIDALMontgomery,11,28721.36,5617.18,4693.9
DRG176,PID10149,RIDALMontgomery,21,26329.33,6647.14,5200.85
DRG177,PID10024,RIDALMontgomery,15,58056.86,11230.33,10628.66
DRG177,PID10126,RIDALMontgomery,13,40799,12206.61,11430.3
DRG177,PID10149,RIDALMontgomery,12,29983.75,10539,8838.08
