drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10092,RIDALTuscaloosa,31,19721.16,6192.54,5179.38
DRG057,PID10092,RIDALTuscaloosa,33,19780.81,5584.39,4562.03
DRG064,PID10045,RIDALTuscaloosa,11,30234.54,10979.18,10258.81
DRG064,PID10092,RIDALTuscaloosa,117,42953.96,11234.05,10434.33
DRG065,PID10092,RIDALTuscaloosa,159,24715.49,6879.37,5894.52
DRG065,PID10145,RIDALTuscaloosa,14,17925.78,7388.64,6596.07
DRG069,PID10045,RIDALTuscaloosa,11,8277,4310.27,3287
DRG066,PID10045,RIDALTuscaloosa,11,14451.18,4715.27,3686.18
DRG066,PID10092,RIDALTuscaloosa,120,20167.44,4933.5,3930.83
DRG069,PID10092,RIDALTuscaloosa,69,17991.55,4378.59,3400.3
DRG074,PID10092,RIDALTuscaloosa,52,17663.67,5198.69,4508.23
DRG101,PID10092,RIDALTuscaloosa,81,13768.86,4515.12,3525.41
DRG149,PID10092,RIDALTuscaloosa,38,14925.73,3913.92,2728.84
DRG176,PID10092,RIDALTuscaloosa,34,22809.38,6346.29,5418.76
DRG177,PID10045,RIDALTuscaloosa,12,45600.08,12476,11608.75
DRG177,PID10092,RIDALTuscaloosa,110,53989.2,13247.28,11887.95
DRG178,PID10045,RIDALTuscaloosa,16,22912.62,8555.43,7783.18
DRG178,PID10092,RIDALTuscaloosa,57,33445.96,8955.03,8359.33
DRG178,PID10109,RIDALTuscaloosa,12,20527.16,11873.5,11029.83
DRG189,PID10092,RIDALTuscaloosa,139,37257.12,8258.08,6602.92
DRG190,PID10045,RIDALTuscaloosa,36,21382.91,6892.75,6202.75
DRG190,PID10051,RIDALTuscaloosa,13,6728,8403.84,7625.07
DRG190,PID10092,RIDALTuscaloosa,196,26796.44,7252.71,6232.71
DRG190,PID10109,RIDALTuscaloosa,12,13346.58,9194.66,8542.33
DRG190,PID10145,RIDALTuscaloosa,15,28732.4,7916.53,7394.66
DRG191,PID10045,RIDALTuscaloosa,29,15324.34,5549.65,4735.44
DRG191,PID10051,RIDALTuscaloosa,13,5954.84,6980,6377.84
DRG191,PID10092,RIDALTuscaloosa,189,20091.23,5958.94,5099.89
DRG191,PID10109,RIDALTuscaloosa,28,13094.25,8080.75,7356.46
DRG191,PID10145,RIDALTuscaloosa,18,22674.88,8402.11,5093.27
DRG192,PID10045,RIDALTuscaloosa,32,12534.28,4267.4,3329.68
DRG192,PID10051,RIDALTuscaloosa,39,4952.46,5172.71,4396.41
DRG192,PID10092,RIDALTuscaloosa,98,16050.43,4497.7,3288.35
DRG192,PID10109,RIDALTuscaloosa,25,10192.8,5975.92,5210
DRG193,PID10092,RIDALTuscaloosa,178,38755.07,9170.67,7892.67
DRG193,PID10109,RIDALTuscaloosa,26,21212.26,12261.23,11442.61
DRG193,PID10145,RIDALTuscaloosa,26,40562.26,9091,8446.53
DRG194,PID10045,RIDALTuscaloosa,44,19133.31,5989.7,5197.25
DRG194,PID10092,RIDALTuscaloosa,164,24504.98,6176.46,5173.54
DRG194,PID10109,RIDALTuscaloosa,44,13339.97,8177.2,7271.36
DRG194,PID10145,RIDALTuscaloosa,11,18906.18,7005.45,5069.27
