drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID40062,RIDARFortSmith,26,14799.3,5489.53,4263.19
DRG057,PID40055,RIDARFortSmith,25,10578.88,5025.36,4441.84
DRG064,PID40055,RIDARFortSmith,55,25902,10244.98,9448.69
DRG064,PID40062,RIDARFortSmith,13,28324.15,9225.76,8275.3
DRG065,PID40055,RIDARFortSmith,152,13672.44,6383.44,5321.34
DRG065,PID40062,RIDARFortSmith,42,22880.11,6216.35,4966.42
DRG066,PID40055,RIDARFortSmith,33,12461.78,4663.3,3442.12
DRG066,PID40062,RIDARFortSmith,27,17446.7,4502.18,3090.22
DRG069,PID40055,RIDARFortSmith,105,9775.27,4162.2,3155.77
DRG069,PID40062,RIDARFortSmith,24,16727.45,4145.41,2970.83
DRG069,PID370040,RIDARFortSmith,12,8717.25,4228,3381.66
DRG069,PID370072,RIDARFortSmith,11,6455.18,4866.09,4145.72
DRG074,PID40055,RIDARFortSmith,18,11708.05,4873.83,4248.5
DRG101,PID40055,RIDARFortSmith,35,11363.25,4336.88,3442.57
DRG176,PID40055,RIDARFortSmith,16,15487.87,5712.87,5080.12
DRG176,PID40062,RIDARFortSmith,25,22493.16,5395.36,4510.04
DRG177,PID40015,RIDARFortSmith,12,18264.5,10690.16,10037.83
DRG177,PID40055,RIDARFortSmith,81,29736.22,11200.48,10080.04
DRG177,PID40062,RIDARFortSmith,32,54816.9,11122.03,10479.46
DRG178,PID40055,RIDARFortSmith,48,19859.06,8263.87,7619.33
DRG178,PID40062,RIDARFortSmith,24,37814.58,8319.58,7255.87
DRG189,PID40055,RIDARFortSmith,126,16050.83,7344.01,6567.36
DRG189,PID40062,RIDARFortSmith,32,26333.15,7078.59,6193.9
DRG189,PID370040,RIDARFortSmith,14,17306.35,7408,6844.28
DRG190,PID40015,RIDARFortSmith,33,13941.06,7119.09,6368.3
DRG190,PID40018,RIDARFortSmith,31,28409.61,6286.61,5528.03
DRG190,PID40055,RIDARFortSmith,166,15404.56,6596.7,5811.62
DRG190,PID40062,RIDARFortSmith,80,23581.32,6674.45,5314.57
DRG190,PID370040,RIDARFortSmith,30,20418.73,6742.76,6235.76
DRG190,PID370112,RIDARFortSmith,15,6416.33,7377.8,6247.93
DRG191,PID40015,RIDARFortSmith,31,12108.61,5861.35,5180.54
DRG191,PID40018,RIDARFortSmith,21,24376.9,5016.71,4211.19
DRG191,PID40055,RIDARFortSmith,131,12105.41,5449.25,4561.67
DRG191,PID40062,RIDARFortSmith,59,20079.33,5333.61,4465.74
DRG191,PID370040,RIDARFortSmith,38,13873.76,5567.63,4860.26
DRG191,PID370072,RIDARFortSmith,11,5598.45,6047.81,5327.45
DRG191,PID370112,RIDARFortSmith,16,5816.81,5942.5,5243
DRG192,PID40015,RIDARFortSmith,30,11166.63,4440.06,3615.26
DRG192,PID40018,RIDARFortSmith,25,22514.12,3805.16,2997.8
DRG192,PID40055,RIDARFortSmith,59,10904.13,4121.03,3008.1
DRG192,PID40062,RIDARFortSmith,35,13590.08,3884.71,2659.4
DRG192,PID370040,RIDARFortSmith,55,10779.12,4166.76,3355.94
DRG192,PID370112,RIDARFortSmith,16,5995.56,4671.18,3579.5
DRG193,PID40018,RIDARFortSmith,12,48429.83,7760.16,6780.33
DRG193,PID40055,RIDARFortSmith,99,21611.9,8451.17,7410.73
DRG193,PID40062,RIDARFortSmith,81,31522.77,7721.28,6726.82
DRG193,PID370040,RIDARFortSmith,38,23456.81,8459.02,7495.94
DRG193,PID370112,RIDARFortSmith,21,6988.47,7764.85,7068.66
DRG194,PID40015,RIDARFortSmith,52,14244,6205.48,5388.71
DRG194,PID40018,RIDARFortSmith,52,28126.51,5224.32,4339.78
DRG194,PID40055,RIDARFortSmith,90,16006.18,5744.86,4683.73
DRG194,PID40062,RIDARFortSmith,107,25401.56,5475.94,4401.68
DRG194,PID370040,RIDARFortSmith,58,15061.05,5862.34,5122.98
DRG194,PID370112,RIDARFortSmith,26,5789.46,5643.3,4779.92
DRG195,PID40018,RIDARFortSmith,18,20581.72,3733.16,2796.94
DRG195,PID40055,RIDARFortSmith,25,11171.68,4010.6,3111.4
DRG195,PID40062,RIDARFortSmith,34,13284.35,3728.76,2614.14
DRG195,PID370040,RIDARFortSmith,23,9159.39,4326.39,2934.08
DRG195,PID370112,RIDARFortSmith,17,7468.88,4490.64,3501.23
DRG202,PID40055,RIDARFortSmith,20,12087.4,4751.9,3855.9
DRG202,PID40062,RIDARFortSmith,11,14637.27,4554.45,3428.81
DRG207,PID40055,RIDARFortSmith,14,63526.71,28240.64,27757.78
DRG207,PID40062,RIDARFortSmith,32,110241.21,30282.62,29339.46
DRG208,PID40055,RIDARFortSmith,46,38039.32,13005.63,11446.5
DRG208,PID40062,RIDARFortSmith,32,44209.96,12365.37,11409.43
DRG238,PID40062,RIDARFortSmith,26,60405.69,17711.38,15474.8
DRG243,PID40055,RIDARFortSmith,26,69476.73,15202.53,13587.8
DRG243,PID40062,RIDARFortSmith,16,43682.5,13991.25,13077.5
DRG244,PID40055,RIDARFortSmith,23,68428.78,12283,11349.26
DRG244,PID40062,RIDARFortSmith,15,30521.06,11594,8520
DRG246,PID40055,RIDARFortSmith,17,78993.29,19981.11,18873.23
DRG246,PID40062,RIDARFortSmith,18,50204.5,16776.5,15773.83
DRG247,PID40055,RIDARFortSmith,38,59105.21,11163.02,10243.76
DRG247,PID40062,RIDARFortSmith,84,40663.29,10719.05,8701.9
DRG249,PID40055,RIDARFortSmith,42,46365.92,10639.5,8848.78
DRG249,PID40062,RIDARFortSmith,11,47165.27,9451.54,8422.45
DRG252,PID40062,RIDARFortSmith,12,48590.5,16671.5,16016.41
DRG253,PID40062,RIDARFortSmith,20,36141.95,12662.4,11701.8
DRG280,PID40055,RIDARFortSmith,62,25512.03,10741.12,9646.3
DRG280,PID40062,RIDARFortSmith,33,42855.63,11524.51,9372.69
DRG281,PID40055,RIDARFortSmith,56,18040.58,6669.14,5907.85
DRG281,PID40062,RIDARFortSmith,23,24003.3,6294.82,5564.91
DRG282,PID40055,RIDARFortSmith,15,18356.13,4572.2,3526.33
DRG282,PID40062,RIDARFortSmith,12,17179.25,4256,3129.33
DRG286,PID40055,RIDARFortSmith,15,32289.4,11339.06,10592.93
DRG287,PID40055,RIDARFortSmith,113,25351.08,6481.93,4814.15
DRG287,PID40062,RIDARFortSmith,77,23659.59,5836.32,4617.74
DRG291,PID40055,RIDARFortSmith,106,17093.29,8414.85,7521.32
DRG291,PID40062,RIDARFortSmith,98,27715.8,7938.15,7164.94
DRG291,PID370040,RIDARFortSmith,16,24676.12,8462.87,7612.18
DRG292,PID40015,RIDARFortSmith,23,10407.39,6152.34,5324
DRG292,PID40018,RIDARFortSmith,15,30777.53,5339.4,4853.13
DRG292,PID40055,RIDARFortSmith,104,10930.51,5682.37,4845.39
DRG292,PID40062,RIDARFortSmith,85,19052.21,5376.64,4617.64
DRG292,PID370040,RIDARFortSmith,46,13523.26,5893.26,5355.34
DRG293,PID40015,RIDARFortSmith,19,9867.21,4085.89,3377.68
DRG293,PID40018,RIDARFortSmith,16,17333.31,3547.25,2706.25
DRG293,PID40055,RIDARFortSmith,40,8336,3989.17,2842
DRG293,PID40062,RIDARFortSmith,46,12793.41,3772.86,2936.45
DRG293,PID370040,RIDARFortSmith,21,8238,3964,3221.52
DRG293,PID370112,RIDARFortSmith,11,7608.63,4370,3855.45
DRG300,PID40055,RIDARFortSmith,25,12278.44,5383.04,4540.44
DRG300,PID40062,RIDARFortSmith,36,18241.77,4981.86,4127.8
DRG301,PID40062,RIDARFortSmith,19,9541.47,3391.68,2638.21
DRG303,PID40055,RIDARFortSmith,104,9017.95,3341.61,2364.96
DRG303,PID40062,RIDARFortSmith,21,20501.19,3258.04,2216.14
DRG303,PID370040,RIDARFortSmith,12,7198.33,3372,2434
DRG305,PID40055,RIDARFortSmith,38,9439.44,3612.1,2474.94
DRG305,PID40062,RIDARFortSmith,13,16317.38,3476.92,1878.15
DRG308,PID40055,RIDARFortSmith,47,17323.23,7134.48,6047.4
DRG308,PID40062,RIDARFortSmith,29,26977.34,6741.96,5715.68
DRG308,PID370040,RIDARFortSmith,11,17339.18,7137,6628.27
DRG309,PID40055,RIDARFortSmith,60,10363.26,4754.08,3913.61
DRG309,PID40062,RIDARFortSmith,60,18546.08,4476.05,3513.01
DRG310,PID40055,RIDARFortSmith,43,8873.51,3319.32,2165.79
DRG310,PID40062,RIDARFortSmith,61,12105.08,3039.62,1946.36
DRG310,PID370040,RIDARFortSmith,15,7482.4,3302,2331.6
DRG312,PID40055,RIDARFortSmith,92,11011.69,4065.01,3272.88
DRG312,PID40062,RIDARFortSmith,50,15949.5,3830.88,2800.7
DRG313,PID40018,RIDARFortSmith,19,12657.36,3006.15,1926.31
DRG313,PID40055,RIDARFortSmith,114,9894.56,3160.87,2202.57
DRG313,PID40062,RIDARFortSmith,60,11856.85,2932.76,1826.8
DRG313,PID370040,RIDARFortSmith,48,6498.6,3180,2243.33
DRG314,PID40055,RIDARFortSmith,25,35521.44,10761.6,10219.52
DRG314,PID40062,RIDARFortSmith,11,45142.63,9772.81,8546.63
DRG329,PID40055,RIDARFortSmith,30,72166.96,27512.93,26726.93
DRG329,PID40062,RIDARFortSmith,34,84703.05,27164.91,25883.17
DRG330,PID40055,RIDARFortSmith,18,45425.5,14356.38,12345.22
DRG330,PID40062,RIDARFortSmith,47,60401.34,15869.46,13554.78
DRG372,PID40055,RIDARFortSmith,16,17054.81,6998.18,6504.93
DRG377,PID40055,RIDARFortSmith,31,29780.7,10793.03,10216
DRG377,PID40062,RIDARFortSmith,28,36175.07,9798.64,8956.5
DRG378,PID40015,RIDARFortSmith,11,11435.72,6331.63,5511.27
DRG378,PID40055,RIDARFortSmith,88,16699.64,5740.06,4841.17
DRG378,PID40062,RIDARFortSmith,64,23587.68,5528.76,4617.03
DRG378,PID370040,RIDARFortSmith,17,12824.76,5993,5050.64
DRG379,PID40062,RIDARFortSmith,18,13669.27,3957.11,2482.66
DRG389,PID40055,RIDARFortSmith,34,14506.38,5332.35,4587.61
DRG389,PID40062,RIDARFortSmith,29,25833.62,5342.17,4402.17
DRG390,PID40062,RIDARFortSmith,13,18771.38,3361.07,2410.61
DRG391,PID40055,RIDARFortSmith,32,21878.31,6849.96,6075.71
DRG391,PID40062,RIDARFortSmith,18,20730.05,6101.55,5168.88
DRG392,PID40015,RIDARFortSmith,26,7873.57,4479,3483.76
DRG392,PID40018,RIDARFortSmith,48,20729.14,3759.27,2919.6
DRG392,PID40055,RIDARFortSmith,175,12728.84,4144.41,3094.23
DRG392,PID40062,RIDARFortSmith,110,21147.35,3841.84,2816.63
DRG392,PID370040,RIDARFortSmith,27,9601.37,4148.37,3279.77
DRG392,PID370072,RIDARFortSmith,22,5466,4678.31,3860.86
DRG392,PID370112,RIDARFortSmith,18,5359.66,4439.83,3291.66
