drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID40020,RIDARJonesboro,48,11057.06,6208.77,5247.85
DRG039,PID40118,RIDARJonesboro,22,29442.36,6451.86,5067.77
DRG057,PID40020,RIDARJonesboro,21,8630.42,5389.71,4446.42
DRG064,PID40020,RIDARJonesboro,59,14945.84,11035.88,9893.4
DRG064,PID40118,RIDARJonesboro,12,78076.41,17535.25,16877.66
DRG064,PID260015,RIDARJonesboro,15,46473.6,9155.33,8256.13
DRG069,PID40039,RIDARJonesboro,16,7429.93,4175.87,3470.37
DRG065,PID40020,RIDARJonesboro,102,10637.14,6971.23,6091.5
DRG065,PID40039,RIDARJonesboro,25,10162.04,6068.48,5482.4
DRG065,PID40118,RIDARJonesboro,31,17745.12,6740.67,5784.67
DRG065,PID260015,RIDARJonesboro,15,20395.06,5559.8,5033.66
DRG066,PID40020,RIDARJonesboro,34,9467.23,5005.67,4111.44
DRG066,PID40039,RIDARJonesboro,17,8553.52,4614.11,3871.88
DRG066,PID40047,RIDARJonesboro,12,6665,4915.83,3290.08
DRG066,PID40118,RIDARJonesboro,25,15208.84,4932.24,3433.88
DRG069,PID40020,RIDARJonesboro,54,8090.74,4464.83,3670.61
DRG069,PID40118,RIDARJonesboro,12,13029.5,4115.5,2991.5
DRG074,PID40020,RIDARJonesboro,30,8624.53,5253.96,4411.36
DRG101,PID40020,RIDARJonesboro,28,6843.21,4653.25,3692.1
DRG101,PID40118,RIDARJonesboro,18,15081.61,4730.83,3507.27
DRG176,PID40020,RIDARJonesboro,40,9222.72,6500.37,5437.72
DRG176,PID40118,RIDARJonesboro,17,19919.05,6424.17,5699.23
DRG177,PID40020,RIDARJonesboro,89,16573.65,12225.4,11466.51
DRG177,PID40047,RIDARJonesboro,12,11324.5,9897.08,9145.08
DRG177,PID40118,RIDARJonesboro,19,40224.73,12757.26,11713.63
DRG177,PID260015,RIDARJonesboro,19,40614.52,9525.57,9113.57
DRG178,PID40020,RIDARJonesboro,100,11940.49,8890.81,8180.15
DRG178,PID40039,RIDARJonesboro,14,22054.21,8112.71,7477.28
DRG178,PID40047,RIDARJonesboro,27,11654.14,8435.59,7724.03
DRG178,PID40118,RIDARJonesboro,18,32361.61,8815.94,8161.83
DRG178,PID260015,RIDARJonesboro,18,35752.94,8213.55,7710.44
DRG189,PID40020,RIDARJonesboro,139,11569.99,7818.92,7210.1
DRG189,PID40118,RIDARJonesboro,32,27386.03,7686.12,6912.87
DRG189,PID260015,RIDARJonesboro,45,24232.95,6913.8,6363.22
DRG190,PID40020,RIDARJonesboro,121,10474.61,7248.58,6505.21
DRG190,PID40039,RIDARJonesboro,62,15759.46,6794.79,6020.79
DRG190,PID40118,RIDARJonesboro,65,21475.78,6955.18,6117.2
DRG190,PID260015,RIDARJonesboro,56,32683.08,6366.66,5645.8
DRG191,PID40020,RIDARJonesboro,109,8620.63,5918.55,5089.02
DRG191,PID40039,RIDARJonesboro,49,12508.69,5615.59,4691.53
DRG191,PID40118,RIDARJonesboro,41,18273.75,5841.48,5101.48
DRG191,PID260015,RIDARJonesboro,23,25805.69,5458,4758.04
DRG192,PID40020,RIDARJonesboro,104,7283.66,4441.61,3516.25
DRG192,PID40039,RIDARJonesboro,47,10626,4141.12,3209.97
DRG192,PID40047,RIDARJonesboro,18,8251,4434.11,3503.22
DRG192,PID40118,RIDARJonesboro,30,13095.16,4332.3,3368.13
DRG192,PID260015,RIDARJonesboro,19,16217.68,4041.1,3392.47
DRG193,PID40020,RIDARJonesboro,42,12805.59,8911.71,7821.57
DRG193,PID40039,RIDARJonesboro,29,17654.72,8181.17,7525.31
DRG193,PID40118,RIDARJonesboro,65,32203.53,8940.03,8161.26
DRG193,PID260015,RIDARJonesboro,73,29700.89,7999.02,6985.58
DRG194,PID40020,RIDARJonesboro,107,8859.05,6158.1,5120.96
DRG194,PID40039,RIDARJonesboro,81,18283.64,6167.92,5356.71
DRG194,PID40047,RIDARJonesboro,49,10593.36,5928.73,5241.55
DRG194,PID40118,RIDARJonesboro,89,24998.05,6072.08,5228.17
DRG194,PID260015,RIDARJonesboro,41,29736.41,5520.04,4563.14
DRG195,PID40020,RIDARJonesboro,42,7315.42,4261.16,3213.26
DRG195,PID40039,RIDARJonesboro,55,11522.05,4083.09,2995.83
DRG195,PID40047,RIDARJonesboro,40,8936.6,4380.02,3410.1
DRG195,PID40118,RIDARJonesboro,40,19099.27,4382.72,3163.2
DRG195,PID260015,RIDARJonesboro,23,22222,3757.39,2867.52
DRG202,PID40020,RIDARJonesboro,29,6043.65,5119.1,4281.82
DRG202,PID40118,RIDARJonesboro,18,19326.72,4837,3893.66
DRG203,PID40020,RIDARJonesboro,17,6135.58,3711.41,2919.88
DRG203,PID40118,RIDARJonesboro,11,12367.09,3648.54,2636.9
DRG207,PID40020,RIDARJonesboro,42,59393.92,31733.11,30842.28
DRG207,PID40118,RIDARJonesboro,15,150073.93,34517.4,33989.13
DRG208,PID40020,RIDARJonesboro,83,24108.13,14274.46,13690.09
DRG208,PID40039,RIDARJonesboro,18,38057.88,13883.11,13128.44
DRG208,PID40118,RIDARJonesboro,22,50961.5,13607.9,12880.86
DRG238,PID40020,RIDARJonesboro,25,36254,18811,17911.8
DRG238,PID40118,RIDARJonesboro,16,67631,18500,17442.75
DRG243,PID40020,RIDARJonesboro,12,20686.66,16201,15268.33
DRG244,PID40020,RIDARJonesboro,15,18782.26,12479.33,11360.13
DRG244,PID40118,RIDARJonesboro,18,44448.05,12764.5,10126
DRG246,PID40020,RIDARJonesboro,67,34208.23,19985.94,17683.44
DRG246,PID40039,RIDARJonesboro,19,54249.63,18785.94,17893.94
DRG246,PID40118,RIDARJonesboro,22,52583.59,18568.59,14113.77
DRG247,PID40020,RIDARJonesboro,243,24802.5,12186.62,10908.73
DRG247,PID40039,RIDARJonesboro,33,43962.39,12846.9,9873.12
DRG247,PID40118,RIDARJonesboro,68,38585.94,11064.1,9510.44
DRG252,PID40020,RIDARJonesboro,14,23631.35,18143.57,17339.57
DRG253,PID40020,RIDARJonesboro,13,25015.46,14753.07,13067.69
DRG253,PID40118,RIDARJonesboro,12,57380.41,14410.33,13847
DRG254,PID40020,RIDARJonesboro,22,14406.13,9874.27,8952.45
DRG254,PID40118,RIDARJonesboro,29,46005.48,10261.82,7795.03
DRG280,PID40020,RIDARJonesboro,37,16865.67,10923.13,9915.45
DRG280,PID40039,RIDARJonesboro,38,18386.07,10241.42,9425.57
DRG280,PID40118,RIDARJonesboro,18,26919.94,11083,10396.55
DRG280,PID260015,RIDARJonesboro,12,35275.66,8378.41,8095.41
DRG281,PID40020,RIDARJonesboro,33,11212.81,7243.03,6531.39
DRG281,PID40039,RIDARJonesboro,18,13305.27,6741.94,5762.83
DRG281,PID40118,RIDARJonesboro,15,23526.2,7148.2,6175.66
DRG282,PID40020,RIDARJonesboro,17,9501.17,5471.82,3487.7
DRG282,PID40039,RIDARJonesboro,17,12092.76,4536.17,3737.11
DRG286,PID40020,RIDARJonesboro,20,20227.25,13568,9438
DRG287,PID40020,RIDARJonesboro,114,11542.29,6639.01,5677.14
DRG287,PID40039,RIDARJonesboro,37,16945.16,6490.94,5261.02
DRG287,PID40118,RIDARJonesboro,40,21649.8,5835.05,4460.07
DRG291,PID40020,RIDARJonesboro,83,14315.93,9686.65,9025.96
DRG291,PID40039,RIDARJonesboro,15,19848.73,8536.66,7939.33
DRG291,PID40047,RIDARJonesboro,19,10970.47,8765.63,8118.68
DRG291,PID40118,RIDARJonesboro,67,28852.47,8565.25,7937.41
DRG291,PID260015,RIDARJonesboro,28,29013.75,7417.96,6892.39
