drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID40007,RIDARLittleRock,55,27734.89,6051.92,4837.54
DRG039,PID40026,RIDARLittleRock,41,19270.63,5806.41,4759.7
DRG039,PID40029,RIDARLittleRock,17,11406.17,5623.52,4569.41
DRG039,PID40036,RIDARLittleRock,35,23182.42,5575,4622.34
DRG039,PID40071,RIDARLittleRock,12,29474.08,6529,5682.66
DRG039,PID40078,RIDARLittleRock,18,98388.77,9838.11,8533.83
DRG039,PID40114,RIDARLittleRock,139,25076.64,5968.44,4592.46
DRG039,PID40119,RIDARLittleRock,27,22973,6163.03,5166.29
DRG039,PID40134,RIDARLittleRock,66,24489.93,5225.59,4068.1
DRG057,PID40007,RIDARLittleRock,17,22218.35,5815.41,5153.29
DRG057,PID40014,RIDARLittleRock,20,10587.2,5124.3,4174.9
DRG057,PID40016,RIDARLittleRock,68,22581.02,8087.92,5880.55
DRG057,PID40026,RIDARLittleRock,20,16201.3,5213.5,4534.3
DRG057,PID40071,RIDARLittleRock,16,20292.81,5830.25,5126.75
DRG057,PID40078,RIDARLittleRock,12,23949.33,5281.33,4343.33
DRG057,PID40088,RIDARLittleRock,15,14686.8,5530,4477.73
DRG057,PID40114,RIDARLittleRock,22,16416.77,5038.45,4372.45
DRG064,PID40007,RIDARLittleRock,62,34795.8,10792.67,9809.93
DRG064,PID40014,RIDARLittleRock,29,21488.82,9843.31,8951.03
DRG064,PID40016,RIDARLittleRock,61,22590.96,13855.44,12564.06
DRG064,PID40026,RIDARLittleRock,58,38436.46,10565.98,9713.56
DRG064,PID40029,RIDARLittleRock,17,24817.17,9784,8986.82
DRG064,PID40036,RIDARLittleRock,39,31161.41,9736.28,8958.33
DRG064,PID40071,RIDARLittleRock,32,45716.62,11719.93,10529.4
DRG064,PID40078,RIDARLittleRock,14,66613.57,11258.42,10539.85
DRG064,PID40114,RIDARLittleRock,110,34538.95,10254.16,9423.58
DRG064,PID40119,RIDARLittleRock,21,28174.09,11035.19,10265.76
DRG065,PID40007,RIDARLittleRock,83,22288.09,6607.45,5654.38
DRG065,PID40014,RIDARLittleRock,71,16993.11,6615.05,5229.92
DRG065,PID40016,RIDARLittleRock,78,15697.5,8455.07,7127.53
DRG065,PID40026,RIDARLittleRock,74,20041.85,6409.22,5484.74
DRG065,PID40029,RIDARLittleRock,44,16627.68,6192.04,5448.13
DRG065,PID40036,RIDARLittleRock,63,19586.55,6089.11,4816.79
DRG065,PID40041,RIDARLittleRock,21,21650.38,6415.71,5664.09
DRG065,PID40050,RIDARLittleRock,18,10972.27,6530.44,5720
DRG065,PID40067,RIDARLittleRock,11,9673.9,6810.63,5896.09
DRG065,PID40071,RIDARLittleRock,67,27559.4,7078.08,6125.55
DRG065,PID40072,RIDARLittleRock,12,12887.75,7164.91,6509.91
DRG065,PID40076,RIDARLittleRock,17,11265.17,6701.47,5904.29
DRG065,PID40078,RIDARLittleRock,22,33287.86,6873.72,6006.27
DRG065,PID40084,RIDARLittleRock,27,19798.22,5846.81,4508.88
DRG065,PID40088,RIDARLittleRock,31,23696.48,6530.35,5445.09
DRG065,PID40114,RIDARLittleRock,111,23002.01,6575.55,5616.92
DRG065,PID40119,RIDARLittleRock,53,19489.56,7047.64,5949.58
DRG065,PID40137,RIDARLittleRock,17,18396.94,6146.35,4859.64
DRG066,PID40007,RIDARLittleRock,28,16432.14,4793.39,3909.67
DRG066,PID40014,RIDARLittleRock,31,11585.58,4670.58,3459.41
DRG066,PID40016,RIDARLittleRock,56,10773.12,6175.05,5050.91
DRG066,PID40026,RIDARLittleRock,44,17229.13,4600.09,3602.54
DRG066,PID40029,RIDARLittleRock,22,11729.81,4567.27,3352.13
DRG066,PID40036,RIDARLittleRock,39,14973.48,4321.64,3484
DRG066,PID40041,RIDARLittleRock,24,19301.79,4784.37,3510.2
DRG066,PID40050,RIDARLittleRock,11,9245.54,4608.72,3794.18
DRG066,PID40071,RIDARLittleRock,31,17006.64,5257.7,3857.32
DRG066,PID40078,RIDARLittleRock,19,29336.31,4930.84,3984.31
DRG066,PID40084,RIDARLittleRock,15,14216.93,4388.73,3263.13
DRG066,PID40088,RIDARLittleRock,27,18274.88,4760.44,3757.77
DRG066,PID40114,RIDARLittleRock,61,16732.27,4807.34,3685.32
DRG066,PID40119,RIDARLittleRock,15,15982.73,4956.93,3980.13
DRG066,PID40134,RIDARLittleRock,11,17706.72,4379.54,2895.09
DRG069,PID40007,RIDARLittleRock,43,15377.88,4314.25,3326.97
DRG069,PID40011,RIDARLittleRock,17,4504.52,3953.76,3489.52
DRG069,PID40014,RIDARLittleRock,43,11733.37,4124.3,3183.27
DRG069,PID40026,RIDARLittleRock,19,13336.47,4214.52,3101.47
DRG069,PID40029,RIDARLittleRock,11,14208.45,4035.9,3221.36
DRG069,PID40036,RIDARLittleRock,19,13560,3963.31,3079.73
DRG069,PID40041,RIDARLittleRock,18,17370.83,4295.66,3483.44
DRG069,PID40071,RIDARLittleRock,24,19603.29,4686.75,3751.41
DRG069,PID40080,RIDARLittleRock,13,27475.3,4123.23,3426.61
DRG069,PID40084,RIDARLittleRock,16,13859.62,3982.87,2929.62
DRG069,PID40088,RIDARLittleRock,19,15119.68,4324.89,3318.78
DRG069,PID40114,RIDARLittleRock,85,14718.24,4286.7,3061.35
DRG069,PID40119,RIDARLittleRock,19,15838.26,4428.31,3595.89
DRG069,PID40134,RIDARLittleRock,15,17145.53,3743,2768.33
DRG074,PID40007,RIDARLittleRock,49,17494.53,5079.73,4529.2
DRG074,PID40016,RIDARLittleRock,18,22093.16,6586,5545.05
DRG074,PID40026,RIDARLittleRock,13,15859.69,4863.23,4002.3
DRG074,PID40114,RIDARLittleRock,22,21316,5274,3637.31
DRG074,PID40119,RIDARLittleRock,18,20674.77,6377.33,2456.83
DRG101,PID40007,RIDARLittleRock,55,12481.12,4683.01,3152.34
DRG101,PID40014,RIDARLittleRock,21,11495.76,4295.04,3170.09
DRG101,PID40016,RIDARLittleRock,66,12986.34,5950.31,4542.45
DRG101,PID40026,RIDARLittleRock,14,15816.78,4149.14,3183.42
DRG101,PID40029,RIDARLittleRock,15,11108.26,4376.6,2940.26
DRG101,PID40036,RIDARLittleRock,17,15286.35,4126.17,3332.76
DRG101,PID40071,RIDARLittleRock,16,22625.5,4884.75,4114.5
DRG101,PID40088,RIDARLittleRock,15,14006.8,4341.4,3295.53
DRG101,PID40114,RIDARLittleRock,61,19417.09,4486.14,3405.57
DRG149,PID40114,RIDARLittleRock,15,9700,3699.66,2439.13
DRG176,PID40007,RIDARLittleRock,24,19820.2,6167.66,5156.91
DRG176,PID40016,RIDARLittleRock,18,17416,8297.11,7234.66
DRG176,PID40026,RIDARLittleRock,23,22951.21,5931.04,5099.91
DRG176,PID40029,RIDARLittleRock,18,11614.27,5793.5,4588.55
DRG176,PID40036,RIDARLittleRock,18,16326.77,5798.72,5049.38
DRG176,PID40084,RIDARLittleRock,19,14324.47,5832.84,5180.84
DRG176,PID40114,RIDARLittleRock,31,21074.87,6155.9,5224.25
DRG176,PID40119,RIDARLittleRock,14,25873.85,7645.42,5605.92
DRG177,PID40007,RIDARLittleRock,37,43889.86,11926.08,11325.43
DRG177,PID40011,RIDARLittleRock,34,6984.11,11007.88,10373.79
DRG177,PID40014,RIDARLittleRock,70,32202.64,11099.97,10455.4
DRG177,PID40016,RIDARLittleRock,29,49294.13,16274.79,15197.03
DRG177,PID40026,RIDARLittleRock,42,53528.42,11779.16,10705.54
DRG177,PID40029,RIDARLittleRock,58,26560.34,11346.67,10757.37
DRG177,PID40036,RIDARLittleRock,21,16499.71,10401.71,9764
DRG177,PID40072,RIDARLittleRock,13,15396.92,12558.15,11705.23
DRG177,PID40078,RIDARLittleRock,17,81190.88,12160.47,11219.11
DRG177,PID40114,RIDARLittleRock,43,34661.32,11298.37,10515.23
DRG177,PID40119,RIDARLittleRock,59,36792.61,12094.22,11430.74
DRG178,PID40007,RIDARLittleRock,16,32597.81,8727.62,7963.37
DRG178,PID40011,RIDARLittleRock,38,6038.89,7865.18,7391.92
DRG178,PID40014,RIDARLittleRock,50,24408,7881.32,7334.86
DRG178,PID40016,RIDARLittleRock,31,42227.09,14340.03,9592.67
DRG178,PID40026,RIDARLittleRock,35,26024.91,7916.31,7212.08
DRG178,PID40029,RIDARLittleRock,74,20185.72,7667.44,6971.91
DRG178,PID40036,RIDARLittleRock,19,15260.15,7200.89,6609.73
DRG178,PID40041,RIDARLittleRock,11,20753.09,8025.09,7464.9
DRG178,PID40051,RIDARLittleRock,19,11610.31,7686.1,7041.26
DRG178,PID40072,RIDARLittleRock,23,13306.52,9166.69,8473.17
DRG178,PID40074,RIDARLittleRock,18,18573.66,7164.44,6572.11
DRG178,PID40076,RIDARLittleRock,13,22917.38,8449.92,7929.92
DRG178,PID40080,RIDARLittleRock,13,45696.76,8295.53,7035.15
DRG178,PID40114,RIDARLittleRock,32,26825.25,8231.59,7566.46
DRG178,PID40119,RIDARLittleRock,56,26355.51,8593.23,7912.23
DRG189,PID40002,RIDARLittleRock,12,11700,7885,7510.33
DRG189,PID40007,RIDARLittleRock,49,30309.81,7682.63,6908.4
DRG189,PID40014,RIDARLittleRock,119,21465.85,7434.9,6423.88
DRG189,PID40016,RIDARLittleRock,32,25214.53,10515.15,9724.21
DRG189,PID40026,RIDARLittleRock,34,34257.14,7362.79,6334.41
DRG189,PID40029,RIDARLittleRock,29,21468.44,7072.13,6566.89
DRG189,PID40036,RIDARLittleRock,69,17692.01,6939.85,6231.65
DRG189,PID40041,RIDARLittleRock,31,22024.32,7703.8,6749.87
DRG189,PID40067,RIDARLittleRock,15,14448.8,7615.4,7091.4
DRG189,PID40071,RIDARLittleRock,93,39287.18,8491.75,7968.41
DRG189,PID40076,RIDARLittleRock,11,9848.09,7231.72,7128.81
DRG189,PID40078,RIDARLittleRock,18,39406.16,7659.94,6727.27
DRG189,PID40084,RIDARLittleRock,58,17215.77,6831.81,6110.08
DRG189,PID40114,RIDARLittleRock,108,24177.82,7462.96,6488.54
DRG189,PID40119,RIDARLittleRock,50,30198.34,7861.34,7126.12
DRG189,PID40137,RIDARLittleRock,18,23451.83,6827.55,5699.83
DRG190,PID40002,RIDARLittleRock,14,11590.57,7420,6034.92
DRG190,PID40007,RIDARLittleRock,59,22992.08,7004.66,6082.72
DRG190,PID40011,RIDARLittleRock,16,7228.06,6305.81,5745.81
DRG190,PID40014,RIDARLittleRock,69,18204,6669.57,5904.62
DRG190,PID40016,RIDARLittleRock,28,12438.6,8398.57,7305
DRG190,PID40026,RIDARLittleRock,93,23161.07,6728.55,5782.19
DRG190,PID40029,RIDARLittleRock,39,14982.23,6401.71,5626.23
DRG190,PID40036,RIDARLittleRock,54,16973,6386.03,5186.03
DRG190,PID40041,RIDARLittleRock,23,22628.6,6717.69,5935.08
DRG190,PID40050,RIDARLittleRock,15,15289.26,7128.2,5631.33
DRG190,PID40067,RIDARLittleRock,32,11975.5,7097.28,6434.15
DRG190,PID40071,RIDARLittleRock,42,33438.64,7975.73,6564.47
DRG190,PID40072,RIDARLittleRock,17,12775.88,7195.82,6509.11
DRG190,PID40074,RIDARLittleRock,22,12858.04,6375.09,5560.54
DRG190,PID40076,RIDARLittleRock,16,18534,7209.62,6722.37
DRG190,PID40078,RIDARLittleRock,40,44767.87,7359.22,6194.1
DRG190,PID40080,RIDARLittleRock,35,30622.88,6520.88,5590.97
