drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID40004,RIDARSpringdale,39,30470.56,5811.56,4372.61
DRG039,PID40010,RIDARSpringdale,12,17593.33,5509,4576.33
DRG039,PID40022,RIDARSpringdale,19,37470.73,6153.21,4234.68
DRG064,PID40004,RIDARSpringdale,21,33560.47,10592.85,8320.52
DRG064,PID40010,RIDARSpringdale,22,25499.45,9608.63,8998.45
DRG064,PID40017,RIDARSpringdale,14,19677,9856.64,9297.5
DRG064,PID40022,RIDARSpringdale,20,43449.95,10754.5,9970.1
DRG065,PID40001,RIDARSpringdale,17,20175,6789.76,5866.94
DRG065,PID40004,RIDARSpringdale,57,22176.1,6492.36,5269.36
DRG065,PID40010,RIDARSpringdale,40,14819.67,6080.8,5153.3
DRG065,PID40017,RIDARSpringdale,21,17733.33,6890.9,5086.23
DRG065,PID40022,RIDARSpringdale,53,31084.6,6636.35,5606.6
DRG066,PID40004,RIDARSpringdale,25,17346.8,4507.88,3418.2
DRG066,PID40010,RIDARSpringdale,14,15213.35,4356.14,3238.07
DRG066,PID40017,RIDARSpringdale,20,12308.35,4613.4,3772.4
DRG066,PID40022,RIDARSpringdale,46,22022.08,4777.08,3563.39
DRG069,PID40004,RIDARSpringdale,28,21007.03,6624.21,3030.5
DRG069,PID40010,RIDARSpringdale,21,14442.09,4062.04,2943.95
DRG069,PID40022,RIDARSpringdale,33,20442.3,4497.81,2943.69
DRG101,PID40004,RIDARSpringdale,12,23644.5,4394.5,3263.75
DRG101,PID40022,RIDARSpringdale,24,21939.41,4446.7,3225.16
DRG176,PID40004,RIDARSpringdale,25,22229.8,6105.84,5012.56
DRG176,PID40010,RIDARSpringdale,23,13352.6,6097.78,4380.17
DRG176,PID40017,RIDARSpringdale,24,20531.29,6514.87,4957.5
DRG176,PID40022,RIDARSpringdale,19,31120.05,6302.42,4959.63
DRG177,PID40004,RIDARSpringdale,25,43823.88,13000.92,9879.88
DRG177,PID40010,RIDARSpringdale,20,35929.7,10814.1,10364.5
DRG177,PID40017,RIDARSpringdale,22,21675.5,10601.54,9949.86
DRG177,PID40022,RIDARSpringdale,28,48699.85,11241.67,10357.96
DRG178,PID40004,RIDARSpringdale,28,30943.32,8554.75,6790.67
DRG178,PID40017,RIDARSpringdale,42,22253,8350.83,7504.11
DRG178,PID40022,RIDARSpringdale,29,40771.93,8222.44,7512.27
DRG189,PID40004,RIDARSpringdale,89,29911.43,7226.28,6125.04
DRG189,PID40010,RIDARSpringdale,41,18455.97,6933.19,6085.09
DRG189,PID40017,RIDARSpringdale,16,18507.81,6920.87,6221.37
DRG189,PID40022,RIDARSpringdale,36,31248.69,7404.08,6653.75
DRG190,PID40001,RIDARSpringdale,19,22829.89,7320.52,5335.94
DRG190,PID40004,RIDARSpringdale,31,25175.9,6825.51,5403.8
DRG190,PID40010,RIDARSpringdale,29,18150.72,6257.82,5329.2
DRG190,PID40017,RIDARSpringdale,29,19579.82,6694.75,5803.58
DRG190,PID40022,RIDARSpringdale,81,30997.22,6715.76,5707.4
DRG191,PID40001,RIDARSpringdale,21,16978.42,5927,5100.8
DRG191,PID40004,RIDARSpringdale,58,22166.29,5376.56,4491.94
DRG191,PID40010,RIDARSpringdale,29,14910.27,5376.62,4391.13
DRG191,PID40017,RIDARSpringdale,36,15770,5373.66,4587.58
DRG191,PID40022,RIDARSpringdale,70,26440.98,5524.21,4646.97
DRG192,PID40001,RIDARSpringdale,35,15248.62,4439.4,3466
DRG192,PID40004,RIDARSpringdale,25,20413.96,4096.28,2924.88
DRG192,PID40010,RIDARSpringdale,14,11673.57,3910.71,2947.28
DRG192,PID40017,RIDARSpringdale,36,13444.83,4072.72,3159.41
DRG192,PID40022,RIDARSpringdale,99,18458.67,4183.68,3178.22
DRG193,PID40001,RIDARSpringdale,25,33061.32,8575.6,7712.16
DRG193,PID40004,RIDARSpringdale,56,33772.44,8403.48,7321.76
DRG193,PID40010,RIDARSpringdale,26,23847.26,7874.53,6707.38
DRG193,PID40017,RIDARSpringdale,23,28887.86,8497.69,7411.65
DRG193,PID40022,RIDARSpringdale,62,41176.16,8547.48,7438.32
DRG194,PID40001,RIDARSpringdale,33,22842.63,5904.51,4953.72
DRG194,PID40004,RIDARSpringdale,107,23678.27,6105.71,4401.51
DRG194,PID40010,RIDARSpringdale,72,17674.68,5364.29,4275.5
DRG194,PID40017,RIDARSpringdale,147,19201.01,5787.81,4865.98
DRG194,PID40022,RIDARSpringdale,93,25667.8,5897.36,4773.6
DRG195,PID40001,RIDARSpringdale,38,18243.42,4349.52,3229.42
DRG195,PID40004,RIDARSpringdale,40,16902.97,4032.45,2808.05
