drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450200,RIDARTexarkana,23,27692.17,6225.47,5395.73
DRG039,PID450801,RIDARTexarkana,35,18811.2,5514.22,4368.91
DRG064,PID450200,RIDARTexarkana,14,39708.14,11442.57,10256.78
DRG064,PID450801,RIDARTexarkana,49,41834,9387.89,8442.48
DRG065,PID40091,RIDARTexarkana,20,11857.45,6427.65,5413.65
DRG065,PID450200,RIDARTexarkana,44,23681.5,6786.63,5817.36
DRG065,PID450615,RIDARTexarkana,11,11189.9,6653.18,6141.54
DRG065,PID450801,RIDARTexarkana,80,29509.83,6188.51,5064.31
DRG066,PID450200,RIDARTexarkana,44,19565.77,5226.45,3931.34
DRG066,PID450801,RIDARTexarkana,41,22012.36,4329.9,3074.34
DRG069,PID450200,RIDARTexarkana,12,22182.58,4492,3842.33
DRG069,PID450801,RIDARTexarkana,17,23547.41,3930.82,2871.05
DRG074,PID450801,RIDARTexarkana,12,21725,4703.91,3895.5
DRG101,PID450200,RIDARTexarkana,13,14012.92,4561.84,3788
DRG101,PID450801,RIDARTexarkana,16,23199.56,4076.06,3445.31
DRG176,PID450801,RIDARTexarkana,37,27177.16,5444.35,4380.16
DRG177,PID40091,RIDARTexarkana,23,31342.34,11310.56,10427.3
DRG177,PID450200,RIDARTexarkana,17,39138,12009.82,11316.29
DRG177,PID450801,RIDARTexarkana,62,54636.87,11628.2,9966.54
DRG178,PID40091,RIDARTexarkana,37,21993.45,8332.05,7418
DRG178,PID370048,RIDARTexarkana,16,11733.06,8058,7378.81
DRG178,PID450200,RIDARTexarkana,26,25106.76,8859.73,8182.3
DRG178,PID450801,RIDARTexarkana,60,36060.51,7607.65,6826.36
DRG189,PID450200,RIDARTexarkana,13,24798.07,7950,6963.23
DRG189,PID450801,RIDARTexarkana,74,36004.6,6875.31,6098.78
DRG190,PID40091,RIDARTexarkana,17,16249,6746,5508.35
DRG190,PID370048,RIDARTexarkana,15,10561.33,6949.73,6126
DRG190,PID450200,RIDARTexarkana,32,31183.78,7162.87,6228.15
DRG190,PID450615,RIDARTexarkana,12,17268.41,7169.58,5898.75
DRG190,PID450801,RIDARTexarkana,119,33794.08,6381.07,5487.67
DRG191,PID40091,RIDARTexarkana,17,13318.58,5505.23,4776.52
DRG191,PID370048,RIDARTexarkana,18,9180.27,5555.05,4119.83
DRG191,PID450200,RIDARTexarkana,46,20267.97,5917.89,4865.15
DRG191,PID450801,RIDARTexarkana,99,27879.04,5697.14,4114.37
DRG192,PID370048,RIDARTexarkana,24,7126.7,4318.16,3481.16
DRG192,PID450200,RIDARTexarkana,26,17926.92,4718.46,3207.69
DRG192,PID450615,RIDARTexarkana,20,12949.25,4503.6,3670.6
DRG192,PID450801,RIDARTexarkana,54,23558.94,3856.55,2874.12
DRG193,PID370048,RIDARTexarkana,25,16350.88,8549.2,7752.24
DRG193,PID450200,RIDARTexarkana,36,32774.02,8945.77,8300.41
DRG193,PID450801,RIDARTexarkana,83,41426.87,7962.27,6805.98
DRG194,PID40091,RIDARTexarkana,54,16745.09,5809.14,5071.48
DRG194,PID370048,RIDARTexarkana,87,10100.67,5883.39,5056.64
DRG194,PID450200,RIDARTexarkana,70,24000.42,6278.42,5341.72
DRG194,PID450615,RIDARTexarkana,43,15326.2,6148.86,5467.37
DRG194,PID450801,RIDARTexarkana,120,28177.93,5578.14,4449.45
DRG195,PID40091,RIDARTexarkana,18,11906.05,4107.61,3169.61
DRG195,PID370048,RIDARTexarkana,37,7927.75,4274.21,3413.1
