drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID30065,RIDAZMesa,25,29718.48,7551.4,4846.36
DRG039,PID30105,RIDAZMesa,64,43823.2,6291.95,4788.12
DRG057,PID30036,RIDAZMesa,12,31522.83,5780.41,4845.08
DRG057,PID30065,RIDAZMesa,15,33059.06,6781.33,5771.06
DRG057,PID30088,RIDAZMesa,59,23655.3,5515.64,4568.05
DRG064,PID30036,RIDAZMesa,33,56245.78,12109.78,10928.66
DRG064,PID30065,RIDAZMesa,21,43082.8,12209.09,11457.47
DRG064,PID30088,RIDAZMesa,58,41964,10726.51,9836.44
DRG064,PID30119,RIDAZMesa,12,76190.58,11956.08,11115.08
DRG064,PID30121,RIDAZMesa,13,70469.92,19548,9190.38
DRG069,PID30036,RIDAZMesa,30,34225.53,4920.13,3595.93
DRG065,PID30036,RIDAZMesa,50,39587.98,6890.98,5716.28
DRG065,PID30065,RIDAZMesa,28,29370.92,7782,6121.17
DRG065,PID30088,RIDAZMesa,122,26353.75,6614.09,5388.34
DRG065,PID30119,RIDAZMesa,25,40877.4,7127.56,6297.56
DRG065,PID30121,RIDAZMesa,20,39209.95,7887.2,7046.2
DRG065,PID30122,RIDAZMesa,13,33412.07,7834.3,5809.07
DRG066,PID30036,RIDAZMesa,26,30465.76,5521.11,4080.88
DRG066,PID30065,RIDAZMesa,25,24509.44,5798.24,4144.96
DRG066,PID30088,RIDAZMesa,99,23976.41,4943.16,3835.27
DRG066,PID30119,RIDAZMesa,18,34076.61,5501.44,3905.5
DRG066,PID30121,RIDAZMesa,16,30801.25,6940.25,4161.18
DRG069,PID30065,RIDAZMesa,62,23885.45,5150.98,3688.11
DRG069,PID30088,RIDAZMesa,218,24392.38,4547.84,3327.46
DRG069,PID30119,RIDAZMesa,26,32239.42,4653.84,3529.65
DRG069,PID30121,RIDAZMesa,26,23728.5,5859.69,3846.84
DRG069,PID30122,RIDAZMesa,28,29496.1,4585.07,3580.07
DRG074,PID30065,RIDAZMesa,16,24533,5793.37,5087.87
DRG074,PID30088,RIDAZMesa,35,24154.6,5277.02,4259.82
DRG074,PID30119,RIDAZMesa,13,32221.46,5355.15,4990
DRG101,PID30036,RIDAZMesa,22,25975.31,5275.77,3661.81
DRG101,PID30065,RIDAZMesa,20,23595.1,5737.25,3688.8
DRG101,PID30088,RIDAZMesa,58,24186.68,4766.18,3624.41
DRG101,PID30119,RIDAZMesa,14,31924.57,4825.35,3862.78
DRG101,PID30121,RIDAZMesa,16,25246.81,5149.25,4449.75
DRG149,PID30036,RIDAZMesa,11,34949.81,4314.54,2978.18
DRG149,PID30065,RIDAZMesa,32,20359.34,4293.81,3309.31
DRG149,PID30088,RIDAZMesa,55,23200.3,3891.65,2831.16
DRG149,PID30121,RIDAZMesa,19,22995.31,4308.1,3305.36
DRG149,PID30122,RIDAZMesa,14,25432.35,4011.14,3050
DRG176,PID30036,RIDAZMesa,23,53374.69,8836.04,5259.65
DRG176,PID30065,RIDAZMesa,18,31460.27,7285.11,6471.11
DRG176,PID30088,RIDAZMesa,38,36933.89,6604.02,5381.47
DRG176,PID30105,RIDAZMesa,15,36021.2,6129.53,5282.4
DRG176,PID30119,RIDAZMesa,19,44521.05,7025.1,5498.89
DRG177,PID30036,RIDAZMesa,21,57280.57,13203.76,11761.66
DRG177,PID30065,RIDAZMesa,56,46393.71,13808.14,13142.76
DRG177,PID30088,RIDAZMesa,62,44698.33,11653.03,10497.96
DRG177,PID30119,RIDAZMesa,29,68502.34,12598.34,11823.17
DRG177,PID30122,RIDAZMesa,25,36072.48,11933.56,11256.92
DRG178,PID30036,RIDAZMesa,18,59447.83,10733.61,10110
DRG178,PID30065,RIDAZMesa,35,33816,9664.4,8892.74
DRG178,PID30088,RIDAZMesa,45,33114.31,9133.86,7638.53
DRG178,PID30119,RIDAZMesa,18,50665.55,9578.77,7858.38
DRG178,PID30121,RIDAZMesa,15,64444.4,9807,9090.06
DRG178,PID30122,RIDAZMesa,16,38203.56,9034.5,8399.75
DRG189,PID30036,RIDAZMesa,38,54656.18,9050.31,7300.76
DRG189,PID30065,RIDAZMesa,72,33627.91,8793.47,7712.69
DRG189,PID30088,RIDAZMesa,77,30950.85,7661.28,6974.06
DRG189,PID30119,RIDAZMesa,38,47900.1,8253.94,6846.52
DRG189,PID30121,RIDAZMesa,13,43847.38,8292.92,7947.07
DRG189,PID30122,RIDAZMesa,40,32588.55,8190.92,6958.95
DRG190,PID30036,RIDAZMesa,55,45746.52,7701.52,6551.78
DRG190,PID30065,RIDAZMesa,52,30731.53,8247.38,7020.57
DRG190,PID30088,RIDAZMesa,147,29131.78,7012.93,6226.29
DRG190,PID30119,RIDAZMesa,45,49765.84,7632.62,6370.95
DRG190,PID30121,RIDAZMesa,49,31059.24,8901.32,6835.79
DRG190,PID30122,RIDAZMesa,37,27834.97,7778.81,6265.94
DRG190,PID30126,RIDAZMesa,24,23649.91,7611,6953.33
DRG191,PID30036,RIDAZMesa,45,37561.44,6275.13,5451.4
DRG191,PID30065,RIDAZMesa,54,25462.22,6619.12,5482.2
DRG191,PID30088,RIDAZMesa,167,24701.77,6035.02,4849.96
DRG191,PID30119,RIDAZMesa,44,37290.52,6069.97,5299.47
DRG191,PID30120,RIDAZMesa,19,22301.05,6060.89,5233.52
DRG191,PID30121,RIDAZMesa,46,25158.26,7436.43,5533.13
DRG191,PID30122,RIDAZMesa,45,31068.62,6308.02,4690.06
DRG191,PID30126,RIDAZMesa,33,22147.39,6214,5531.81
DRG192,PID30036,RIDAZMesa,28,30754.96,4872.32,3449.82
DRG192,PID30065,RIDAZMesa,21,20310.38,5061.95,3504.42
DRG192,PID30088,RIDAZMesa,69,18767.42,4349.33,3282.46
DRG192,PID30119,RIDAZMesa,32,28303.93,4434.43,3300.78
DRG192,PID30120,RIDAZMesa,15,14831.2,4701.06,3342.33
DRG192,PID30121,RIDAZMesa,38,21465.31,5360.63,3798.65
DRG192,PID30122,RIDAZMesa,13,23273.38,5633.46,2614.61
DRG192,PID30126,RIDAZMesa,26,16353.61,4583.5,3631.8
DRG193,PID30036,RIDAZMesa,57,60668.4,9677.96,8759.35
DRG193,PID30065,RIDAZMesa,78,33141.8,9891.91,8452.62
DRG193,PID30088,RIDAZMesa,100,34375.5,8704.78,7985.37
DRG193,PID30119,RIDAZMesa,49,51624.14,9033.67,8114.2
DRG193,PID30121,RIDAZMesa,32,58734.34,10221.81,9518.28
DRG193,PID30122,RIDAZMesa,26,35493.65,9533.5,7376.92
DRG194,PID30036,RIDAZMesa,99,38291.24,6616.44,5563.48
DRG194,PID30065,RIDAZMesa,62,25351,6761.01,5668.33
DRG194,PID30088,RIDAZMesa,133,25807.84,6060.48,5125.07
DRG194,PID30119,RIDAZMesa,63,43654.92,6687.19,5312.71
DRG194,PID30120,RIDAZMesa,40,21819.15,6438.67,5177.3
DRG194,PID30121,RIDAZMesa,74,35930.32,7142.1,5793.56
DRG194,PID30122,RIDAZMesa,23,28515.17,6686.04,4853.56
DRG194,PID30126,RIDAZMesa,29,21319.06,6517.93,5443.72
DRG195,PID30036,RIDAZMesa,28,28597.1,5222.89,3497.96
DRG195,PID30065,RIDAZMesa,27,19210.81,4950.85,3462.55
DRG195,PID30088,RIDAZMesa,72,19389.56,4240.93,3257.98
DRG195,PID30119,RIDAZMesa,37,27033.51,4440.35,3433.32
DRG195,PID30121,RIDAZMesa,39,20884.94,5356.89,3626.51
DRG202,PID30036,RIDAZMesa,12,26435.58,5617.5,4125.25
DRG202,PID30065,RIDAZMesa,23,21364.95,5843.13,4816.73
DRG202,PID30088,RIDAZMesa,37,28944.43,5088.24,4048.43
DRG202,PID30122,RIDAZMesa,13,28690.84,6733.61,3586.76
DRG203,PID30065,RIDAZMesa,12,17036.58,4084.58,3151.91
DRG203,PID30088,RIDAZMesa,17,12968.47,3638.05,2707.7
DRG203,PID30119,RIDAZMesa,11,30118.72,3928.18,2527.45
DRG207,PID30088,RIDAZMesa,11,164934.9,36492,31513.18
DRG208,PID30036,RIDAZMesa,19,81581.84,15485.15,13412.26
DRG208,PID30065,RIDAZMesa,25,70231.4,16046,15375.72
DRG208,PID30088,RIDAZMesa,73,59477.01,13572.87,12542.93
DRG208,PID30105,RIDAZMesa,13,56363,12839.61,12496.23
DRG208,PID30119,RIDAZMesa,16,115502.62,17306.43,16679.68
DRG208,PID30121,RIDAZMesa,23,82179.69,15576.52,14796
DRG208,PID30122,RIDAZMesa,14,60223.64,14152,13516.57
DRG208,PID30126,RIDAZMesa,32,57875.53,14841.25,12876.84
DRG238,PID30065,RIDAZMesa,36,79111.08,21847.94,17913.38
DRG238,PID30105,RIDAZMesa,72,114753.19,18253.27,16373.84
DRG238,PID30121,RIDAZMesa,12,106873.33,20717.5,19876.5
DRG238,PID30126,RIDAZMesa,13,114509.61,19679,18810.69
DRG243,PID30036,RIDAZMesa,23,78482.17,16968.56,16138.82
DRG243,PID30065,RIDAZMesa,13,53503.76,17134.53,16099.46
DRG243,PID30105,RIDAZMesa,64,76104.81,14806.48,14072.1
DRG243,PID30119,RIDAZMesa,20,75244.05,17038.95,14864.55
DRG243,PID30121,RIDAZMesa,14,102643.35,17824.14,17101
DRG244,PID30065,RIDAZMesa,14,45186.64,13604.14,12804.71
DRG244,PID30105,RIDAZMesa,47,64278.78,12060.29,10729.72
DRG244,PID30119,RIDAZMesa,18,77740.05,13506.88,11139.61
DRG244,PID30121,RIDAZMesa,12,90189,13755.58,12725.91
DRG246,PID30036,RIDAZMesa,20,121644.3,20963.05,19507.4
DRG246,PID30065,RIDAZMesa,12,85239.66,23862.5,22927.16
DRG246,PID30105,RIDAZMesa,18,93490.77,20932.16,15692.88
DRG246,PID30119,RIDAZMesa,15,135869.93,20828.66,19854
DRG246,PID30121,RIDAZMesa,14,142530,35900.5,19243.07
DRG246,PID30126,RIDAZMesa,22,119741.04,20248.59,19432.59
DRG247,PID30036,RIDAZMesa,36,94925.86,14115.77,11198.16
DRG247,PID30065,RIDAZMesa,45,66018.24,14168.68,10991.48
DRG247,PID30105,RIDAZMesa,97,86972.64,12509.88,9567.98
DRG247,PID30119,RIDAZMesa,24,96951.7,13192.87,10823.58
DRG247,PID30121,RIDAZMesa,63,96017.09,18949.61,11550.03
DRG247,PID30126,RIDAZMesa,66,89676.48,12881.19,11104.51
DRG249,PID30036,RIDAZMesa,28,75109.96,11567,10687.85
DRG249,PID30065,RIDAZMesa,29,53545.89,12685.82,10522.48
DRG249,PID30105,RIDAZMesa,50,73932.56,10892.58,8899.68
DRG249,PID30121,RIDAZMesa,11,100479.18,19395.18,10203.09
DRG251,PID30036,RIDAZMesa,12,77416.91,13034.66,9081.33
DRG251,PID30065,RIDAZMesa,20,67470.35,12476.95,11573
DRG251,PID30105,RIDAZMesa,56,89535.25,10660.71,9493.01
DRG251,PID30119,RIDAZMesa,21,72428.33,11293.66,9205.66
DRG251,PID30121,RIDAZMesa,17,85260.29,12104.47,11252
DRG252,PID30036,RIDAZMesa,18,113368.11,20213.27,19322.44
DRG252,PID30065,RIDAZMesa,36,74653.08,22576.38,21827.97
DRG252,PID30088,RIDAZMesa,15,59479.2,17521.8,16999.93
DRG252,PID30105,RIDAZMesa,32,87986.81,16836.06,16378.18
DRG252,PID30119,RIDAZMesa,14,133559,21789.85,21028.57
DRG253,PID30036,RIDAZMesa,11,106015.81,17729.09,14574
DRG253,PID30065,RIDAZMesa,17,50536.47,16207.52,15480.7
DRG253,PID30105,RIDAZMesa,64,81480.03,14304.2,12659.89
DRG253,PID30121,RIDAZMesa,12,109256.25,16165.5,15418.83
DRG254,PID30065,RIDAZMesa,19,43046.89,11952.84,8867.15
DRG254,PID30105,RIDAZMesa,32,59171.81,9349.68,8064.21
