drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID30002,RIDAZPhoenix,11,34803.81,7768.9,6951.45
DRG039,PID30007,RIDAZPhoenix,18,28571.61,9133,8008.11
DRG039,PID30012,RIDAZPhoenix,28,26771.78,7140.85,6133.57
DRG039,PID30013,RIDAZPhoenix,20,29967.8,6978.75,5969.55
DRG039,PID30023,RIDAZPhoenix,15,27349.4,11026.33,9056.06
DRG039,PID30024,RIDAZPhoenix,18,59443.83,8487.44,7422.66
DRG039,PID30030,RIDAZPhoenix,42,24714.66,7673.21,6541.92
DRG039,PID30038,RIDAZPhoenix,13,37706,6590.23,5473
DRG039,PID30062,RIDAZPhoenix,17,15931.52,10000.82,7321.64
DRG039,PID30069,RIDAZPhoenix,36,25259.66,6605.19,5665.41
DRG039,PID30087,RIDAZPhoenix,27,39165.92,6051.18,5174.25
DRG039,PID30089,RIDAZPhoenix,15,26776.33,6907.06,5854.8
DRG039,PID30092,RIDAZPhoenix,11,24560,7079.36,5204.54
DRG039,PID30094,RIDAZPhoenix,13,32998,7046,6264.76
DRG039,PID30103,RIDAZPhoenix,25,29774.12,7768.76,5674.2
DRG057,PID30002,RIDAZPhoenix,19,25171.21,7310.1,5919.05
DRG057,PID30013,RIDAZPhoenix,21,22938.47,6294.95,5494
DRG057,PID30014,RIDAZPhoenix,13,21874,6015.84,5152.46
DRG057,PID30024,RIDAZPhoenix,38,39356.13,8403.94,7665.1
DRG057,PID30038,RIDAZPhoenix,15,37891.86,7239.6,6420.13
DRG057,PID30087,RIDAZPhoenix,16,26638.18,5555.31,4550.12
DRG057,PID30089,RIDAZPhoenix,14,27149.85,6820.85,4994.71
DRG057,PID30103,RIDAZPhoenix,17,21302.23,6843.7,6158.64
DRG064,PID30002,RIDAZPhoenix,68,39281.2,14087.13,12601.57
DRG064,PID30007,RIDAZPhoenix,12,52007.16,16236.16,15298.16
DRG064,PID30012,RIDAZPhoenix,14,39680.85,13217.42,12570.57
DRG064,PID30013,RIDAZPhoenix,40,41207.02,12754.35,11647.8
DRG064,PID30014,RIDAZPhoenix,58,39404.06,11928.31,11039.89
DRG064,PID30023,RIDAZPhoenix,17,67063.29,20742.17,19887.76
DRG064,PID30024,RIDAZPhoenix,100,43432.43,15845.98,14974.54
DRG064,PID30030,RIDAZPhoenix,21,50672.95,14025.71,13170.85
DRG064,PID30038,RIDAZPhoenix,64,46129.5,12025.6,11183.12
DRG064,PID30089,RIDAZPhoenix,29,38251.55,11998.41,10526.27
DRG064,PID30092,RIDAZPhoenix,12,51027.41,11680.25,9645.91
DRG064,PID30103,RIDAZPhoenix,34,32689.17,12270.55,11445.73
DRG064,PID30115,RIDAZPhoenix,12,42125.83,12182.58,11430.58
DRG069,PID30030,RIDAZPhoenix,19,21987.52,5530.68,4524.57
DRG065,PID30002,RIDAZPhoenix,60,32731.96,8873.66,7628.51
DRG065,PID30007,RIDAZPhoenix,26,41700.73,10206.23,8743.53
DRG065,PID30012,RIDAZPhoenix,33,20543.63,7823.54,6868.87
DRG065,PID30013,RIDAZPhoenix,76,27027.92,7759.61,6707.98
DRG065,PID30014,RIDAZPhoenix,34,28999.32,7164.32,6238.67
DRG065,PID30016,RIDAZPhoenix,11,19834.27,7654.18,6839.63
