drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID30061,RIDAZSunCity,62,38149.85,6048.61,4951.9
DRG039,PID30093,RIDAZSunCity,12,54050.58,6061.5,5312.16
DRG057,PID30061,RIDAZSunCity,42,26047.38,5425.95,4044.69
DRG057,PID30093,RIDAZSunCity,25,28950.8,5774.84,4499.28
DRG064,PID30061,RIDAZSunCity,53,51202.03,10442.28,9553.07
DRG064,PID30093,RIDAZSunCity,26,45719.46,10730.03,9869.11
DRG065,PID30061,RIDAZSunCity,91,34606.15,6798.53,5654.01
DRG065,PID30093,RIDAZSunCity,81,35559.48,7001.69,5721.45
DRG066,PID30061,RIDAZSunCity,40,28484.4,4702.15,3776.25
DRG066,PID30093,RIDAZSunCity,75,29228.66,4902.77,3867.74
DRG069,PID30061,RIDAZSunCity,136,25693.8,4272.49,3355.5
DRG069,PID30093,RIDAZSunCity,141,25436.41,4417.45,3328.07
DRG074,PID30061,RIDAZSunCity,27,24489.37,4998.29,4121.4
DRG074,PID30093,RIDAZSunCity,20,30060.2,5128.65,4227.85
DRG101,PID30061,RIDAZSunCity,37,26217.54,4658.45,3463.97
DRG101,PID30093,RIDAZSunCity,28,25646.5,4492.75,3486.6
DRG149,PID30061,RIDAZSunCity,51,22844.62,3758.35,2623.47
DRG149,PID30093,RIDAZSunCity,47,24657.38,3804.25,2848.34
DRG176,PID30061,RIDAZSunCity,27,43232.59,6456,5654.85
DRG176,PID30093,RIDAZSunCity,37,34064.48,6372,5405.94
DRG177,PID30061,RIDAZSunCity,61,61980.34,11794.93,10864.19
DRG177,PID30093,RIDAZSunCity,43,57983.81,12115.72,11491.37
DRG178,PID30061,RIDAZSunCity,41,37439.17,8758.82,7677.63
DRG178,PID30093,RIDAZSunCity,44,42161.9,8992.93,7736.97
DRG189,PID30061,RIDAZSunCity,73,36337.89,7566.42,6772.21
DRG189,PID30093,RIDAZSunCity,32,40097.78,7752.18,7084.06
DRG190,PID30061,RIDAZSunCity,106,35695.1,6971.74,6143.28
DRG190,PID30093,RIDAZSunCity,81,39192.51,7116.38,6465.48
DRG191,PID30061,RIDAZSunCity,93,29445.02,5653.65,4881.47
DRG191,PID30093,RIDAZSunCity,83,29609.08,5783.84,5022.93
DRG192,PID30061,RIDAZSunCity,74,23865.41,4311.77,3235.1
DRG192,PID30093,RIDAZSunCity,63,21814.01,4558.95,3257.17
DRG193,PID30061,RIDAZSunCity,64,44140.42,8794.4,7481.2
DRG193,PID30093,RIDAZSunCity,69,47421.55,8559.71,7845.27
DRG194,PID30061,RIDAZSunCity,120,31599.91,5903.15,4957.55
DRG194,PID30093,RIDAZSunCity,104,32892.11,6452.12,5004.15
DRG195,PID30061,RIDAZSunCity,50,22974.92,4230.48,3046.88
DRG195,PID30093,RIDAZSunCity,58,23821.91,4256.96,3159.37
DRG202,PID30061,RIDAZSunCity,45,25199.31,4898.75,4022.57
DRG202,PID30093,RIDAZSunCity,25,31769.08,5015.52,4113.76
DRG203,PID30061,RIDAZSunCity,21,17988.09,4122.33,2283.9
DRG203,PID30093,RIDAZSunCity,23,24512.26,3620.95,2543.73
DRG207,PID30061,RIDAZSunCity,18,166350.38,28465.5,27871.61
DRG207,PID30093,RIDAZSunCity,19,154775.63,34650.05,29998.47
DRG208,PID30061,RIDAZSunCity,54,68628.94,13764.27,12651.96
DRG208,PID30093,RIDAZSunCity,42,86939.95,14992.83,13683.42
DRG238,PID30061,RIDAZSunCity,44,77547.61,18348.93,16569.86
DRG238,PID30093,RIDAZSunCity,12,88146.16,16948.66,16008
DRG243,PID30061,RIDAZSunCity,49,67842.08,15703.08,14290.67
DRG243,PID30093,RIDAZSunCity,16,62734.12,15783,14804.5
DRG244,PID30061,RIDAZSunCity,90,59734.48,12138.04,10654.24
DRG244,PID30093,RIDAZSunCity,19,57336.52,12817.94,10566.15
DRG246,PID30061,RIDAZSunCity,27,90644.11,18428,17553.48
DRG246,PID30093,RIDAZSunCity,17,90630,18921.82,18200.64
DRG247,PID30061,RIDAZSunCity,157,67927.28,11691.19,10191.03
DRG247,PID30093,RIDAZSunCity,65,68399.92,11737.63,10683.66
DRG249,PID30061,RIDAZSunCity,15,71456.2,10275.4,9298.6
DRG249,PID30093,RIDAZSunCity,19,67643.36,10565.57,9503.26
DRG251,PID30061,RIDAZSunCity,48,64918.5,10430.54,9678.54
DRG252,PID30061,RIDAZSunCity,14,54885.85,17240.57,16602.85
DRG252,PID30093,RIDAZSunCity,17,88821.52,18199.94,17539.64
