drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID30006,RIDAZTucson,40,24474.75,6799.85,5764.87
DRG039,PID30010,RIDAZTucson,12,35968.5,6506.5,5379.83
DRG039,PID30011,RIDAZTucson,42,26294.52,6083.42,4903.33
DRG039,PID30100,RIDAZTucson,14,25757.64,5976,3592.85
DRG057,PID30006,RIDAZTucson,17,27065.23,6697.23,5841
DRG057,PID30011,RIDAZTucson,19,19274.15,5395.26,4629.15
DRG057,PID30064,RIDAZTucson,17,25252.58,8863.7,8074.05
DRG064,PID30006,RIDAZTucson,33,37287.87,12014.27,10883.09
DRG064,PID30010,RIDAZTucson,27,60768.37,13459.62,11710.74
DRG064,PID30011,RIDAZTucson,53,39619.58,11117.75,10271.26
DRG064,PID30064,RIDAZTucson,33,51664.36,18884.06,17242.63
DRG064,PID30085,RIDAZTucson,28,44873.07,10321.42,9400.71
DRG065,PID30006,RIDAZTucson,49,24039.71,7760.73,6890.04
DRG065,PID30010,RIDAZTucson,54,31633.4,7302.14,6385.11
DRG065,PID30011,RIDAZTucson,79,25671.59,6872.32,5772.44
DRG065,PID30043,RIDAZTucson,12,19982.83,9206.5,8265.83
DRG065,PID30064,RIDAZTucson,35,29793.68,11687.77,10535.85
DRG065,PID30085,RIDAZTucson,55,35990.03,6618.45,5542.32
DRG065,PID30114,RIDAZTucson,12,31559.33,5979,4949.33
DRG066,PID30006,RIDAZTucson,26,20523.88,5646.84,4739.92
DRG066,PID30010,RIDAZTucson,33,24986.15,5108.51,4187.18
DRG066,PID30011,RIDAZTucson,43,19327.88,4855.13,3891.51
DRG066,PID30064,RIDAZTucson,28,23921.57,8357.85,7413.42
DRG066,PID30085,RIDAZTucson,32,30588.28,4866.84,3916.71
DRG066,PID30114,RIDAZTucson,16,25704.06,4481.68,3493.18
DRG069,PID30006,RIDAZTucson,59,18275.15,5302.3,3654.22
DRG069,PID30010,RIDAZTucson,43,23649.81,4667.23,3776.62
DRG069,PID30011,RIDAZTucson,64,18121.1,4321.09,3372.46
DRG069,PID30043,RIDAZTucson,16,13842.12,5738.25,4822.5
DRG069,PID30064,RIDAZTucson,13,24893.61,7474.53,6526.53
DRG069,PID30085,RIDAZTucson,37,28194.13,4340.62,3365.05
DRG074,PID30006,RIDAZTucson,16,21194.43,5941.81,5098.81
DRG074,PID30010,RIDAZTucson,11,24772,5503,4582.63
DRG074,PID30011,RIDAZTucson,18,18102.94,5069.55,4005.77
DRG101,PID30006,RIDAZTucson,45,20266.26,5296.26,4221.88
DRG101,PID30010,RIDAZTucson,24,16577.25,4851.83,3783.29
DRG101,PID30011,RIDAZTucson,39,21789.46,4540.97,3455.25
DRG101,PID30064,RIDAZTucson,50,21010.42,7733.16,6586.36
DRG101,PID30085,RIDAZTucson,13,25459.92,4744.84,3309.3
DRG149,PID30006,RIDAZTucson,19,16239.31,4453.15,3272.73
DRG149,PID30010,RIDAZTucson,12,24976.66,4069.83,3137.16
DRG149,PID30011,RIDAZTucson,17,15574.17,3791.7,2802.29
DRG149,PID30064,RIDAZTucson,13,14653.76,6168.3,4940.07
DRG149,PID30085,RIDAZTucson,11,21037.09,3789.72,2772.27
DRG176,PID30006,RIDAZTucson,19,21234.31,7531,6155.73
DRG176,PID30010,RIDAZTucson,25,23534.4,6382.72,5393.28
DRG176,PID30011,RIDAZTucson,22,27816.18,6240.04,5471.13
DRG176,PID30043,RIDAZTucson,23,20369.26,8866.04,6958.6
DRG176,PID30064,RIDAZTucson,25,18650.56,10127.56,8827.08
DRG176,PID30068,RIDAZTucson,11,21828.63,10778,10066.36
DRG176,PID30085,RIDAZTucson,30,30063.86,6340.13,5037.7
DRG176,PID30114,RIDAZTucson,15,30215.73,5796.6,4977.13
DRG177,PID30006,RIDAZTucson,34,45543.64,13831.38,13285.79
DRG177,PID30010,RIDAZTucson,20,42848.1,12924.25,11911.85
DRG177,PID30011,RIDAZTucson,24,59692.08,12296.91,11644.58
DRG177,PID30064,RIDAZTucson,38,81300.13,23912,22644.78
DRG177,PID30085,RIDAZTucson,38,50887.47,12176.5,11805.81
DRG177,PID30114,RIDAZTucson,11,42550,11297.45,10382.9
DRG178,PID30006,RIDAZTucson,25,32903.32,10354.04,9590.36
DRG178,PID30010,RIDAZTucson,13,27401.3,9432.15,8738
DRG178,PID30011,RIDAZTucson,13,50349.23,8944,7475.15
DRG178,PID30064,RIDAZTucson,18,35246.77,15574.83,13060.55
DRG178,PID30085,RIDAZTucson,38,35531.47,8585.1,7616.73
DRG178,PID30114,RIDAZTucson,20,35215.3,7874.75,6727
DRG189,PID30006,RIDAZTucson,39,24767.74,8770.87,8259.74
DRG189,PID30010,RIDAZTucson,71,32729.83,8200.97,7369.56
