drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG057,PID50043,RIDCAAlamedaCounty,31,53742.74,9778.87,9160.16
DRG057,PID50305,RIDCAAlamedaCounty,14,47130,9077.71,8440
DRG057,PID50488,RIDCAAlamedaCounty,26,33223.11,7901.15,7255.46
DRG064,PID50043,RIDCAAlamedaCounty,37,118717.16,19367.08,18515.59
DRG064,PID50195,RIDCAAlamedaCounty,50,170174.32,22851.8,22046.34
DRG064,PID50283,RIDCAAlamedaCounty,19,103419.42,14847.05,14193.36
DRG064,PID50305,RIDCAAlamedaCounty,29,141245.27,22991.75,22352.68
DRG064,PID50488,RIDCAAlamedaCounty,71,83857.12,18388.98,16430.35
DRG065,PID50043,RIDCAAlamedaCounty,62,62737.59,11782.62,10968.75
DRG065,PID50075,RIDCAAlamedaCounty,30,26691.03,10047.33,9072.66
DRG065,PID50195,RIDCAAlamedaCounty,46,85715.26,11142.39,10275.39
DRG065,PID50211,RIDCAAlamedaCounty,11,34666.9,10059,9241.54
DRG065,PID50283,RIDCAAlamedaCounty,27,65153.18,9410.74,8500.22
DRG065,PID50305,RIDCAAlamedaCounty,57,61149.14,12126.26,11237.07
DRG065,PID50488,RIDCAAlamedaCounty,73,58963.94,11011.2,10068.79
DRG065,PID50512,RIDCAAlamedaCounty,12,30092.58,9005,8064.33
DRG069,PID50195,RIDCAAlamedaCounty,27,55730.03,7226.85,6349.96
DRG066,PID50043,RIDCAAlamedaCounty,16,47944,8474.87,7488.37
DRG066,PID50195,RIDCAAlamedaCounty,19,55222.78,7825.94,6700.68
DRG066,PID50305,RIDCAAlamedaCounty,24,40661.41,8787.58,7803.75
DRG066,PID50488,RIDCAAlamedaCounty,28,71343.21,8887.96,7924.5
DRG069,PID50002,RIDCAAlamedaCounty,17,77641.47,8739.58,7813.05
DRG069,PID50043,RIDCAAlamedaCounty,57,41117.33,7544.56,6420.77
DRG069,PID50305,RIDCAAlamedaCounty,55,36563.6,7897.47,6937.1
DRG069,PID50488,RIDCAAlamedaCounty,64,38973.78,6607.75,5615.9
DRG074,PID50002,RIDCAAlamedaCounty,12,79342.08,10323.83,9218.83
DRG074,PID50043,RIDCAAlamedaCounty,17,45602.88,8949.23,8153.94
DRG074,PID50195,RIDCAAlamedaCounty,31,65240.51,8446.06,7903.48
DRG074,PID50283,RIDCAAlamedaCounty,14,54944.42,7218,6288.14
DRG074,PID50305,RIDCAAlamedaCounty,13,33148.53,9325.46,8633.76
DRG074,PID50488,RIDCAAlamedaCounty,12,47770.83,7784.16,7220.83
DRG101,PID50043,RIDCAAlamedaCounty,21,48922.57,7918.19,7115.71
DRG101,PID50195,RIDCAAlamedaCounty,24,83878.08,7479.54,6776.04
DRG101,PID50305,RIDCAAlamedaCounty,14,46361.14,8131.28,7253.28
DRG101,PID50320,RIDCAAlamedaCounty,15,19854.6,10355.46,9756
DRG101,PID50488,RIDCAAlamedaCounty,35,53225.91,6892,6023.31
DRG149,PID50002,RIDCAAlamedaCounty,17,44167.94,7040.88,5986.76
DRG149,PID50043,RIDCAAlamedaCounty,18,38426.16,6674.05,5673.16
DRG149,PID50195,RIDCAAlamedaCounty,13,45287.07,6267.38,5227.38
DRG149,PID50305,RIDCAAlamedaCounty,20,36078.55,6941.75,5871.15
DRG149,PID50488,RIDCAAlamedaCounty,15,33970.53,5782.66,4879.2
DRG176,PID50043,RIDCAAlamedaCounty,18,66981.94,10996.77,10184.55
DRG176,PID50195,RIDCAAlamedaCounty,13,77522.84,10280.84,9564.92
DRG177,PID50002,RIDCAAlamedaCounty,51,193382.21,25984.6,24892.88
DRG177,PID50043,RIDCAAlamedaCounty,32,103556,19439.53,18785.25
DRG177,PID50195,RIDCAAlamedaCounty,50,212674.78,26602.96,26020.06
DRG177,PID50211,RIDCAAlamedaCounty,17,69255.82,16863.29,16336.23
DRG177,PID50283,RIDCAAlamedaCounty,73,125687.15,18210.05,17579.95
DRG177,PID50305,RIDCAAlamedaCounty,21,87294.9,19847.9,19231.8
DRG177,PID50488,RIDCAAlamedaCounty,48,58427.27,16381.25,15718.35
DRG178,PID50002,RIDCAAlamedaCounty,54,120330.98,17670.55,17028.4
DRG178,PID50043,RIDCAAlamedaCounty,27,68532.51,13561.44,13061.88
DRG178,PID50195,RIDCAAlamedaCounty,55,119370.45,14563.2,13768.34
DRG178,PID50211,RIDCAAlamedaCounty,20,52562.6,12560.8,11999.6
DRG178,PID50283,RIDCAAlamedaCounty,19,101522.57,12677.94,11848.89
DRG178,PID50305,RIDCAAlamedaCounty,26,61161.53,15546.42,14939.34
DRG178,PID50320,RIDCAAlamedaCounty,12,50161.33,20463,19755.58
DRG178,PID50488,RIDCAAlamedaCounty,41,51073.68,12402.58,11823.56
DRG189,PID50002,RIDCAAlamedaCounty,17,112236.23,16722.23,16124.88
DRG189,PID50043,RIDCAAlamedaCounty,54,100484.68,16781.35,15678.44
DRG189,PID50195,RIDCAAlamedaCounty,26,128686.46,12818.46,12066.34
DRG189,PID50211,RIDCAAlamedaCounty,23,50801.86,11010.47,10508.78
DRG189,PID50283,RIDCAAlamedaCounty,32,80114.25,10731.37,9922.75
DRG189,PID50305,RIDCAAlamedaCounty,28,106779,14957.39,14272.39
DRG189,PID50488,RIDCAAlamedaCounty,56,58127.94,11682.83,10762.53
DRG189,PID50512,RIDCAAlamedaCounty,11,29525.72,10470.72,9859.09
DRG190,PID50002,RIDCAAlamedaCounty,57,89568.14,13422.42,12753.36
DRG190,PID50043,RIDCAAlamedaCounty,55,69587.81,12063.78,10999.34
DRG190,PID50195,RIDCAAlamedaCounty,62,120635.46,13617.61,12917.85
DRG190,PID50211,RIDCAAlamedaCounty,15,37036,10204.86,9456.6
DRG190,PID50283,RIDCAAlamedaCounty,30,60010.56,9801.96,8940.5
DRG190,PID50305,RIDCAAlamedaCounty,39,61185.58,12688.2,11824
DRG190,PID50320,RIDCAAlamedaCounty,13,43836.53,16142.46,15537.84
DRG190,PID50488,RIDCAAlamedaCounty,53,49016.2,10573.86,9794.37
DRG191,PID50002,RIDCAAlamedaCounty,59,77502.32,11164.5,10390.27
DRG191,PID50043,RIDCAAlamedaCounty,66,55716.56,10019.62,9252.53
DRG191,PID50195,RIDCAAlamedaCounty,80,80638.52,9433.88,8749.67
DRG191,PID50283,RIDCAAlamedaCounty,24,72658.95,8165,7461.5
DRG191,PID50305,RIDCAAlamedaCounty,44,58259.09,10415.68,9613.27
DRG191,PID50320,RIDCAAlamedaCounty,20,22994.55,13327,12879
DRG191,PID50488,RIDCAAlamedaCounty,66,40443.19,8535.8,7764.06
DRG192,PID50002,RIDCAAlamedaCounty,42,46079.07,7951.16,7228.78
DRG192,PID50043,RIDCAAlamedaCounty,34,43770.64,8332.76,6428.76
DRG192,PID50195,RIDCAAlamedaCounty,32,58793.56,7089.81,6242.81
DRG192,PID50211,RIDCAAlamedaCounty,12,23213.91,6007.41,5066.75
DRG192,PID50305,RIDCAAlamedaCounty,17,45288.52,7892.76,7234.41
DRG192,PID50320,RIDCAAlamedaCounty,28,19647.75,10119.03,9353.17
DRG192,PID50488,RIDCAAlamedaCounty,35,28502.62,6548.97,5545.48
DRG193,PID50002,RIDCAAlamedaCounty,12,79138.66,16299.08,15735.75
DRG193,PID50043,RIDCAAlamedaCounty,47,86546.44,16974.36,16370.97
DRG193,PID50075,RIDCAAlamedaCounty,11,49769.81,13068,12147.63
DRG193,PID50195,RIDCAAlamedaCounty,59,146422.83,17006.83,16172.32
DRG193,PID50211,RIDCAAlamedaCounty,36,54676.25,12416.02,11821.25
DRG193,PID50283,RIDCAAlamedaCounty,76,103389.61,12761.27,11858.98
DRG193,PID50305,RIDCAAlamedaCounty,25,97855.32,16168.96,15448.32
DRG193,PID50488,RIDCAAlamedaCounty,60,57279.31,12730.28,11871.2
DRG194,PID50002,RIDCAAlamedaCounty,28,58185.25,10996.64,10164.32
DRG194,PID50043,RIDCAAlamedaCounty,78,48929.07,10174.14,9219.6
DRG194,PID50195,RIDCAAlamedaCounty,113,88480.19,10039.95,9251.96
DRG194,PID50211,RIDCAAlamedaCounty,54,34236.22,8567.72,7796.24
DRG194,PID50283,RIDCAAlamedaCounty,45,56339.55,8622.57,7280.62
DRG194,PID50305,RIDCAAlamedaCounty,53,49823.45,10619.2,9724.66
DRG194,PID50320,RIDCAAlamedaCounty,19,29255.89,13549.52,13015
DRG194,PID50488,RIDCAAlamedaCounty,66,42129.36,9171.96,7724.95
DRG195,PID50043,RIDCAAlamedaCounty,12,32366.66,7298.66,6172
DRG195,PID50195,RIDCAAlamedaCounty,29,56619.37,6952.1,5867.96
DRG195,PID50211,RIDCAAlamedaCounty,24,28165.87,6109.79,5124.62
DRG195,PID50283,RIDCAAlamedaCounty,12,37209.66,6547.75,4513.91
DRG195,PID50305,RIDCAAlamedaCounty,13,37596.92,8120.53,5814
DRG195,PID50488,RIDCAAlamedaCounty,23,35827.43,6439.43,5186.34
DRG202,PID50002,RIDCAAlamedaCounty,14,58229.57,9285,8317
DRG202,PID50043,RIDCAAlamedaCounty,13,47992.3,8848.84,8152.23
DRG202,PID50195,RIDCAAlamedaCounty,33,73330.36,8279.42,7357.12
DRG202,PID50305,RIDCAAlamedaCounty,24,48818.25,9416.29,8076.33
DRG202,PID50488,RIDCAAlamedaCounty,27,35319.7,7618.48,6702.03
DRG203,PID50195,RIDCAAlamedaCounty,20,42656.15,5971.8,5016
DRG203,PID50488,RIDCAAlamedaCounty,13,22631.61,5503.38,4635.07
DRG207,PID50002,RIDCAAlamedaCounty,13,355395.53,63218,61552.84
DRG207,PID50043,RIDCAAlamedaCounty,15,308096.8,56649.2,55259.4
DRG207,PID50195,RIDCAAlamedaCounty,11,918023.18,119113,113462.09
DRG207,PID50283,RIDCAAlamedaCounty,15,329367.33,55695.6,44236.4
DRG207,PID50488,RIDCAAlamedaCounty,17,252426.64,49201.41,47372.11
DRG208,PID50002,RIDCAAlamedaCounty,29,164133.48,26304.86,23385.1
DRG208,PID50043,RIDCAAlamedaCounty,26,172090.11,24551.65,23817.61
DRG208,PID50195,RIDCAAlamedaCounty,26,275926.15,29468.42,28884.34
DRG208,PID50283,RIDCAAlamedaCounty,11,155621.09,20273.63,19353.18
DRG208,PID50305,RIDCAAlamedaCounty,16,149653.31,26374.56,25566.87
DRG208,PID50320,RIDCAAlamedaCounty,15,87334.73,34221.6,33704
DRG208,PID50488,RIDCAAlamedaCounty,34,80790.5,20089,19285.38
DRG238,PID50043,RIDCAAlamedaCounty,11,150205.81,31264.63,30350.09
DRG238,PID50195,RIDCAAlamedaCounty,14,303920.57,36598.07,35800.85
DRG243,PID50043,RIDCAAlamedaCounty,23,114847.69,26326.52,25349.13
DRG243,PID50195,RIDCAAlamedaCounty,14,195480.71,26036.78,25392.21
DRG243,PID50305,RIDCAAlamedaCounty,13,136236.3,28428.3,27569.84
DRG244,PID50043,RIDCAAlamedaCounty,28,76410.85,20557.07,19713.78
DRG244,PID50195,RIDCAAlamedaCounty,12,141617.16,20031.58,19104.25
DRG244,PID50305,RIDCAAlamedaCounty,17,129030.88,22128.88,21071
DRG246,PID50002,RIDCAAlamedaCounty,12,202996.41,35050.66,34487.33
DRG246,PID50043,RIDCAAlamedaCounty,29,169856.24,33093.24,32163.06
DRG246,PID50195,RIDCAAlamedaCounty,20,248371.5,34643.2,33862
DRG247,PID50002,RIDCAAlamedaCounty,19,152171.94,21706.36,20698.57
DRG247,PID50043,RIDCAAlamedaCounty,71,102263.57,21050.12,18449.78
DRG247,PID50195,RIDCAAlamedaCounty,44,181587.02,19532.93,18638.27
DRG247,PID50283,RIDCAAlamedaCounty,15,123996.53,16323.86,14495.73
DRG247,PID50305,RIDCAAlamedaCounty,12,117640.83,21126.16,20096.5
DRG249,PID50043,RIDCAAlamedaCounty,19,106505.05,17878.05,16814.05
DRG251,PID50043,RIDCAAlamedaCounty,37,90693.94,18524.1,16162.64
DRG251,PID50305,RIDCAAlamedaCounty,11,87924.09,21487.18,16502.63
DRG252,PID50043,RIDCAAlamedaCounty,41,141412.53,30395.43,29631.75
DRG252,PID50195,RIDCAAlamedaCounty,28,329471.67,42308.35,41345
DRG252,PID50305,RIDCAAlamedaCounty,11,113306.45,31956.36,31216.81
DRG252,PID50488,RIDCAAlamedaCounty,36,106156.55,27411.41,26862.47
DRG253,PID50043,RIDCAAlamedaCounty,18,170357.27,26185.72,25686.22
DRG253,PID50195,RIDCAAlamedaCounty,26,217953.07,26883.3,25893.03
DRG253,PID50488,RIDCAAlamedaCounty,12,98887.75,21742,21176
DRG254,PID50043,RIDCAAlamedaCounty,15,127230.13,16277.4,15382.46
DRG280,PID50002,RIDCAAlamedaCounty,25,124255.44,19285.64,18747.4
DRG280,PID50043,RIDCAAlamedaCounty,26,89660.46,19199.11,18419.11
DRG280,PID50195,RIDCAAlamedaCounty,20,157858.2,19516,18901.5
DRG280,PID50211,RIDCAAlamedaCounty,26,47716.11,14938.38,14376.07
DRG280,PID50283,RIDCAAlamedaCounty,17,107075.64,15182.58,14322.58
DRG280,PID50305,RIDCAAlamedaCounty,19,61672.63,18288.31,17478.78
DRG280,PID50488,RIDCAAlamedaCounty,38,72812.28,15345.47,14811.78
DRG281,PID50002,RIDCAAlamedaCounty,14,97442.07,16081.78,11625.5
DRG281,PID50043,RIDCAAlamedaCounty,23,62925.21,12342.78,11466.6
DRG281,PID50195,RIDCAAlamedaCounty,13,108668.53,11699.15,10925.3
DRG281,PID50211,RIDCAAlamedaCounty,15,32605.73,9738.4,8988
DRG281,PID50488,RIDCAAlamedaCounty,22,48468.04,9574.5,8398.18
DRG282,PID50043,RIDCAAlamedaCounty,11,43919.36,8337.36,7517
DRG286,PID50002,RIDCAAlamedaCounty,30,149234.63,22645.13,21840.16
DRG286,PID50043,RIDCAAlamedaCounty,11,84019.63,20780.27,16900.63
DRG286,PID50283,RIDCAAlamedaCounty,13,158838.76,20428.38,15767.53
DRG287,PID50002,RIDCAAlamedaCounty,41,88770.97,12444.31,10903.31
DRG287,PID50043,RIDCAAlamedaCounty,32,52908.43,11140.4,10260.03
DRG287,PID50195,RIDCAAlamedaCounty,48,91761.56,10679,9742.33
DRG287,PID50283,RIDCAAlamedaCounty,21,92747.9,9158,8354
DRG287,PID50305,RIDCAAlamedaCounty,11,83560.63,13126.45,12203.09
DRG291,PID50002,RIDCAAlamedaCounty,62,122506.3,18346.98,17820.48
DRG291,PID50043,RIDCAAlamedaCounty,96,73638.95,15202.28,14347.37
DRG291,PID50075,RIDCAAlamedaCounty,21,37954.23,13740.04,13150.09
DRG291,PID50195,RIDCAAlamedaCounty,51,142054.54,16909.68,16298.78
DRG291,PID50211,RIDCAAlamedaCounty,23,39871.39,12603.95,12200.69
DRG291,PID50264,RIDCAAlamedaCounty,11,69642.72,12986.27,12486.27
DRG291,PID50283,RIDCAAlamedaCounty,72,91198.22,12905.43,12154.75
DRG291,PID50305,RIDCAAlamedaCounty,57,94863.56,17397.71,15052.68
DRG291,PID50320,RIDCAAlamedaCounty,20,38733.75,20638.7,20046.35
DRG291,PID50488,RIDCAAlamedaCounty,104,56518.22,14442.41,12741.9
DRG292,PID50002,RIDCAAlamedaCounty,55,78032.83,12121.41,11385.27
DRG292,PID50043,RIDCAAlamedaCounty,110,45034.9,10452.31,9664.86
DRG292,PID50075,RIDCAAlamedaCounty,35,32775.2,9006.74,8153.31
DRG292,PID50195,RIDCAAlamedaCounty,119,82887.07,10048.06,9300.51
DRG292,PID50211,RIDCAAlamedaCounty,27,33949.66,8882,8048.22
DRG292,PID50264,RIDCAAlamedaCounty,22,42565.95,8884.36,8334.36
DRG292,PID50283,RIDCAAlamedaCounty,44,81303.47,8886.11,8223.02
DRG292,PID50305,RIDCAAlamedaCounty,71,52573.28,11145.91,10386.47
DRG292,PID50320,RIDCAAlamedaCounty,21,39353.04,14995.52,14353.23
DRG292,PID50488,RIDCAAlamedaCounty,94,45214.34,9216.48,8462.23
DRG292,PID50512,RIDCAAlamedaCounty,27,21324.33,8028.96,7197.55
DRG293,PID50002,RIDCAAlamedaCounty,19,58849,8008.94,6565.05
DRG293,PID50043,RIDCAAlamedaCounty,46,36911.8,7139.13,6225.13
DRG293,PID50075,RIDCAAlamedaCounty,14,17046.92,5929.42,5213.14
DRG293,PID50195,RIDCAAlamedaCounty,27,53254.18,6656,5949.18
DRG293,PID50211,RIDCAAlamedaCounty,12,19127,5768.33,4827.66
DRG293,PID50283,RIDCAAlamedaCounty,11,44298.81,5740.9,4614.72
DRG293,PID50305,RIDCAAlamedaCounty,19,36426.42,7363.15,6775.78
DRG293,PID50320,RIDCAAlamedaCounty,21,21536.61,9581.8,8777.8
DRG293,PID50488,RIDCAAlamedaCounty,22,24292.13,6990.63,5177.81
DRG300,PID50043,RIDCAAlamedaCounty,18,64956.27,10236.11,9355.66
DRG300,PID50195,RIDCAAlamedaCounty,18,75055.44,9596.33,8984.94
DRG300,PID50488,RIDCAAlamedaCounty,15,36371.86,8571.66,7821.26
DRG303,PID50002,RIDCAAlamedaCounty,33,38514.42,6645.72,5379.72
DRG303,PID50195,RIDCAAlamedaCounty,15,52321.26,5725.8,4830.86
DRG303,PID50488,RIDCAAlamedaCounty,24,24345.66,5271.54,4569.37
DRG305,PID50195,RIDCAAlamedaCounty,13,47622.38,6028.07,5157.3
DRG308,PID50002,RIDCAAlamedaCounty,16,119378.25,15971.18,15106.56
DRG308,PID50043,RIDCAAlamedaCounty,44,55593.5,12724.18,11811.7
DRG308,PID50195,RIDCAAlamedaCounty,23,106736.34,13247.13,12292.91
DRG308,PID50283,RIDCAAlamedaCounty,19,79272.05,10635.47,9627.68
DRG308,PID50305,RIDCAAlamedaCounty,19,59978,13418.36,12617.42
DRG308,PID50488,RIDCAAlamedaCounty,37,62182.51,12008.56,11355.1
DRG309,PID50002,RIDCAAlamedaCounty,20,55432.4,9241.5,8229.1
DRG309,PID50043,RIDCAAlamedaCounty,42,43756.11,8705.57,7903.85
DRG309,PID50195,RIDCAAlamedaCounty,43,74118.16,8234.2,7371.41
DRG309,PID50211,RIDCAAlamedaCounty,15,22622.73,7231,6403
DRG309,PID50283,RIDCAAlamedaCounty,19,64758.15,7032.84,6194.36
DRG309,PID50305,RIDCAAlamedaCounty,35,37864.4,9204.65,7988.65
DRG309,PID50488,RIDCAAlamedaCounty,53,35588.5,7488.52,6546.9
DRG310,PID50002,RIDCAAlamedaCounty,22,38879.68,6123.95,5224.68
DRG310,PID50043,RIDCAAlamedaCounty,42,27819.09,5905.59,4968.35
DRG310,PID50195,RIDCAAlamedaCounty,30,52777.36,5603.2,4590.8
DRG310,PID50305,RIDCAAlamedaCounty,24,27658.5,6365.12,5034.79
DRG310,PID50488,RIDCAAlamedaCounty,30,26639.8,5157.63,4224.96
