drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50036,RIDCABakersfield,21,53334.8,8012.23,6213.19
DRG039,PID50057,RIDCABakersfield,52,30686.01,7562.26,6247.48
DRG039,PID50295,RIDCABakersfield,11,48852.45,7049.09,5825.81
DRG057,PID50057,RIDCABakersfield,25,34588.28,7680.44,6729.96
DRG057,PID50261,RIDCABakersfield,11,20552.27,7617.63,6903.09
DRG057,PID50455,RIDCABakersfield,27,32546.59,7024.55,6152.4
DRG064,PID50036,RIDCABakersfield,31,85285.19,14595.32,13726.16
DRG064,PID50057,RIDCABakersfield,51,55684.45,14326.86,13567.37
DRG064,PID50261,RIDCABakersfield,20,42831.55,14930.95,13804.55
DRG064,PID50295,RIDCABakersfield,16,86176.12,12889.68,11431.68
DRG064,PID50359,RIDCABakersfield,13,26582.76,14660,13963.38
DRG064,PID50455,RIDCABakersfield,52,62943.38,14060.71,13219.69
DRG064,PID50724,RIDCABakersfield,12,68832.66,12054.91,11022.58
DRG065,PID50036,RIDCABakersfield,41,55820.19,8756.92,7843.24
DRG065,PID50057,RIDCABakersfield,88,35254.51,8889.27,8044.18
DRG065,PID50261,RIDCABakersfield,44,27478.22,9452.4,8532.77
DRG065,PID50295,RIDCABakersfield,21,39945.71,7942.47,6234
DRG065,PID50359,RIDCABakersfield,12,22651.66,9639,9078.33
DRG065,PID50455,RIDCABakersfield,63,40801.17,8935.61,7665.96
DRG065,PID50608,RIDCABakersfield,11,43118.09,11215,10303.36
DRG065,PID50724,RIDCABakersfield,20,41133.65,7586,6630.2
DRG066,PID50036,RIDCABakersfield,29,41933.37,6570.96,5010.72
DRG066,PID50057,RIDCABakersfield,49,22720.44,6326,5408.44
DRG066,PID50261,RIDCABakersfield,33,25007.57,7708.42,5702
DRG066,PID50295,RIDCABakersfield,18,40067.16,5622.66,4558.88
DRG066,PID50359,RIDCABakersfield,19,15240.73,6680.57,5909.42
DRG066,PID50455,RIDCABakersfield,25,24725.48,6317.6,5329.12
DRG066,PID50724,RIDCABakersfield,12,35960.41,5569.83,4020.83
DRG069,PID50036,RIDCABakersfield,28,32857.25,5646.42,4542.28
DRG069,PID50057,RIDCABakersfield,72,19935.3,5656.27,4586
DRG069,PID50261,RIDCABakersfield,16,22110.18,6062.5,5007.25
DRG069,PID50295,RIDCABakersfield,11,39114.81,5016.54,3990.36
DRG069,PID50359,RIDCABakersfield,14,14791.85,6040,4924
DRG069,PID50455,RIDCABakersfield,85,26691.09,5605.87,4665.96
DRG069,PID50724,RIDCABakersfield,19,34423.52,4873.57,3699
DRG074,PID50036,RIDCABakersfield,12,35093.58,6619,5678.33
DRG074,PID50455,RIDCABakersfield,14,30360.5,6929.85,5451
DRG101,PID50036,RIDCABakersfield,20,35653.9,5866.2,4970.2
DRG101,PID50057,RIDCABakersfield,21,24414.61,5879,5070.42
DRG101,PID50295,RIDCABakersfield,16,38630.06,5828.81,4139.75
DRG101,PID50455,RIDCABakersfield,35,28403.34,5791.62,4949.02
DRG176,PID50057,RIDCABakersfield,20,39703.7,8624.4,7135.3
DRG177,PID50036,RIDCABakersfield,25,108086.96,15947.68,14728.4
DRG177,PID50057,RIDCABakersfield,21,61495.04,15947,15252.33
DRG177,PID50295,RIDCABakersfield,13,65104.84,14134.38,13345.38
DRG177,PID50455,RIDCABakersfield,15,91843.26,16786,16259.93
DRG177,PID50724,RIDCABakersfield,22,86758.86,13148.81,12652.59
DRG178,PID50036,RIDCABakersfield,26,54952.69,11316.3,10452.92
DRG178,PID50057,RIDCABakersfield,19,43162.52,11422.21,10667.63
DRG178,PID50261,RIDCABakersfield,12,40668.75,12346.33,11594.33
DRG178,PID50295,RIDCABakersfield,15,58925.4,10204.06,9384.6
DRG178,PID50455,RIDCABakersfield,14,58048.28,11437.92,9966.5
DRG178,PID50724,RIDCABakersfield,13,50384.76,9075.69,8536.38
DRG189,PID50057,RIDCABakersfield,36,60448.13,10031.38,9248.83
DRG189,PID50261,RIDCABakersfield,25,66206.56,10613,9938.92
DRG189,PID50359,RIDCABakersfield,27,35346.81,10372.37,9872.81
DRG189,PID50455,RIDCABakersfield,37,58274.54,9859.78,9033
DRG190,PID50036,RIDCABakersfield,103,62212.24,9711.39,8291.16
DRG190,PID50057,RIDCABakersfield,66,53140.1,10074.92,9212.96
DRG190,PID50261,RIDCABakersfield,61,37888.49,9777.19,9076.21
DRG190,PID50295,RIDCABakersfield,49,44331.51,8137.14,7111.77
DRG190,PID50359,RIDCABakersfield,26,25392.11,9387.96,8741.03
DRG190,PID50455,RIDCABakersfield,64,43844.14,9005,8203.71
DRG190,PID50608,RIDCABakersfield,17,29945.52,12088.05,9973.82
DRG190,PID50724,RIDCABakersfield,52,39322.55,7617.03,6815.88
DRG191,PID50036,RIDCABakersfield,55,44704.92,7637.81,6588.96
DRG191,PID50057,RIDCABakersfield,71,34571.9,7512,6690.59
DRG191,PID50257,RIDCABakersfield,22,16700.45,8932.81,8296.18
DRG191,PID50261,RIDCABakersfield,25,35387.28,8596.56,6916.12
DRG191,PID50295,RIDCABakersfield,32,38752.03,6879.09,5699.28
DRG191,PID50455,RIDCABakersfield,54,38640.94,7401.57,6572.59
DRG191,PID50724,RIDCABakersfield,20,43410.9,6342.55,5669.75
DRG192,PID50036,RIDCABakersfield,53,34442.24,5888.54,4399.18
DRG192,PID50057,RIDCABakersfield,71,26214.42,5571,4650.5
DRG192,PID50257,RIDCABakersfield,11,11712.63,6742.36,5922
DRG192,PID50261,RIDCABakersfield,45,26456.26,6054.73,4868.13
DRG192,PID50295,RIDCABakersfield,30,28173.6,5442.83,3745.46
DRG192,PID50359,RIDCABakersfield,37,21302.02,5907.78,5086.91
DRG192,PID50455,RIDCABakersfield,48,30303.6,5415.18,4663.85
DRG192,PID50608,RIDCABakersfield,12,21288.41,7093.83,6158.5
DRG192,PID50724,RIDCABakersfield,13,31425.23,4754,3798.61
DRG193,PID50036,RIDCABakersfield,52,77561.65,11781.98,10920.96
DRG193,PID50057,RIDCABakersfield,69,50172.92,11375.2,10631.95
DRG193,PID50261,RIDCABakersfield,48,43985.02,12196.45,11442.06
DRG193,PID50295,RIDCABakersfield,60,59052.68,9988.31,9257.85
DRG193,PID50359,RIDCABakersfield,27,47871.14,11831.03,11256.92
DRG193,PID50455,RIDCABakersfield,37,60865.56,11147.54,10155.27
DRG193,PID50724,RIDCABakersfield,30,55277.23,9644.93,8819.06
DRG194,PID50036,RIDCABakersfield,53,47565.47,7776.13,7035.83
DRG194,PID50057,RIDCABakersfield,185,34482.5,8049.18,6880.91
DRG194,PID50257,RIDCABakersfield,14,24266.78,9809.28,8845.85
DRG194,PID50261,RIDCABakersfield,77,45377.57,8806.18,7564.05
DRG194,PID50295,RIDCABakersfield,76,44367.38,7049.38,5960.73
DRG194,PID50359,RIDCABakersfield,67,31741.37,8465.19,7536.58
DRG194,PID50455,RIDCABakersfield,49,42864.34,7669.32,6879.51
DRG194,PID50546,RIDCABakersfield,11,30766,12416,12116.18
DRG194,PID50724,RIDCABakersfield,39,39487.84,7113.12,5522.71
DRG195,PID50036,RIDCABakersfield,29,34989.24,5833.86,4265
DRG195,PID50057,RIDCABakersfield,123,24941.7,5497.43,4470.94
DRG195,PID50261,RIDCABakersfield,81,27761.97,6036.24,4834.91
DRG195,PID50295,RIDCABakersfield,31,30289.51,5376.83,3827.22
DRG195,PID50359,RIDCABakersfield,55,21011.96,5825.16,4968.29
DRG195,PID50455,RIDCABakersfield,20,28711,5335,4184.15
DRG195,PID50546,RIDCABakersfield,37,27848.59,7525.97,6947
DRG195,PID50724,RIDCABakersfield,25,33813.28,4660.92,3848.44
DRG202,PID50057,RIDCABakersfield,30,31040.36,6575.46,5340.96
DRG202,PID50261,RIDCABakersfield,13,31788.84,6856.23,5538.61
DRG202,PID50295,RIDCABakersfield,13,28711.07,5772.23,4816.84
DRG202,PID50455,RIDCABakersfield,13,28401.61,6432,5653.23
DRG203,PID50295,RIDCABakersfield,11,30388,5870.36,3070.72
DRG203,PID50455,RIDCABakersfield,13,29248.38,4643,3772.23
DRG207,PID50036,RIDCABakersfield,17,223979.11,38295.05,37453.58
DRG207,PID50057,RIDCABakersfield,21,146980.23,41232.52,40331.14
DRG207,PID50261,RIDCABakersfield,31,146837.06,39464.74,38694.96
DRG207,PID50295,RIDCABakersfield,26,206064.19,35841.5,35367.46
DRG207,PID50359,RIDCABakersfield,15,121909.46,42279.73,40548.33
DRG207,PID50455,RIDCABakersfield,21,250293.09,42847.19,41975.8
DRG207,PID50608,RIDCABakersfield,14,110119.92,46180.71,44892.92
DRG207,PID50724,RIDCABakersfield,22,167273.13,33895.18,33485
DRG208,PID50036,RIDCABakersfield,25,124323.44,17916.72,17154.64
DRG208,PID50057,RIDCABakersfield,72,71704.68,17365.45,16627.04
DRG208,PID50261,RIDCABakersfield,27,70182.25,18753.55,18172.51
DRG208,PID50295,RIDCABakersfield,46,91948.71,15391.23,14402.56
DRG208,PID50455,RIDCABakersfield,47,96135.85,17399.12,16586.36
DRG208,PID50608,RIDCABakersfield,14,52101.28,22267.07,21424.28
DRG208,PID50724,RIDCABakersfield,38,77321.28,14739.52,14001.52
DRG238,PID50036,RIDCABakersfield,26,131114.34,23785.69,22510.07
DRG238,PID50057,RIDCABakersfield,23,82263.91,24245.78,20278.91
DRG243,PID50057,RIDCABakersfield,33,90334.63,20999.42,20149.6
DRG243,PID50455,RIDCABakersfield,12,90814.5,20241,19300.33
DRG243,PID50724,RIDCABakersfield,14,79847.92,17455,16736.42
DRG244,PID50036,RIDCABakersfield,17,91880.11,16144.52,13752.11
DRG244,PID50057,RIDCABakersfield,44,65817.4,16211.43,14385.2
DRG244,PID50359,RIDCABakersfield,11,60850.27,16946.63,15923.45
DRG244,PID50455,RIDCABakersfield,15,76422.86,15814.8,14917.73
DRG244,PID50724,RIDCABakersfield,14,68326.57,13431,12622.42
DRG246,PID50036,RIDCABakersfield,13,149787.46,27976.38,23671
DRG246,PID50057,RIDCABakersfield,60,118753.08,25125.1,23532.28
DRG246,PID50455,RIDCABakersfield,23,91303.26,24435.78,23658.04
DRG246,PID50724,RIDCABakersfield,20,132185.8,22363,21468.6
DRG247,PID50036,RIDCABakersfield,33,88103.63,15108.3,13052.57
DRG247,PID50057,RIDCABakersfield,238,69578.6,16017.45,13512.9
DRG247,PID50455,RIDCABakersfield,61,65392.8,15278.4,13922.57
DRG247,PID50724,RIDCABakersfield,122,75664.95,13295.3,11879.59
DRG249,PID50036,RIDCABakersfield,17,96088,13614.41,12754.41
DRG249,PID50455,RIDCABakersfield,18,59583.61,13730.83,11369.22
DRG249,PID50724,RIDCABakersfield,32,67560.09,11711.37,10550.75
DRG251,PID50057,RIDCABakersfield,32,70679.18,13883,13081.37
DRG251,PID50455,RIDCABakersfield,15,53287.66,13738,12765.46
DRG251,PID50724,RIDCABakersfield,24,61993.41,11847,10956.16
DRG252,PID50036,RIDCABakersfield,25,125256.52,24325.52,21570.28
DRG252,PID50057,RIDCABakersfield,31,128649.83,25594,24073.58
DRG252,PID50295,RIDCABakersfield,11,90515.72,20409.09,19897.45
DRG252,PID50724,RIDCABakersfield,13,74710.84,17737.23,16781.84
DRG253,PID50036,RIDCABakersfield,18,128391.61,19881.94,19199.05
DRG253,PID50057,RIDCABakersfield,21,81525.47,19387.9,16173.8
DRG254,PID50036,RIDCABakersfield,19,91640.31,12167.21,10941.84
DRG254,PID50057,RIDCABakersfield,32,45482.31,13307.93,10630.46
DRG254,PID50295,RIDCABakersfield,11,87264.81,11066.72,10252.18
DRG280,PID50036,RIDCABakersfield,17,96605.47,14400,13652.76
DRG280,PID50057,RIDCABakersfield,20,83236.95,15733.15,15116.95
DRG280,PID50261,RIDCABakersfield,27,57816.96,15325,14779.96
DRG280,PID50359,RIDCABakersfield,12,45212.16,13866.08,13122.08
DRG280,PID50455,RIDCABakersfield,11,78094.72,14736.54,14222
DRG280,PID50724,RIDCABakersfield,18,60337.55,11455,10583.44
DRG281,PID50036,RIDCABakersfield,13,42290.69,9157.46,8214.38
DRG281,PID50057,RIDCABakersfield,24,52041.25,9214.5,8370.83
DRG281,PID50261,RIDCABakersfield,13,35840.38,9745.84,9143.69
DRG281,PID50724,RIDCABakersfield,17,48535.88,7767.05,6777.64
DRG282,PID50057,RIDCABakersfield,17,32824.82,6188.76,5399.11
DRG282,PID50261,RIDCABakersfield,29,22837.37,6536.06,6150.13
DRG282,PID50359,RIDCABakersfield,11,25062.54,6607,5686.63
DRG282,PID50724,RIDCABakersfield,12,51167,6145.75,3832.5
DRG286,PID50036,RIDCABakersfield,21,74955.8,15363,14764.19
DRG286,PID50057,RIDCABakersfield,16,59063.25,15443,14808.25
DRG286,PID50724,RIDCABakersfield,38,55929.31,13487.52,11920.57
DRG287,PID50036,RIDCABakersfield,48,46417.97,9183.54,6787.52
DRG287,PID50057,RIDCABakersfield,148,37683.5,8533.35,7282.33
DRG287,PID50359,RIDCABakersfield,19,27773.52,8988,8094.31
DRG287,PID50455,RIDCABakersfield,81,37214.27,8598.17,7139.43
DRG287,PID50724,RIDCABakersfield,111,42326.29,7292.38,6158.39
DRG291,PID50036,RIDCABakersfield,87,75162.82,12847.72,11571.96
