drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50039,RIDCAChico,56,42446.3,6967.73,5966.62
DRG039,PID50225,RIDCAChico,12,60022.58,7122,6278.33
DRG057,PID50030,RIDCAChico,11,21153.09,6728.36,5805.09
DRG057,PID50039,RIDCAChico,12,28830.41,6164.91,5140.58
DRG064,PID50030,RIDCAChico,19,40582.63,14664.63,11947.57
DRG064,PID50039,RIDCAChico,65,54174.67,12060.96,11214.5
DRG065,PID50030,RIDCAChico,28,30233.21,8911.71,7992.14
DRG065,PID50039,RIDCAChico,71,42688.4,7407.88,6376.5
DRG065,PID50042,RIDCAChico,13,29193.61,8487.69,7370.46
DRG065,PID50225,RIDCAChico,35,72312.4,7914.14,6979.85
DRG066,PID50039,RIDCAChico,36,32656.19,5581.5,4518.61
DRG066,PID50042,RIDCAChico,24,24019.12,6450,5462.16
DRG066,PID50225,RIDCAChico,24,58592.95,5727.91,4599.91
DRG069,PID50030,RIDCAChico,18,27558.77,5652.11,4785.33
DRG069,PID50039,RIDCAChico,36,27837.55,5014.02,4011.36
DRG069,PID50225,RIDCAChico,13,52441.76,5079.46,4136.38
DRG074,PID50030,RIDCAChico,17,20392.82,6581,5654.41
DRG101,PID50030,RIDCAChico,20,23395.3,5819.1,5031.5
DRG101,PID50039,RIDCAChico,16,32306.25,5224.75,4450.5
DRG149,PID50030,RIDCAChico,37,16573.37,4883.89,3882.91
DRG149,PID50039,RIDCAChico,15,27968.06,4380.33,3261.13
DRG176,PID50039,RIDCAChico,24,43398.54,7326.45,6954.45
DRG176,PID50225,RIDCAChico,12,90143.83,7209.25,6554.25
DRG177,PID50030,RIDCAChico,17,65349.29,15694.64,15097.23
DRG177,PID50039,RIDCAChico,43,76491.62,13781.37,12946.39
DRG177,PID50042,RIDCAChico,11,50998.63,14513.45,13596
DRG177,PID50225,RIDCAChico,34,136933.11,14732.02,14074.61
DRG178,PID50030,RIDCAChico,12,46591.91,10398.83,9746.5
DRG178,PID50039,RIDCAChico,33,77721.6,10446.15,9800.21
DRG178,PID50225,RIDCAChico,22,96610,10264.45,9691.36
DRG189,PID50030,RIDCAChico,79,44233.56,9820.18,9286.08
DRG189,PID50039,RIDCAChico,111,43286.94,8917.45,8241.1
DRG189,PID50042,RIDCAChico,39,42261.25,10079,9300.23
DRG189,PID50225,RIDCAChico,25,89214.64,8957,8145.8
DRG190,PID50030,RIDCAChico,134,39715.96,9087.54,8357.5
DRG190,PID50039,RIDCAChico,134,44643.46,8294.12,7504.33
DRG190,PID50042,RIDCAChico,42,33941.5,9260.33,8271.47
DRG190,PID50225,RIDCAChico,41,75523.56,8026.73,7174.73
DRG191,PID50030,RIDCAChico,109,34290.55,7426.91,6784.02
DRG191,PID50039,RIDCAChico,95,32732.05,6612.02,5888.86
DRG191,PID50042,RIDCAChico,31,31682.35,7392.25,6445.93
DRG191,PID50225,RIDCAChico,25,69485.56,6796.4,6117.2
DRG192,PID50030,RIDCAChico,49,27100.93,5520.1,4718.71
DRG192,PID50039,RIDCAChico,80,27037.68,4899.82,4001.82
DRG192,PID50042,RIDCAChico,31,27275.64,5489.77,4583.06
DRG192,PID50225,RIDCAChico,11,54363.27,5039.27,4221.81
DRG193,PID50030,RIDCAChico,80,47346.02,11160.18,10445.73
DRG193,PID50039,RIDCAChico,110,61586.61,10257.13,9575.97
DRG193,PID50225,RIDCAChico,58,101680.06,10327.81,9165.36
DRG194,PID50030,RIDCAChico,63,36931.87,7718.98,6917.52
DRG194,PID50039,RIDCAChico,97,34859.74,6833.75,5989.09
DRG194,PID50042,RIDCAChico,41,33642.97,8152.97,6554.51
DRG194,PID50225,RIDCAChico,43,77601.04,6994.34,6236.86
DRG195,PID50030,RIDCAChico,22,28213.81,5418.04,4394.77
DRG195,PID50039,RIDCAChico,43,24258.51,4858.02,3970.39
DRG195,PID50042,RIDCAChico,21,20632.33,5933.85,4567.04
DRG195,PID50225,RIDCAChico,12,59373.75,4962,4018.66
DRG202,PID50030,RIDCAChico,12,34162.33,6442,5501.33
DRG202,PID50039,RIDCAChico,13,44313.46,5775.76,4909.92
DRG203,PID50030,RIDCAChico,11,26394.36,4650,3629.63
DRG207,PID50039,RIDCAChico,13,355680.15,60161.3,56167.3
DRG208,PID50030,RIDCAChico,27,83742.96,16525.81,15909.77
DRG208,PID50039,RIDCAChico,51,95286.76,15900.76,15224.5
DRG238,PID50039,RIDCAChico,29,115853.34,21217.31,20326.13
DRG243,PID50039,RIDCAChico,22,76607.31,17979.36,17322.09
DRG243,PID50225,RIDCAChico,20,167644.55,18244.3,17288.5
DRG244,PID50039,RIDCAChico,32,52898.06,13943.93,13106.93
DRG244,PID50225,RIDCAChico,16,155210.87,14264,13204.75
DRG246,PID50039,RIDCAChico,22,157800.77,23120,22406.9
DRG247,PID50039,RIDCAChico,96,90279.67,13501.45,12623.08
DRG249,PID50039,RIDCAChico,15,110690.33,12245.26,11279.2
DRG251,PID50039,RIDCAChico,34,103482.61,12335.5,11370.35
DRG252,PID50039,RIDCAChico,24,117135,21816.79,20971.91
DRG253,PID50039,RIDCAChico,33,77077.96,16467.84,15650.39
DRG254,PID50039,RIDCAChico,27,53083.66,11074.66,10200.14
DRG280,PID50030,RIDCAChico,17,42001.64,11940.29,11292.94
DRG280,PID50039,RIDCAChico,38,86356.55,12717.55,12022.55
DRG280,PID50225,RIDCAChico,28,147685.53,13143.21,12231.5
DRG281,PID50030,RIDCAChico,27,34056.85,8827.92,7112.29
DRG281,PID50039,RIDCAChico,28,52807.96,8037.71,7189.85
DRG281,PID50225,RIDCAChico,20,90395.2,8075.5,7287.9
DRG282,PID50030,RIDCAChico,25,21181.56,5916.16,5420.64
DRG282,PID50039,RIDCAChico,16,47453.31,5528.62,4548.12
DRG282,PID50225,RIDCAChico,15,59560.93,5308.66,4635.86
DRG286,PID50039,RIDCAChico,18,119043.77,14913.94,14049.55
DRG287,PID50039,RIDCAChico,71,64777.14,7521.19,6566.32
DRG287,PID50225,RIDCAChico,93,70882.47,7435.63,6554.3
DRG291,PID50030,RIDCAChico,81,41369.9,11229.83,10638.32
DRG291,PID50039,RIDCAChico,73,65502.71,10816.49,10168.73
DRG291,PID50042,RIDCAChico,18,38044.33,11197.5,10325.94
DRG291,PID50225,RIDCAChico,36,102879.61,10171.22,9483
DRG292,PID50030,RIDCAChico,96,30089.51,7873.63,7041.55
DRG292,PID50039,RIDCAChico,75,46326.42,7154.14,6480.49
DRG292,PID50042,RIDCAChico,34,33837.08,7813.79,6953.79
DRG292,PID50225,RIDCAChico,42,78180.61,7056.5,6334.11
DRG293,PID50030,RIDCAChico,50,24430.8,5209.36,4488.08
DRG293,PID50039,RIDCAChico,12,34167.41,4585.75,3742.08
DRG293,PID50042,RIDCAChico,16,25082.81,5392,4547
DRG293,PID50225,RIDCAChico,14,44540.85,4686.92,3807.78
DRG300,PID50039,RIDCAChico,23,34003.78,6494.95,5759.47
DRG303,PID50030,RIDCAChico,77,20233.74,4459.07,3670.79
DRG303,PID50225,RIDCAChico,28,48207.78,4085.32,3237.82
DRG305,PID50030,RIDCAChico,21,20867.38,4694,4054.76
DRG308,PID50030,RIDCAChico,41,51584.31,9376.6,8772.31
DRG308,PID50039,RIDCAChico,52,63393.11,8461.05,7626.63
DRG308,PID50225,RIDCAChico,18,89400.55,12371.83,7208.05
DRG309,PID50039,RIDCAChico,52,39929.21,5750.69,4822
DRG309,PID50030,RIDCAChico,42,25340.38,6422.33,5421.42
DRG309,PID50042,RIDCAChico,16,26789.93,6329.5,5557.25
DRG309,PID50225,RIDCAChico,49,65870.63,5854.79,5166.3
DRG310,PID50030,RIDCAChico,54,20255.61,4369.24,3521.77
DRG310,PID50039,RIDCAChico,38,26862.34,3914,2879.78
DRG310,PID50042,RIDCAChico,13,20359,4492,3454.46
DRG310,PID50225,RIDCAChico,20,45740.95,3978.25,3134.05
DRG312,PID50030,RIDCAChico,60,23427.96,5514.75,4698.31
DRG312,PID50039,RIDCAChico,38,32937.86,4917.23,4062.6
DRG312,PID50225,RIDCAChico,16,74636.75,5202.68,4501.18
DRG313,PID50030,RIDCAChico,111,18574.02,4206.21,3487.12
DRG313,PID50039,RIDCAChico,33,27594.96,3769.93,3030.63
DRG313,PID50225,RIDCAChico,53,48067.05,3838.88,2885
DRG314,PID50039,RIDCAChico,35,78305.57,13641.2,12975.54
DRG315,PID50039,RIDCAChico,11,53741.63,6526.81,6018.09
DRG329,PID50030,RIDCAChico,11,157817,37592.09,36768.81
DRG329,PID50039,RIDCAChico,47,177446.68,35753.19,34933.72
DRG330,PID50039,RIDCAChico,30,93729.83,18330.93,17467.33
DRG330,PID50042,RIDCAChico,17,101923.88,19813.05,18818
DRG330,PID50225,RIDCAChico,18,165249.83,19745.27,18679.72
DRG372,PID50030,RIDCAChico,14,25480.85,8902.21,7966.64
DRG372,PID50039,RIDCAChico,17,28024.58,8228.94,7635.29
DRG372,PID50225,RIDCAChico,16,79059.93,8510.43,8050.56
DRG377,PID50030,RIDCAChico,29,50524.72,13172.96,12524.62
DRG377,PID50039,RIDCAChico,44,62787.2,11763.79,11230.06
DRG377,PID50042,RIDCAChico,14,54332.85,12835.5,12036.07
DRG378,PID50030,RIDCAChico,57,33753.94,7754.1,7007.29
DRG378,PID50039,RIDCAChico,95,44853.4,7003.32,6269.54
DRG378,PID50042,RIDCAChico,27,31120.29,7874.33,6999.81
DRG378,PID50225,RIDCAChico,45,77249.15,7174.8,6374.8
DRG379,PID50030,RIDCAChico,17,25784,5390.82,4395.76
DRG389,PID50030,RIDCAChico,17,23270.11,7145,6418.17
DRG389,PID50039,RIDCAChico,28,39827.46,6301.6,5536.89
DRG389,PID50225,RIDCAChico,18,50990.38,6526.27,5839.83
DRG390,PID50030,RIDCAChico,14,19773,5034.57,3960.71
DRG390,PID50039,RIDCAChico,23,25099.26,4365.73,3635.82
DRG391,PID50030,RIDCAChico,29,37169.89,8827.17,8282.89
DRG391,PID50039,RIDCAChico,33,47492.96,7918.87,7139.6
DRG392,PID50030,RIDCAChico,150,26772.25,5573.06,4693.6
DRG392,PID50039,RIDCAChico,138,29928.69,4917.71,4135.8
DRG392,PID50042,RIDCAChico,14,35112.42,5942.21,4441.42
DRG392,PID50225,RIDCAChico,70,56140.37,5006.55,4170.67
DRG394,PID50039,RIDCAChico,23,34040.39,6817.08,6155.43
DRG394,PID50225,RIDCAChico,14,68242.92,6928.85,5884.57
DRG418,PID50039,RIDCAChico,14,74863.14,11651.57,11013.85
DRG418,PID50225,RIDCAChico,12,121247.91,11885,10755.66
DRG419,PID50039,RIDCAChico,13,44538.23,8019.69,6979.69
DRG439,PID50039,RIDCAChico,23,43893.91,7020.08,6113.08
DRG439,PID50225,RIDCAChico,15,66280,7055,6340.2
DRG460,PID50039,RIDCAChico,49,111316.26,26539.42,25511.59
DRG469,PID50039,RIDCAChico,29,96234.65,21551.06,20659.89
DRG469,PID50225,RIDCAChico,13,208051.84,23728.3,22772.92
DRG470,PID50030,RIDCAChico,72,71290.77,16136.54,14622
DRG470,PID50039,RIDCAChico,208,64381.75,14050.28,12979.94
