drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50180,RIDCAContraCostaCounty,20,85165.1,12355.85,6776.5
DRG039,PID50496,RIDCAContraCostaCounty,20,79033.5,8485,7582.6
DRG057,PID50180,RIDCAContraCostaCounty,24,78773.75,8477.91,7492.75
DRG057,PID50276,RIDCAContraCostaCounty,23,35616.6,19239.3,18363.08
DRG057,PID50496,RIDCAContraCostaCounty,11,85618.27,7522,6804.54
DRG057,PID50523,RIDCAContraCostaCounty,11,45380,8296.36,7273.09
DRG064,PID50180,RIDCAContraCostaCounty,72,162975.59,24440.79,21227.3
DRG064,PID50367,RIDCAContraCostaCounty,13,193551.84,20757.3,20152.69
DRG064,PID50496,RIDCAContraCostaCounty,25,135623.12,16165.84,15247.24
DRG064,PID50523,RIDCAContraCostaCounty,18,90729.66,18462.5,17838.94
DRG065,PID50072,RIDCAContraCostaCounty,11,29304.9,9411.09,8499.45
DRG065,PID50180,RIDCAContraCostaCounty,84,88194.48,10427.5,9244.77
DRG065,PID50367,RIDCAContraCostaCounty,30,93309.46,11220.5,10211.3
DRG065,PID50496,RIDCAContraCostaCounty,36,72412.16,9363.25,7898.22
DRG065,PID50523,RIDCAContraCostaCounty,25,54386.36,10695.96,9836.92
DRG065,PID50689,RIDCAContraCostaCounty,13,74140.15,8431.3,7475.92
DRG066,PID50180,RIDCAContraCostaCounty,29,58149.17,7111.86,4892
DRG066,PID50367,RIDCAContraCostaCounty,16,68953.56,8171.87,6119
DRG066,PID50496,RIDCAContraCostaCounty,14,69154.21,6684.07,5803.78
DRG069,PID50180,RIDCAContraCostaCounty,38,62601.68,6482.65,4683.18
DRG069,PID50367,RIDCAContraCostaCounty,22,61268,7374.18,6502.36
DRG069,PID50496,RIDCAContraCostaCounty,22,53357.81,6085.45,5110.72
DRG069,PID50523,RIDCAContraCostaCounty,43,37008.27,6769.23,5672.48
DRG069,PID50689,RIDCAContraCostaCounty,12,42686.16,5723.66,4877.33
DRG074,PID50496,RIDCAContraCostaCounty,13,73390,7198.53,6591.46
DRG074,PID50523,RIDCAContraCostaCounty,19,44376.52,7942.78,7175
DRG101,PID50180,RIDCAContraCostaCounty,23,63655.3,6067.21,5238.86
DRG101,PID50496,RIDCAContraCostaCounty,16,49359.75,6339.12,5496.12
DRG101,PID50523,RIDCAContraCostaCounty,24,38130.83,6971.04,6033.04
DRG149,PID50180,RIDCAContraCostaCounty,19,41581.63,5000,3990.52
DRG149,PID50496,RIDCAContraCostaCounty,11,49825,5313.36,4190.09
DRG176,PID50180,RIDCAContraCostaCounty,36,80959.69,9040.5,6006.83
DRG176,PID50367,RIDCAContraCostaCounty,14,129078.14,11375.14,9612.85
DRG176,PID50496,RIDCAContraCostaCounty,11,90027.27,8903,8082.63
DRG177,PID50180,RIDCAContraCostaCounty,58,162547.36,20515.75,19690.67
DRG177,PID50367,RIDCAContraCostaCounty,16,212249.75,34775.68,20510.56
DRG177,PID50496,RIDCAContraCostaCounty,49,144333.85,17050.04,16204.42
DRG177,PID50523,RIDCAContraCostaCounty,42,108055.59,20195.92,19552.11
DRG177,PID50689,RIDCAContraCostaCounty,20,104754.9,15717.6,13368.75
DRG178,PID50180,RIDCAContraCostaCounty,62,90046.72,11175.41,10449.24
DRG178,PID50367,RIDCAContraCostaCounty,19,130866.31,15113.63,14524.57
DRG178,PID50496,RIDCAContraCostaCounty,35,96551.37,12206.08,11498.2
DRG178,PID50523,RIDCAContraCostaCounty,38,56397.63,13026.55,12315.81
DRG178,PID50689,RIDCAContraCostaCounty,20,108454.7,12245.9,11129.7
DRG189,PID50180,RIDCAContraCostaCounty,64,132902.28,13756.1,12798.42
DRG189,PID50367,RIDCAContraCostaCounty,22,138240,13984.81,13562.13
DRG189,PID50496,RIDCAContraCostaCounty,31,104158.16,10987.16,10481.09
DRG189,PID50523,RIDCAContraCostaCounty,29,70074.82,11860,11121.65
DRG189,PID50689,RIDCAContraCostaCounty,11,106205.18,10028.27,9722.45
DRG190,PID50180,RIDCAContraCostaCounty,30,98118.8,9367,8544.33
DRG190,PID50276,RIDCAContraCostaCounty,15,45654.73,24281.06,22306.4
DRG190,PID50367,RIDCAContraCostaCounty,70,137006.3,12577.62,11997.74
DRG190,PID50496,RIDCAContraCostaCounty,49,98426.22,11518.51,10669.61
DRG190,PID50523,RIDCAContraCostaCounty,76,52558.71,10872.5,10107.23
DRG190,PID50689,RIDCAContraCostaCounty,11,138302.9,12235.18,10071.9
DRG191,PID50180,RIDCAContraCostaCounty,63,82144.58,7634.66,6566.19
DRG191,PID50276,RIDCAContraCostaCounty,13,21225.15,15408.53,14690.15
DRG191,PID50367,RIDCAContraCostaCounty,48,96956.29,9572.6,8867.77
DRG191,PID50496,RIDCAContraCostaCounty,64,80845.98,8366.62,7062.43
DRG191,PID50523,RIDCAContraCostaCounty,100,45774.91,8969.02,8217.06
DRG191,PID50689,RIDCAContraCostaCounty,22,86389.54,7402.36,6637.81
DRG192,PID50180,RIDCAContraCostaCounty,18,56358.88,5538.61,4537.72
DRG192,PID50367,RIDCAContraCostaCounty,27,82695.74,7198.4,6114.25
DRG192,PID50496,RIDCAContraCostaCounty,22,61576.18,6121.22,5169.04
DRG192,PID50523,RIDCAContraCostaCounty,40,38947.35,6664.55,5851.05
DRG193,PID50180,RIDCAContraCostaCounty,37,113412.94,12918.56,12158.02
DRG193,PID50367,RIDCAContraCostaCounty,31,145226.32,15037.48,14563.77
DRG193,PID50496,RIDCAContraCostaCounty,30,100508.46,12412.1,11437.43
DRG193,PID50523,RIDCAContraCostaCounty,57,77545.45,13738.01,13109.24
DRG193,PID50689,RIDCAContraCostaCounty,21,82390.76,10979.42,10226.28
DRG194,PID50180,RIDCAContraCostaCounty,109,76287.65,9611.88,6805.88
DRG194,PID50276,RIDCAContraCostaCounty,37,26148.67,16055.1,15112.72
DRG194,PID50367,RIDCAContraCostaCounty,60,110577.28,10887.36,10154.23
DRG194,PID50496,RIDCAContraCostaCounty,55,78429.92,8321.07,7320.7
DRG194,PID50523,RIDCAContraCostaCounty,62,45224.48,9253.45,8367.06
DRG194,PID50689,RIDCAContraCostaCounty,50,78834.62,8399.44,6790
DRG195,PID50180,RIDCAContraCostaCounty,22,53950.59,5536.72,4512
DRG195,PID50367,RIDCAContraCostaCounty,15,69461.73,7158.86,6179.93
DRG195,PID50496,RIDCAContraCostaCounty,14,50343.85,5876.28,4912.85
DRG195,PID50689,RIDCAContraCostaCounty,29,51754.89,5549.31,4544.34
DRG202,PID50180,RIDCAContraCostaCounty,31,75519.58,7623.93,6331.25
DRG202,PID50367,RIDCAContraCostaCounty,16,80464.68,8558.56,7711.56
DRG202,PID50496,RIDCAContraCostaCounty,20,80221.4,7275.5,6321.3
DRG202,PID50523,RIDCAContraCostaCounty,14,37595.71,7807,7088.42
DRG202,PID50689,RIDCAContraCostaCounty,13,49646.07,6595.23,5639.84
DRG203,PID50689,RIDCAContraCostaCounty,15,41316.46,6162.4,3300
DRG207,PID50180,RIDCAContraCostaCounty,23,482621.82,87228.91,73333.65
DRG207,PID50496,RIDCAContraCostaCounty,11,332308.9,48155.72,47318.45
DRG208,PID50180,RIDCAContraCostaCounty,23,263192.91,33026.08,31893.3
DRG208,PID50367,RIDCAContraCostaCounty,15,257735,25207.46,24530.4
DRG208,PID50496,RIDCAContraCostaCounty,28,251476.39,30070.89,28971.67
DRG208,PID50523,RIDCAContraCostaCounty,18,93702.5,20902.38,20469.27
DRG208,PID50689,RIDCAContraCostaCounty,11,174122.81,21117.54,16132
DRG238,PID50496,RIDCAContraCostaCounty,30,235175.46,29653.2,27602.86
DRG243,PID50180,RIDCAContraCostaCounty,25,199035.28,24059.64,23249.72
DRG243,PID50496,RIDCAContraCostaCounty,18,206865.11,24009.88,22883.22
DRG243,PID50523,RIDCAContraCostaCounty,13,79760.23,24567.38,23529.84
DRG244,PID50180,RIDCAContraCostaCounty,18,166839.22,16471.83,15530.27
DRG246,PID50367,RIDCAContraCostaCounty,21,251763.57,34596.42,33797
DRG246,PID50496,RIDCAContraCostaCounty,19,232951.31,27387.47,26737.1
DRG247,PID50180,RIDCAContraCostaCounty,13,182467,16814.84,15777.38
DRG247,PID50367,RIDCAContraCostaCounty,15,195723.73,19945.86,19124.26
DRG247,PID50496,RIDCAContraCostaCounty,44,152358.9,20662.31,14638.88
DRG247,PID50523,RIDCAContraCostaCounty,18,108954.88,20631.83,16502.05
DRG249,PID50496,RIDCAContraCostaCounty,20,158207.35,14773,13812.4
DRG252,PID50180,RIDCAContraCostaCounty,14,165410.85,26623.64,25741.07
DRG252,PID50367,RIDCAContraCostaCounty,12,205535.33,34118.33,33183
DRG252,PID50496,RIDCAContraCostaCounty,29,226324.89,30794.58,30253.1
DRG253,PID50180,RIDCAContraCostaCounty,17,153209.23,20993.17,20264.58
DRG253,PID50496,RIDCAContraCostaCounty,13,246122.07,26095.38,25234.53
DRG280,PID50180,RIDCAContraCostaCounty,39,126602.64,15580.02,14747.3
DRG280,PID50367,RIDCAContraCostaCounty,23,157915.69,17797.73,17014.43
DRG280,PID50496,RIDCAContraCostaCounty,24,118851.75,14802.45,14190.62
DRG280,PID50523,RIDCAContraCostaCounty,20,78800.55,16221.45,15378.85
DRG281,PID50180,RIDCAContraCostaCounty,27,96686.88,9151.96,8282.14
DRG281,PID50496,RIDCAContraCostaCounty,11,110973.9,9906,8888.54
DRG281,PID50523,RIDCAContraCostaCounty,13,48068.23,9758.07,9061.46
DRG286,PID50367,RIDCAContraCostaCounty,13,186083.23,25520.61,24916
