drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50093,RIDCAFresno,34,41460.67,7471.7,6580.29
DRG039,PID50732,RIDCAFresno,66,20227.66,6390.25,5352.77
DRG057,PID50060,RIDCAFresno,25,33403.12,10118.56,6961.68
DRG057,PID50093,RIDCAFresno,19,33040.15,7000.47,6053.94
DRG057,PID50121,RIDCAFresno,19,25281.84,7168.89,6338.15
DRG064,PID50060,RIDCAFresno,107,64487.55,18392.02,17045.65
DRG064,PID50093,RIDCAFresno,84,44645.94,13770.7,12315.1
DRG064,PID50121,RIDCAFresno,23,52278.95,14240.82,13380.95
DRG065,PID50060,RIDCAFresno,94,41769.1,11202.46,10133.13
DRG065,PID50093,RIDCAFresno,133,31060.5,8413.84,7507.7
DRG065,PID50121,RIDCAFresno,43,29735,8877.41,8116.95
DRG065,PID50492,RIDCAFresno,14,36214.64,7923.71,6877.14
DRG066,PID50060,RIDCAFresno,66,30166.18,9049.28,6823.42
DRG066,PID50093,RIDCAFresno,78,26576.76,6022.34,4955.66
DRG066,PID50121,RIDCAFresno,14,20749.07,6349,5461.85
DRG066,PID50492,RIDCAFresno,16,24473.62,6162.75,4151.06
DRG069,PID50060,RIDCAFresno,57,25983.05,7064.82,6043.49
DRG069,PID50093,RIDCAFresno,115,26336.55,5364.73,4240.65
DRG069,PID50121,RIDCAFresno,27,20251.62,5662,4909.7
DRG069,PID50568,RIDCAFresno,13,16887.76,6777.76,5449.76
DRG074,PID50060,RIDCAFresno,11,32831.9,8605,7996.27
DRG074,PID50093,RIDCAFresno,13,25832.3,6314.38,5791.92
DRG101,PID50060,RIDCAFresno,51,23703.27,7369.03,6522.01
DRG101,PID50093,RIDCAFresno,36,23877.38,5543.47,4779.3
DRG101,PID50121,RIDCAFresno,14,18528.07,5779.64,5056.5
DRG149,PID50060,RIDCAFresno,14,26663.71,6633.07,4996.71
DRG149,PID50093,RIDCAFresno,22,24132.9,4687.5,3667.13
DRG176,PID50060,RIDCAFresno,25,39125.44,10290.88,9704.8
DRG176,PID50093,RIDCAFresno,35,38278.37,7723.11,7015.22
DRG177,PID50060,RIDCAFresno,18,55681.27,18839.72,16483.72
DRG177,PID50093,RIDCAFresno,106,48601.37,14544.4,13885.01
DRG177,PID50121,RIDCAFresno,16,54351.68,15894,15263.25
DRG177,PID50492,RIDCAFresno,12,45369.33,16429.58,11878
DRG177,PID50568,RIDCAFresno,14,38542,17751.71,16952.28
DRG178,PID50060,RIDCAFresno,33,45642.18,13889.66,13268.48
DRG178,PID50093,RIDCAFresno,98,31933.47,10436.58,9772.16
DRG178,PID50121,RIDCAFresno,15,39733.06,11446.66,10696.26
DRG178,PID50492,RIDCAFresno,17,31981.88,10125.88,9201.17
DRG178,PID50568,RIDCAFresno,16,40250.12,12776.93,11933.93
DRG189,PID50060,RIDCAFresno,36,48888.25,13108.33,12347.8
DRG189,PID50093,RIDCAFresno,119,34409.35,9545.43,8620.61
DRG189,PID50121,RIDCAFresno,18,35046.83,9919,9219.05
DRG189,PID50492,RIDCAFresno,13,47348.3,9691,7549.53
DRG189,PID50568,RIDCAFresno,23,38839.86,11792.43,11253.82
DRG190,PID50060,RIDCAFresno,53,35102.84,11195.67,10501.01
DRG190,PID50093,RIDCAFresno,148,28428.35,8650.87,7925.39
DRG190,PID50121,RIDCAFresno,53,28756.79,9175.92,8389.28
DRG190,PID50492,RIDCAFresno,33,36004.63,8366.63,7479.6
DRG190,PID50568,RIDCAFresno,20,37216.2,10908.1,10070.3
DRG191,PID50060,RIDCAFresno,92,26152.79,9385.64,8493.45
DRG191,PID50093,RIDCAFresno,104,26814.64,7082.93,6344.65
