drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50056,RIDCALosAngeles,15,27027.93,8333.86,6639.33
DRG039,PID50058,RIDCALosAngeles,11,65099.54,11082.18,10056
DRG039,PID50485,RIDCALosAngeles,23,51813.13,8349.6,5585.21
DRG039,PID50235,RIDCALosAngeles,31,101282.03,8294.93,7639.7
DRG039,PID50238,RIDCALosAngeles,11,30027.54,7733,7024.27
DRG039,PID50262,RIDCALosAngeles,13,36730.69,11899.76,10946.84
DRG039,PID50290,RIDCALosAngeles,22,26209.54,6483,5512.63
DRG039,PID50351,RIDCALosAngeles,17,30510.29,6793.64,5009.94
DRG039,PID50382,RIDCALosAngeles,17,42287.47,9044,7859.88
DRG039,PID50438,RIDCALosAngeles,19,31305.47,7804,6738.31
DRG039,PID50481,RIDCALosAngeles,16,64346.68,6770.06,5718.81
DRG039,PID50625,RIDCALosAngeles,40,72784,9754.92,7705.97
DRG039,PID50761,RIDCALosAngeles,48,70478.25,7174.89,6066.95
DRG057,PID50056,RIDCALosAngeles,19,23186.05,7844.63,7081.89
DRG057,PID50058,RIDCALosAngeles,12,45039.58,8951.91,7922.25
DRG057,PID50103,RIDCALosAngeles,12,50999.91,9628.25,8015.16
DRG057,PID50111,RIDCALosAngeles,11,28268.45,8602,7887.45
DRG057,PID50112,RIDCALosAngeles,28,30474.1,7286.82,6240.17
DRG057,PID50116,RIDCALosAngeles,11,49796.81,7161.9,6441.54
DRG057,PID50169,RIDCALosAngeles,14,64429.5,7264.28,6462.57
DRG057,PID50191,RIDCALosAngeles,11,30237.36,8308.09,7484.81
DRG057,PID50204,RIDCALosAngeles,15,24102.8,6984.06,5426.93
DRG057,PID50235,RIDCALosAngeles,11,47832.81,6822.81,5676.72
DRG057,PID50238,RIDCALosAngeles,27,40122.59,7075.88,6173.48
DRG057,PID50239,RIDCALosAngeles,19,49641,9068.52,8244.52
DRG057,PID50262,RIDCALosAngeles,33,44037.48,12915.57,11373.66
DRG057,PID50351,RIDCALosAngeles,11,47460.54,7510.36,4259.45
DRG057,PID50353,RIDCALosAngeles,12,69040.33,8297.16,7124.33
DRG057,PID50376,RIDCALosAngeles,13,42594.69,15070.23,14381
DRG057,PID50382,RIDCALosAngeles,22,23641.72,8261.63,7391.27
DRG057,PID50438,RIDCALosAngeles,38,39548.02,7071.65,6360.92
DRG057,PID50481,RIDCALosAngeles,11,50830.72,6221.27,5406.72
DRG057,PID50485,RIDCALosAngeles,27,34735.37,7540.74,6830.37
DRG057,PID50502,RIDCALosAngeles,12,39118.58,9619.83,8687.16
DRG057,PID50625,RIDCALosAngeles,81,59486.8,8778.7,7420.71
DRG057,PID50752,RIDCALosAngeles,13,36151.76,6970.07,6280.84
DRG057,PID50761,RIDCALosAngeles,13,46465.84,6338.84,5555.15
DRG064,PID50018,RIDCALosAngeles,12,29523.33,19962.75,19124.41
DRG064,PID50056,RIDCALosAngeles,15,41855.06,15651.6,14832.13
DRG064,PID50058,RIDCALosAngeles,27,78636.18,17605.07,16858.7
DRG064,PID50063,RIDCALosAngeles,36,102309.88,20752.08,19933.77
DRG064,PID50078,RIDCALosAngeles,28,87070.78,12734.78,12048.64
DRG064,PID50103,RIDCALosAngeles,46,149950.26,21903.73,21121.19
DRG064,PID50104,RIDCALosAngeles,29,74561.41,21114.31,20303.37
DRG064,PID50112,RIDCALosAngeles,16,88453.68,14894.37,14192.87
DRG064,PID50116,RIDCALosAngeles,38,124007.26,15640.81,14928.42
DRG064,PID50126,RIDCALosAngeles,21,97018.66,20675.85,19716
DRG064,PID50132,RIDCALosAngeles,18,119148.77,16855.61,16108.05
DRG064,PID50149,RIDCALosAngeles,13,57478.84,19263.15,18830.23
DRG064,PID50169,RIDCALosAngeles,60,97800.51,14642.56,12394.68
DRG064,PID50191,RIDCALosAngeles,31,97373.45,18603.96,17778.12
DRG064,PID50204,RIDCALosAngeles,14,61874.85,13735.35,12771.92
DRG064,PID50231,RIDCALosAngeles,49,96711.55,16725.95,15842.18
DRG064,PID50235,RIDCALosAngeles,117,155499.94,16567.4,15814.95
DRG064,PID50238,RIDCALosAngeles,50,78616.66,14174.92,13418.46
DRG064,PID50239,RIDCALosAngeles,62,165409.72,25240.79,20987.33
DRG064,PID50262,RIDCALosAngeles,62,88198.08,25330.48,24153.85
DRG064,PID50278,RIDCALosAngeles,36,169408.61,17659.88,16723.63
