drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50179,RIDCAModesto,15,57258.73,7714.13,6888.26
DRG039,PID50464,RIDCAModesto,35,72225.31,8882.77,7953.97
DRG039,PID50557,RIDCAModesto,41,60264.97,7457.39,6440.51
DRG057,PID50179,RIDCAModesto,14,51793.5,6752.85,6112.85
DRG057,PID50444,RIDCAModesto,11,53105.36,8552.9,7732.54
DRG057,PID50557,RIDCAModesto,23,45675.08,6140.82,5409.52
DRG064,PID50179,RIDCAModesto,12,192817.91,21166.08,20325
DRG064,PID50335,RIDCAModesto,28,72676.53,16729.64,15614.46
DRG064,PID50444,RIDCAModesto,40,71549,16553.77,15795.27
DRG064,PID50464,RIDCAModesto,38,232751.36,18404.44,17258.42
DRG064,PID50557,RIDCAModesto,29,95378.68,13746.79,12806.86
DRG065,PID50179,RIDCAModesto,29,73240.34,9519.24,7718.27
DRG065,PID50335,RIDCAModesto,27,40531.92,9959.03,8574
DRG065,PID50444,RIDCAModesto,53,48497.26,10079.18,9106.35
DRG065,PID50464,RIDCAModesto,58,125909.74,10107.12,8859.67
DRG065,PID50557,RIDCAModesto,61,50658.98,8438.77,7556.4
DRG069,PID50557,RIDCAModesto,38,37396.05,5360.84,4444.1
DRG066,PID50179,RIDCAModesto,21,59402.28,6091.85,4939
DRG066,PID50335,RIDCAModesto,11,31003.18,7036.45,6113.18
DRG066,PID50444,RIDCAModesto,16,39668.68,7181.87,6061.87
DRG066,PID50464,RIDCAModesto,30,79306.43,7712.83,5957.93
DRG066,PID50557,RIDCAModesto,25,45366.68,5889.36,4855.6
DRG069,PID50179,RIDCAModesto,36,65546.72,7797.97,6826.75
DRG069,PID50444,RIDCAModesto,29,35717.75,6538.24,5644.86
DRG069,PID50464,RIDCAModesto,34,80717.94,6744.17,5337.14
DRG074,PID50444,RIDCAModesto,13,41730.61,7761.53,6813.53
DRG074,PID50557,RIDCAModesto,14,39784.92,6313.71,5673.71
DRG101,PID50179,RIDCAModesto,23,46767.65,7203.69,4391.43
DRG101,PID50444,RIDCAModesto,23,31981.56,6729.04,5945.73
DRG101,PID50557,RIDCAModesto,17,34505.58,5486.05,4657.47
DRG176,PID50179,RIDCAModesto,12,55022.58,8062.5,7315.83
DRG176,PID50444,RIDCAModesto,12,43263.83,9190.5,8349.5
DRG176,PID50464,RIDCAModesto,12,104853.16,9395.91,8999.16
DRG176,PID50557,RIDCAModesto,18,52842.33,7814.94,7193.16
DRG177,PID50335,RIDCAModesto,62,93198.85,18801.54,16060.95
DRG177,PID50444,RIDCAModesto,78,113579.32,20992.1,20004.14
DRG177,PID50464,RIDCAModesto,16,203243.43,18027.93,17585.37
DRG177,PID50557,RIDCAModesto,33,111219.87,15128.42,14404.36
DRG178,PID50179,RIDCAModesto,13,116116.76,11265.69,10661.07
DRG178,PID50335,RIDCAModesto,19,64060.63,12898.73,12073.05
DRG178,PID50444,RIDCAModesto,67,61758.92,13071.07,12341.37
DRG178,PID50464,RIDCAModesto,17,139543.82,12549.29,11884.94
DRG178,PID50557,RIDCAModesto,32,56760.96,10599.9,10036.9
DRG189,PID50179,RIDCAModesto,23,76631.21,9895.6,9310.56
DRG189,PID50335,RIDCAModesto,43,61010.18,11195,10219.32
DRG189,PID50444,RIDCAModesto,37,57569.45,12650.08,10765.08
DRG189,PID50464,RIDCAModesto,30,117099.9,11709.9,10921.9
DRG189,PID50528,RIDCAModesto,16,64315.31,28103.31,27474.56
DRG189,PID50557,RIDCAModesto,46,82324.43,10913.8,9828.63
DRG190,PID50067,RIDCAModesto,15,38843.2,8486,7739.86
DRG190,PID50179,RIDCAModesto,68,82566.5,9548.08,8087.95
DRG190,PID50335,RIDCAModesto,25,46369.2,10478.44,9147.36
DRG190,PID50444,RIDCAModesto,78,44013.5,10690.11,9853.7
DRG190,PID50464,RIDCAModesto,62,112216.11,10269.38,9155.5
DRG190,PID50528,RIDCAModesto,30,49067.36,24269.36,23630.03
DRG190,PID50557,RIDCAModesto,94,56081.57,9794.4,7813.72
DRG191,PID50179,RIDCAModesto,48,59270.25,7376.79,6317.2
DRG191,PID50335,RIDCAModesto,22,44218.63,8445.36,7476.45
DRG191,PID50444,RIDCAModesto,71,38984.78,8701.43,7815.35
DRG191,PID50464,RIDCAModesto,34,112726.64,8774.2,7622.02
DRG191,PID50557,RIDCAModesto,130,40955.62,7147.23,6241.56
DRG192,PID50067,RIDCAModesto,17,32552.35,5139,4279
DRG192,PID50179,RIDCAModesto,35,47088.51,5408.48,4418.65
DRG192,PID50444,RIDCAModesto,34,29776.05,6461.02,5535.38
DRG192,PID50464,RIDCAModesto,40,79192.82,6278.05,5574.2
DRG192,PID50557,RIDCAModesto,62,38051.35,5532.74,4412.77
DRG193,PID50179,RIDCAModesto,53,109872.33,11937.64,11269.86
DRG193,PID50335,RIDCAModesto,98,69462.59,12830.91,11634.62
DRG193,PID50444,RIDCAModesto,105,63060.72,12902.69,12239.44
DRG193,PID50464,RIDCAModesto,30,116040.66,15283.16,11805.1
DRG193,PID50528,RIDCAModesto,33,59516.96,30533.51,29748.42
DRG193,PID50557,RIDCAModesto,53,63487.71,10479.11,9730.84
DRG194,PID50179,RIDCAModesto,90,61403.11,7674.55,6784.73
DRG194,PID50335,RIDCAModesto,56,45005.6,9610.78,7554.62
DRG194,PID50444,RIDCAModesto,97,45643.53,9339.21,8026.48
DRG194,PID50464,RIDCAModesto,68,109441.35,10467.58,7694.26
DRG194,PID50528,RIDCAModesto,14,75490.14,23257.21,22376.92
DRG194,PID50557,RIDCAModesto,112,46074.92,7249.98,6436.73
DRG195,PID50179,RIDCAModesto,38,43805.89,5367.5,4506.97
DRG195,PID50444,RIDCAModesto,29,37435.72,6410.41,5363.1
DRG195,PID50464,RIDCAModesto,22,63495.86,6201.13,5280.77
DRG195,PID50557,RIDCAModesto,21,30966.9,5204,4130.47
DRG202,PID50179,RIDCAModesto,16,49731.87,6376.5,5396
DRG202,PID50557,RIDCAModesto,15,40557.73,6187,5361.13
DRG207,PID50444,RIDCAModesto,12,222686.83,45866.83,45217.16
DRG207,PID50464,RIDCAModesto,21,424476.61,46383,45485.8
DRG208,PID50179,RIDCAModesto,17,166017.35,23529.94,22385.47
DRG208,PID50444,RIDCAModesto,35,100181.37,20428.65,19743.2
DRG208,PID50464,RIDCAModesto,26,230818.3,20044.26,19306.57
DRG208,PID50557,RIDCAModesto,59,137250.57,18844.77,18177.44
DRG238,PID50464,RIDCAModesto,18,172448.72,25935.38,24863.11
DRG238,PID50557,RIDCAModesto,19,149044.68,27333.94,20173.21
DRG243,PID50179,RIDCAModesto,18,133806.27,19573.88,18635.88
DRG243,PID50444,RIDCAModesto,15,84926.73,22760.6,21616.13
DRG243,PID50464,RIDCAModesto,14,157207,23568.14,20437.21
DRG243,PID50557,RIDCAModesto,23,117725,19292.04,18264.04
DRG244,PID50179,RIDCAModesto,24,113753.33,15452.91,14651.08
DRG244,PID50464,RIDCAModesto,13,166306.84,17787.23,16824.92
DRG244,PID50557,RIDCAModesto,13,122685.53,18622.76,13290.38
DRG246,PID50464,RIDCAModesto,31,234376.51,28375.83,27432.03
DRG246,PID50557,RIDCAModesto,35,175444.62,24256.2,23422.62
DRG247,PID50179,RIDCAModesto,19,168841.68,17173.52,16279.94
DRG247,PID50464,RIDCAModesto,88,174152.43,17411.7,16107.82
DRG247,PID50557,RIDCAModesto,74,135301.05,15745.81,13222.12
DRG249,PID50464,RIDCAModesto,14,223805.28,15502.35,14537.07
DRG249,PID50557,RIDCAModesto,18,127607,16316,12422.72
DRG251,PID50464,RIDCAModesto,14,182039.71,18502.07,13864.85
DRG252,PID50464,RIDCAModesto,15,331583.46,29292.46,28326.66
DRG252,PID50557,RIDCAModesto,48,130986.08,21919.81,21287.06
DRG253,PID50179,RIDCAModesto,16,170157.75,19993.25,19427.18
DRG253,PID50335,RIDCAModesto,17,161810.58,21387.05,20660.23
DRG253,PID50464,RIDCAModesto,11,232841.45,22563.81,21938.54
DRG253,PID50557,RIDCAModesto,41,165406.26,18593.65,17854.41
DRG254,PID50464,RIDCAModesto,11,117810.63,14051,12119.9
DRG254,PID50557,RIDCAModesto,18,106025.5,12469.72,11653.94
DRG280,PID50179,RIDCAModesto,29,94420.41,13671.44,12860.55
DRG280,PID50335,RIDCAModesto,26,78203.61,14761.03,13942.42
DRG280,PID50444,RIDCAModesto,31,60049.45,15373.09,14506
DRG280,PID50464,RIDCAModesto,26,162349,16083.76,15100.57
DRG280,PID50557,RIDCAModesto,40,87556.2,13545.6,12814.6
DRG281,PID50179,RIDCAModesto,18,62131.11,8104.38,6581.22
DRG281,PID50335,RIDCAModesto,12,44427.66,9298.5,8643.5
DRG281,PID50444,RIDCAModesto,31,47273.64,10413.67,9543.48
DRG281,PID50464,RIDCAModesto,15,108193.46,10424.46,9600.06
DRG281,PID50557,RIDCAModesto,25,63631.36,8465.56,7566.36
DRG282,PID50179,RIDCAModesto,11,54544.45,5959.63,5242.18
DRG282,PID50444,RIDCAModesto,30,38866.03,7116.33,6291.53
DRG282,PID50464,RIDCAModesto,11,93143.54,7053.9,6136.45
DRG286,PID50179,RIDCAModesto,21,114471.14,15141.66,14343.76
DRG286,PID50464,RIDCAModesto,25,154658.48,18189.68,16336.32
DRG286,PID50557,RIDCAModesto,13,113256,14681.76,13820.84
DRG287,PID50179,RIDCAModesto,106,70781.06,8177.03,7215.39
DRG287,PID50335,RIDCAModesto,17,50939.23,9335.88,8409.29
DRG287,PID50444,RIDCAModesto,16,52909.37,9585.31,8813.06
DRG287,PID50464,RIDCAModesto,69,109515.53,9563.4,8510.39
DRG287,PID50557,RIDCAModesto,77,73693.87,8479.44,6855.81
DRG291,PID50528,RIDCAModesto,13,43740.84,29024.3,28185
