drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50013,RIDCANapa,17,105929.47,9438,8376.35
DRG064,PID50009,RIDCANapa,27,70238.81,15201.18,14329.03
DRG065,PID50009,RIDCANapa,51,58294.41,10189.11,8051.17
DRG065,PID50013,RIDCANapa,21,52189.57,10432.09,9791.33
DRG065,PID50301,RIDCANapa,23,22534.43,8589.21,7624.6
DRG066,PID50009,RIDCANapa,23,42977.52,6817.95,6037.43
DRG069,PID50009,RIDCANapa,16,44861.62,6435.37,4741.31
DRG069,PID50013,RIDCANapa,11,37485.09,6774.27,5953.9
DRG101,PID50009,RIDCANapa,17,62162.94,6348.94,5553.64
DRG101,PID50301,RIDCANapa,11,26675.45,5674.27,4541.72
DRG176,PID50009,RIDCANapa,15,65450.66,8573.06,7671.73
DRG176,PID50301,RIDCANapa,12,28058.33,8110.66,7267
DRG177,PID50009,RIDCANapa,37,74398.37,15842.4,15258
DRG177,PID50013,RIDCANapa,17,100378.29,18834.94,18043.41
DRG177,PID50301,RIDCANapa,11,22972.72,14205.18,13384.81
DRG178,PID50009,RIDCANapa,52,77089.59,12273,11647.23
DRG178,PID50013,RIDCANapa,13,48878.53,13801.84,12853.84
DRG189,PID50013,RIDCANapa,35,55562.82,11873.14,11456.34
DRG189,PID50301,RIDCANapa,36,22233.25,9723.11,9004.33
DRG190,PID50009,RIDCANapa,50,60984.98,9712.8,8952
DRG190,PID50013,RIDCANapa,13,59658.07,12829.69,9407.15
DRG190,PID50301,RIDCANapa,43,18713.76,8623.74,7784.3
DRG191,PID50009,RIDCANapa,32,54368.96,8013.84,7273.96
DRG191,PID50013,RIDCANapa,21,41438.85,8618,7990.33
DRG192,PID50013,RIDCANapa,12,33277.58,6493.91,5655.58
DRG192,PID50009,RIDCANapa,21,44091.85,5930.42,5129.47
DRG193,PID50009,RIDCANapa,38,63256.89,12301.31,10913.68
DRG193,PID50013,RIDCANapa,18,70230.61,13680.88,12805.77
DRG193,PID50301,RIDCANapa,47,25345.42,10801.27,9997.82
DRG194,PID50009,RIDCANapa,61,45944.09,8217.6,7444.49
DRG194,PID50013,RIDCANapa,21,37090.95,9347.9,8440.66
DRG194,PID50301,RIDCANapa,23,20935.43,7529.17,6599.6
DRG195,PID50009,RIDCANapa,28,38839.67,5916.53,4908.1
DRG195,PID50301,RIDCANapa,17,19255.76,5397,4403.82
DRG208,PID50009,RIDCANapa,28,148761.35,20137.57,19394.89
DRG208,PID50013,RIDCANapa,17,142619.64,20900.88,20336.76
DRG208,PID50301,RIDCANapa,11,63138.27,17211,16396.45
DRG238,PID50013,RIDCANapa,13,229759.84,34092.38,24029.69
DRG243,PID50009,RIDCANapa,16,139307.31,22032.81,21260.56
DRG243,PID50013,RIDCANapa,15,103037.4,23780.46,22879.13
DRG244,PID50009,RIDCANapa,23,96344.47,16927.65,15947.47
DRG246,PID50009,RIDCANapa,11,182505.63,25651.63,24625.63
DRG246,PID50013,RIDCANapa,26,144796.69,29564.8,28741.26
DRG247,PID50009,RIDCANapa,15,111612.13,15921.2,14394.26
DRG247,PID50013,RIDCANapa,58,82020.25,18256.12,17343.77
DRG251,PID50009,RIDCANapa,12,111399.83,14980.08,14042.08
DRG251,PID50013,RIDCANapa,15,97158.66,19402.06,18276.46
DRG252,PID50009,RIDCANapa,19,127031.89,26311.78,25607
DRG252,PID50013,RIDCANapa,14,163754.21,28960.78,28397.07
DRG253,PID50009,RIDCANapa,23,180286.04,25420,24784.3
DRG253,PID50013,RIDCANapa,27,138092.14,22996.88,22206.22
DRG254,PID50013,RIDCANapa,30,85747.9,14975.9,14073.5
DRG280,PID50009,RIDCANapa,23,91762.82,15741.69,14814.91
DRG292,PID50013,RIDCANapa,26,53579.19,9367.76,8805.46
DRG281,PID50009,RIDCANapa,15,55148,9348.4,8451.33
DRG286,PID50013,RIDCANapa,20,118502.65,20255.95,19512.45
DRG287,PID50009,RIDCANapa,27,75129.22,9061.77,7974.07
DRG287,PID50013,RIDCANapa,79,52053.62,10188.65,8825.5
DRG291,PID50009,RIDCANapa,72,73811.73,12543.51,11726.31
DRG291,PID50013,RIDCANapa,26,89380.65,15091.53,14344.23
DRG291,PID50301,RIDCANapa,47,20542.82,10377.59,9518.02
DRG292,PID50009,RIDCANapa,75,49382.56,8610.92,7753.65
DRG292,PID50301,RIDCANapa,22,19099,7745.95,7081.4
DRG293,PID50009,RIDCANapa,34,28666.2,5662.38,4853.26
DRG293,PID50301,RIDCANapa,28,15005.21,5105.64,4221.92
DRG300,PID50009,RIDCANapa,11,36423.63,8144.45,7327
DRG303,PID50301,RIDCANapa,19,14095.26,4640.47,3254.1
DRG308,PID50009,RIDCANapa,22,77269.13,12038.04,11319.13
DRG308,PID50013,RIDCANapa,15,78129.73,14136.13,13543.06
DRG308,PID50301,RIDCANapa,12,20138.25,8797.5,8048.16
DRG309,PID50009,RIDCANapa,37,42540.59,6984.72,6164.72
DRG309,PID50013,RIDCANapa,24,39541.91,7771.04,7068.87
DRG309,PID50301,RIDCANapa,24,20009.25,6102.83,5228.29
DRG310,PID50009,RIDCANapa,28,33008.5,4760,3634.85
DRG310,PID50013,RIDCANapa,12,19131.58,5295.41,4546.08
DRG310,PID50301,RIDCANapa,18,14223.27,4319,3318.11
DRG312,PID50009,RIDCANapa,19,50250.26,5934.31,5224.42
DRG312,PID50013,RIDCANapa,15,39193,6648.8,5309.66
DRG313,PID50009,RIDCANapa,25,38306,4580,3492.2
DRG313,PID50013,RIDCANapa,24,18430.75,5158.91,3904.33
DRG314,PID50009,RIDCANapa,12,132782.08,17208.16,16736.5
DRG329,PID50009,RIDCANapa,17,381576.82,64149.47,62126.05
DRG329,PID50013,RIDCANapa,11,344388.72,52272.18,51351.72
DRG330,PID50009,RIDCANapa,20,158713.1,22631.2,21675.4
DRG330,PID50301,RIDCANapa,11,81406.9,19474.72,18348.45
DRG372,PID50009,RIDCANapa,12,45548,10704.58,10329.91
DRG377,PID50013,RIDCANapa,13,72773.76,16020.69,15329
DRG378,PID50009,RIDCANapa,68,48409.42,8397.11,7571.35
DRG378,PID50013,RIDCANapa,33,50022,9535.03,8547.57
DRG378,PID50301,RIDCANapa,13,28732.69,7155.3,6037
DRG389,PID50009,RIDCANapa,19,41771,8035.73,6680.63
DRG390,PID50009,RIDCANapa,18,37184.94,5314.77,4445
DRG390,PID50301,RIDCANapa,13,19680.61,4844,3973.23
DRG391,PID50009,RIDCANapa,16,49648.62,9600.06,8896.56
DRG391,PID50013,RIDCANapa,12,43975.16,10714,9959.33
DRG392,PID50009,RIDCANapa,57,37816.14,5937.38,5107.21
DRG392,PID50013,RIDCANapa,33,36384.21,6654,5825.06
DRG392,PID50301,RIDCANapa,27,21207.22,5397.29,4605.44
DRG394,PID50009,RIDCANapa,11,42144.81,8268.09,7659.36
DRG460,PID50009,RIDCANapa,17,197359.47,32576.35,31453.7
DRG469,PID50009,RIDCANapa,17,150343.88,27241,26321.94
DRG470,PID50009,RIDCANapa,147,101016.42,17684.37,15969.88
DRG470,PID50013,RIDCANapa,632,112724.85,19995.29,17583.88
DRG470,PID50301,RIDCANapa,40,87726.55,17186.67,14613.97
DRG480,PID50009,RIDCANapa,13,116697.53,23945.61,23171.76
DRG481,PID50009,RIDCANapa,34,95422.44,15715.23,14790.55
DRG481,PID50013,RIDCANapa,14,96907.28,17472.78,16511.64
DRG481,PID50301,RIDCANapa,17,58240.05,14057.47,13132.76
DRG552,PID50009,RIDCANapa,28,50479.46,6850.39,5710.67
DRG552,PID50301,RIDCANapa,11,20364.9,6240,5110.9
DRG603,PID50009,RIDCANapa,56,39870.3,6957.53,6077.25
DRG603,PID50013,RIDCANapa,20,35137.85,7599.2,6855.65
DRG603,PID50301,RIDCANapa,33,19699.45,6371,5583.96
DRG640,PID50009,RIDCANapa,17,54845.64,9490.82,8943.35
DRG641,PID50009,RIDCANapa,22,43873.86,5757.45,5016.45
DRG641,PID50013,RIDCANapa,23,32583.82,7427.86,5035
DRG641,PID50301,RIDCANapa,51,18673.07,5228,4560.33
DRG682,PID50009,RIDCANapa,32,92238.43,14551.56,13640.81
DRG682,PID50013,RIDCANapa,19,60198,13865.15,13448.1
DRG682,PID50301,RIDCANapa,13,38653.69,12323.76,11634.61
DRG683,PID50009,RIDCANapa,43,51421.93,8472.86,7739.46
DRG683,PID50013,RIDCANapa,38,33245.28,9400.34,8425.97
DRG683,PID50301,RIDCANapa,33,19639.72,7731,6916.45
DRG684,PID50009,RIDCANapa,11,46049.27,5487.9,4773.36
DRG684,PID50013,RIDCANapa,13,33124.23,7114.46,4773.53
DRG689,PID50013,RIDCANapa,11,45766.54,10581.36,10069.72
DRG690,PID50009,RIDCANapa,33,31925.21,6428.48,5579.63
DRG690,PID50013,RIDCANapa,24,30748.2,7198.2,6016.41
DRG690,PID50301,RIDCANapa,19,18161.36,5906.89,5076.15
DRG698,PID50009,RIDCANapa,15,80307.73,13518.4,13029.93
DRG699,PID50009,RIDCANapa,13,50277.23,8168.76,7387.53
DRG811,PID50009,RIDCANapa,13,60438.46,10478.23,9225.46
DRG811,PID50301,RIDCANapa,23,19312.69,9540,8658.26
DRG812,PID50009,RIDCANapa,19,40864.63,6614.1,5665.89
DRG812,PID50301,RIDCANapa,26,13666.34,6052,5273.23
DRG853,PID50013,RIDCANapa,20,445163.55,61947,61061.85
DRG871,PID50009,RIDCANapa,122,86105.74,16958.56,15760.3
DRG871,PID50013,RIDCANapa,59,75024.98,16721.84,16072.76
DRG871,PID50301,RIDCANapa,42,37223.4,14203,13372.02
DRG872,PID50009,RIDCANapa,70,48547.08,9124.05,8320.97
DRG872,PID50013,RIDCANapa,26,52994.69,10251.3,9471.3
DRG872,PID50301,RIDCANapa,39,23671.94,8580.82,7713.33
DRG885,PID50013,RIDCANapa,35,57207.37,8716.71,7671.28
DRG897,PID50013,RIDCANapa,48,30623.06,6036.97,5311.89
DRG918,PID50009,RIDCANapa,11,29361.54,5230.36,4421.63
DRG918,PID50013,RIDCANapa,11,38927.72,5812.09,5100.45
DRG918,PID50301,RIDCANapa,21,15091.66,4746.38,3728.28
