drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50243,RIDCAPalmSprings/RanchoM,12,88175,8766.83,5902.5
DRG039,PID50573,RIDCAPalmSprings/RanchoM,53,50977.01,6519.71,5129.47
DRG057,PID50243,RIDCAPalmSprings/RanchoM,18,59222.11,7051.83,6176.72
DRG057,PID50573,RIDCAPalmSprings/RanchoM,36,49470.33,6227.5,4667.72
DRG064,PID50243,RIDCAPalmSprings/RanchoM,23,126946.43,16118.78,13697.65
DRG064,PID50573,RIDCAPalmSprings/RanchoM,60,85935.51,11825.25,10529.25
DRG065,PID50243,RIDCAPalmSprings/RanchoM,41,72176.29,8643.39,7592.17
DRG065,PID50279,RIDCAPalmSprings/RanchoM,17,34236.76,9683,8689.82
DRG065,PID50573,RIDCAPalmSprings/RanchoM,136,69597.35,7610.19,6260.4
DRG066,PID50243,RIDCAPalmSprings/RanchoM,31,53746.35,6281.7,5265.45
DRG066,PID50279,RIDCAPalmSprings/RanchoM,13,24301.23,6804,5853.53
DRG066,PID50573,RIDCAPalmSprings/RanchoM,72,52637.55,5521.38,4191.98
DRG069,PID50243,RIDCAPalmSprings/RanchoM,17,49213.47,5649.05,4790.94
DRG069,PID50573,RIDCAPalmSprings/RanchoM,36,53577.66,4652.27,3482.83
DRG074,PID50573,RIDCAPalmSprings/RanchoM,22,60292.81,5426,4557.09
DRG101,PID50243,RIDCAPalmSprings/RanchoM,12,44451.16,5887.16,5038.16
DRG101,PID50573,RIDCAPalmSprings/RanchoM,41,48518.36,4804,3951.21
DRG149,PID50573,RIDCAPalmSprings/RanchoM,36,39510.69,4029,3031.66
DRG176,PID50243,RIDCAPalmSprings/RanchoM,20,75835.15,8248.65,7407.65
DRG176,PID50573,RIDCAPalmSprings/RanchoM,21,70636.85,6920.66,5839.8
DRG177,PID50243,RIDCAPalmSprings/RanchoM,18,125327.11,14593.55,13720.27
DRG177,PID50573,RIDCAPalmSprings/RanchoM,37,134485,14991.91,14324.86
DRG178,PID50243,RIDCAPalmSprings/RanchoM,13,70283.53,11418.61,10726.92
DRG178,PID50573,RIDCAPalmSprings/RanchoM,45,89720.82,9590.6,8853.48
DRG189,PID50243,RIDCAPalmSprings/RanchoM,13,74739,9902.46,9208.3
DRG189,PID50279,RIDCAPalmSprings/RanchoM,13,40960.92,10631,9762.69
DRG189,PID50573,RIDCAPalmSprings/RanchoM,22,76333.63,8077,7565.36
DRG190,PID50243,RIDCAPalmSprings/RanchoM,34,80611.79,9181.29,8422.11
DRG190,PID50279,RIDCAPalmSprings/RanchoM,21,29121.8,9724.09,8608.14
DRG190,PID50573,RIDCAPalmSprings/RanchoM,77,91551.46,9075.44,7163.51
