drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50006,RIDCARedding,48,44664.45,8227.14,6936.52
DRG039,PID50280,RIDCARedding,75,48567.22,8668.09,7251.45
DRG039,PID50764,RIDCARedding,13,74093.92,7852,6814.46
DRG064,PID50006,RIDCARedding,17,44906.29,14691.41,13960.82
DRG064,PID50280,RIDCARedding,44,67611.34,15842.36,14542.97
DRG064,PID50764,RIDCARedding,28,51267.78,13509.85,12627.28
DRG065,PID50006,RIDCARedding,44,40805.68,9160.13,8140.5
DRG065,PID50280,RIDCARedding,62,42281.4,9264.54,8131.27
DRG065,PID50764,RIDCARedding,45,39984.95,8795.08,7896.6
DRG066,PID50280,RIDCARedding,39,36540.43,6748.94,5799.3
DRG066,PID50764,RIDCARedding,14,37417.42,6320,5356.57
DRG069,PID50764,RIDCARedding,33,32183.96,5637,4682.33
DRG069,PID50280,RIDCARedding,19,36944.31,6108.31,5279.26
DRG074,PID50764,RIDCARedding,64,29862.64,7066.01,5636.26
DRG101,PID50280,RIDCARedding,17,38852.64,6382,5429.64
DRG101,PID50764,RIDCARedding,18,34429.5,5874,4936
DRG149,PID50764,RIDCARedding,14,28560.42,4926,3796.28
DRG176,PID50006,RIDCARedding,14,33213,7504,6706.85
DRG176,PID50280,RIDCARedding,19,37927.94,8666.94,7780
DRG177,PID50006,RIDCARedding,30,50821.23,15065.03,13954.4
DRG177,PID50280,RIDCARedding,44,59158.09,16090,15402.63
DRG177,PID50764,RIDCARedding,70,61557.24,15103.81,14468.24
DRG178,PID50006,RIDCARedding,19,44052.89,11197.15,10426
DRG178,PID50280,RIDCARedding,39,40546.51,11736.48,11017.41
DRG189,PID50006,RIDCARedding,24,51564.25,10231,9620.5
DRG189,PID50280,RIDCARedding,70,48773.44,10998.14,9878.81
DRG189,PID50764,RIDCARedding,124,37895.03,9875,9024.31
DRG190,PID50006,RIDCARedding,28,47501.07,9335.03,8536.75
DRG190,PID50028,RIDCARedding,22,31316.18,8262.72,7446.72
DRG190,PID50280,RIDCARedding,66,38964.12,9751.65,8550.12
DRG190,PID50764,RIDCARedding,35,32093.22,9047.11,8181.17
DRG191,PID50006,RIDCARedding,37,34315.72,7675.45,6701.62
DRG191,PID50280,RIDCARedding,49,35355.16,8066.59,7240.79
DRG191,PID50764,RIDCARedding,31,36803.83,7339.35,6397.16
DRG192,PID50006,RIDCARedding,17,29973,5756.05,4700.05
DRG192,PID50028,RIDCARedding,19,17649.68,5054,3984.94
DRG192,PID50280,RIDCARedding,25,26335.8,6841.04,4726
DRG192,PID50764,RIDCARedding,12,35326.66,5566,4547
DRG193,PID50006,RIDCARedding,27,48050.4,10943.14,9619.92
DRG193,PID50280,RIDCARedding,108,48807,11657.91,10846.87
DRG193,PID50764,RIDCARedding,140,47702.55,11276.38,10545.19
DRG194,PID50006,RIDCARedding,44,37231.4,7959.7,7064.34
DRG194,PID50028,RIDCARedding,35,23427,7019.91,6058.77
DRG194,PID50280,RIDCARedding,113,31621.36,8238.14,7323.59
DRG194,PID50764,RIDCARedding,38,32580.92,7719.07,6772.55
