drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50017,RIDCASacramento,27,66207.66,10863.22,6924.7
DRG039,PID50108,RIDCASacramento,67,60997.16,8894.85,7905.65
DRG039,PID50133,RIDCASacramento,27,45246.74,7863.14,6946.7
DRG039,PID50309,RIDCASacramento,13,41204.23,8964.61,5847
DRG039,PID50516,RIDCASacramento,39,54446.46,9882.15,7246.15
DRG039,PID50599,RIDCASacramento,13,146892,11514.38,9758.3
DRG057,PID50108,RIDCASacramento,16,37542.81,7936.87,6518
DRG057,PID50133,RIDCASacramento,15,33826.86,6904.53,6011.73
DRG057,PID50309,RIDCASacramento,16,32757.81,6692.87,5702.37
DRG057,PID50336,RIDCASacramento,13,85551.61,6946.46,5991.07
DRG057,PID50516,RIDCASacramento,12,51080.5,7772.16,7020.16
DRG057,PID50599,RIDCASacramento,22,91198.4,12360.9,11490.54
DRG064,PID50017,RIDCASacramento,42,90331.47,15404.11,14487.26
DRG064,PID50108,RIDCASacramento,46,129674.76,22258.52,20468.76
DRG064,PID50133,RIDCASacramento,28,70006.21,15779.39,14939.57
DRG064,PID50150,RIDCASacramento,12,45821.91,12715.75,11877.41
DRG064,PID50254,RIDCASacramento,18,71834.38,13049.72,11888.05
DRG064,PID50309,RIDCASacramento,35,52307.14,13236.37,12593.2
DRG064,PID50336,RIDCASacramento,19,113916.94,13890.1,12819.36
DRG064,PID50425,RIDCASacramento,14,42662.5,13058.21,12090.21
DRG064,PID50498,RIDCASacramento,14,52632.14,18589.78,9770.57
DRG064,PID50516,RIDCASacramento,49,63895.95,15085.46,14201.91
DRG064,PID50599,RIDCASacramento,42,162831.35,28518.88,22888.21
DRG065,PID50014,RIDCASacramento,16,34064.12,8505.37,7735.12
DRG065,PID50017,RIDCASacramento,52,47081.34,8650.98,7662.73
DRG065,PID50108,RIDCASacramento,54,44365.46,9755.72,8840.46
DRG065,PID50133,RIDCASacramento,53,39540.66,8908.73,7872.43
DRG065,PID50150,RIDCASacramento,40,32843.17,8254.8,7241.6
DRG065,PID50254,RIDCASacramento,30,55950.4,8718.66,7934.76
DRG065,PID50309,RIDCASacramento,79,38909.82,8438.22,7217.84
DRG065,PID50336,RIDCASacramento,50,77457.52,8911.04,7573.04
DRG065,PID50414,RIDCASacramento,13,37205.46,7194.69,6003.53
DRG065,PID50425,RIDCASacramento,25,28326.48,8043.28,7057.36
DRG065,PID50498,RIDCASacramento,26,28671.76,7819.38,6870.15
DRG065,PID50516,RIDCASacramento,75,47639.9,10430.05,8386.96
DRG065,PID50537,RIDCASacramento,14,31155,8454.78,6334.64
DRG065,PID50590,RIDCASacramento,33,51722.33,10366.51,9517.66
DRG065,PID50599,RIDCASacramento,48,96271.54,14034.56,13214.47
DRG065,PID50674,RIDCASacramento,16,24996.5,8536.81,7483.56
DRG066,PID50014,RIDCASacramento,13,30898,6874.46,5754.76
DRG066,PID50017,RIDCASacramento,18,42146.88,8469.05,5509.83
DRG066,PID50108,RIDCASacramento,40,40387.42,7188.1,5979.2
DRG066,PID50133,RIDCASacramento,42,32764.4,6211.35,5301.07
DRG066,PID50150,RIDCASacramento,25,24207.88,5723.08,4823.88
DRG066,PID50309,RIDCASacramento,43,29719.34,5934.44,4861.79
DRG066,PID50336,RIDCASacramento,23,67896.52,6216.34,4737.3
DRG066,PID50414,RIDCASacramento,15,34472,7624.8,4159.73
DRG066,PID50425,RIDCASacramento,17,32343.47,6085.47,5160.76
DRG066,PID50498,RIDCASacramento,14,26842.78,5956.07,4992.64
DRG066,PID50516,RIDCASacramento,33,37909.27,7054.12,5691.57
DRG066,PID50537,RIDCASacramento,11,22851.63,6156.45,4640.18
DRG066,PID50590,RIDCASacramento,25,35644.48,9902.8,5990.2
DRG066,PID50599,RIDCASacramento,36,64004.86,10693.58,8735.47
DRG069,PID50017,RIDCASacramento,19,41888,6068,5066.94
DRG069,PID50108,RIDCASacramento,38,36096.94,7515.34,5311.97
DRG069,PID50133,RIDCASacramento,37,27038.59,5644.48,4668.91
DRG069,PID50150,RIDCASacramento,15,22050,5270.8,4296.13
DRG069,PID50254,RIDCASacramento,17,41825.58,5423.05,4633.41
DRG069,PID50309,RIDCASacramento,32,27153.81,5436.06,4273.18
DRG069,PID50336,RIDCASacramento,15,63484.46,5507.4,4514.4
DRG069,PID50414,RIDCASacramento,23,28499.73,6121.47,4034.78
DRG069,PID50516,RIDCASacramento,61,31945.62,6146.96,4960.09
DRG069,PID50590,RIDCASacramento,26,36332.19,6806.96,5901.26
DRG069,PID50599,RIDCASacramento,14,46862.42,8395.07,7335.07
DRG074,PID50108,RIDCASacramento,13,29769.84,7600.23,6731.92
DRG074,PID50133,RIDCASacramento,18,27266.77,6645.55,5953.77
DRG074,PID50516,RIDCASacramento,19,52031.15,8431.36,7097.57
