drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50334,RIDCASalinas,17,53860.17,16744.82,7051.05
DRG057,PID50145,RIDCASalinas,13,34389.38,7929.46,5773.46
DRG057,PID50334,RIDCASalinas,17,30182.11,8171.11,7176.05
DRG064,PID50145,RIDCASalinas,20,90003.65,20400.35,19499.55
DRG064,PID50334,RIDCASalinas,26,74869.19,19531.07,18584.3
DRG065,PID50145,RIDCASalinas,71,49269.76,11094.25,8514.5
DRG065,PID50334,RIDCASalinas,72,46812.68,11059.38,10093.48
DRG066,PID50145,RIDCASalinas,40,33969.77,6243.45,5287.65
DRG066,PID50334,RIDCASalinas,29,29790.06,7220.82,6212.55
DRG069,PID50145,RIDCASalinas,28,40103.14,6724,5153.21
DRG069,PID50334,RIDCASalinas,30,27015.76,6550.33,5542.2
DRG074,PID50334,RIDCASalinas,16,42336,7908,7273.18
DRG101,PID50145,RIDCASalinas,18,30041.38,6017.61,5208.94
DRG101,PID50334,RIDCASalinas,20,26568.5,6712.95,5758.75
DRG149,PID50145,RIDCASalinas,17,27942.05,4995.52,4002.35
DRG176,PID50145,RIDCASalinas,36,47504.41,9331.05,7222.36
DRG177,PID50145,RIDCASalinas,18,117482.66,28212.72,27465.11
DRG177,PID50334,RIDCASalinas,31,76142.51,21013.96,17678.87
DRG178,PID50145,RIDCASalinas,44,63611.7,12202.75,11462.47
DRG178,PID50334,RIDCASalinas,25,62604.04,13377.04,12748.28
DRG189,PID50145,RIDCASalinas,11,62211.45,11741.45,11232.81
DRG189,PID50334,RIDCASalinas,35,62950.34,15342.74,14136.57
DRG190,PID50145,RIDCASalinas,66,66181.71,14252.48,10622.07
DRG190,PID50248,RIDCASalinas,12,87334,14385.16,13727.5
DRG190,PID50334,RIDCASalinas,75,62954.92,11808.18,11071.6
DRG191,PID50145,RIDCASalinas,65,52377.8,9682.53,7573.46
DRG191,PID50334,RIDCASalinas,55,43548.12,9506.67,7794.8
DRG192,PID50145,RIDCASalinas,26,41239.26,6210.19,5431.42
DRG192,PID50248,RIDCASalinas,13,39494.53,9144.23,8631.61
DRG192,PID50334,RIDCASalinas,35,41168.85,6764.62,5870
DRG193,PID50145,RIDCASalinas,31,69740.9,13095.51,12404.8
DRG193,PID50334,RIDCASalinas,58,69193.86,15790.53,14957.34
DRG194,PID50145,RIDCASalinas,111,54395.36,9381.61,7926.42
DRG194,PID50189,RIDCASalinas,13,56273.46,15638,14598.07
DRG194,PID50248,RIDCASalinas,18,65411.94,12865.11,11930.66
DRG194,PID50334,RIDCASalinas,75,52020.41,9027.54,8098.58
DRG195,PID50145,RIDCASalinas,44,40776.2,5592.97,4596.13
DRG195,PID50334,RIDCASalinas,17,35326.05,6325.64,5334.35
DRG202,PID50334,RIDCASalinas,24,39686.91,7955.12,6274.04
DRG203,PID50145,RIDCASalinas,13,42024.53,7752.23,3525.84
DRG203,PID50334,RIDCASalinas,12,25073,5427.75,4314.41
DRG207,PID50145,RIDCASalinas,16,329906.18,85748,84700.87
DRG207,PID50334,RIDCASalinas,23,280786.47,80840.56,79481.73
DRG208,PID50145,RIDCASalinas,21,105617.38,19940.66,19192.09
DRG208,PID50334,RIDCASalinas,16,74701.12,21688.5,20778.75
DRG238,PID50334,RIDCASalinas,14,112527.92,41601.64,26358.07
DRG243,PID50145,RIDCASalinas,27,89154.4,21947.96,21238.81
DRG243,PID50334,RIDCASalinas,22,73778.72,22812.77,21943.86
DRG244,PID50145,RIDCASalinas,16,68881.62,17007.56,16093.81
DRG244,PID50334,RIDCASalinas,20,47362.5,19494.85,15596.1
DRG246,PID50145,RIDCASalinas,21,158730.76,44286.9,33569.57
DRG246,PID50334,RIDCASalinas,22,153422.22,36752.59,35833.63
DRG247,PID50145,RIDCASalinas,39,86136.71,19648.79,14291.15
DRG247,PID50334,RIDCASalinas,48,86989.06,20067.81,16484.35
DRG249,PID50145,RIDCASalinas,12,80042.75,16838.5,11771.83
DRG251,PID50145,RIDCASalinas,12,69313.41,14069.16,13222.83
DRG251,PID50334,RIDCASalinas,23,89715.04,19459.69,15555.65
DRG252,PID50145,RIDCASalinas,13,111356.3,29503.3,28985.76
DRG252,PID50334,RIDCASalinas,15,81537.86,26863.06,25878.06
DRG253,PID50145,RIDCASalinas,14,111215.42,26289.71,25483.42
DRG253,PID50334,RIDCASalinas,20,113060.95,28616.55,25131.9
DRG254,PID50145,RIDCASalinas,13,83884.3,15110.15,14328.92
DRG280,PID50145,RIDCASalinas,29,93664.72,18757.58,17903.27
DRG280,PID50334,RIDCASalinas,28,61625.39,18483.42,15359.89
DRG281,PID50145,RIDCASalinas,19,47196.89,9314,8423.68
DRG281,PID50334,RIDCASalinas,21,47858.61,10389.76,9482.52
DRG282,PID50145,RIDCASalinas,15,37969.13,6267.06,5443.33
DRG287,PID50145,RIDCASalinas,30,49382.7,9389.76,7287.93
DRG287,PID50334,RIDCASalinas,38,55727.84,11462.68,9603.28
DRG291,PID50145,RIDCASalinas,44,85696.43,19036.72,17181.2
DRG291,PID50248,RIDCASalinas,16,93283.81,19310.37,18958.56
DRG291,PID50334,RIDCASalinas,67,63046.94,15224.89,13166.37
DRG292,PID50145,RIDCASalinas,83,45162.45,8544.51,7800.2
DRG292,PID50248,RIDCASalinas,12,79976.41,12878.58,12317.91
DRG292,PID50334,RIDCASalinas,115,43780.03,10101.32,8106.96
DRG293,PID50145,RIDCASalinas,27,34541.25,5301.55,4347.92
DRG293,PID50334,RIDCASalinas,16,35333.93,6013.12,5172.12
DRG300,PID50145,RIDCASalinas,30,49169.5,8720.9,7931.7
DRG300,PID50334,RIDCASalinas,16,49313,9698.31,8924
DRG303,PID50145,RIDCASalinas,14,27394,6593.64,3509.92
DRG305,PID50145,RIDCASalinas,12,31910.25,7612.33,3372.66
DRG308,PID50145,RIDCASalinas,18,45195.66,11075.27,8360.88
DRG308,PID50334,RIDCASalinas,33,46449,11455.72,10744.12
DRG309,PID50145,RIDCASalinas,70,37577.61,7033.48,5615.12
DRG309,PID50334,RIDCASalinas,41,34787.09,8457.65,7314.87
DRG310,PID50145,RIDCASalinas,74,24727.64,4908.72,3385.09
DRG310,PID50248,RIDCASalinas,14,54814.85,7485.14,6762
DRG310,PID50334,RIDCASalinas,37,20736.13,5107.97,4259.97
DRG312,PID50145,RIDCASalinas,35,33288.91,5581.17,4520.25
DRG312,PID50334,RIDCASalinas,51,34375.64,6816.58,5486.45
DRG313,PID50145,RIDCASalinas,27,32270.96,6408.74,2948.62
DRG313,PID50248,RIDCASalinas,28,35858.21,7006.1,6039.25
DRG313,PID50334,RIDCASalinas,40,25986.4,5344.52,3905.7
DRG314,PID50145,RIDCASalinas,12,72779.25,16088.75,15622.41
DRG314,PID50334,RIDCASalinas,15,73247.53,21120.66,18733.4
DRG315,PID50145,RIDCASalinas,21,53128.04,8417.14,7671.52
DRG329,PID50145,RIDCASalinas,26,239266.88,62028.57,61119.11
DRG329,PID50334,RIDCASalinas,23,255528.47,73211.91,72455.86
DRG330,PID50145,RIDCASalinas,51,114290.88,26470.54,24486.47
DRG330,PID50334,RIDCASalinas,36,98411.66,27352.77,23398.11
DRG372,PID50145,RIDCASalinas,21,56340.71,10090.19,9530.28
DRG377,PID50145,RIDCASalinas,23,97312.21,18244.13,17514.26
DRG377,PID50334,RIDCASalinas,28,92670.32,23261.85,22490.78
DRG378,PID50145,RIDCASalinas,101,43563.85,8437.07,7475.09
DRG378,PID50334,RIDCASalinas,67,38784.85,9161.68,8187.04
DRG379,PID50145,RIDCASalinas,19,37190.78,5588,4580.21
DRG379,PID50334,RIDCASalinas,16,24048.81,6955,5148.75
DRG389,PID50145,RIDCASalinas,22,32708,7707.81,6257.68
DRG389,PID50334,RIDCASalinas,24,35174.54,9327.16,7393.87
DRG390,PID50145,RIDCASalinas,20,33676.95,4979.2,4025
DRG390,PID50334,RIDCASalinas,20,25281.75,5610.85,4656.65
DRG391,PID50145,RIDCASalinas,20,57182.55,10871.95,10030.9
DRG391,PID50334,RIDCASalinas,22,42390.59,18261.95,9208.18
DRG392,PID50145,RIDCASalinas,105,40581.26,6781.67,5638.32
DRG392,PID50189,RIDCASalinas,12,39962,11105,10169.66
DRG392,PID50248,RIDCASalinas,15,49410.2,9183.4,8279.93
DRG392,PID50334,RIDCASalinas,95,30997.07,7247.18,5438.57
DRG394,PID50145,RIDCASalinas,19,41105.1,7771.36,7000.21
DRG394,PID50334,RIDCASalinas,29,38328.44,8902.48,8126.2
DRG418,PID50145,RIDCASalinas,25,74093.56,18165.72,11747.28
DRG418,PID50334,RIDCASalinas,21,70320.38,15913.28,15001.47
DRG419,PID50145,RIDCASalinas,18,53657.27,9145.55,8024.22
DRG419,PID50334,RIDCASalinas,27,46617.77,11087.33,9107.85
DRG460,PID50145,RIDCASalinas,80,110464.61,32065.62,28757.9
DRG460,PID50334,RIDCASalinas,52,100830.98,36446.05,32149.55
DRG469,PID50145,RIDCASalinas,11,141162,29657.9,28537.54
DRG470,PID50145,RIDCASalinas,286,77323.23,16820.1,15172.32
DRG470,PID50248,RIDCASalinas,14,135925.35,27657.57,21125.28
DRG470,PID50334,RIDCASalinas,204,70597.3,20414.32,15971.99
DRG473,PID50145,RIDCASalinas,29,68290.24,17899.06,14628.62
DRG473,PID50334,RIDCASalinas,19,55210.42,18651.21,17418.36
DRG480,PID50145,RIDCASalinas,13,126100.46,34822.61,25018.84
DRG480,PID50334,RIDCASalinas,16,111144.12,29907.31,28852.06
DRG481,PID50145,RIDCASalinas,51,71494.33,14390.78,13231.76
DRG481,PID50334,RIDCASalinas,43,68186,16651.13,15657.48
DRG482,PID50145,RIDCASalinas,19,56599.15,12977.42,10305.26
DRG482,PID50334,RIDCASalinas,12,54135.83,13553.75,12712.75
DRG491,PID50145,RIDCASalinas,39,51164.38,9957.79,7193.05
DRG491,PID50334,RIDCASalinas,31,40509.41,9646.48,7416.8
DRG536,PID50145,RIDCASalinas,18,37750.05,5958.61,4957.72
DRG536,PID50334,RIDCASalinas,12,20381.58,6346,5416
DRG552,PID50145,RIDCASalinas,34,34373.47,6810.2,5283.88
DRG552,PID50334,RIDCASalinas,18,32931.88,7522.55,6032.55
DRG563,PID50145,RIDCASalinas,12,34805.16,5592.66,4746.33
DRG603,PID50145,RIDCASalinas,96,34988.79,6765.45,5501.88
DRG603,PID50248,RIDCASalinas,16,84335,10969.06,9984.56
DRG603,PID50334,RIDCASalinas,53,30715.47,8157.22,6107.18
DRG638,PID50145,RIDCASalinas,16,50954.12,8790,6776.56
DRG638,PID50334,RIDCASalinas,16,35770.18,7426.37,6654.12
DRG640,PID50334,RIDCASalinas,37,42936.97,11111.97,9655.54
DRG641,PID50145,RIDCASalinas,65,35936.47,5647.78,4444.41
DRG641,PID50248,RIDCASalinas,11,54554.72,8975.36,8060.81
DRG641,PID50334,RIDCASalinas,86,32544.55,6702.97,5568.4
DRG682,PID50145,RIDCASalinas,15,65757.6,14369.86,13550.4
DRG682,PID50334,RIDCASalinas,45,64765.66,17326.57,15183.51
DRG683,PID50145,RIDCASalinas,43,53579.27,11285.39,10708.46
DRG683,PID50189,RIDCASalinas,12,36366.66,15405.16,14747.5
DRG683,PID50334,RIDCASalinas,56,43170.67,10098.08,8756.37
DRG689,PID50145,RIDCASalinas,25,47482.32,10137.72,9286.36
DRG689,PID50334,RIDCASalinas,22,46000.09,10685.68,9813.86
DRG690,PID50145,RIDCASalinas,115,35123.33,6204.8,5354.81
DRG690,PID50189,RIDCASalinas,11,30357.63,12175,11148.81
DRG690,PID50248,RIDCASalinas,31,54401.93,10053.32,9148.67
DRG690,PID50334,RIDCASalinas,86,28360.06,6877.2,6066.32
DRG698,PID50334,RIDCASalinas,12,69481.25,16931.91,13560.08
DRG699,PID50334,RIDCASalinas,17,39476.94,11772.58,7210.05
DRG812,PID50145,RIDCASalinas,28,26720.85,6373.03,5117.82
DRG812,PID50334,RIDCASalinas,18,30515.5,11237.77,5311.77
DRG853,PID50145,RIDCASalinas,20,261918.95,68988.3,68147.15
DRG853,PID50334,RIDCASalinas,34,244805.64,78255.73,69810.2
DRG870,PID50145,RIDCASalinas,13,324829.61,83457.84,82504.61
DRG885,PID50248,RIDCASalinas,133,38953.12,12753.27,11872.9
DRG871,PID50145,RIDCASalinas,102,80219.03,20180.42,18400.63
DRG871,PID50334,RIDCASalinas,105,92629.41,23125.05,21517.7
DRG872,PID50145,RIDCASalinas,108,48940.23,10548.31,8688.37
DRG872,PID50334,RIDCASalinas,51,48621.35,10144.52,9262.98
DRG897,PID50145,RIDCASalinas,26,26321.38,5179.23,4014.5
DRG897,PID50248,RIDCASalinas,12,47974.08,9696.16,7117.91
DRG917,PID50145,RIDCASalinas,12,53936.91,11215.66,10369.33
DRG918,PID50145,RIDCASalinas,24,20492.12,5117.45,3927.29
DRG918,PID50334,RIDCASalinas,14,21671.57,5547.78,4829.21
DRG948,PID50145,RIDCASalinas,22,52706.68,8647.31,7814.09
DRG948,PID50334,RIDCASalinas,29,40610.89,7326.24,6268.75
