drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50026,RIDCASanDiego,26,40062.46,7449.8,6358.07
DRG039,PID50077,RIDCASanDiego,13,57187.3,8791.69,7925.84
DRG039,PID50115,RIDCASanDiego,12,44775.91,6992.33,5583
DRG039,PID50128,RIDCASanDiego,26,52977.92,7548.76,6598.3
DRG039,PID50222,RIDCASanDiego,13,55232.69,8104.38,7410.23
DRG039,PID50424,RIDCASanDiego,11,62924.09,7309.81,6289.45
DRG039,PID50701,RIDCASanDiego,14,26258,7244.28,6283.14
DRG039,PID50757,RIDCASanDiego,15,31017.06,7199.8,6249.06
DRG057,PID50025,RIDCASanDiego,16,31442.75,10488.87,9716.62
DRG057,PID50026,RIDCASanDiego,35,35709.8,6548.88,5778.14
DRG057,PID50077,RIDCASanDiego,41,29651.17,8133.31,7419.36
DRG057,PID50100,RIDCASanDiego,24,97439.5,11907.75,11273.62
DRG057,PID50222,RIDCASanDiego,17,47688,7356.76,6629.94
DRG057,PID50324,RIDCASanDiego,14,31504.42,7565.85,4218.14
DRG057,PID50342,RIDCASanDiego,12,23502,7361.83,6617.83
DRG057,PID50701,RIDCASanDiego,25,22742.32,6477.64,5807.4
DRG064,PID50024,RIDCASanDiego,18,40483.44,15389.83,14703.38
DRG064,PID50025,RIDCASanDiego,28,55882.25,19746.57,19025.71
DRG064,PID50026,RIDCASanDiego,72,72800.91,13512.97,12646.83
DRG064,PID50045,RIDCASanDiego,20,54395.2,15300.6,12928.2
DRG064,PID50077,RIDCASanDiego,82,75920.06,16569.29,15499.7
DRG064,PID50100,RIDCASanDiego,20,81066.55,14663.4,13820.8
DRG064,PID50115,RIDCASanDiego,32,69253.15,15002.87,11311.18
DRG064,PID50128,RIDCASanDiego,41,47114.26,12918.24,12020.6
DRG064,PID50222,RIDCASanDiego,18,83554.33,14158.83,13014.66
DRG064,PID50324,RIDCASanDiego,34,163300.05,21189.64,20267.64
DRG064,PID50342,RIDCASanDiego,19,59637.57,14651.1,13578.05
DRG064,PID50503,RIDCASanDiego,33,52029.42,13449.72,10676.84
DRG064,PID50534,RIDCASanDiego,12,172018,19525.91,18684.83
DRG064,PID50636,RIDCASanDiego,16,62076.87,12023.5,11021.31
DRG064,PID50701,RIDCASanDiego,25,38766.64,13292.68,12393.48
DRG064,PID50757,RIDCASanDiego,25,40382.28,12247.56,11595.48
DRG065,PID50024,RIDCASanDiego,21,29165.09,10018.57,9165.23
DRG065,PID50025,RIDCASanDiego,31,28698.67,12103.29,11238.25
DRG065,PID50026,RIDCASanDiego,83,51682.3,8478.69,7573.01
DRG065,PID50045,RIDCASanDiego,42,47296.47,9863.07,8976.69
DRG065,PID50077,RIDCASanDiego,87,43724.02,10522.62,8898.24
DRG065,PID50100,RIDCASanDiego,59,52263.22,9058.55,8183.03
DRG065,PID50115,RIDCASanDiego,72,41742.15,7727.75,6793.7
DRG065,PID50128,RIDCASanDiego,60,32294.93,8313.51,7396.51
DRG065,PID50222,RIDCASanDiego,18,63167.88,9284.05,8351.38
DRG065,PID50324,RIDCASanDiego,52,66787.61,9262.28,7764.86
DRG065,PID50342,RIDCASanDiego,22,36874.36,9440.4,8045.5
DRG065,PID50424,RIDCASanDiego,25,41501.48,13339.76,6171.4
DRG065,PID50503,RIDCASanDiego,47,35218.14,7632.36,6217.38
DRG065,PID50534,RIDCASanDiego,11,60044.63,10805.81,9782.54
DRG065,PID50636,RIDCASanDiego,32,38885.93,7121.28,6170.15
DRG065,PID50701,RIDCASanDiego,41,25901.82,8197.17,7293.07
DRG065,PID50757,RIDCASanDiego,25,31792,8881.96,7202.16
DRG066,PID50025,RIDCASanDiego,13,31618.53,9045.69,8052.92
DRG066,PID50026,RIDCASanDiego,40,39726.82,6458.45,4857.9
DRG066,PID50045,RIDCASanDiego,25,34340.16,7000.84,5885.48
DRG066,PID50077,RIDCASanDiego,37,39170.81,7211.1,6178.67
DRG066,PID50100,RIDCASanDiego,42,33182.71,6637.78,4941.85
DRG066,PID50115,RIDCASanDiego,26,38187.03,5629.46,4676.53
DRG066,PID50128,RIDCASanDiego,38,25126.94,5952.57,5037.52
DRG066,PID50222,RIDCASanDiego,22,44132.27,6444.95,5423.13
DRG066,PID50324,RIDCASanDiego,25,50847.92,6775.32,5028.56
DRG066,PID50342,RIDCASanDiego,20,32800.65,7089.9,5527.8
DRG066,PID50424,RIDCASanDiego,13,36372.76,5784.46,4831.53
DRG066,PID50503,RIDCASanDiego,23,30600.86,5774.17,4247.21
DRG066,PID50636,RIDCASanDiego,20,27063.65,4964.15,4005.15
DRG066,PID50701,RIDCASanDiego,24,17632.08,5767.41,4829.41
DRG066,PID50757,RIDCASanDiego,19,23557.73,6024.31,4753.05
DRG069,PID50024,RIDCASanDiego,12,22855.58,7084.5,5012.58
DRG069,PID50025,RIDCASanDiego,20,20575.7,7732.2,6664.8
DRG069,PID50026,RIDCASanDiego,65,35449.23,5964.81,4466.53
DRG069,PID50045,RIDCASanDiego,15,30187.6,7696.8,4878.06
DRG069,PID50077,RIDCASanDiego,71,31295.97,6770.09,5508.57
DRG069,PID50100,RIDCASanDiego,40,28259.07,5823.37,4551.75
DRG069,PID50115,RIDCASanDiego,30,29746.43,4913,3699.5
DRG069,PID50128,RIDCASanDiego,56,18128.3,5485.19,4237.85
DRG069,PID50222,RIDCASanDiego,35,39047.85,5851.57,4791.02
DRG069,PID50324,RIDCASanDiego,34,42309.52,5011.17,3519.11
DRG069,PID50342,RIDCASanDiego,19,22836.15,6865.68,4837.05
DRG069,PID50503,RIDCASanDiego,15,30643.73,4734.46,3761.93
DRG069,PID50534,RIDCASanDiego,12,48633.41,6772.16,5642.83
DRG069,PID50636,RIDCASanDiego,24,32483.41,4607,3625.83
DRG069,PID50701,RIDCASanDiego,43,14604.18,5194.51,4193.6
DRG069,PID50757,RIDCASanDiego,17,28424.64,5435.7,3886.58
DRG074,PID50024,RIDCASanDiego,11,26870.63,7751,6627.72
DRG074,PID50025,RIDCASanDiego,21,23759.71,10000.28,9585.57
DRG074,PID50026,RIDCASanDiego,44,43199.04,7141.75,5087.9
DRG074,PID50077,RIDCASanDiego,27,37474.96,7809.81,7101.81
DRG074,PID50100,RIDCASanDiego,11,35221.09,6780.81,6269.18
DRG074,PID50115,RIDCASanDiego,30,28682.23,6092,5661.26
DRG074,PID50128,RIDCASanDiego,12,20120.75,6936.58,5015.25
DRG074,PID50222,RIDCASanDiego,16,49598.87,6843.31,5929.56
DRG074,PID50757,RIDCASanDiego,37,25616.27,6421.48,4927.29
DRG101,PID50024,RIDCASanDiego,20,22600.25,6862,6325.9
DRG101,PID50025,RIDCASanDiego,38,21458.44,8543.68,7657.57
DRG101,PID50026,RIDCASanDiego,66,32525.59,5569,4778.72
DRG101,PID50077,RIDCASanDiego,34,36607.26,6735.61,5846.08
DRG101,PID50115,RIDCASanDiego,26,30775.61,5333.73,4513.88
DRG101,PID50128,RIDCASanDiego,26,20138.34,6160.03,4420.73
DRG101,PID50222,RIDCASanDiego,16,52178.43,6060,5358.5
DRG101,PID50324,RIDCASanDiego,12,37302.33,4805.5,3775.83
DRG101,PID50701,RIDCASanDiego,22,22456.09,5348.81,4685.72
DRG101,PID50757,RIDCASanDiego,24,21123.33,5413.62,4732.37
DRG149,PID50026,RIDCASanDiego,33,31562.84,5208.48,3612.36
DRG149,PID50077,RIDCASanDiego,22,27533.36,5746.54,4431.72
DRG149,PID50100,RIDCASanDiego,13,32700.84,5195.76,4155.76
DRG149,PID50115,RIDCASanDiego,12,22925.66,4523,3498.66
DRG149,PID50222,RIDCASanDiego,19,28644.42,5083.89,4258.21
DRG149,PID50701,RIDCASanDiego,15,15859.8,4544.2,3569.53
DRG149,PID50757,RIDCASanDiego,12,23673.5,4595,3746
DRG176,PID50025,RIDCASanDiego,19,25545.31,11190.31,10429.26
DRG176,PID50026,RIDCASanDiego,33,45112.09,8642.03,6705.78
DRG176,PID50100,RIDCASanDiego,20,44100.2,8140.05,7409.05
DRG176,PID50115,RIDCASanDiego,11,36804.72,6987.63,6170.18
DRG176,PID50128,RIDCASanDiego,15,26257.66,8361,5776.46
