drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50360,RIDCASanFrancisco,32,62077.71,8526,7540.5
DRG057,PID50047,RIDCASanFrancisco,18,56420.94,11423.61,10424.5
DRG057,PID50360,RIDCASanFrancisco,12,45402.83,7831.33,6796.33
DRG057,PID50454,RIDCASanFrancisco,15,48627.73,12035.13,11211.4
DRG064,PID50008,RIDCASanFrancisco,40,108910.85,17271.77,15740.42
DRG064,PID50047,RIDCASanFrancisco,33,103993.09,23790.75,20632.9
DRG064,PID50079,RIDCASanFrancisco,19,99690.52,17639.89,16933.36
DRG064,PID50101,RIDCASanFrancisco,13,72300,18423.76,17645
DRG064,PID50152,RIDCASanFrancisco,22,148617.27,20611.13,19642.27
DRG064,PID50228,RIDCASanFrancisco,19,158080.21,35275.57,34455
DRG064,PID50360,RIDCASanFrancisco,29,154059.17,21754.1,20980.1
DRG064,PID50454,RIDCASanFrancisco,53,135314.66,30412.15,28854.96
DRG064,PID50457,RIDCASanFrancisco,15,157993.93,24491.26,22500
DRG065,PID50008,RIDCASanFrancisco,47,76641.72,9582.53,8578.44
DRG065,PID50047,RIDCASanFrancisco,45,65422.02,12604.22,11199.73
DRG065,PID50055,RIDCASanFrancisco,11,80213.72,13587.81,12464.54
DRG065,PID50073,RIDCASanFrancisco,13,23432.84,8499.07,7548.61
DRG065,PID50079,RIDCASanFrancisco,35,60816.34,10986.05,10079.68
DRG065,PID50101,RIDCASanFrancisco,20,61136.8,11395.8,10504.6
DRG065,PID50152,RIDCASanFrancisco,32,76152.18,12149.68,10994.5
DRG065,PID50228,RIDCASanFrancisco,19,111618.15,24352.05,23402.26
DRG065,PID50360,RIDCASanFrancisco,60,82804.63,9693.96,8781.68
DRG065,PID50454,RIDCASanFrancisco,54,85166.11,16702.66,15927.46
DRG065,PID50457,RIDCASanFrancisco,22,61629,12201.63,9726.54
DRG066,PID50047,RIDCASanFrancisco,12,60376.16,9303.16,8179.16
DRG066,PID50152,RIDCASanFrancisco,19,62540.05,8280.1,7449.36
DRG066,PID50228,RIDCASanFrancisco,34,77093.05,14744.05,13710.23
DRG066,PID50360,RIDCASanFrancisco,35,62323.25,6858.85,5832.11
DRG066,PID50407,RIDCASanFrancisco,13,16672.3,6949,5996.07
DRG066,PID50454,RIDCASanFrancisco,40,52319.4,11025.02,10150.92
DRG066,PID50457,RIDCASanFrancisco,13,51663.3,8122.76,7256.92
DRG069,PID50047,RIDCASanFrancisco,16,53043.87,9619.68,6294.87
