drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50308,RIDCASanJose,12,59465,8180,7339
DRG039,PID50380,RIDCASanJose,17,69223.47,11721.64,7132.82
DRG057,PID50125,RIDCASanJose,16,68020.62,10792,9876.25
DRG057,PID50308,RIDCASanJose,11,67988.45,7510,6695.45
DRG057,PID50380,RIDCASanJose,16,70039.18,7429.5,6726
DRG064,PID50038,RIDCASanJose,24,73574.12,26104.41,23799.37
DRG064,PID50125,RIDCASanJose,46,161240.45,21440.43,20587.47
DRG064,PID50153,RIDCASanJose,25,115039.56,17141.6,16287.68
DRG064,PID50308,RIDCASanJose,52,90975.53,15318.76,14342.84
DRG064,PID50380,RIDCASanJose,46,113514.91,18469.5,14228.23
DRG064,PID50604,RIDCASanJose,11,55156.9,15032.36,13700.36
DRG065,PID50038,RIDCASanJose,20,59767.3,16656.75,15642.75
DRG065,PID50071,RIDCASanJose,13,28403.46,12280.76,11153.69
DRG065,PID50125,RIDCASanJose,51,116470.56,13818.68,12511.47
DRG065,PID50153,RIDCASanJose,42,80433.78,10982.73,10101.69
DRG065,PID50308,RIDCASanJose,63,60476.96,9462.85,8001.25
DRG065,PID50380,RIDCASanJose,65,87154.04,9952.26,8770.72
DRG065,PID50688,RIDCASanJose,24,82190.7,12352.83,9548.83
DRG066,PID50038,RIDCASanJose,18,32358.61,11547.88,10550.55
DRG066,PID50125,RIDCASanJose,20,97694.1,9299.25,7940.75
DRG066,PID50153,RIDCASanJose,22,60150.04,8598.72,6167.77
DRG066,PID50308,RIDCASanJose,38,53536.47,6495.1,5525.52
DRG066,PID50380,RIDCASanJose,46,71249.69,6956.97,5771.41
DRG069,PID50125,RIDCASanJose,19,78002.84,8405.84,7467.73
DRG069,PID50296,RIDCASanJose,15,24085.06,7369,6396.46
DRG069,PID50380,RIDCASanJose,20,55037.25,6302,4363.15
DRG074,PID50125,RIDCASanJose,11,95371.72,10022.18,9077.54
DRG074,PID50380,RIDCASanJose,14,51851.35,7178.28,6457.42
DRG101,PID50038,RIDCASanJose,14,25993,10635.92,9841.07
DRG101,PID50125,RIDCASanJose,21,88278.57,8806.28,7798.61
DRG101,PID50380,RIDCASanJose,17,60966,7573.76,5160.29
DRG176,PID50308,RIDCASanJose,20,54418.85,8537.5,7468.5
DRG177,PID50038,RIDCASanJose,15,66406.13,25233.66,24483.26
DRG177,PID50125,RIDCASanJose,47,173177.29,24734.21,24075.95
DRG177,PID50153,RIDCASanJose,38,122099.52,20296.15,19579.65
DRG177,PID50308,RIDCASanJose,105,106392.6,16842.13,16199.53
DRG177,PID50380,RIDCASanJose,56,110940.67,15955.85,15215.92
DRG177,PID50688,RIDCASanJose,24,147309.66,21578.25,20419.25
DRG178,PID50038,RIDCASanJose,16,53542.75,18249.56,17548.06
DRG178,PID50125,RIDCASanJose,39,106349.41,16466.71,15518.1
DRG178,PID50153,RIDCASanJose,50,87078.46,14649.92,13102.36
DRG178,PID50308,RIDCASanJose,61,71454.44,11312.96,10633.16
DRG178,PID50380,RIDCASanJose,37,72891.75,10989.43,10378.4
DRG189,PID50038,RIDCASanJose,17,56630.35,18548,17884
DRG189,PID50125,RIDCASanJose,45,127834.26,15977.26,15426.68
DRG189,PID50153,RIDCASanJose,21,91308.38,12897.42,12036.47
DRG189,PID50308,RIDCASanJose,49,77813.22,10494.4,9807.87
DRG189,PID50380,RIDCASanJose,33,78521.6,10676.48,9961.93
DRG189,PID50688,RIDCASanJose,45,102164.57,12352.73,11538.82
DRG190,PID50038,RIDCASanJose,32,42050.9,17088.5,16246.5
DRG190,PID50125,RIDCASanJose,76,114673.53,13803.35,13061.98
DRG190,PID50153,RIDCASanJose,57,94753.21,12069.26,11326.21
DRG190,PID50308,RIDCASanJose,45,73784.97,9722.24,8423.04
DRG190,PID50380,RIDCASanJose,43,90224.97,10514.04,9381.83
DRG190,PID50688,RIDCASanJose,26,80616.46,11143.26,10363.26
DRG191,PID50038,RIDCASanJose,15,37239.8,13777.6,12937.66
DRG191,PID50125,RIDCASanJose,63,94632.87,11190.5,10436.42
DRG191,PID50153,RIDCASanJose,27,57579.74,9821.81,8864.62
DRG191,PID50308,RIDCASanJose,44,52372.86,7706.77,6864.31
DRG191,PID50380,RIDCASanJose,32,73820.53,7945.46,6979.65
DRG191,PID50604,RIDCASanJose,14,23796.5,7839.07,6871.07
DRG192,PID50038,RIDCASanJose,16,47495.5,10721.31,9951.06
DRG192,PID50125,RIDCASanJose,40,81308.12,8329.92,7642.17
DRG192,PID50153,RIDCASanJose,15,48279.06,7255,6211.26
DRG192,PID50308,RIDCASanJose,14,38126.85,5652,4610
DRG192,PID50380,RIDCASanJose,25,45021.08,5920.56,4974.8
DRG192,PID50688,RIDCASanJose,15,51165.13,6835,6015.53
DRG193,PID50038,RIDCASanJose,20,37357.4,19998,19212
DRG193,PID50125,RIDCASanJose,69,132960.24,17487.6,16504.2
DRG193,PID50153,RIDCASanJose,48,96269.68,14415.29,13782.54
DRG193,PID50296,RIDCASanJose,14,58181.71,14852.71,13666.92
DRG193,PID50308,RIDCASanJose,50,88642.44,13398.74,12034.74
DRG193,PID50380,RIDCASanJose,39,100346.94,12670.23,11834.23
DRG193,PID50688,RIDCASanJose,18,95533.16,14214.44,13463.33
DRG194,PID50038,RIDCASanJose,31,33058.35,13652.38,12800.96
DRG194,PID50125,RIDCASanJose,93,80064.74,11671.41,10755.63
DRG194,PID50153,RIDCASanJose,48,65855.58,9845.64,8937.79
DRG194,PID50296,RIDCASanJose,48,45838.02,10221.85,9443.7
DRG194,PID50308,RIDCASanJose,71,47354.29,8066.5,7085.66
DRG194,PID50380,RIDCASanJose,52,62131.32,9572.76,6836.55
DRG194,PID50688,RIDCASanJose,19,56733.05,9272.94,8301.68
DRG195,PID50125,RIDCASanJose,22,70365.31,8162.5,7142.13
DRG195,PID50153,RIDCASanJose,14,46931.21,7047.28,5644.85
DRG195,PID50296,RIDCASanJose,17,29673.94,7152,6158.82
DRG195,PID50308,RIDCASanJose,27,42321.14,5692.22,4605.7
DRG195,PID50380,RIDCASanJose,34,42030.52,5839.88,4814.35
DRG195,PID50688,RIDCASanJose,21,55807.04,6870.66,5528.95
DRG202,PID50125,RIDCASanJose,24,81250.54,9705,8839.08
DRG202,PID50153,RIDCASanJose,13,81507.76,8518.53,7398.84
DRG202,PID50308,RIDCASanJose,19,40367,6766,5761.57
DRG202,PID50380,RIDCASanJose,18,70728.61,7026.5,6025.61
DRG203,PID50380,RIDCASanJose,11,38668.72,5072.27,3974.72
DRG207,PID50038,RIDCASanJose,15,284742.73,86555.46,84171.33
DRG207,PID50125,RIDCASanJose,18,392172.38,67837.66,57188.83
DRG207,PID50380,RIDCASanJose,20,352359.1,42857.35,41540.9
DRG208,PID50038,RIDCASanJose,31,82091.9,32137.61,31504.77
DRG208,PID50125,RIDCASanJose,56,178049.58,27548.8,26681.37
DRG208,PID50153,RIDCASanJose,24,175631.16,23352.04,22114.12
DRG208,PID50308,RIDCASanJose,13,98058.53,18176,17479.38
DRG208,PID50380,RIDCASanJose,19,163006.73,19372.63,17132.21
DRG238,PID50153,RIDCASanJose,17,184142.88,29418.41,28184.17
DRG238,PID50308,RIDCASanJose,53,172786.86,25380.16,24489.77
DRG238,PID50380,RIDCASanJose,15,172835.13,25734.73,23169
DRG243,PID50038,RIDCASanJose,13,81299.38,37370,36419.53
DRG243,PID50125,RIDCASanJose,23,182281.73,30576.21,29694.47
DRG243,PID50153,RIDCASanJose,24,148852.83,26740.66,25759.5
DRG243,PID50308,RIDCASanJose,24,106165.12,21291,20400.16
DRG243,PID50380,RIDCASanJose,31,148756.93,22442.64,20490.93
DRG243,PID50688,RIDCASanJose,11,123773.81,25093,24169.72
DRG244,PID50308,RIDCASanJose,20,79665.25,16308.55,15242.75
DRG244,PID50380,RIDCASanJose,25,111281.8,17011.76,15930.16
DRG246,PID50125,RIDCASanJose,22,307043.22,38362.13,37496.13
DRG246,PID50153,RIDCASanJose,21,291514.8,34821.71,33972.95
DRG246,PID50308,RIDCASanJose,19,224398.21,30913.47,29807.78
DRG246,PID50380,RIDCASanJose,25,243054.92,29824.48,23625.12
DRG247,PID50071,RIDCASanJose,28,14885.1,18353.14,17634.57
DRG247,PID50125,RIDCASanJose,26,175648.53,25956.03,19306.53
DRG247,PID50153,RIDCASanJose,33,198364.51,20773.15,18095.06
DRG247,PID50308,RIDCASanJose,48,146556.41,17669.27,15023.08
DRG247,PID50380,RIDCASanJose,61,185597.9,19462.37,15187.65
DRG251,PID50125,RIDCASanJose,12,172889.33,21565.66,18607.58
DRG251,PID50308,RIDCASanJose,13,119429,14736.38,13788.46
DRG251,PID50380,RIDCASanJose,16,185445.06,15432.18,14445.75
DRG252,PID50125,RIDCASanJose,16,193699.5,34215.25,33515.75
DRG252,PID50153,RIDCASanJose,20,207154.9,31834.15,31059.15
DRG252,PID50308,RIDCASanJose,22,182970.04,27059.4,26371.36
DRG252,PID50380,RIDCASanJose,16,178391.68,25947.75,22174.25
DRG253,PID50153,RIDCASanJose,18,128425.16,24079.83,23456.27
DRG253,PID50308,RIDCASanJose,31,182401.19,25872.64,25218.45
DRG254,PID50153,RIDCASanJose,20,97390.75,16162.65,15205.25
DRG254,PID50308,RIDCASanJose,23,82727.6,13412.34,12433.52
DRG254,PID50380,RIDCASanJose,15,141691.8,13855.73,13178.66
DRG280,PID50038,RIDCASanJose,11,44015.9,25980.63,24857.36
DRG280,PID50125,RIDCASanJose,27,164964.92,21154.96,20279.25
DRG280,PID50153,RIDCASanJose,22,92806.09,17865.18,16943.36
DRG280,PID50308,RIDCASanJose,23,80715.65,14637.91,13791.69
DRG280,PID50380,RIDCASanJose,27,103173.55,14662.37,13998.66
DRG280,PID50688,RIDCASanJose,12,89713.16,14933.41,14087.08
DRG281,PID50125,RIDCASanJose,22,133552.4,15208.77,14394.27
DRG281,PID50308,RIDCASanJose,13,75493.61,9445.3,8581.92
DRG281,PID50380,RIDCASanJose,12,79128,10341.91,8414.16
DRG286,PID50125,RIDCASanJose,19,179642.94,23070.05,21090.05
DRG286,PID50153,RIDCASanJose,14,162153,24199.14,17635.85
DRG287,PID50038,RIDCASanJose,23,54359.47,15621.52,14547.08
DRG287,PID50071,RIDCASanJose,16,47149.25,16187.75,15079.37
DRG287,PID50125,RIDCASanJose,51,129466.01,12602.96,11289.29
DRG287,PID50153,RIDCASanJose,29,108131.2,10918.89,9876
DRG287,PID50308,RIDCASanJose,16,92391.18,10407,7887.5
DRG287,PID50380,RIDCASanJose,17,95070.58,9657.64,7747.05
DRG291,PID50038,RIDCASanJose,27,66087.85,21697.7,20861.55
DRG291,PID50125,RIDCASanJose,109,118406.24,17053.95,16474.73
DRG291,PID50153,RIDCASanJose,72,97346.65,15149.16,14571
DRG291,PID50296,RIDCASanJose,12,69523.16,17155.91,13148.25
DRG291,PID50308,RIDCASanJose,94,89817.84,13272.27,12510.35
DRG291,PID50380,RIDCASanJose,94,89351.4,12837.68,11834.55
DRG291,PID50604,RIDCASanJose,11,36237,12028.63,11439.81
DRG291,PID50688,RIDCASanJose,39,85984.07,14219.48,13556.82
DRG292,PID50038,RIDCASanJose,56,39379.3,14667.71,13967.07
DRG292,PID50071,RIDCASanJose,18,31366.27,11433,10687.22
DRG292,PID50125,RIDCASanJose,81,92913.72,11765.59,10803.7
DRG292,PID50153,RIDCASanJose,79,73271.62,10340.56,9513.87
DRG292,PID50296,RIDCASanJose,25,35732.92,9995.4,9136.16
DRG292,PID50308,RIDCASanJose,105,52019.29,8037.62,7268.4
