drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50232,RIDCASanLuisObispo,18,64419.66,7185.44,6249.22
DRG065,PID50016,RIDCASanLuisObispo,15,35434.73,7330.26,6431.06
DRG065,PID50232,RIDCASanLuisObispo,18,47142.61,7289.27,6475.27
DRG065,PID50506,RIDCASanLuisObispo,36,83908.94,8243.13,7214.36
DRG065,PID50633,RIDCASanLuisObispo,33,67589.45,7868.24,6984.12
DRG066,PID50016,RIDCASanLuisObispo,12,37670.91,5516.75,4481.75
DRG066,PID50232,RIDCASanLuisObispo,16,33869.37,5503.37,4446.12
DRG066,PID50506,RIDCASanLuisObispo,16,68977.5,5914.37,4498.62
DRG066,PID50633,RIDCASanLuisObispo,22,48701.09,5644.54,4311.04
DRG069,PID50506,RIDCASanLuisObispo,14,58726.71,5381.42,4422.57
DRG069,PID50633,RIDCASanLuisObispo,47,44844.93,5099.76,4027.97
DRG149,PID50633,RIDCASanLuisObispo,14,35017.71,4446.35,3318.92
DRG176,PID50633,RIDCASanLuisObispo,11,66322.63,9845.63,6042
DRG177,PID50633,RIDCASanLuisObispo,15,185236.13,16177.6,15506.86
DRG178,PID50506,RIDCASanLuisObispo,11,71185.54,11021.81,9238.18
DRG178,PID50633,RIDCASanLuisObispo,19,126628.94,10760.31,10167.84
DRG189,PID50016,RIDCASanLuisObispo,47,46840.38,9007.7,8219.04
DRG189,PID50232,RIDCASanLuisObispo,19,68482.31,8604.73,8068.52
DRG189,PID50506,RIDCASanLuisObispo,16,111986.5,9505.43,8876.68
DRG189,PID50633,RIDCASanLuisObispo,17,123543.41,9225.82,8696.88
DRG190,PID50016,RIDCASanLuisObispo,13,36585.3,7822.61,6959.23
DRG190,PID50633,RIDCASanLuisObispo,18,83225.55,8200,7511.77
DRG191,PID50232,RIDCASanLuisObispo,17,57441.7,7318.52,6591.76
DRG191,PID50633,RIDCASanLuisObispo,30,73055.7,6681.2,5855.33
DRG192,PID50633,RIDCASanLuisObispo,43,54069.06,5189.55,3876.76
DRG193,PID50232,RIDCASanLuisObispo,15,97023.53,11083.2,10259.46
DRG193,PID50506,RIDCASanLuisObispo,13,110953.92,11467.3,10686
DRG193,PID50633,RIDCASanLuisObispo,28,156246.64,13452.03,11981.35
DRG194,PID50016,RIDCASanLuisObispo,28,32882.25,6799.89,5760.17
DRG194,PID50232,RIDCASanLuisObispo,52,41286.34,6588.15,5767.07
DRG194,PID50506,RIDCASanLuisObispo,30,71497.43,7281.6,6457.86
DRG194,PID50633,RIDCASanLuisObispo,75,100812.52,6990.02,6196.48
DRG195,PID50016,RIDCASanLuisObispo,15,23257.53,4776.73,3953
DRG195,PID50232,RIDCASanLuisObispo,17,34677.23,4769.88,3841.41
DRG195,PID50506,RIDCASanLuisObispo,20,46974.2,5210.1,4257.5
DRG195,PID50633,RIDCASanLuisObispo,51,48017.96,4925.47,3975.43
DRG203,PID50633,RIDCASanLuisObispo,20,54165.25,4230.5,3219.7
DRG238,PID50506,RIDCASanLuisObispo,12,152559.91,22685,21561
DRG243,PID50232,RIDCASanLuisObispo,15,116219.53,17805.46,16830.8
DRG244,PID50232,RIDCASanLuisObispo,20,94365.9,15105.25,11544
DRG246,PID50232,RIDCASanLuisObispo,12,136362.75,21346.25,20596.91
DRG247,PID50232,RIDCASanLuisObispo,101,108184.29,13291.52,11836.29
DRG249,PID50232,RIDCASanLuisObispo,20,106122.55,11906.6,11060.8
DRG253,PID50232,RIDCASanLuisObispo,11,183926.54,17053.72,15891.09
DRG254,PID50232,RIDCASanLuisObispo,15,103473.8,10853,9807.13
DRG280,PID50633,RIDCASanLuisObispo,13,146874.07,16256.38,14059.38
DRG281,PID50633,RIDCASanLuisObispo,15,52803.6,7682,6862.53
DRG282,PID50232,RIDCASanLuisObispo,12,45864.75,5372.75,4343.08
DRG282,PID50633,RIDCASanLuisObispo,14,51920.35,5418.42,4538.14
DRG287,PID50232,RIDCASanLuisObispo,24,53413.95,7245.41,6354.58
DRG291,PID50016,RIDCASanLuisObispo,20,48186.75,9679.85,8783.85
DRG291,PID50232,RIDCASanLuisObispo,30,59762.13,9438.16,8689.9
DRG291,PID50506,RIDCASanLuisObispo,17,74773.11,10495.11,10030.88
DRG291,PID50633,RIDCASanLuisObispo,23,118353.34,11351.65,10571.08
DRG292,PID50016,RIDCASanLuisObispo,40,42576.87,6846.42,6086.32
DRG292,PID50232,RIDCASanLuisObispo,55,44262.43,6760.8,6002.76
DRG292,PID50506,RIDCASanLuisObispo,15,79927,7434.2,6604.06
DRG292,PID50633,RIDCASanLuisObispo,43,70832.9,7040.41,6040.53
DRG293,PID50016,RIDCASanLuisObispo,20,23589.2,4612.7,3543.7
DRG293,PID50232,RIDCASanLuisObispo,25,28176.4,4602.28,3793.64
DRG293,PID50506,RIDCASanLuisObispo,16,48505.06,5040.93,4408.18
DRG293,PID50633,RIDCASanLuisObispo,48,40034.83,4762.35,4200.35
DRG300,PID50232,RIDCASanLuisObispo,14,108030.42,8882.92,8242.92
DRG300,PID50633,RIDCASanLuisObispo,12,53220.33,5842.08,4906.75
DRG303,PID50633,RIDCASanLuisObispo,17,43433.35,4049.11,3061.58
DRG308,PID50633,RIDCASanLuisObispo,12,123193.58,8214.25,7747.91
DRG309,PID50016,RIDCASanLuisObispo,11,33776.9,5645.81,4625.45
DRG309,PID50232,RIDCASanLuisObispo,21,31839.33,5631.33,4771.9
DRG309,PID50633,RIDCASanLuisObispo,23,42662.69,5836.39,5202.13
DRG310,PID50016,RIDCASanLuisObispo,14,24542.85,3843.21,2882.07
DRG310,PID50232,RIDCASanLuisObispo,30,26152.13,3834.5,2899.7
DRG310,PID50633,RIDCASanLuisObispo,52,35429.76,4091.71,2973.92
DRG312,PID50232,RIDCASanLuisObispo,14,31908.42,4816.14,4012.14
DRG312,PID50633,RIDCASanLuisObispo,49,37821.75,4989.75,4001.59
DRG313,PID50232,RIDCASanLuisObispo,18,26889.61,3745.05,2754
DRG313,PID50633,RIDCASanLuisObispo,65,37609.4,4088.41,2784.32
DRG314,PID50232,RIDCASanLuisObispo,14,64971.92,12010.57,11128
DRG329,PID50232,RIDCASanLuisObispo,11,278526.45,44222,43282.45
DRG330,PID50016,RIDCASanLuisObispo,13,87500.15,17243.23,16205.69
DRG330,PID50232,RIDCASanLuisObispo,12,104737.91,17196.83,16358.5
DRG330,PID50506,RIDCASanLuisObispo,12,160924.58,18604.16,17571.83
DRG330,PID50633,RIDCASanLuisObispo,12,167517.58,17136.5,16292.83
DRG372,PID50232,RIDCASanLuisObispo,11,49117.72,8303,7591.36
DRG378,PID50016,RIDCASanLuisObispo,37,34961.56,6888.18,5974.67
DRG378,PID50232,RIDCASanLuisObispo,28,46578.85,7303.71,5702.07
DRG378,PID50506,RIDCASanLuisObispo,20,50814.35,7448.9,6069.6
DRG378,PID50633,RIDCASanLuisObispo,32,62362.5,6953.37,6181.12
DRG379,PID50232,RIDCASanLuisObispo,14,32749.64,4801.07,3842.21
DRG379,PID50506,RIDCASanLuisObispo,14,38033.21,5180.14,4059.57
DRG379,PID50633,RIDCASanLuisObispo,34,39203.55,5007.64,3880.97
DRG389,PID50016,RIDCASanLuisObispo,13,26021.3,6288.46,5425.07
DRG389,PID50232,RIDCASanLuisObispo,17,33225.41,6189.52,5331.41
DRG389,PID50633,RIDCASanLuisObispo,25,95540.44,8092.52,6612.32
DRG390,PID50016,RIDCASanLuisObispo,17,17832.58,4216.11,3226.7
DRG390,PID50232,RIDCASanLuisObispo,20,25474.4,4276.4,3490.4
DRG390,PID50506,RIDCASanLuisObispo,14,37070.92,5653,3024.92
DRG390,PID50633,RIDCASanLuisObispo,27,61381.92,4542.37,3750.51
DRG392,PID50016,RIDCASanLuisObispo,25,39151.6,5268.56,4370.64
DRG392,PID50232,RIDCASanLuisObispo,26,41878.73,4818.92,3950.61
DRG392,PID50506,RIDCASanLuisObispo,27,60348.62,5772.07,4259.33
DRG392,PID50633,RIDCASanLuisObispo,86,52961.08,5407.45,4126.66
DRG394,PID50633,RIDCASanLuisObispo,14,71086,6926.07,6360.07
DRG419,PID50016,RIDCASanLuisObispo,12,44007.08,7874.83,6839.83
DRG419,PID50633,RIDCASanLuisObispo,14,103863.35,8129.07,7170.21
DRG439,PID50633,RIDCASanLuisObispo,21,61696.09,7763.42,5878.19
