drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50007,RIDCASanMateoCounty,16,51950.87,7863,6872.5
DRG039,PID50197,RIDCASanMateoCounty,19,94693.84,8682.94,6084.89
DRG039,PID50441,RIDCASanMateoCounty,27,90836.48,12396.29,11483.4
DRG057,PID50441,RIDCASanMateoCounty,16,148128.43,25519.43,22553.56
DRG064,PID50007,RIDCASanMateoCounty,37,60080.21,13904.13,13018.62
DRG064,PID50197,RIDCASanMateoCounty,20,113693.35,14897.65,14061.45
DRG064,PID50289,RIDCASanMateoCounty,45,162975.31,20916.48,19597.91
DRG064,PID50441,RIDCASanMateoCounty,44,152082.34,28805.22,28017.13
DRG064,PID50541,RIDCASanMateoCounty,13,42142.38,14612.3,13925.53
DRG065,PID50007,RIDCASanMateoCounty,40,43636.97,8612.9,7598.9
DRG065,PID50197,RIDCASanMateoCounty,32,82961.4,9207.96,8022.53
DRG065,PID50289,RIDCASanMateoCounty,40,94193,10935.45,9954.55
DRG065,PID50441,RIDCASanMateoCounty,62,117787.77,17870.53,16647.87
DRG065,PID50541,RIDCASanMateoCounty,13,30525.53,8391.84,7615.53
DRG069,PID50197,RIDCASanMateoCounty,13,47864.84,5835.84,4805.69
DRG066,PID50007,RIDCASanMateoCounty,15,36242.26,6110.2,5057.93
DRG066,PID50289,RIDCASanMateoCounty,16,63964.37,7676.68,6625.43
DRG066,PID50441,RIDCASanMateoCounty,37,82675.62,10860.81,9711.24
DRG074,PID50289,RIDCASanMateoCounty,12,58754.08,8060,7588.33
DRG074,PID50441,RIDCASanMateoCounty,14,101758.85,12869.07,11782.07
DRG101,PID50007,RIDCASanMateoCounty,12,36568.66,5741.91,4809.25
DRG101,PID50441,RIDCASanMateoCounty,44,67096.65,10473.65,9525.38
DRG176,PID50007,RIDCASanMateoCounty,19,48813.47,7912.78,7085.42
DRG176,PID50441,RIDCASanMateoCounty,26,80135.42,13599.65,12990.11
DRG177,PID50007,RIDCASanMateoCounty,34,80941.58,20614.23,14132.52
DRG177,PID50197,RIDCASanMateoCounty,35,167192.22,20144.45,18313.17
DRG177,PID50289,RIDCASanMateoCounty,28,126275.32,19126.39,18533.5
DRG177,PID50441,RIDCASanMateoCounty,30,183683.56,33367,32873.7
