drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50107,RIDCASantaBarbara,34,51983.85,7992.35,6967.76
DRG039,PID50396,RIDCASantaBarbara,28,37691.96,7533.5,6573.5
DRG057,PID50396,RIDCASantaBarbara,18,25975.16,7028.11,5953.94
DRG064,PID50107,RIDCASantaBarbara,24,70885,14225.2,13285.87
DRG064,PID50396,RIDCASantaBarbara,53,72430.09,15868.9,14558.33
DRG065,PID50107,RIDCASantaBarbara,34,47604.2,9015.94,8092.17
DRG065,PID50110,RIDCASantaBarbara,11,10353.72,7835.63,6909.45
DRG065,PID50396,RIDCASantaBarbara,68,54166.86,10012.89,8998.04
DRG066,PID50107,RIDCASantaBarbara,29,34818,6415.03,5215.93
DRG066,PID50396,RIDCASantaBarbara,47,34171.53,6047.17,5025.02
DRG069,PID50396,RIDCASantaBarbara,19,28027.57,5456.05,4446.57
DRG074,PID50396,RIDCASantaBarbara,13,36415.61,6426.46,5611.53
DRG101,PID50107,RIDCASantaBarbara,11,36570.72,5820.36,5002.9
DRG101,PID50396,RIDCASantaBarbara,18,30548.55,5702.77,4833
DRG176,PID50396,RIDCASantaBarbara,32,32225.65,7818.06,7012.43
DRG177,PID50107,RIDCASantaBarbara,22,48365.95,15416.59,14151.45
DRG177,PID50396,RIDCASantaBarbara,33,80635.3,16290.78,15459.06
DRG178,PID50107,RIDCASantaBarbara,19,29890.68,10085.1,8879.84
DRG178,PID50110,RIDCASantaBarbara,12,10805.41,9509.75,8734.66
DRG178,PID50396,RIDCASantaBarbara,43,42805.69,10551.65,9862.2
DRG189,PID50107,RIDCASantaBarbara,60,38441.16,10011.6,9174.43
DRG189,PID50396,RIDCASantaBarbara,13,34259.84,9490.69,8714.38
DRG190,PID50107,RIDCASantaBarbara,43,41583.9,9162.95,8533.37
DRG190,PID50110,RIDCASantaBarbara,15,16836,9273,8334.73
DRG190,PID50396,RIDCASantaBarbara,16,33699.87,8567.37,7663.62
DRG191,PID50107,RIDCASantaBarbara,20,34972.75,7180.5,6296.4
DRG191,PID50110,RIDCASantaBarbara,20,13822.65,7268,6100.05
DRG191,PID50396,RIDCASantaBarbara,18,34641.05,7270.72,6276.94
DRG192,PID50107,RIDCASantaBarbara,12,25816.5,5651.25,4613.58
DRG192,PID50110,RIDCASantaBarbara,18,10701.83,5615,4770.22
DRG193,PID50107,RIDCASantaBarbara,44,45348.29,11581.63,10661.27
DRG193,PID50110,RIDCASantaBarbara,13,19103.84,10687.76,9696.53
DRG193,PID50396,RIDCASantaBarbara,33,52763.12,10776.54,9970.57
DRG194,PID50107,RIDCASantaBarbara,37,33002.89,7705.02,6734.64
DRG194,PID50110,RIDCASantaBarbara,36,14504.19,8339.16,6574.25
DRG194,PID50357,RIDCASantaBarbara,14,28174.85,6092.28,5191.78
DRG194,PID50396,RIDCASantaBarbara,89,33850.94,7547.21,6597.34
DRG195,PID50107,RIDCASantaBarbara,14,21162.07,5426.92,4622.92
DRG195,PID50110,RIDCASantaBarbara,16,10653.31,5506.87,4642.56
DRG195,PID50357,RIDCASantaBarbara,11,22264.63,4300.63,3374.45
DRG195,PID50396,RIDCASantaBarbara,39,24848.79,5520.2,4197.12
DRG202,PID50396,RIDCASantaBarbara,12,42538.16,6352.16,5579.25
DRG208,PID50107,RIDCASantaBarbara,15,70428.53,17266.13,16438.13
DRG208,PID50110,RIDCASantaBarbara,12,35492.75,19280.66,15215.91
DRG208,PID50396,RIDCASantaBarbara,19,98159.05,18905.31,15304.73
DRG238,PID50396,RIDCASantaBarbara,29,91275.17,23151.93,22106.06
DRG243,PID50107,RIDCASantaBarbara,17,126918.17,21079.05,20161.82
DRG243,PID50396,RIDCASantaBarbara,31,67970.12,20124.51,17583.64
DRG244,PID50107,RIDCASantaBarbara,19,85426.21,16006.94,15004.21
DRG244,PID50396,RIDCASantaBarbara,47,49505.23,15449.87,13702.38
DRG246,PID50107,RIDCASantaBarbara,12,156303.5,27075.25,23446.16
DRG246,PID50396,RIDCASantaBarbara,25,120582.96,24992.08,24176.04
DRG247,PID50107,RIDCASantaBarbara,42,102403.02,15387.07,14080.26
DRG247,PID50396,RIDCASantaBarbara,74,74890.78,14577.35,13595.5
DRG249,PID50396,RIDCASantaBarbara,16,59295.75,13034.93,12056.43
DRG251,PID50396,RIDCASantaBarbara,59,75673.74,14093.76,12228.33
DRG252,PID50396,RIDCASantaBarbara,13,178092.61,35291.38,34143.23
DRG253,PID50396,RIDCASantaBarbara,16,68131.81,21039.75,16646.93
DRG254,PID50107,RIDCASantaBarbara,12,106237.66,12563.25,11533.58
DRG254,PID50396,RIDCASantaBarbara,28,43007.53,11909.78,10937.39
DRG280,PID50107,RIDCASantaBarbara,18,68941.22,14210.16,13403.27
DRG280,PID50396,RIDCASantaBarbara,17,64250,15429.47,14233.05
DRG281,PID50107,RIDCASantaBarbara,12,48416.91,9347.66,8226.33
DRG287,PID50396,RIDCASantaBarbara,51,34469.41,8222.8,6945.56
DRG291,PID50107,RIDCASantaBarbara,54,51690.81,11369.2,10664.14
DRG291,PID50396,RIDCASantaBarbara,59,53027.2,11672.18,10991.61
DRG292,PID50107,RIDCASantaBarbara,27,41714.29,7901.48,7026.96
DRG292,PID50110,RIDCASantaBarbara,30,13253.53,7944.26,7016.3
DRG292,PID50357,RIDCASantaBarbara,12,24249,6491,5650
DRG292,PID50396,RIDCASantaBarbara,78,33747.91,7634.48,6784.65
DRG293,PID50396,RIDCASantaBarbara,39,23763.74,5125.84,4191.53
DRG300,PID50107,RIDCASantaBarbara,12,27941.25,6862,5299.33
DRG308,PID50107,RIDCASantaBarbara,14,52935.21,9683.5,9038.92
