drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG064,PID50242,RIDCASantaCruz,17,88828.41,16705.64,15710.64
DRG065,PID50194,RIDCASantaCruz,17,93651.94,12757.94,11903.58
DRG065,PID50242,RIDCASantaCruz,59,46348.69,9344.1,8352.37
DRG066,PID50194,RIDCASantaCruz,15,55660.73,11340.26,6970.46
DRG066,PID50242,RIDCASantaCruz,35,42579.88,7232.97,6142.45
DRG069,PID50242,RIDCASantaCruz,28,54818.85,9279.03,8231.32
DRG074,PID50242,RIDCASantaCruz,13,42534.38,7823.84,7050
DRG101,PID50242,RIDCASantaCruz,18,50795.5,6917.66,5920.33
DRG149,PID50242,RIDCASantaCruz,12,36039.5,5803.5,4773.83
DRG176,PID50242,RIDCASantaCruz,22,58440.45,9371.72,7818.4
DRG177,PID50194,RIDCASantaCruz,12,126579,21693,20749.66
DRG177,PID50242,RIDCASantaCruz,20,104573.25,18347.95,17500.55
DRG178,PID50242,RIDCASantaCruz,24,61138.66,13876.16,10982.7
DRG189,PID50242,RIDCASantaCruz,26,105082.65,12467.15,11111.73
DRG190,PID50194,RIDCASantaCruz,16,118406.93,12804.25,11003.62
DRG190,PID50242,RIDCASantaCruz,28,69856.67,10463.71,9782.14
DRG191,PID50194,RIDCASantaCruz,18,66649.61,10526.83,9714.61
DRG191,PID50242,RIDCASantaCruz,43,62576,8613.18,7854.95
DRG194,PID50242,RIDCASantaCruz,96,60386.84,9175.01,8250.46
DRG192,PID50194,RIDCASantaCruz,24,49672.33,8073.87,6617.45
DRG192,PID50242,RIDCASantaCruz,29,45090.68,6555.06,5509.96
DRG193,PID50194,RIDCASantaCruz,23,122374.6,16076.82,15197.86
DRG193,PID50242,RIDCASantaCruz,42,82083.71,13152.3,12266.69
DRG194,PID50194,RIDCASantaCruz,54,87226.77,10968.33,10117.74
DRG195,PID50194,RIDCASantaCruz,29,58145.27,7585.17,6537.86
DRG195,PID50242,RIDCASantaCruz,31,39811.45,6351.03,5447.41
DRG202,PID50194,RIDCASantaCruz,12,65600.08,9413.16,6814.75
DRG202,PID50242,RIDCASantaCruz,19,52122.1,8313.1,6308.47
DRG203,PID50242,RIDCASantaCruz,15,43466.4,5524.8,4470.4
DRG208,PID50242,RIDCASantaCruz,13,162711.53,23761.76,22980.61
DRG243,PID50242,RIDCASantaCruz,31,99183.16,23912.64,22896.38
DRG244,PID50242,RIDCASantaCruz,31,65858.12,18491.61,17514.96
DRG247,PID50242,RIDCASantaCruz,39,104815.94,18080.69,16483.48
DRG249,PID50242,RIDCASantaCruz,44,96642,16950.93,14726.31
DRG280,PID50242,RIDCASantaCruz,16,101023.37,16847.87,16002.87
DRG281,PID50194,RIDCASantaCruz,17,74792.35,12345.29,11293.05
DRG281,PID50242,RIDCASantaCruz,12,61138.5,10824.83,9792.5
DRG287,PID50194,RIDCASantaCruz,12,108694.41,11592.33,10654.33
DRG287,PID50242,RIDCASantaCruz,55,74631.6,10349.5,8615.8
DRG291,PID50194,RIDCASantaCruz,33,114361.75,16688.57,15971.15
DRG291,PID50242,RIDCASantaCruz,35,106225.51,13833.4,13353.77
DRG292,PID50194,RIDCASantaCruz,35,62694.28,11015.68,10182.08
DRG292,PID50242,RIDCASantaCruz,80,67237.83,9276.1,8571.06
DRG293,PID50194,RIDCASantaCruz,20,47825.4,7452.5,6666.5
DRG293,PID50242,RIDCASantaCruz,36,46076.05,6231.5,5296.16
DRG300,PID50242,RIDCASantaCruz,11,78376.45,10116,7362.54
DRG308,PID50242,RIDCASantaCruz,26,66802.03,11775.8,11084.11
DRG309,PID50242,RIDCASantaCruz,40,52392.72,7649.95,6652.37
DRG310,PID50194,RIDCASantaCruz,18,43678.44,6143,5091.66
DRG310,PID50242,RIDCASantaCruz,49,35205.1,5347.95,4230.85
DRG312,PID50194,RIDCASantaCruz,12,45375,7664.16,6820.5
DRG312,PID50242,RIDCASantaCruz,64,39282.03,6518.5,5675.5
DRG313,PID50194,RIDCASantaCruz,34,43344.14,6107.73,5202.52
DRG313,PID50242,RIDCASantaCruz,29,33289.06,4994.41,4099.93
DRG314,PID50242,RIDCASantaCruz,18,103750.22,18417.11,17856.44
DRG329,PID50242,RIDCASantaCruz,14,259984.57,50651,49768.5
DRG330,PID50242,RIDCASantaCruz,32,154034.71,27610.56,22557.71
DRG372,PID50242,RIDCASantaCruz,14,68350.14,11618.21,11297.07
DRG377,PID50242,RIDCASantaCruz,14,104504.85,15744.28,15259.14
DRG378,PID50194,RIDCASantaCruz,30,82217.46,12244.1,11306.43
DRG378,PID50242,RIDCASantaCruz,65,61722.33,10405.2,8038.18
DRG379,PID50194,RIDCASantaCruz,13,52939.76,7781.76,6915.92
DRG379,PID50242,RIDCASantaCruz,16,35955.06,6488.12,5717.87
DRG389,PID50194,RIDCASantaCruz,17,72739.88,10172.76,9309
DRG389,PID50242,RIDCASantaCruz,24,47571.62,8311.58,7416.75
DRG390,PID50242,RIDCASantaCruz,13,45600.46,7576.38,4646.3
DRG391,PID50242,RIDCASantaCruz,27,75318.44,10875.22,9202.88
DRG392,PID50194,RIDCASantaCruz,32,55778.5,7798.78,6739.71
DRG392,PID50242,RIDCASantaCruz,90,45145.61,6725,5545.57
DRG394,PID50242,RIDCASantaCruz,12,62554.33,9035,8188.66
DRG418,PID50242,RIDCASantaCruz,12,107862,15450,14423
DRG419,PID50194,RIDCASantaCruz,11,101144.81,12742.81,11713.72
DRG419,PID50242,RIDCASantaCruz,12,76984,10630.25,9694.91
DRG439,PID50242,RIDCASantaCruz,16,71527.5,9164.5,8461
DRG460,PID50242,RIDCASantaCruz,15,233673.33,36246,31820.4
DRG470,PID50194,RIDCASantaCruz,61,117324.91,22983.8,21316.04
DRG470,PID50242,RIDCASantaCruz,144,103467.09,19731.75,17530.72
DRG470,PID50714,RIDCASantaCruz,53,65325.28,18417.96,17316.37
DRG480,PID50242,RIDCASantaCruz,11,150679.72,27462,26647.45
DRG481,PID50194,RIDCASantaCruz,14,153309.57,21024.42,19980.07
DRG481,PID50242,RIDCASantaCruz,52,98412.55,17031.15,15394.03
DRG482,PID50242,RIDCASantaCruz,16,79207.06,13694.75,12710.25
DRG536,PID50242,RIDCASantaCruz,14,44193.42,5989.5,5190.07
DRG491,PID50242,RIDCASantaCruz,35,57770.85,9009.8,8013.57
DRG552,PID50194,RIDCASantaCruz,13,56344.46,8960.38,7920.38
DRG552,PID50242,RIDCASantaCruz,16,40566,7085.5,6240.5
DRG563,PID50242,RIDCASantaCruz,11,34916.18,5908.09,4787.72
DRG603,PID50194,RIDCASantaCruz,18,71344.11,9166.66,8043.55
DRG603,PID50242,RIDCASantaCruz,65,46015.56,7423.23,6562.3
DRG638,PID50194,RIDCASantaCruz,13,68804.15,8747.84,7680.46
DRG638,PID50242,RIDCASantaCruz,17,59826.7,9931.94,6150.58
DRG640,PID50194,RIDCASantaCruz,13,84240.15,13255.84,10667.07
DRG641,PID50194,RIDCASantaCruz,40,50674.57,7749.92,6533.32
DRG641,PID50242,RIDCASantaCruz,49,41650.16,6472.55,5370.08
DRG682,PID50194,RIDCASantaCruz,16,125149.25,18726.31,16948.68
DRG682,PID50242,RIDCASantaCruz,20,76725.2,14850.95,13229.1
DRG683,PID50194,RIDCASantaCruz,12,101576.33,11254.58,10502.58
DRG683,PID50242,RIDCASantaCruz,43,81029.6,10699.83,9311.02
DRG689,PID50194,RIDCASantaCruz,13,117786.07,14162.23,12901.84
DRG689,PID50242,RIDCASantaCruz,18,54881.66,10131.66,9321.22
DRG690,PID50194,RIDCASantaCruz,52,51349.78,8405.17,7431.09
DRG690,PID50242,RIDCASantaCruz,86,43143.91,6993.32,6154.62
DRG811,PID50194,RIDCASantaCruz,11,85127.27,13617.63,13006
DRG812,PID50194,RIDCASantaCruz,20,41918.7,8604.1,7764.7
DRG812,PID50242,RIDCASantaCruz,23,42091.08,7226.47,6389.78
DRG853,PID50242,RIDCASantaCruz,19,317333.52,54417.94,53624.42
DRG870,PID50242,RIDCASantaCruz,13,359383.07,56792.38,55926.53
DRG871,PID50194,RIDCASantaCruz,32,180118.15,22627.25,21928.78
DRG871,PID50242,RIDCASantaCruz,111,128488.51,19535.4,18758.74
DRG872,PID50194,RIDCASantaCruz,25,97957.28,11925.96,11205.32
DRG872,PID50242,RIDCASantaCruz,71,62378.15,10590.46,9737.16
DRG885,PID50242,RIDCASantaCruz,244,59036.51,8418.45,7649.38
DRG897,PID50242,RIDCASantaCruz,29,46033.86,5902.41,5255.2
DRG918,PID50242,RIDCASantaCruz,27,49909,5677.11,4881.7
DRG948,PID50242,RIDCASantaCruz,33,46645.39,6093.87,5244.06
