drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50174,RIDCASantaRosa,16,82480.75,8830.75,7773.5
DRG039,PID50291,RIDCASantaRosa,17,43000.11,10671.64,9880.11
DRG057,PID50174,RIDCASantaRosa,12,39461.75,7697.66,7040
DRG064,PID50174,RIDCASantaRosa,32,99055.62,15769.65,14859.9
DRG065,PID50090,RIDCASantaRosa,13,25514.15,9333.38,8216.15
DRG065,PID50136,RIDCASantaRosa,16,74652.93,9436.18,8732.68
DRG065,PID50174,RIDCASantaRosa,70,69577.11,9797.71,8701.14
DRG065,PID50385,RIDCASantaRosa,13,22481.53,9910,9131.23
DRG066,PID50174,RIDCASantaRosa,35,48792.97,7049.31,6051.25
DRG069,PID50174,RIDCASantaRosa,30,44632.1,6424.56,5265.83
DRG069,PID50385,RIDCASantaRosa,11,16796.72,6210,5195.45
DRG101,PID50174,RIDCASantaRosa,18,38908.55,6604.72,5666.72
DRG176,PID50090,RIDCASantaRosa,11,29646.63,9334.45,7318.18
DRG176,PID50136,RIDCASantaRosa,12,55401.83,8810.83,7883.5
DRG176,PID50174,RIDCASantaRosa,20,56090.6,9136.45,8295.45
DRG177,PID50090,RIDCASantaRosa,15,46887.2,15279.06,14681.73
DRG177,PID50136,RIDCASantaRosa,12,97388.08,16393.83,16021.83
DRG177,PID50174,RIDCASantaRosa,38,116299.44,19997.84,19265.6
DRG178,PID50174,RIDCASantaRosa,36,67285,12712.83,11742.47
DRG189,PID50090,RIDCASantaRosa,11,40424.9,10730.09,9906.81
DRG189,PID50174,RIDCASantaRosa,46,74487.26,11181.84,10548.28
DRG190,PID50136,RIDCASantaRosa,16,64136.25,9686.56,8702.06
DRG190,PID50174,RIDCASantaRosa,57,61239.14,10336.01,9647.1
DRG190,PID50291,RIDCASantaRosa,13,37017,12693.76,11740.84
DRG191,PID50136,RIDCASantaRosa,14,51799.85,8052.71,7093.85
DRG191,PID50174,RIDCASantaRosa,50,56222.64,8296.36,7555.64
DRG191,PID50291,RIDCASantaRosa,14,30745.28,9982.35,9182.92
DRG192,PID50136,RIDCASantaRosa,15,49604.53,5954.6,4979.93
DRG192,PID50174,RIDCASantaRosa,20,33937.9,6258,5244
DRG193,PID50090,RIDCASantaRosa,17,35115.82,11390.29,10350.94
DRG193,PID50136,RIDCASantaRosa,29,87236.62,12052.96,11157.37
DRG193,PID50174,RIDCASantaRosa,53,68387.86,12627.24,11760
DRG194,PID50090,RIDCASantaRosa,12,26011.91,8348.66,7413.33
DRG194,PID50136,RIDCASantaRosa,49,48421.69,8169.14,7251.59
DRG194,PID50174,RIDCASantaRosa,78,45977.15,8571.43,7601.1
DRG194,PID50291,RIDCASantaRosa,18,37025.5,10566.72,9754.5
DRG194,PID50385,RIDCASantaRosa,23,18481.43,8408.65,7580.3
DRG194,PID50547,RIDCASantaRosa,11,14572.27,7156.36,6641.81
DRG195,PID50136,RIDCASantaRosa,16,40964,5811.12,4858
DRG195,PID50174,RIDCASantaRosa,20,36600.5,6155.1,5087.7
DRG195,PID50291,RIDCASantaRosa,12,26483,7597.5,6751.16
DRG202,PID50174,RIDCASantaRosa,15,48158.53,7110.4,6286.66
DRG207,PID50174,RIDCASantaRosa,14,259351.21,45243.42,44518.14
DRG208,PID50174,RIDCASantaRosa,27,152518.11,20380.11,19794.29
DRG208,PID50291,RIDCASantaRosa,11,88011.54,24575.36,23072.72
DRG238,PID50174,RIDCASantaRosa,18,197504.05,28667.88,24935.94
DRG243,PID50174,RIDCASantaRosa,21,106112.33,22478.76,21457.61
DRG243,PID50291,RIDCASantaRosa,11,64744.81,27115.09,26403.45
DRG244,PID50174,RIDCASantaRosa,26,84055.3,17538.34,16459.73
DRG244,PID50291,RIDCASantaRosa,12,45775,21221.66,20192
DRG246,PID50291,RIDCASantaRosa,15,91251.2,33133.73,32159.06
DRG247,PID50174,RIDCASantaRosa,58,106411.98,18122.67,15236.91
DRG247,PID50291,RIDCASantaRosa,41,66372.12,22321.51,18517.48
DRG249,PID50174,RIDCASantaRosa,19,85563.36,15351.05,14642.84
DRG251,PID50174,RIDCASantaRosa,16,120868.25,16901.18,16064.25
DRG251,PID50291,RIDCASantaRosa,12,51333.83,18669.08,17639.41
DRG252,PID50174,RIDCASantaRosa,30,140385.96,27516.3,26651.63
DRG253,PID50174,RIDCASantaRosa,19,143313.42,21772,20937.89
DRG253,PID50291,RIDCASantaRosa,20,124035.05,27507.7,26833.35
DRG254,PID50174,RIDCASantaRosa,12,135371.08,14048.5,13202.16
DRG254,PID50291,RIDCASantaRosa,17,94587.11,18210.76,17482
DRG280,PID50136,RIDCASantaRosa,24,72463.25,14369.91,13667.75
DRG280,PID50174,RIDCASantaRosa,38,99340.94,17171.57,16311.89
DRG280,PID50291,RIDCASantaRosa,15,67533.86,19898.4,18852.53
DRG281,PID50136,RIDCASantaRosa,29,46330.58,9382.17,8416.24
DRG281,PID50174,RIDCASantaRosa,28,59792.82,10647.71,9188.17
DRG287,PID50174,RIDCASantaRosa,48,73946.68,9608.77,8422.08
DRG287,PID50291,RIDCASantaRosa,33,48084.42,12002.51,10428.18
DRG291,PID50090,RIDCASantaRosa,14,26808.07,10692.92,9812.64
DRG291,PID50136,RIDCASantaRosa,20,59163.5,11804.2,11128.2
DRG291,PID50174,RIDCASantaRosa,103,70335.03,12903.88,12215.83
DRG291,PID50291,RIDCASantaRosa,13,55403.3,15264.23,14483
DRG292,PID50090,RIDCASantaRosa,20,29006.4,8375.6,7421.4
DRG292,PID50136,RIDCASantaRosa,23,39741.39,8424.47,7794.39
DRG292,PID50174,RIDCASantaRosa,52,44536.05,8801.78,7935.32
DRG292,PID50291,RIDCASantaRosa,25,35337.24,10894.68,10176.6
DRG292,PID50385,RIDCASantaRosa,19,15518.1,8519.78,7632.84
DRG293,PID50174,RIDCASantaRosa,29,36333.03,5877.24,5025.1
DRG293,PID50291,RIDCASantaRosa,12,25490.66,7220.41,6473.75
DRG300,PID50174,RIDCASantaRosa,17,55918.23,8479.47,7619.47
DRG308,PID50174,RIDCASantaRosa,24,70156.5,10711.75,9819.58
DRG309,PID50090,RIDCASantaRosa,13,29340.38,6852.07,5986.23
DRG309,PID50136,RIDCASantaRosa,20,38448.6,6782.5,5996.5
DRG309,PID50174,RIDCASantaRosa,37,36348.97,7263.91,6257.4
DRG309,PID50291,RIDCASantaRosa,12,25944.75,9048.83,8205.16
DRG310,PID50090,RIDCASantaRosa,11,18953,4761.72,3941.36
DRG310,PID50174,RIDCASantaRosa,22,28770,4943.36,4018.63
DRG310,PID50291,RIDCASantaRosa,12,14823.33,6102.91,5450.58
DRG312,PID50174,RIDCASantaRosa,29,36576.06,6208.13,5276.82
DRG313,PID50174,RIDCASantaRosa,22,39413.72,4791.5,3708.22
DRG314,PID50174,RIDCASantaRosa,21,105165.71,15955.8,15163.76
DRG329,PID50174,RIDCASantaRosa,23,357422.17,60692.08,59889.73
DRG330,PID50136,RIDCASantaRosa,13,166066.84,24111.38,23160.92
DRG330,PID50174,RIDCASantaRosa,32,151979.31,22981.37,22035.28
