drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50084,RIDCAStockton,66,59184.74,8628.4,7758.53
DRG057,PID50084,RIDCAStockton,18,41443.16,7917.38,7105.16
DRG064,PID50084,RIDCAStockton,57,100661.15,16180.07,15333.96
DRG064,PID50313,RIDCAStockton,12,67803.08,13809.16,12868.5
DRG065,PID50084,RIDCAStockton,57,65237.19,9663.54,8756.17
DRG065,PID50118,RIDCAStockton,22,87431.31,7798.45,6724.81
DRG065,PID50122,RIDCAStockton,16,65660.43,8741.18,7752.68
DRG065,PID50313,RIDCAStockton,13,37397.46,8357.15,7406.69
DRG066,PID50084,RIDCAStockton,33,48848.24,7384.84,5615.63
DRG066,PID50118,RIDCAStockton,12,54501.41,5675.75,4640.75
DRG069,PID50084,RIDCAStockton,16,57522.12,6195.31,5275.56
DRG069,PID50118,RIDCAStockton,15,54416.26,5064.06,4160.6
DRG069,PID50313,RIDCAStockton,14,29459.28,5340,4298
DRG074,PID50084,RIDCAStockton,15,48881.33,7289.6,6914.4
DRG074,PID50118,RIDCAStockton,12,66093.08,7173.58,4801.25
DRG101,PID50084,RIDCAStockton,18,49512,6453,5577.88
DRG176,PID50084,RIDCAStockton,20,67161.2,9071.3,8223.9
DRG177,PID50084,RIDCAStockton,41,89673.46,17253.39,16622.26
DRG177,PID50313,RIDCAStockton,18,104097.16,20918.33,20296.55
DRG178,PID50084,RIDCAStockton,27,70760.44,12094.03,11429.14
DRG178,PID50313,RIDCAStockton,16,60313.18,15884.37,9170.25
DRG189,PID50084,RIDCAStockton,40,79561.77,10849.5,10313.4
DRG189,PID50122,RIDCAStockton,21,102986.95,10310.33,9841.76
DRG189,PID50313,RIDCAStockton,16,64350.43,10039.75,9619.25
DRG190,PID50084,RIDCAStockton,101,61238.01,9865.97,9128.27
DRG190,PID50118,RIDCAStockton,18,123975.44,8193.55,7382.55
DRG190,PID50122,RIDCAStockton,25,85978.36,9140.88,8362.36
DRG190,PID50313,RIDCAStockton,35,47973.91,8515.45,7680.94
DRG191,PID50084,RIDCAStockton,73,46023.54,8971.24,7289.93
DRG191,PID50118,RIDCAStockton,46,85186.41,6702.26,5996.04
DRG191,PID50122,RIDCAStockton,28,76615.5,7510.64,6789.78
DRG191,PID50313,RIDCAStockton,22,37452.63,7110,6241.09
DRG192,PID50084,RIDCAStockton,47,35793.76,6056.48,5290.53
DRG192,PID50118,RIDCAStockton,38,60773.05,4942.15,4172.73
DRG192,PID50122,RIDCAStockton,19,54949.31,6354.89,4480.63
DRG192,PID50313,RIDCAStockton,21,24679.47,6187,4211.33
DRG193,PID50084,RIDCAStockton,84,74483.9,12318.33,11684.63
DRG193,PID50118,RIDCAStockton,14,123047,9325.92,8920.35
DRG193,PID50122,RIDCAStockton,18,95418.94,11158.5,10393.44
DRG194,PID50084,RIDCAStockton,126,46586.21,8393.84,7599.34
DRG194,PID50118,RIDCAStockton,59,104361.67,7047.15,6432.69
DRG194,PID50122,RIDCAStockton,42,74507.14,7893.69,7171.3
DRG194,PID50167,RIDCAStockton,18,39572.22,10576.33,9795.55
DRG194,PID50313,RIDCAStockton,29,44421.27,7683.96,6791.68
DRG195,PID50084,RIDCAStockton,59,35460.45,6006.57,5072.94
DRG195,PID50118,RIDCAStockton,23,69803.73,4908.86,3980.34
DRG195,PID50122,RIDCAStockton,14,64249.14,5559.14,4514.85
DRG195,PID50313,RIDCAStockton,11,34985.72,5183,4159.72
DRG202,PID50084,RIDCAStockton,22,45880.18,7137.45,6474.36
DRG202,PID50313,RIDCAStockton,16,45209.5,6254,5617.25
DRG203,PID50084,RIDCAStockton,13,42037.46,5153,4025.92
DRG207,PID50084,RIDCAStockton,16,281916.68,46707.87,45723.37
DRG208,PID50084,RIDCAStockton,43,126940.86,19186.58,18264.74
DRG208,PID50118,RIDCAStockton,15,181875.53,15661.66,14979.53
DRG208,PID50122,RIDCAStockton,23,161123.3,19171.65,18461.82
DRG238,PID50084,RIDCAStockton,38,134224.76,26120.34,25234.23
DRG243,PID50084,RIDCAStockton,18,115326.44,22170.44,21237.77
DRG244,PID50084,RIDCAStockton,25,84782.2,17276.64,16334.72
DRG246,PID50084,RIDCAStockton,11,129115.54,26957.81,25934.54
DRG247,PID50084,RIDCAStockton,38,102107.1,16682.81,15646.92
DRG249,PID50084,RIDCAStockton,49,106064.44,15080.1,14119.59
DRG252,PID50084,RIDCAStockton,33,111297.27,25223.96,24602.75
DRG253,PID50084,RIDCAStockton,52,101385.76,21721.63,19680.26
DRG254,PID50084,RIDCAStockton,68,70558.63,13679.5,12786.67
