drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID50082,RIDCAVentura,28,72051.89,8009.17,6393.35
DRG039,PID50394,RIDCAVentura,21,60448.47,6967.23,6110.85
DRG039,PID50549,RIDCAVentura,11,56328.9,7835,6914.63
DRG057,PID50549,RIDCAVentura,28,52172.17,7251.85,6449
DRG064,PID50082,RIDCAVentura,58,90430.44,14912.86,14079.12
DRG064,PID50394,RIDCAVentura,25,44208.48,11596.68,10700.04
DRG064,PID50549,RIDCAVentura,34,100238.17,21279.02,13224.29
DRG064,PID50616,RIDCAVentura,11,70377.72,11396.63,10782.09
DRG065,PID50082,RIDCAVentura,42,55078.78,8927.61,7669.52
DRG065,PID50159,RIDCAVentura,15,34044.66,11588.4,10467.06
DRG065,PID50236,RIDCAVentura,26,50484.19,7830.92,6871.11
DRG065,PID50394,RIDCAVentura,31,37238.8,7733.74,6717.48
DRG065,PID50549,RIDCAVentura,69,51829.01,9076.95,7551.79
DRG065,PID50616,RIDCAVentura,18,47832.88,7341.22,6338.55
DRG066,PID50082,RIDCAVentura,23,38587.65,6365.56,5436
DRG066,PID50236,RIDCAVentura,18,38224.33,5556.88,4494.88
DRG066,PID50394,RIDCAVentura,28,30540.89,5505.96,4424.67
DRG066,PID50549,RIDCAVentura,31,39770.35,6663.9,4888
DRG066,PID50616,RIDCAVentura,26,41137.3,5200.15,4336.76
DRG069,PID50082,RIDCAVentura,66,45182.06,5846.6,4635
DRG069,PID50394,RIDCAVentura,12,33315.16,4951.91,4134.5
DRG069,PID50549,RIDCAVentura,54,35052.62,5680.11,4524.75
DRG069,PID50616,RIDCAVentura,27,34566.11,4732,3837.11
DRG074,PID50082,RIDCAVentura,16,36117.37,8963.68,4732.37
DRG074,PID50549,RIDCAVentura,11,38498.9,7039.54,5503.63
DRG101,PID50082,RIDCAVentura,24,37610.91,7604.04,4724.2
DRG101,PID50236,RIDCAVentura,18,31914.72,5081.88,4023.44
DRG101,PID50394,RIDCAVentura,14,26995.71,5273.14,4020.71
DRG101,PID50549,RIDCAVentura,23,43016.26,5861,4966.95
DRG101,PID50616,RIDCAVentura,12,45397.41,4931,3901.33
DRG149,PID50549,RIDCAVentura,11,30457.45,5402.72,3447.81
DRG176,PID50394,RIDCAVentura,14,52797.78,7272.71,5920.64
DRG176,PID50549,RIDCAVentura,15,50794.66,8078.13,7105.6
DRG176,PID50616,RIDCAVentura,14,46629.07,8453.28,5663.78
DRG177,PID50082,RIDCAVentura,47,75553.78,15367.91,14892.91
DRG177,PID50236,RIDCAVentura,23,147891.04,20121.3,19339.43
DRG177,PID50394,RIDCAVentura,24,82159.58,14330.95,13556.75
DRG177,PID50549,RIDCAVentura,34,163386.32,18797.26,17986.17
DRG177,PID50616,RIDCAVentura,15,117970.26,13424.13,12141.2
DRG178,PID50082,RIDCAVentura,35,62752.11,11517.71,10745.14
DRG178,PID50159,RIDCAVentura,12,59739.5,15500.75,14845.75
DRG178,PID50236,RIDCAVentura,14,76379.5,10152.71,9674.42
DRG178,PID50394,RIDCAVentura,26,63153.73,9957.11,9310.19
DRG178,PID50549,RIDCAVentura,52,101938.25,12619.5,11796.61
DRG178,PID50616,RIDCAVentura,20,72827.5,9635,9017.2
DRG189,PID50082,RIDCAVentura,21,66931.76,9752.66,8970.61
DRG189,PID50236,RIDCAVentura,29,73258.31,9609.37,8949.06
DRG189,PID50394,RIDCAVentura,12,59496.75,8376.91,7476.83
DRG189,PID50549,RIDCAVentura,38,94373.6,11647.13,10899.15
DRG190,PID50082,RIDCAVentura,39,54337.56,8943.2,8245.89
DRG190,PID50236,RIDCAVentura,34,80618.35,10827.26,8615.14
DRG190,PID50394,RIDCAVentura,31,55098.74,8021.32,7105.48
DRG190,PID50549,RIDCAVentura,56,101709.55,11989.73,10484.33
DRG190,PID50616,RIDCAVentura,18,51793.66,8338.44,6678.22
DRG191,PID50082,RIDCAVentura,39,41669.58,7609.64,6366.48
DRG191,PID50159,RIDCAVentura,12,42309.41,10565.75,9625.08
DRG191,PID50236,RIDCAVentura,30,51371.86,6491.86,5702.66
DRG191,PID50394,RIDCAVentura,28,43518.46,6619.82,5894.39
DRG191,PID50549,RIDCAVentura,50,59670.12,7456.64,6496.14
DRG191,PID50616,RIDCAVentura,20,47229.6,6236.05,4929.35
DRG192,PID50082,RIDCAVentura,32,32401.5,5779.84,4463.09
DRG192,PID50236,RIDCAVentura,18,41110.05,5251.72,3986.5
DRG192,PID50394,RIDCAVentura,17,38468.41,4949.47,4024.76
DRG192,PID50549,RIDCAVentura,36,40239.36,5494.27,4749.38
DRG192,PID50616,RIDCAVentura,21,37167.04,5007.33,3541.71
DRG193,PID50082,RIDCAVentura,61,64618.24,11757.63,10212.24
DRG193,PID50159,RIDCAVentura,12,65702.16,16464.16,15903.58
DRG193,PID50236,RIDCAVentura,23,94633.21,13136.86,12256.47
DRG193,PID50394,RIDCAVentura,38,68312.26,9974.86,9203.71
DRG193,PID50549,RIDCAVentura,46,102504.06,13550,12740.28
DRG193,PID50616,RIDCAVentura,17,72281.17,9969.05,9110.94
DRG194,PID50082,RIDCAVentura,66,46992.93,7739.48,6795.25
DRG194,PID50159,RIDCAVentura,23,41249.34,10482.56,9551.6
DRG194,PID50236,RIDCAVentura,39,51853.35,7309.38,5545.64
DRG194,PID50394,RIDCAVentura,52,48167.05,6700.4,5878.09
DRG194,PID50549,RIDCAVentura,91,66446.57,7844.64,6979.5
DRG194,PID50616,RIDCAVentura,42,48367.66,6325.09,5467.95
DRG195,PID50082,RIDCAVentura,18,37054,5489.11,4612.22
DRG195,PID50159,RIDCAVentura,12,40834.83,7815.91,7069.25
DRG195,PID50236,RIDCAVentura,19,34566.36,4808,3744
DRG195,PID50394,RIDCAVentura,15,32192.06,4863.6,3811.33
DRG195,PID50549,RIDCAVentura,39,38137.82,5448.97,4496.05
DRG195,PID50616,RIDCAVentura,28,31285.32,4593,3666.57
DRG202,PID50082,RIDCAVentura,25,35260.4,6533,5499.24
DRG202,PID50236,RIDCAVentura,15,46529.6,5712.8,4809.33
DRG202,PID50394,RIDCAVentura,16,34502.93,5773.93,4864.18
DRG202,PID50549,RIDCAVentura,27,57981.85,6416.29,5229.44
DRG203,PID50236,RIDCAVentura,13,35939.53,5740,2857.07
DRG207,PID50082,RIDCAVentura,15,272778,43897.93,43223
DRG207,PID50616,RIDCAVentura,11,296837.27,49009.81,48707.18
DRG208,PID50082,RIDCAVentura,33,118192.36,20007.39,16743.69
DRG208,PID50236,RIDCAVentura,11,88056.72,14452.9,13738.45
DRG208,PID50549,RIDCAVentura,15,242458.46,32807.93,29661.53
DRG208,PID50616,RIDCAVentura,14,115438.07,14647.85,13924.71
DRG238,PID50082,RIDCAVentura,18,176472.94,30247.16,23963.55
DRG238,PID50394,RIDCAVentura,15,153232.2,21097.6,20047.46
DRG238,PID50549,RIDCAVentura,13,162022,23715,22759.61
DRG243,PID50082,RIDCAVentura,18,85140.11,19511.16,18697.16
DRG243,PID50394,RIDCAVentura,15,131827.4,17850.93,16880.53
DRG243,PID50549,RIDCAVentura,30,109654.16,20869.56,18922.1
DRG244,PID50082,RIDCAVentura,19,71647.94,15845.05,14898.52
DRG244,PID50394,RIDCAVentura,16,105213.06,13880.37,12966.62
DRG244,PID50549,RIDCAVentura,26,79755.61,16207.61,14202.34
DRG246,PID50394,RIDCAVentura,12,146596.83,21668.25,18993.33
DRG246,PID50549,RIDCAVentura,25,202086.64,28901.96,27376.2
DRG247,PID50082,RIDCAVentura,20,76357.3,15320.5,13832.8
