drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG057,PID60003,RIDCOBoulder,11,30755.72,5808,4790.54
DRG064,PID60003,RIDCOBoulder,12,38640.58,10505.25,9669.58
DRG064,PID60027,RIDCOBoulder,16,39606.87,10298.18,9457.18
DRG065,PID60003,RIDCOBoulder,26,33460.23,8426.76,6042.5
DRG065,PID60027,RIDCOBoulder,23,32703.3,5982.86,4908.43
DRG065,PID60116,RIDCOBoulder,16,34939.75,6374.25,4986.12
DRG066,PID60027,RIDCOBoulder,16,29562.18,4654.18,3667.68
DRG069,PID60003,RIDCOBoulder,24,20291.66,4350.45,3506.79
DRG069,PID60027,RIDCOBoulder,20,30756.55,4484.3,3282.95
DRG176,PID60003,RIDCOBoulder,12,29887.66,6366,5533
DRG176,PID60027,RIDCOBoulder,29,33566.55,6017.51,5243.44
DRG177,PID60003,RIDCOBoulder,23,74412.95,16036.52,12463.82
DRG177,PID60027,RIDCOBoulder,19,40933.63,11372.89,10547.21
DRG178,PID60003,RIDCOBoulder,22,35095.63,8579,7811.54
DRG178,PID60027,RIDCOBoulder,11,29385.72,7902.54,7293.81
DRG189,PID60003,RIDCOBoulder,18,33519.27,7617,7115.66
DRG189,PID60027,RIDCOBoulder,33,33176.09,8019.54,6365.96
DRG190,PID60003,RIDCOBoulder,29,42583.58,7962.75,6953.37
DRG190,PID60027,RIDCOBoulder,11,27634.72,6778.81,5961.36
DRG191,PID60003,RIDCOBoulder,40,29390.67,5984.12,4911.22
DRG191,PID60116,RIDCOBoulder,12,35425.75,5587,4557.33
DRG192,PID60003,RIDCOBoulder,30,19055.56,4237.63,3299.63
DRG193,PID60003,RIDCOBoulder,33,44963.36,9396.48,8648.6
DRG193,PID60027,RIDCOBoulder,43,33142.69,8052.2,7045.37
DRG193,PID60103,RIDCOBoulder,12,33145.58,9686.5,7890.5
DRG193,PID60116,RIDCOBoulder,14,53641.35,9470.14,6894.85
DRG194,PID60003,RIDCOBoulder,57,29783.77,5996.63,5128.42
DRG194,PID60027,RIDCOBoulder,49,23265.22,5752,4460.42
DRG194,PID60103,RIDCOBoulder,14,23347.92,6427.57,5383.28
DRG194,PID60116,RIDCOBoulder,29,26484.37,5682.58,4791.41
DRG195,PID60003,RIDCOBoulder,24,23289.54,4220,3284.66
DRG195,PID60027,RIDCOBoulder,18,21483.55,3990.16,2929.94
DRG243,PID60003,RIDCOBoulder,13,55342.69,15763,14810.07
DRG243,PID60027,RIDCOBoulder,18,107220.22,18395.55,17707.27
DRG244,PID60027,RIDCOBoulder,18,80961.11,12345.88,11407.88
DRG246,PID60027,RIDCOBoulder,16,147000,24910.43,24209.12
DRG247,PID60003,RIDCOBoulder,41,83080.24,18653.65,10053.19
