drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60022,RIDCOColoradoSprings,56,27170.46,6627.89,5011.08
DRG039,PID60031,RIDCOColoradoSprings,17,33369.76,5925.94,4999.35
DRG057,PID60022,RIDCOColoradoSprings,29,20740.75,5463.86,4650.75
DRG057,PID60031,RIDCOColoradoSprings,36,23742.75,5142.88,4174.33
DRG064,PID60022,RIDCOColoradoSprings,26,40809.61,11954.11,11131.84
DRG064,PID60031,RIDCOColoradoSprings,35,37409.88,10342.08,9311.91
DRG065,PID60008,RIDCOColoradoSprings,14,15717.5,7817.85,6861.28
DRG065,PID60016,RIDCOColoradoSprings,18,19692.16,8022.44,7089.77
DRG065,PID60022,RIDCOColoradoSprings,85,26379.04,6699.17,5786.28
DRG065,PID60031,RIDCOColoradoSprings,74,28115.68,6374.54,5440.7
DRG066,PID60022,RIDCOColoradoSprings,69,22501.53,5000.33,4032.07
DRG066,PID60031,RIDCOColoradoSprings,54,23249.29,4735.29,3718.18
DRG069,PID60016,RIDCOColoradoSprings,12,11862.5,5092,4065
DRG069,PID60022,RIDCOColoradoSprings,79,19623.7,4798.86,3506.36
DRG069,PID60031,RIDCOColoradoSprings,49,19062.75,4239.28,3225.4
DRG074,PID60022,RIDCOColoradoSprings,40,20486.57,5494.02,4617.25
DRG074,PID60031,RIDCOColoradoSprings,19,21172.89,5597.05,3656.52
DRG101,PID60022,RIDCOColoradoSprings,43,22353.86,5610.51,3656.9
DRG101,PID60031,RIDCOColoradoSprings,27,20562.11,4193.66,3358.7
DRG149,PID60022,RIDCOColoradoSprings,32,17572.68,4149.4,2834.81
DRG149,PID60031,RIDCOColoradoSprings,25,17155.4,3706.56,2593.08
DRG176,PID60008,RIDCOColoradoSprings,12,14209.41,7305,6173.16
DRG176,PID60016,RIDCOColoradoSprings,12,23620.83,7429.08,6402.08
DRG176,PID60022,RIDCOColoradoSprings,59,24567.52,6526.22,5628.25
DRG176,PID60031,RIDCOColoradoSprings,56,25197.76,6024.94,4837.05
DRG177,PID60022,RIDCOColoradoSprings,17,42451.7,12050.94,11453.52
DRG177,PID60031,RIDCOColoradoSprings,49,41399.55,11156.46,10456.42
DRG177,PID60036,RIDCOColoradoSprings,19,14788,12287.36,11859.21
DRG178,PID60022,RIDCOColoradoSprings,36,38798.33,9280.94,8717.61
DRG178,PID60031,RIDCOColoradoSprings,43,31696.69,8143.51,7437.93
DRG178,PID60036,RIDCOColoradoSprings,34,13115.88,8600.08,8004.55
DRG189,PID60022,RIDCOColoradoSprings,47,24884.1,7958.31,7152.76
DRG189,PID60031,RIDCOColoradoSprings,81,26658.54,7520.7,6520.12
DRG190,PID60008,RIDCOColoradoSprings,14,16465.64,7813.14,6775.71
DRG190,PID60022,RIDCOColoradoSprings,70,27117.74,7728.35,6166.17
DRG190,PID60031,RIDCOColoradoSprings,77,25374.93,6868.7,5865.36
DRG190,PID60036,RIDCOColoradoSprings,11,14715.36,7792.9,6163.27
DRG191,PID60016,RIDCOColoradoSprings,15,21099.06,6780,5954.13
DRG191,PID60022,RIDCOColoradoSprings,92,26821.76,6123.18,5157.06
DRG191,PID60031,RIDCOColoradoSprings,67,24698.88,5751.55,4560.64
DRG191,PID60036,RIDCOColoradoSprings,23,9488.39,6481.69,5599.95
DRG192,PID60016,RIDCOColoradoSprings,21,17473.9,4943.14,3983.52
DRG192,PID60022,RIDCOColoradoSprings,56,18673.39,4540.64,3477.64
DRG192,PID60031,RIDCOColoradoSprings,46,19188.78,4217.82,3243.54
DRG192,PID60036,RIDCOColoradoSprings,23,9093.86,4756.52,3777.73
DRG193,PID60008,RIDCOColoradoSprings,12,20171.41,9364.83,8332.83
DRG193,PID60022,RIDCOColoradoSprings,95,32571.71,9644.14,7954.48
DRG193,PID60031,RIDCOColoradoSprings,92,30549.78,8442.59,7251.7
DRG193,PID60036,RIDCOColoradoSprings,47,16799.48,9395.87,8617.87
DRG194,PID60008,RIDCOColoradoSprings,30,17159.6,6694.43,5724.1
DRG194,PID60016,RIDCOColoradoSprings,53,20650.32,7057.45,5810.43
DRG194,PID60022,RIDCOColoradoSprings,129,25860.31,6385.43,5324.27
DRG194,PID60031,RIDCOColoradoSprings,125,22559.11,5863.42,4744.43
DRG194,PID60036,RIDCOColoradoSprings,71,11031.77,6636.84,5751.7
DRG194,PID60043,RIDCOColoradoSprings,19,10363.84,15172,14407.63
DRG195,PID60016,RIDCOColoradoSprings,23,16946.91,4935.69,4055.34
DRG195,PID60022,RIDCOColoradoSprings,67,19608.47,4426.52,3384.74
DRG195,PID60031,RIDCOColoradoSprings,46,18186.3,4304.32,2996.26
DRG202,PID60022,RIDCOColoradoSprings,29,19112.72,5236.89,4421.58
DRG202,PID60031,RIDCOColoradoSprings,18,15713.77,6294.61,3171.55
DRG203,PID60022,RIDCOColoradoSprings,14,20080.28,4218.21,2544.92
DRG203,PID60031,RIDCOColoradoSprings,14,16474.78,4337.14,2367
DRG207,PID60022,RIDCOColoradoSprings,27,136506.85,34942.88,34064.81
DRG208,PID60022,RIDCOColoradoSprings,40,66927.02,14766.17,14126.35
DRG208,PID60031,RIDCOColoradoSprings,36,71289.11,14607.41,11718.27
DRG238,PID60022,RIDCOColoradoSprings,42,66217.85,19491.21,18529.28
DRG238,PID60031,RIDCOColoradoSprings,11,106927.9,20666.09,19740
DRG243,PID60022,RIDCOColoradoSprings,21,73878.76,16581.66,15723.76
DRG243,PID60031,RIDCOColoradoSprings,32,105032.75,16983.65,16103.31
DRG244,PID60022,RIDCOColoradoSprings,30,46974.8,13137,11200.23
DRG244,PID60031,RIDCOColoradoSprings,48,75891.1,13251.6,11051.87
DRG246,PID60022,RIDCOColoradoSprings,13,62367.15,19744.84,18709.76
DRG247,PID60022,RIDCOColoradoSprings,76,46432.47,12505.22,10945.77
DRG247,PID60031,RIDCOColoradoSprings,57,67491.96,12409.43,9786.43
DRG249,PID60022,RIDCOColoradoSprings,23,45629.34,12159.39,9076.39
DRG249,PID60031,RIDCOColoradoSprings,44,58520.84,10300.63,9225.9
