drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60014,RIDCODenver,20,46569.3,7570.95,6615.15
DRG039,PID60064,RIDCODenver,19,33355.73,6119.68,5113.57
DRG039,PID60100,RIDCODenver,20,63986.4,8613.8,4841.6
DRG039,PID280061,RIDCODenver,16,35408.75,8984.56,5905.75
DRG057,PID60009,RIDCODenver,16,24186.75,5307.93,4396.18
DRG057,PID60024,RIDCODenver,27,25798.29,9076.07,8324.96
DRG057,PID60034,RIDCODenver,19,35194.05,5730.15,4778.57
DRG057,PID60064,RIDCODenver,12,29375.75,5898.75,5055.08
DRG057,PID60100,RIDCODenver,12,38774.75,7170.08,3895.25
DRG057,PID60113,RIDCODenver,20,24455.4,5256.45,4357.25
DRG057,PID60114,RIDCODenver,13,27422.3,5426,4557.69
DRG064,PID60009,RIDCODenver,15,43780.6,11136.46,10310.6
DRG064,PID60015,RIDCODenver,57,55844.5,11684.21,10589.4
DRG064,PID60024,RIDCODenver,28,77431.64,22279.1,18160.46
DRG064,PID60032,RIDCODenver,13,89580.53,13839.69,12976.3
DRG064,PID60034,RIDCODenver,81,79553.03,13201.41,11566.37
DRG064,PID60064,RIDCODenver,13,38665.07,11442.23,10192.3
DRG064,PID60100,RIDCODenver,24,72729.33,12517.79,10453.16
DRG064,PID60113,RIDCODenver,19,69551.78,12135.78,11306.78
DRG064,PID280061,RIDCODenver,24,25596.41,12285.91,11489.41
DRG065,PID60009,RIDCODenver,31,38255.22,6735.48,5683.74
DRG065,PID60015,RIDCODenver,39,36714.2,6811.38,5945.66
DRG065,PID60024,RIDCODenver,19,53608.47,12988.89,12161.52
DRG065,PID60032,RIDCODenver,29,46845.82,7485.75,6385.96
DRG065,PID60034,RIDCODenver,114,50717.84,7175.07,5911.35
DRG065,PID60064,RIDCODenver,18,36926.33,7212.11,6401.66
DRG065,PID60100,RIDCODenver,41,41536.24,7252.58,5971.48
DRG065,PID60104,RIDCODenver,13,36017.07,7549.15,6441.76
DRG065,PID60112,RIDCODenver,17,42788.76,6936.58,5395.05
DRG065,PID60113,RIDCODenver,32,44117.59,6460.78,5548.03
DRG065,PID280061,RIDCODenver,25,22056.64,8142.44,7245.8
DRG066,PID60009,RIDCODenver,20,31580.35,4844.1,3833.3
DRG066,PID60015,RIDCODenver,24,30203.66,4968.91,4079.41
DRG066,PID60024,RIDCODenver,13,28746.69,8176.38,6546.38
DRG066,PID60034,RIDCODenver,51,39332,5220.66,3851.64
DRG066,PID60112,RIDCODenver,14,34429.14,4589.5,3787.78
DRG066,PID60113,RIDCODenver,16,38693.5,4532.12,3543.62
DRG066,PID280061,RIDCODenver,20,19162.9,7984.4,4025.3
