drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID530014,RIDCOFortCollins,16,28266.43,9931.12,7539.25
DRG057,PID60010,RIDCOFortCollins,14,16410.71,5439.71,4716.57
DRG057,PID530014,RIDCOFortCollins,15,16099.86,8139.86,7467.06
DRG064,PID60010,RIDCOFortCollins,22,38599.36,13450.54,9426.22
DRG064,PID530014,RIDCOFortCollins,22,40289.27,16400,15586.95
DRG065,PID60010,RIDCOFortCollins,54,22253.24,6704.85,5851.88
DRG065,PID530014,RIDCOFortCollins,31,19620.61,10093.54,9372.51
DRG066,PID60010,RIDCOFortCollins,35,19137,5295.17,3791.45
DRG066,PID530014,RIDCOFortCollins,13,23750.53,7147.3,6196.84
DRG069,PID60010,RIDCOFortCollins,72,14095.16,4700.87,3340.23
DRG101,PID60010,RIDCOFortCollins,36,22806.63,5891.47,4471.66
DRG101,PID530014,RIDCOFortCollins,14,12400.78,6720.71,5280.5
DRG149,PID60010,RIDCOFortCollins,16,11643,3811,2685
DRG176,PID60010,RIDCOFortCollins,33,22778.3,6606.48,5347.51
DRG176,PID530014,RIDCOFortCollins,33,20961.36,9164.42,8252.63
DRG177,PID60010,RIDCOFortCollins,21,42218.9,11371.09,10703.38
DRG177,PID530014,RIDCOFortCollins,22,42939.4,21452.59,16226.31
DRG178,PID60010,RIDCOFortCollins,32,30107.75,8514.87,7846.75
DRG178,PID530014,RIDCOFortCollins,16,32776.75,12962.37,12243.68
DRG189,PID60010,RIDCOFortCollins,36,40072.47,8656.52,6712.66
DRG189,PID530014,RIDCOFortCollins,80,29323.97,11475.78,10683.48
DRG190,PID60010,RIDCOFortCollins,29,27485.82,8705.75,6021.24
DRG190,PID530014,RIDCOFortCollins,56,23167.82,10536.28,9380.76
DRG191,PID60010,RIDCOFortCollins,41,17794.29,5757.24,4648.29
DRG191,PID530014,RIDCOFortCollins,43,17476.67,8413.79,7708.95
DRG192,PID60010,RIDCOFortCollins,40,13111.82,4532.42,3260.42
DRG192,PID530014,RIDCOFortCollins,32,14404.28,6983.37,4903.37
DRG192,PID530025,RIDCOFortCollins,20,11480.1,7464,6618.2
DRG193,PID60010,RIDCOFortCollins,38,38161.1,8469.39,7441.86
DRG193,PID530014,RIDCOFortCollins,84,32388.95,12917.91,12174.38
DRG194,PID60010,RIDCOFortCollins,126,20838.3,5752.87,4755.42
DRG194,PID530014,RIDCOFortCollins,53,23248.09,9454.75,7633.92
DRG194,PID530025,RIDCOFortCollins,27,16036.25,10313.07,9479.29
DRG195,PID60010,RIDCOFortCollins,56,13559.62,4310.57,3036.85
DRG195,PID530014,RIDCOFortCollins,37,16505,6264.37,5029.51
DRG195,PID530025,RIDCOFortCollins,30,14642.26,7371.83,6130.6
DRG202,PID60010,RIDCOFortCollins,14,14886.85,7340.5,3701.71
DRG202,PID530014,RIDCOFortCollins,11,20807,7339.54,6161.9
DRG208,PID60010,RIDCOFortCollins,32,65114.87,15883.18,13475.28
DRG208,PID530014,RIDCOFortCollins,34,55108.32,20744.29,18885.17
DRG238,PID530014,RIDCOFortCollins,30,85015.03,27385.4,26412.86
DRG243,PID530014,RIDCOFortCollins,18,68693.11,25058.61,24126
DRG244,PID530014,RIDCOFortCollins,24,42986.33,17751.66,16813.66
DRG246,PID530014,RIDCOFortCollins,12,92430.66,33137.41,27348.83
DRG247,PID60010,RIDCOFortCollins,17,59557.7,14253.88,10202.82
DRG247,PID530014,RIDCOFortCollins,84,55499.33,17856.2,15856.85
DRG249,PID60010,RIDCOFortCollins,12,61494.41,10620.83,9583.16
DRG251,PID530014,RIDCOFortCollins,13,75760.76,22549.3,13963.61
DRG252,PID60010,RIDCOFortCollins,18,56904.66,19006.72,18507.16
DRG254,PID530014,RIDCOFortCollins,12,47066.75,15331.08,12414.58
DRG280,PID530014,RIDCOFortCollins,16,39549.43,16226.87,15387.87
DRG281,PID60010,RIDCOFortCollins,13,27278.53,6376.23,5592.53
DRG281,PID530014,RIDCOFortCollins,25,21822.12,11222.84,9231.64
DRG282,PID60010,RIDCOFortCollins,17,17093.7,4629.64,3703.05
DRG282,PID530014,RIDCOFortCollins,13,34176.23,7806.84,6769.3
DRG286,PID530014,RIDCOFortCollins,14,41669.85,17427.92,16464.42
DRG287,PID60010,RIDCOFortCollins,17,26885.17,8231,5106.47
DRG287,PID530014,RIDCOFortCollins,63,28701.47,9612.71,8426.06
DRG291,PID60010,RIDCOFortCollins,28,38064.39,9319.64,8438.17
DRG291,PID530014,RIDCOFortCollins,37,24145.21,13011.91,12344.89
DRG292,PID60010,RIDCOFortCollins,79,19707.08,5939.58,5369.25
