drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60023,RIDCOGrandJunction,38,22619.02,6945.57,5914.73
DRG057,PID60023,RIDCOGrandJunction,14,17074.5,6385.78,5662.64
DRG064,PID60023,RIDCOGrandJunction,28,38905.1,12755.92,11914.92
DRG065,PID60006,RIDCOGrandJunction,12,12592,6565.33,5724.33
DRG065,PID60023,RIDCOGrandJunction,43,24025.41,7874.6,6540.93
DRG065,PID60054,RIDCOGrandJunction,15,19931.46,6246.26,5357.73
DRG066,PID60006,RIDCOGrandJunction,20,9385.7,5130,4117.6
DRG066,PID60023,RIDCOGrandJunction,36,22598.36,5652.72,4655.38
DRG066,PID60071,RIDCOGrandJunction,17,12147.29,4696.82,3705.52
DRG069,PID60023,RIDCOGrandJunction,13,16546.46,5008,3883.38
DRG069,PID60071,RIDCOGrandJunction,15,8854.86,4316.13,3339.33
DRG074,PID60023,RIDCOGrandJunction,11,21419.9,5947.72,5227.36
DRG101,PID60006,RIDCOGrandJunction,12,7573,4656.33,3815.33
DRG101,PID60023,RIDCOGrandJunction,20,19283.85,5426.3,4104.9
DRG176,PID60006,RIDCOGrandJunction,18,13054.44,6493.5,5623.72
DRG176,PID60023,RIDCOGrandJunction,24,23736.04,6995.37,6289.2
DRG176,PID60071,RIDCOGrandJunction,19,14768.68,6181.68,5180.63
DRG177,PID60023,RIDCOGrandJunction,17,52628.29,14977.76,13772.41
DRG178,PID60023,RIDCOGrandJunction,27,29382.81,10144.37,9394.44
DRG189,PID60023,RIDCOGrandJunction,25,39572.48,9752.8,8759.2
DRG189,PID60054,RIDCOGrandJunction,12,18812.58,7219,6372.66
DRG190,PID60006,RIDCOGrandJunction,16,14539.18,7160.62,6246.87
DRG190,PID60023,RIDCOGrandJunction,24,28461.45,8207.29,7315.12
DRG190,PID60054,RIDCOGrandJunction,18,17501.38,6346.61,5473.27
DRG190,PID60071,RIDCOGrandJunction,13,20283.07,6793.84,5756.3
DRG191,PID60006,RIDCOGrandJunction,18,14115.83,6021.55,4657.33
DRG191,PID60023,RIDCOGrandJunction,31,23603.48,6741.29,5944.12
DRG191,PID60054,RIDCOGrandJunction,14,16959.92,5486,4520.28
DRG191,PID60071,RIDCOGrandJunction,17,16416.64,5742.58,4945.41
DRG192,PID60006,RIDCOGrandJunction,15,9141.4,4405.33,3430.66
DRG192,PID60023,RIDCOGrandJunction,33,16533.21,4985.09,4032.36
DRG192,PID60054,RIDCOGrandJunction,11,15416.09,4057.09,3133.81
DRG192,PID60071,RIDCOGrandJunction,36,11723.55,4215.25,3244.91
DRG193,PID60006,RIDCOGrandJunction,14,17892.28,8997.28,7049.85
DRG193,PID60023,RIDCOGrandJunction,30,34133.83,10234.2,9407.26
DRG193,PID60054,RIDCOGrandJunction,11,24361.81,8111.81,6994.36
DRG193,PID60071,RIDCOGrandJunction,13,24681.69,8571.76,7531.76
DRG194,PID60006,RIDCOGrandJunction,23,11244.69,6326.6,5395.65
DRG194,PID60023,RIDCOGrandJunction,79,23314,7085.07,5948.39
DRG194,PID60054,RIDCOGrandJunction,23,17223.78,5389.21,4562.26
DRG194,PID60071,RIDCOGrandJunction,43,17302.13,5919.97,5079.79
DRG194,PID60075,RIDCOGrandJunction,18,20265.77,8911.11,8034.22
DRG195,PID60006,RIDCOGrandJunction,22,9680.86,4370.81,3449
DRG195,PID60023,RIDCOGrandJunction,37,18100.51,4954.32,3986.54
DRG195,PID60054,RIDCOGrandJunction,21,12720.14,4015.61,2884.61
DRG195,PID60071,RIDCOGrandJunction,39,9809.71,4180.69,3285.82
DRG208,PID60023,RIDCOGrandJunction,42,63092.11,17024.73,15508.95
DRG238,PID60023,RIDCOGrandJunction,37,58778.62,21312.45,20367.48
DRG243,PID60006,RIDCOGrandJunction,11,34939,15876.27,15061.72
DRG243,PID60023,RIDCOGrandJunction,20,64094.6,17916.05,16957.1
DRG244,PID60023,RIDCOGrandJunction,33,52435.6,14791.21,12583.96
DRG247,PID60006,RIDCOGrandJunction,15,34859.2,13423.73,10600.4
DRG247,PID60023,RIDCOGrandJunction,47,45519.17,14932.59,11440.72
DRG249,PID60006,RIDCOGrandJunction,12,34072.91,11095,10108.5
DRG249,PID60023,RIDCOGrandJunction,51,45493.54,12106.19,11117.41
DRG251,PID60023,RIDCOGrandJunction,11,51756.18,12275,11254.63
DRG253,PID60023,RIDCOGrandJunction,25,80090.6,18303.24,17405.36
DRG280,PID60023,RIDCOGrandJunction,20,48893.9,17113.3,14517.8
DRG281,PID60023,RIDCOGrandJunction,35,23612.48,8041.28,7173.51
DRG282,PID60023,RIDCOGrandJunction,16,21083,6819.81,4415.12
DRG287,PID60023,RIDCOGrandJunction,50,23318.22,7441.7,6429.3
DRG287,PID60075,RIDCOGrandJunction,15,32532.06,10241.2,9191.06
DRG291,PID60023,RIDCOGrandJunction,25,28228.12,10049.88,9073
DRG291,PID60054,RIDCOGrandJunction,11,14361.9,7432.27,6623.54
DRG292,PID60006,RIDCOGrandJunction,18,12705.16,6100,5347.11
DRG292,PID60023,RIDCOGrandJunction,48,22092.77,7086.79,6434.45
DRG292,PID60054,RIDCOGrandJunction,21,16268,5736.85,4826.57
DRG292,PID60071,RIDCOGrandJunction,21,10830.42,5711.52,5093.14
DRG293,PID60006,RIDCOGrandJunction,12,7594.5,4288,3447
DRG293,PID60023,RIDCOGrandJunction,41,15955.39,4715.87,3895.39
DRG293,PID60071,RIDCOGrandJunction,22,7911.9,3940.95,3223.5
DRG303,PID60023,RIDCOGrandJunction,17,14297.41,4021.11,3292.41
DRG308,PID60023,RIDCOGrandJunction,19,31651.68,8872.15,8279.68
DRG309,PID60006,RIDCOGrandJunction,17,13753.23,5248,4107.35
DRG309,PID60023,RIDCOGrandJunction,38,23247.5,5900.07,4818.71
DRG309,PID60071,RIDCOGrandJunction,13,13749.76,4956.23,4264.53
DRG309,PID60075,RIDCOGrandJunction,12,21157.66,7126.75,6380.08
DRG310,PID60006,RIDCOGrandJunction,19,8613.78,3614.31,2481.63
DRG310,PID60023,RIDCOGrandJunction,39,11970.61,3998.94,2819.61
DRG310,PID60071,RIDCOGrandJunction,16,6109.93,3357.25,2378.75
DRG310,PID60075,RIDCOGrandJunction,11,19528.45,5225,4301.72
DRG312,PID60023,RIDCOGrandJunction,22,16640.81,5713.5,3801.63
DRG312,PID60071,RIDCOGrandJunction,13,7344,4184.15,3149.07
