drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60001,RIDCOGreeley,16,33135.68,8359.12,5379.06
DRG039,PID60119,RIDCOGreeley,25,27634.88,6517.68,4589.28
DRG057,PID60001,RIDCOGreeley,19,25911.78,6716.68,5768.47
DRG064,PID60001,RIDCOGreeley,22,40852.59,13485.68,10372.59
DRG064,PID60119,RIDCOGreeley,12,52348.58,12147.58,11586.75
DRG065,PID60001,RIDCOGreeley,33,23850.42,7453.18,6604.33
DRG065,PID60030,RIDCOGreeley,35,20757.77,6562.62,5323.37
DRG065,PID60119,RIDCOGreeley,26,22905.34,6015.69,5453.38
DRG066,PID60001,RIDCOGreeley,13,23088.07,5404.15,4627.84
DRG066,PID60119,RIDCOGreeley,24,17532.79,5468.62,3077.25
DRG069,PID60001,RIDCOGreeley,62,16014.69,4818.29,3891.25
DRG069,PID60030,RIDCOGreeley,28,16377.82,4218.46,3213.46
DRG069,PID60119,RIDCOGreeley,32,17369.28,4648.68,2888.59
DRG074,PID60001,RIDCOGreeley,19,20622.31,6066.1,4903.36
DRG101,PID60001,RIDCOGreeley,17,12967.29,4933.29,4008.58
DRG101,PID60119,RIDCOGreeley,18,17534,4210.11,3121.88
DRG149,PID60001,RIDCOGreeley,22,17227.4,4757.13,3195.72
DRG176,PID60001,RIDCOGreeley,49,22671.42,7077.32,5778.93
DRG176,PID60030,RIDCOGreeley,13,15146,5938.69,5157.46
DRG177,PID60001,RIDCOGreeley,54,39642.4,12514.66,11534.68
DRG177,PID60030,RIDCOGreeley,21,26938.66,9982.14,9284.42
DRG177,PID60119,RIDCOGreeley,14,59798.5,15022.21,14539.35
DRG178,PID60001,RIDCOGreeley,28,28237.32,9257,8775.28
DRG178,PID60119,RIDCOGreeley,22,33132.95,8446.04,6630.9
DRG189,PID60001,RIDCOGreeley,63,26974.11,8442,7798.69
DRG189,PID60030,RIDCOGreeley,67,18653.14,7612.1,6503.98
DRG189,PID60119,RIDCOGreeley,12,29871.16,7937.25,7185.25
DRG190,PID60001,RIDCOGreeley,90,25200.04,7665.58,6676.57
DRG190,PID60076,RIDCOGreeley,16,26314.43,12843.18,9967.75
DRG190,PID60119,RIDCOGreeley,16,28689.25,8034.81,5302.43
DRG191,PID60001,RIDCOGreeley,62,22039.67,6226.98,5373.5
DRG191,PID60030,RIDCOGreeley,12,11921.58,6512.33,4217.41
DRG191,PID60044,RIDCOGreeley,19,20586.84,6889.42,6300.36
DRG191,PID60076,RIDCOGreeley,14,14832.5,8169,7284.14
DRG191,PID60119,RIDCOGreeley,29,22344.24,6947.65,3914.1
DRG192,PID60001,RIDCOGreeley,31,19440.29,4963.67,3724.06
DRG192,PID60044,RIDCOGreeley,16,20514,5486,4639
DRG192,PID60076,RIDCOGreeley,17,13347.94,6191.05,5336.7
DRG192,PID60119,RIDCOGreeley,15,17046.2,4572.06,2906.4
DRG193,PID60001,RIDCOGreeley,66,30997.16,9519.63,8648.3
DRG193,PID60030,RIDCOGreeley,71,22757.94,7875.57,6909.78
DRG193,PID60076,RIDCOGreeley,11,24890.63,12441.45,11312.36
DRG193,PID60119,RIDCOGreeley,19,35429.26,8534,7997.73
DRG194,PID60001,RIDCOGreeley,99,19625.17,6866.38,5249.02
DRG194,PID60030,RIDCOGreeley,18,17348.5,5510.27,4509.38
DRG194,PID60044,RIDCOGreeley,26,24057.84,7175.65,6268.73
DRG194,PID60076,RIDCOGreeley,22,13983.09,8602.77,7835.31
DRG194,PID60119,RIDCOGreeley,52,22096.69,5666.84,4465.9
DRG195,PID60001,RIDCOGreeley,33,16515.9,4605.72,3617.72
DRG195,PID60044,RIDCOGreeley,11,23185.27,5346.72,4432.18
DRG195,PID60076,RIDCOGreeley,13,10760.76,6093,5057.92
DRG195,PID60119,RIDCOGreeley,21,13567.42,3674.14,2657.57
DRG202,PID60001,RIDCOGreeley,21,17355.38,5546,4584.85
DRG202,PID60119,RIDCOGreeley,11,15200.36,4609.18,3688.81
DRG208,PID60001,RIDCOGreeley,36,64150.02,17828.75,13900.25
DRG208,PID60030,RIDCOGreeley,12,49610.41,13407.08,12749.41
DRG208,PID60119,RIDCOGreeley,13,61455.23,14626.76,14104.3
DRG238,PID60001,RIDCOGreeley,24,102728.75,20427.29,19536.41
DRG238,PID60119,RIDCOGreeley,48,102767.5,22719.58,21757.95
DRG243,PID60001,RIDCOGreeley,16,67226.62,17463.12,16480.62
DRG243,PID60119,RIDCOGreeley,16,57707.37,14190.62,13624.62
DRG244,PID60001,RIDCOGreeley,19,62823.89,14000.52,12991.05
DRG244,PID60119,RIDCOGreeley,24,54364.66,11955.83,11209.12
DRG246,PID60001,RIDCOGreeley,17,128074.94,27581.17,21717.35
DRG246,PID60119,RIDCOGreeley,11,74131.72,23821.9,16457.27
DRG247,PID60001,RIDCOGreeley,75,75950.45,13839.4,11940.16
DRG247,PID60119,RIDCOGreeley,91,56662.67,12203.13,9719.69
DRG249,PID60001,RIDCOGreeley,18,65229.44,11683,10748.55
DRG249,PID60030,RIDCOGreeley,16,54515.75,14151.5,8296.75
DRG249,PID60119,RIDCOGreeley,34,55973.17,13041.26,8244.55
DRG251,PID60001,RIDCOGreeley,18,89050.5,12235.61,11295.77
DRG251,PID60119,RIDCOGreeley,29,54693.65,11686.82,8965.68
DRG252,PID60119,RIDCOGreeley,13,67447.69,20128.61,19436.84
DRG253,PID60001,RIDCOGreeley,15,90244.53,19282.26,17920.4
DRG253,PID60119,RIDCOGreeley,17,53507.88,14026.29,13038.76
DRG254,PID60001,RIDCOGreeley,19,48181.73,10639.21,9696.05
DRG254,PID60119,RIDCOGreeley,25,41646.84,10927.36,8044.6
DRG280,PID60001,RIDCOGreeley,30,45651,11692.5,10868.76
DRG280,PID60119,RIDCOGreeley,18,40660.44,10776.55,9716.22
DRG281,PID60001,RIDCOGreeley,15,39705.93,9220.86,6186.46
DRG281,PID60119,RIDCOGreeley,15,21008.53,6518,5692.13
DRG292,PID60030,RIDCOGreeley,31,18665.12,5610.58,4788.93
DRG282,PID60001,RIDCOGreeley,17,27426.05,5283.64,4222
DRG282,PID60119,RIDCOGreeley,21,19694,4373.85,3572.9
DRG286,PID60001,RIDCOGreeley,17,59256.52,13186.64,12195.35
DRG287,PID60001,RIDCOGreeley,72,34342.91,7566.11,5937.3
DRG287,PID60030,RIDCOGreeley,20,30767.35,7188.4,4901.2
DRG287,PID60119,RIDCOGreeley,35,20260.48,6310.45,5015.82
DRG291,PID60001,RIDCOGreeley,75,33390.05,9641.46,9033.6
DRG291,PID60030,RIDCOGreeley,28,26611.78,7947,7135.17
DRG291,PID60119,RIDCOGreeley,17,29052.64,8015.82,7682.88
DRG292,PID60001,RIDCOGreeley,93,26803.36,6677.36,5965.4
DRG292,PID60044,RIDCOGreeley,18,25696.22,7517.27,6954.83
DRG292,PID60076,RIDCOGreeley,14,11988.07,8607.21,7964.92
DRG292,PID60119,RIDCOGreeley,34,24656.44,6278.32,4658.41
DRG293,PID60001,RIDCOGreeley,29,17472.72,4514.89,3818.89
DRG293,PID60044,RIDCOGreeley,12,15380.58,5207,4460.33
DRG293,PID60119,RIDCOGreeley,22,16118.4,3900.63,2819.36
DRG300,PID60001,RIDCOGreeley,14,23741.07,7109.28,5032.78
DRG303,PID60001,RIDCOGreeley,34,17340.7,3839.76,3050.11
DRG303,PID60119,RIDCOGreeley,11,11229.9,3190,2675.45
DRG305,PID60001,RIDCOGreeley,23,16340.43,4045.52,3068.13
DRG308,PID60001,RIDCOGreeley,39,33145.02,8441.41,7201.74
DRG308,PID60119,RIDCOGreeley,14,31067.85,10046.35,7548.85
DRG309,PID60001,RIDCOGreeley,79,21846.6,5530.51,4661.36
DRG309,PID60030,RIDCOGreeley,19,17314.84,4864.63,3916.42
DRG309,PID60119,RIDCOGreeley,22,11870.09,4589,3767.18
DRG312,PID60030,RIDCOGreeley,16,18376.43,4588.87,3124.81
DRG310,PID60001,RIDCOGreeley,65,15082.9,4018.93,2782.13
