drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID60020,RIDCOPueblo,33,37752.3,6259.96,5077.21
DRG057,PID60012,RIDCOPueblo,12,24896.08,5789.75,4946.08
DRG064,PID60012,RIDCOPueblo,11,88722.36,13614.54,12791.27
DRG064,PID60020,RIDCOPueblo,37,50993.62,11258.48,10316.1
DRG065,PID60012,RIDCOPueblo,38,34156.81,7166.44,6367.18
DRG065,PID60020,RIDCOPueblo,51,29128.94,6955.03,6051.9
DRG066,PID60012,RIDCOPueblo,27,28286.74,5120.22,4287.62
DRG066,PID60020,RIDCOPueblo,15,23898.33,5626.4,3689.6
DRG069,PID60012,RIDCOPueblo,19,21448.89,4576.84,3509.47
DRG069,PID60020,RIDCOPueblo,13,25681.53,4465.92,3776.69
DRG101,PID60012,RIDCOPueblo,15,20358,4710.33,3882.33
DRG101,PID60020,RIDCOPueblo,32,19942.28,4614.5,3739.12
DRG149,PID60012,RIDCOPueblo,13,15763.46,3975.46,2850.84
DRG149,PID60020,RIDCOPueblo,12,21299.25,4004,2551.5
DRG176,PID60012,RIDCOPueblo,17,39197.11,6754.88,5957.7
DRG176,PID60020,RIDCOPueblo,52,28591.59,6549.17,5636.25
DRG177,PID60020,RIDCOPueblo,30,50273.43,16102.23,11010
DRG178,PID60012,RIDCOPueblo,18,38887.77,8901.61,8339.16
DRG178,PID60020,RIDCOPueblo,32,32793.65,8871.21,8201.09
DRG189,PID60012,RIDCOPueblo,29,41302.58,8131.82,7318.72
DRG189,PID60020,RIDCOPueblo,101,37631.38,7836.72,6892.64
DRG190,PID60012,RIDCOPueblo,36,32971.41,7431.83,6493.83
DRG190,PID60020,RIDCOPueblo,97,30228.16,7203.21,6382.22
DRG191,PID60012,RIDCOPueblo,40,31865.4,6571.12,4805.15
DRG191,PID60020,RIDCOPueblo,65,24338.64,5903.3,4946.67
DRG192,PID60012,RIDCOPueblo,38,21533.81,4887.73,3474.47
DRG192,PID60020,RIDCOPueblo,25,19164.68,4390.36,3284.2
DRG193,PID60012,RIDCOPueblo,11,31200.09,8801.27,7883.81
DRG193,PID60020,RIDCOPueblo,74,43933.22,9066.29,8148.81
DRG194,PID60012,RIDCOPueblo,61,29691.24,6392.03,5507.04
DRG194,PID60020,RIDCOPueblo,151,27268.41,6108.7,5126.47
DRG195,PID60012,RIDCOPueblo,26,21431.73,4484.3,3449.23
DRG195,PID60020,RIDCOPueblo,43,18321.93,4596.93,3168.11
DRG202,PID60020,RIDCOPueblo,12,28104.75,5148,4207.33
DRG208,PID60012,RIDCOPueblo,29,64903.17,14139.58,13442.48
DRG208,PID60020,RIDCOPueblo,44,61442.79,13931.93,13088.79
DRG238,PID60020,RIDCOPueblo,37,107229.94,18965.51,17933.05
DRG243,PID60020,RIDCOPueblo,14,109008,16551.64,15484.78
DRG244,PID60012,RIDCOPueblo,12,59623.25,12658.33,11634
DRG246,PID60020,RIDCOPueblo,13,113199.84,19426.61,18384.15
DRG247,PID60012,RIDCOPueblo,28,80028.57,12637.53,11015.1
DRG247,PID60020,RIDCOPueblo,54,85429.66,12311.77,10857.07
DRG253,PID60012,RIDCOPueblo,11,86927,15137.72,14629
DRG253,PID60020,RIDCOPueblo,14,81857.42,14837.07,11934.5
DRG254,PID60020,RIDCOPueblo,28,63645.5,9858.14,9051.85
DRG280,PID60012,RIDCOPueblo,11,70174.27,14420.54,13397.18
DRG280,PID60020,RIDCOPueblo,15,46308.73,11303,10479.26
DRG281,PID60012,RIDCOPueblo,14,44465.14,7060.71,6097.28
DRG281,PID60020,RIDCOPueblo,24,33996.08,7275.87,6383.7
DRG282,PID60012,RIDCOPueblo,16,32062.68,5675.37,3681.56
DRG287,PID60012,RIDCOPueblo,23,34641.17,7212.82,5569.65
