drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID70010,RIDCTBridgeport,14,27697.57,8972.35,7870.85
DRG039,PID70018,RIDCTBridgeport,15,38982.66,7268.13,6519.86
DRG039,PID70028,RIDCTBridgeport,20,17413.75,7815.2,6917.6
DRG039,PID70034,RIDCTBridgeport,16,22336.68,8566.43,6469.56
DRG057,PID70006,RIDCTBridgeport,13,35920.84,7071,6035.92
DRG057,PID70010,RIDCTBridgeport,11,32121.81,10204.72,7780.63
DRG057,PID70018,RIDCTBridgeport,21,21943.66,6559,5648.71
DRG057,PID70028,RIDCTBridgeport,31,20088.32,7705.54,6799.83
DRG057,PID70034,RIDCTBridgeport,30,31530.66,7939.16,6095.4
DRG064,PID70006,RIDCTBridgeport,33,63717.18,17290.45,16373.96
DRG064,PID70010,RIDCTBridgeport,34,55831.11,18499.26,15533.38
DRG064,PID70018,RIDCTBridgeport,34,44210.97,14108.32,12041.08
DRG064,PID70028,RIDCTBridgeport,29,42046.34,14894.24,14043.24
DRG064,PID70034,RIDCTBridgeport,37,46713.64,14215.13,13229.27
DRG065,PID70006,RIDCTBridgeport,55,45089.47,9015.72,8004.63
DRG065,PID70010,RIDCTBridgeport,35,28394.02,10905.45,8982.25
DRG065,PID70018,RIDCTBridgeport,40,32067.5,8066.8,7169.2
DRG065,PID70028,RIDCTBridgeport,63,24399.93,9389,7772.93
DRG065,PID70034,RIDCTBridgeport,81,33124.54,9070.58,8003.02
DRG066,PID70006,RIDCTBridgeport,29,39239.79,6592.58,5027.89
DRG066,PID70010,RIDCTBridgeport,21,25608.52,8243.19,5942.23
DRG066,PID70018,RIDCTBridgeport,35,21328,6082.2,4626.88
DRG066,PID70028,RIDCTBridgeport,36,19040.08,6493.13,5526.36
DRG066,PID70034,RIDCTBridgeport,29,22941.65,6302.34,5255.03
DRG069,PID70006,RIDCTBridgeport,33,36772.75,5923.96,4440.72
DRG069,PID70010,RIDCTBridgeport,52,21974.26,6914.78,6004.78
DRG069,PID70018,RIDCTBridgeport,71,19686.36,5252.78,4288.33
DRG069,PID70028,RIDCTBridgeport,57,15316.92,5790.31,4885.75
DRG069,PID70034,RIDCTBridgeport,49,20344.79,5804,4887.75
DRG074,PID70010,RIDCTBridgeport,13,24960.69,8283.3,7161.15
DRG074,PID70028,RIDCTBridgeport,18,16335.72,6866.33,6117
DRG074,PID70034,RIDCTBridgeport,12,22830.16,6999.83,6274.08
DRG101,PID70006,RIDCTBridgeport,21,37331.52,6303.09,5397.42
DRG101,PID70010,RIDCTBridgeport,18,19315.05,7011.33,6075.11
DRG101,PID70018,RIDCTBridgeport,19,18463.63,5719.68,4385.89
DRG101,PID70028,RIDCTBridgeport,42,14939.52,5930.07,4902.11
DRG101,PID70034,RIDCTBridgeport,23,18774.21,6080.56,5302.82
DRG149,PID70018,RIDCTBridgeport,24,15428.91,4598.2,3525.37
DRG149,PID70028,RIDCTBridgeport,22,11868.9,4991.09,3954.95
DRG149,PID70034,RIDCTBridgeport,28,14548.14,5238.42,3969.42
DRG176,PID70006,RIDCTBridgeport,11,28401.45,8360.72,7854.9
DRG176,PID70018,RIDCTBridgeport,12,28647,7337.5,6496.5
DRG176,PID70028,RIDCTBridgeport,12,24691.33,8336.83,7309.83
DRG176,PID70034,RIDCTBridgeport,31,29950.87,9161.32,7330.22
DRG177,PID70006,RIDCTBridgeport,50,68711.9,16613.88,15753
DRG177,PID70010,RIDCTBridgeport,41,50735.36,18694.29,18040.12
DRG177,PID70018,RIDCTBridgeport,31,56017.38,14912.7,14231.12
DRG177,PID70028,RIDCTBridgeport,28,48191.64,16329.75,15807.6
DRG177,PID70034,RIDCTBridgeport,43,49392.32,15801.41,14894.44
DRG178,PID70006,RIDCTBridgeport,58,45980.1,11533.25,10825.29
DRG178,PID70010,RIDCTBridgeport,19,39063.36,14152.31,13381.15
DRG178,PID70018,RIDCTBridgeport,62,42664.79,10552.98,9714.48
DRG178,PID70028,RIDCTBridgeport,26,33098.53,11503.11,10865.84
DRG178,PID70034,RIDCTBridgeport,47,42514.06,12066.59,10908.48
DRG189,PID70006,RIDCTBridgeport,12,49922.66,11188.25,10316.5
DRG189,PID70010,RIDCTBridgeport,59,44230.33,12569.84,11846.23
DRG189,PID70018,RIDCTBridgeport,21,38660,9140.04,8604.04
DRG189,PID70028,RIDCTBridgeport,68,34361.76,10410.38,9915.67
DRG189,PID70034,RIDCTBridgeport,12,53755.75,14707.33,14052.33
DRG190,PID70006,RIDCTBridgeport,34,42989.17,9299.94,8442.76
DRG190,PID70010,RIDCTBridgeport,54,30194.38,11180.55,10253.03
DRG190,PID70018,RIDCTBridgeport,74,37133.6,8549.02,7775.78
DRG190,PID70028,RIDCTBridgeport,64,27225.9,9303.46,8466.04
DRG190,PID70034,RIDCTBridgeport,52,34911.8,9646.46,8934.23
DRG191,PID70006,RIDCTBridgeport,32,28840.31,7445.78,6744.28
DRG191,PID70010,RIDCTBridgeport,31,32779.09,9577.19,8440.35
DRG191,PID70018,RIDCTBridgeport,39,27233.84,6932.35,6210.82
DRG191,PID70028,RIDCTBridgeport,48,26824.31,8241.39,6921.08
DRG191,PID70034,RIDCTBridgeport,49,28853.32,8028.77,7181.81
DRG192,PID70006,RIDCTBridgeport,25,19671.52,5619.84,4900.48
DRG192,PID70010,RIDCTBridgeport,24,19725,7158.2,5761.83
DRG192,PID70018,RIDCTBridgeport,41,21988.87,5800.07,4147.24
DRG192,PID70028,RIDCTBridgeport,89,20563.93,5868.25,5169.17
DRG192,PID70034,RIDCTBridgeport,37,17094.97,5595.62,4592.05
DRG193,PID70006,RIDCTBridgeport,36,46631.38,11811.19,11160.63
DRG193,PID70010,RIDCTBridgeport,89,41357.16,13864.47,12702.88
DRG193,PID70018,RIDCTBridgeport,36,38830.94,10494.5,9901.5
DRG193,PID70028,RIDCTBridgeport,45,42558.44,11948.11,11329.06
DRG193,PID70034,RIDCTBridgeport,60,44520.11,12322,11579.35
DRG194,PID70006,RIDCTBridgeport,100,31292.4,8081.96,7173.68
DRG194,PID70010,RIDCTBridgeport,63,29897.96,10183.33,8529.12
DRG194,PID70018,RIDCTBridgeport,117,28285.88,7327.84,6473.31
DRG194,PID70028,RIDCTBridgeport,91,23101.34,8076.93,7067.97
DRG194,PID70034,RIDCTBridgeport,116,31377.47,8265.86,7168.05
DRG195,PID70006,RIDCTBridgeport,49,25492.77,5985.61,4904.14
DRG195,PID70010,RIDCTBridgeport,27,21751.92,6963.74,5963.44
DRG195,PID70018,RIDCTBridgeport,49,19287.48,5092.46,4115.2
DRG195,PID70028,RIDCTBridgeport,48,15515.93,5799.33,4538.29
DRG195,PID70034,RIDCTBridgeport,69,19627.89,5674.69,4813.07
DRG202,PID70010,RIDCTBridgeport,12,28724.58,9948.58,6156
DRG202,PID70028,RIDCTBridgeport,19,21038.31,6828.89,6057.73
DRG203,PID70006,RIDCTBridgeport,14,20440.64,5121.71,3370.5
DRG203,PID70028,RIDCTBridgeport,27,15302.51,4930,4055.48
DRG203,PID70034,RIDCTBridgeport,16,16987.56,5002.81,3683.31
DRG207,PID70006,RIDCTBridgeport,12,200334.25,56491.58,52435.58
DRG207,PID70010,RIDCTBridgeport,15,163588.93,52770.26,51160.46
DRG207,PID70018,RIDCTBridgeport,15,124848.53,37837.06,36935.73
DRG207,PID70028,RIDCTBridgeport,16,125308.87,41325.06,40660.93
DRG207,PID70034,RIDCTBridgeport,20,162831.6,50420.95,49523.35
DRG208,PID70006,RIDCTBridgeport,31,84118.41,21016.58,19700.9
DRG208,PID70010,RIDCTBridgeport,37,78918.56,22082.51,21093.4
DRG208,PID70018,RIDCTBridgeport,33,87062.9,18289.03,16710.12
DRG208,PID70028,RIDCTBridgeport,57,57221.89,18256.54,16987.66
DRG208,PID70034,RIDCTBridgeport,39,57896.66,18926.12,18290
DRG238,PID70006,RIDCTBridgeport,13,103261.23,26304.23,23297
DRG238,PID70010,RIDCTBridgeport,16,76743.25,29103.93,23481.18
DRG238,PID70028,RIDCTBridgeport,16,67829.06,23642.75,23012
DRG238,PID70034,RIDCTBridgeport,18,65273.05,23947.11,23073.77
DRG243,PID70006,RIDCTBridgeport,12,64058.58,19991.75,17393.83
DRG243,PID70018,RIDCTBridgeport,14,62460.71,18902.64,17948.35
DRG243,PID70028,RIDCTBridgeport,23,58281.47,20155.95,19469.69
DRG243,PID70034,RIDCTBridgeport,12,73791.66,19996.25,19246.91
DRG244,PID70010,RIDCTBridgeport,13,48347.92,18405.92,16833.84
DRG244,PID70018,RIDCTBridgeport,14,59428.42,14569.07,13598.78
DRG244,PID70028,RIDCTBridgeport,39,42118.56,16212.76,13925.56
DRG244,PID70034,RIDCTBridgeport,15,54885,16222,13642.46
DRG246,PID70010,RIDCTBridgeport,11,96947.45,27495.9,25716.36
DRG246,PID70028,RIDCTBridgeport,20,71300.15,25380.5,21641.4
DRG247,PID70006,RIDCTBridgeport,12,77199.75,15286,14248.33
DRG247,PID70010,RIDCTBridgeport,45,68353.84,18895.13,13599.55
DRG247,PID70028,RIDCTBridgeport,83,48328.61,15593.77,13790.93
DRG249,PID70006,RIDCTBridgeport,12,85366.25,14577.5,12146.5
DRG249,PID70010,RIDCTBridgeport,26,69574,16455.53,14893.03
DRG249,PID70028,RIDCTBridgeport,42,42934.59,13686.57,12800.95
DRG251,PID70028,RIDCTBridgeport,29,63104.68,14872.79,13413.82
DRG252,PID70006,RIDCTBridgeport,12,140443.91,32425.41,31956.41
DRG252,PID70010,RIDCTBridgeport,16,178303.93,43148.81,36989.75
DRG252,PID70028,RIDCTBridgeport,30,75669.56,26179.4,23632.1
DRG252,PID70034,RIDCTBridgeport,22,126028.31,36127.9,34760.22
DRG253,PID70006,RIDCTBridgeport,21,124017.28,28038.57,22685.66
DRG253,PID70010,RIDCTBridgeport,14,78522.57,22658.85,21933.42
DRG253,PID70028,RIDCTBridgeport,38,61719.92,19044.5,18165
DRG253,PID70034,RIDCTBridgeport,41,58346.75,18888.24,17218.31
DRG254,PID70006,RIDCTBridgeport,12,69134.08,13916.58,12787.25
DRG254,PID70028,RIDCTBridgeport,34,33217.11,12214.17,10834.29
DRG254,PID70034,RIDCTBridgeport,29,40248.82,14082.82,10446.48
DRG280,PID70006,RIDCTBridgeport,32,57409.75,14274.81,13431.81
DRG280,PID70010,RIDCTBridgeport,65,47283.5,17603.84,16829.01
DRG280,PID70018,RIDCTBridgeport,16,36781.56,10955.06,10322.31
DRG280,PID70028,RIDCTBridgeport,67,44584.83,14236.31,13348.25
DRG280,PID70034,RIDCTBridgeport,61,46168.85,14231.95,13615.01
DRG281,PID70006,RIDCTBridgeport,20,45327.25,9393.65,8604.45
DRG281,PID70010,RIDCTBridgeport,30,40200.76,11729.73,10322.8
DRG281,PID70018,RIDCTBridgeport,20,29844.35,8761.65,6941.85
