drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID70002,RIDCTHartford,38,13479.31,8025.13,6663.86
DRG039,PID70012,RIDCTHartford,11,16060.63,6675.9,5967.18
DRG039,PID70020,RIDCTHartford,29,20848.2,8417,5762.82
DRG039,PID70024,RIDCTHartford,24,16739.37,7333.66,5695.79
DRG039,PID70025,RIDCTHartford,57,23753.66,8891.61,7524.05
DRG039,PID70035,RIDCTHartford,12,19812.5,7623.25,6871.25
DRG057,PID70002,RIDCTHartford,49,18370.38,7548.71,6540.71
DRG057,PID70024,RIDCTHartford,11,21115.09,6233.18,5315.72
DRG057,PID70025,RIDCTHartford,14,23791,8292.28,7248
DRG057,PID70035,RIDCTHartford,22,17218.4,6825.77,5936.22
DRG057,PID70036,RIDCTHartford,13,25056.61,10391.07,9484.76
DRG064,PID70036,RIDCTHartford,21,19669.95,19222.76,18474.19
DRG064,PID70002,RIDCTHartford,80,41312.92,15511.21,14230.43
DRG064,PID70011,RIDCTHartford,16,13247.37,11732.93,10960.68
DRG064,PID70020,RIDCTHartford,32,48082.4,12288.43,11342.31
DRG064,PID70024,RIDCTHartford,18,30155.44,12535.88,11912.27
DRG064,PID70025,RIDCTHartford,143,48680.07,17271.13,15908.84
DRG064,PID70027,RIDCTHartford,12,24963.16,12242,11411.66
DRG064,PID70035,RIDCTHartford,38,33929.97,13819.21,13053.94
DRG065,PID70002,RIDCTHartford,89,30623.77,9512.85,8478.2
DRG065,PID70008,RIDCTHartford,12,23850.5,8504.75,5797.5
DRG065,PID70011,RIDCTHartford,25,10745.04,7444.72,6457.52
DRG065,PID70020,RIDCTHartford,61,38985.36,8122.26,6847.31
DRG065,PID70021,RIDCTHartford,20,15871.2,10191.1,9232.1
DRG065,PID70024,RIDCTHartford,33,19604.87,8358.48,6716.42
DRG065,PID70025,RIDCTHartford,122,28717.42,10457.28,9144.23
DRG065,PID70027,RIDCTHartford,14,15723.78,7648,6767.71
DRG065,PID70029,RIDCTHartford,27,16409.59,7436.55,6649.44
DRG065,PID70035,RIDCTHartford,70,25041.27,9108.58,7644.5
DRG065,PID70036,RIDCTHartford,21,20320.8,13240.19,12439.23
DRG066,PID70002,RIDCTHartford,67,25326.23,7019.64,5886.08
DRG066,PID70003,RIDCTHartford,25,12350.72,5425.4,4482.2
DRG066,PID70004,RIDCTHartford,11,15579.63,7435,6614.63
DRG066,PID70011,RIDCTHartford,14,7182.71,5534.71,3852.92
DRG066,PID70012,RIDCTHartford,15,14278.06,5280.8,4234.93
DRG066,PID70020,RIDCTHartford,38,35261.13,6553.55,4641.05
DRG066,PID70024,RIDCTHartford,36,15950.97,5712.36,4501.66
DRG066,PID70025,RIDCTHartford,88,21601.98,7313.64,6337.56
DRG066,PID70027,RIDCTHartford,14,17027.28,5374,4565.42
DRG066,PID70029,RIDCTHartford,16,15816.5,5287.87,4165.87
DRG066,PID70035,RIDCTHartford,38,21214.57,6197.68,5199.15
DRG069,PID70002,RIDCTHartford,91,20614.52,6145.28,5004.68
DRG069,PID70003,RIDCTHartford,24,11039.54,4765.75,3970.58
DRG069,PID70004,RIDCTHartford,19,14540.94,6631,5801.94
DRG069,PID70011,RIDCTHartford,28,6805.96,4919.85,3802.75
DRG069,PID70020,RIDCTHartford,61,27720.04,5228.26,4171.19
DRG069,PID70021,RIDCTHartford,21,12907.85,6449.28,5649.85
DRG069,PID70024,RIDCTHartford,22,11521.5,5419.36,3723.72
DRG069,PID70025,RIDCTHartford,56,20380.75,6476.71,5595.85
DRG069,PID70027,RIDCTHartford,15,14860.53,4793,3818.33
DRG069,PID70029,RIDCTHartford,13,19451.23,4793,3837.61
DRG069,PID70035,RIDCTHartford,110,15566.54,5611.61,4568.5
DRG069,PID70036,RIDCTHartford,15,13050.93,8275.06,7222.8
DRG074,PID70002,RIDCTHartford,21,18106.42,7144.47,6391.33
DRG074,PID70020,RIDCTHartford,17,26958,6094.23,5563.41
DRG074,PID70025,RIDCTHartford,26,22973.07,8261.38,6748.34
DRG074,PID70035,RIDCTHartford,16,16762.37,6595.5,5428.62
DRG101,PID70002,RIDCTHartford,45,17264.13,6507.28,5320.35
DRG101,PID70011,RIDCTHartford,16,7669.5,4938.75,4097.75
DRG101,PID70020,RIDCTHartford,28,23355.92,5159,4237.14
DRG101,PID70021,RIDCTHartford,17,11176.82,6523.7,5485.88
DRG101,PID70024,RIDCTHartford,19,12229,6061.15,4118.73
DRG101,PID70025,RIDCTHartford,18,18011.38,6966.88,6214
DRG101,PID70027,RIDCTHartford,13,12381.92,4995,4047
DRG101,PID70029,RIDCTHartford,13,15053.69,4885.23,3842.76
DRG101,PID70035,RIDCTHartford,28,14229.21,6208.35,4413.32
DRG101,PID70036,RIDCTHartford,11,12566.27,9414,7260.18
DRG149,PID70002,RIDCTHartford,19,15409.68,5272,4269.26
DRG149,PID70021,RIDCTHartford,14,10012.42,5527.57,4383.35
DRG149,PID70025,RIDCTHartford,22,19772.13,6022.68,4713.13
DRG149,PID70029,RIDCTHartford,12,14640.91,4189,3365.58
DRG149,PID70035,RIDCTHartford,38,11845.36,4934.81,3639.21
DRG176,PID70002,RIDCTHartford,16,30450.93,8883.62,8111.37
DRG176,PID70011,RIDCTHartford,15,10440.6,7187.06,5468.2
DRG176,PID70020,RIDCTHartford,27,25885.66,7339.74,6468.77
DRG176,PID70021,RIDCTHartford,25,15852.96,9012.92,8385.4
DRG176,PID70024,RIDCTHartford,13,20886.07,7601.84,5770.38
DRG176,PID70025,RIDCTHartford,32,25729.59,9863.03,7825.93
DRG176,PID70027,RIDCTHartford,14,20229.5,7018,6214
DRG176,PID70035,RIDCTHartford,36,28899.69,8605.13,7904.75
DRG177,PID70002,RIDCTHartford,92,38808.05,17083.07,16022.01
DRG177,PID70003,RIDCTHartford,16,13054.81,11178.25,10759.75
DRG177,PID70004,RIDCTHartford,13,25432.92,17383.38,16607.07
DRG177,PID70008,RIDCTHartford,26,42809.57,13398.61,11793
DRG177,PID70011,RIDCTHartford,57,16908,13582.63,12484.21
DRG177,PID70012,RIDCTHartford,13,33763.23,17003,11711.61
DRG177,PID70020,RIDCTHartford,85,37201.81,13611.71,13015.81
DRG177,PID70021,RIDCTHartford,25,19950,16931.44,16140.32
DRG177,PID70024,RIDCTHartford,65,30755.75,13658.78,12999.15
DRG177,PID70025,RIDCTHartford,161,43416.31,18685.02,17718.35
DRG177,PID70027,RIDCTHartford,38,32859.21,13535.31,12577.84
DRG177,PID70029,RIDCTHartford,29,31030.62,12565.68,11760.13
DRG177,PID70035,RIDCTHartford,55,38778.3,14597.32,13466.76
DRG177,PID70036,RIDCTHartford,18,35779.05,22820.83,22197.22
DRG177,PID70040,RIDCTHartford,15,12121.93,13521,12854.6
DRG178,PID70002,RIDCTHartford,59,25788.4,11543.71,10677.23
DRG178,PID70008,RIDCTHartford,21,24508.28,9681.19,7484.8
DRG178,PID70011,RIDCTHartford,61,12767.29,9207.88,8653.26
DRG178,PID70012,RIDCTHartford,11,27625,9757.81,8846.18
DRG178,PID70020,RIDCTHartford,49,34027.83,9733.28,9110.83
DRG178,PID70021,RIDCTHartford,14,15430.92,12409.14,11830.35
DRG178,PID70024,RIDCTHartford,51,21204.07,13470.31,8025.01
DRG178,PID70025,RIDCTHartford,54,28927.59,13237.09,12608.44
DRG178,PID70027,RIDCTHartford,23,22353,9259.04,8574.17
DRG178,PID70029,RIDCTHartford,13,18014.61,8661,7969.3
DRG178,PID70035,RIDCTHartford,69,22921.62,10096.27,9290.91
DRG178,PID70036,RIDCTHartford,30,24895.5,15170.63,13801.96
DRG178,PID70040,RIDCTHartford,20,10950.35,8695.55,8360.75
DRG189,PID70002,RIDCTHartford,67,27961.37,11106.35,10024.61
DRG189,PID70003,RIDCTHartford,44,13086.56,8457.47,7817.93
DRG189,PID70004,RIDCTHartford,17,20889,11617,10960.52
DRG189,PID70008,RIDCTHartford,12,21057.33,8333.66,7043.83
DRG189,PID70011,RIDCTHartford,105,14246.38,8954.86,7689.13
DRG189,PID70012,RIDCTHartford,70,21282.14,8593.64,7567.27
DRG189,PID70020,RIDCTHartford,151,28440.63,8996.66,8264.77
DRG189,PID70021,RIDCTHartford,20,18844.7,11300.85,10683.05
DRG189,PID70024,RIDCTHartford,41,21517.24,8609.58,7922.46
DRG189,PID70025,RIDCTHartford,129,33157.05,12289.63,11535
DRG189,PID70027,RIDCTHartford,103,21850.12,8498.24,7559.5
DRG189,PID70029,RIDCTHartford,46,19056.28,8398,7961.3
DRG189,PID70035,RIDCTHartford,130,24422.1,9739.95,8880.87
DRG189,PID70036,RIDCTHartford,35,27356.34,14923.54,13453.02
DRG190,PID70002,RIDCTHartford,140,25472.59,10208.7,9177.28
DRG190,PID70003,RIDCTHartford,50,11464.38,7739.76,6753.84
DRG190,PID70004,RIDCTHartford,21,18796.19,10735.19,9802.42
DRG190,PID70008,RIDCTHartford,51,22307.9,7766.8,6629.23
DRG190,PID70011,RIDCTHartford,96,11628.35,7999.76,6748.92
DRG190,PID70012,RIDCTHartford,17,23521.17,7662.7,6667.64
DRG190,PID70020,RIDCTHartford,125,27777.04,8114.66,7141.5
DRG190,PID70021,RIDCTHartford,56,17205.21,10463.58,9549.1
DRG190,PID70024,RIDCTHartford,106,16222.16,8112.63,6806.67
DRG190,PID70025,RIDCTHartford,102,34159.29,11608.31,10588.74
DRG190,PID70027,RIDCTHartford,26,23713.5,8915.73,6003.84
DRG190,PID70029,RIDCTHartford,37,21783.75,7583.18,7037.67
