drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID70001,RIDCTNewHaven,50,18103.18,8099.68,7112.92
DRG039,PID70016,RIDCTNewHaven,22,21229.09,7907.18,6657.9
DRG039,PID70017,RIDCTNewHaven,19,18847.68,7002.68,6056.15
DRG039,PID70022,RIDCTNewHaven,23,27901.34,9685.26,8252.26
DRG039,PID70033,RIDCTNewHaven,34,21274.47,7875.05,6294.47
DRG057,PID70001,RIDCTNewHaven,25,29235.76,8297.64,7446.28
DRG057,PID70007,RIDCTNewHaven,33,16630.15,6663.9,5305.78
DRG057,PID70016,RIDCTNewHaven,12,11702.41,7352.5,6508.83
DRG057,PID70022,RIDCTNewHaven,51,44167.11,11173.64,9803.58
DRG057,PID70031,RIDCTNewHaven,11,21582.63,7152.09,6380.27
DRG057,PID70033,RIDCTNewHaven,50,17292.12,6980.04,6146.2
DRG057,PID330273,RIDCTNewHaven,16,23641.87,6347.12,5645.62
DRG064,PID70001,RIDCTNewHaven,52,61642.96,17052.01,16269.03
DRG064,PID70005,RIDCTNewHaven,26,53261,14699.65,14097.5
DRG064,PID70007,RIDCTNewHaven,39,29810.38,15355.28,11338.1
DRG064,PID70016,RIDCTNewHaven,25,32084.88,15531.2,14561.52
DRG064,PID70017,RIDCTNewHaven,22,31002.04,12644.95,11674.54
DRG064,PID70019,RIDCTNewHaven,12,31342.83,13172.41,12145.41
DRG064,PID70022,RIDCTNewHaven,93,77409.76,21609.1,20244.77
DRG064,PID70031,RIDCTNewHaven,13,39343.38,14460,13594.15
DRG064,PID70033,RIDCTNewHaven,47,34147.34,16650.25,13518.57
DRG064,PID330273,RIDCTNewHaven,21,64406.04,13988.61,13186.14
DRG065,PID70001,RIDCTNewHaven,88,29115.63,9075.43,8239.4
DRG065,PID70005,RIDCTNewHaven,60,41615.86,9059.75,8068.35
DRG065,PID70007,RIDCTNewHaven,66,20810.1,8252.75,6873.8
DRG065,PID70015,RIDCTNewHaven,14,28955.42,8315.5,7354.35
DRG065,PID70016,RIDCTNewHaven,51,19213.07,9481.29,8513.45
DRG065,PID70017,RIDCTNewHaven,46,22936.36,8244.23,6781.23
DRG065,PID70019,RIDCTNewHaven,15,18612,7504,6170.66
DRG065,PID70022,RIDCTNewHaven,106,50201.02,13456.99,11814.34
DRG065,PID70031,RIDCTNewHaven,31,25735.74,9096.03,8033.67
DRG065,PID70033,RIDCTNewHaven,89,19191.12,8748.33,7865.19
DRG065,PID330273,RIDCTNewHaven,31,36934.06,8209.48,6848.25
DRG066,PID70001,RIDCTNewHaven,53,21725.35,6964.79,5391.96
DRG066,PID70005,RIDCTNewHaven,30,31525.03,7173.43,5019.36
DRG066,PID70007,RIDCTNewHaven,23,18702.47,6180.82,4382.95
DRG066,PID70015,RIDCTNewHaven,14,17714.57,5736.57,4604.57
DRG066,PID70016,RIDCTNewHaven,32,17068.5,6919.21,5570.71
DRG066,PID70017,RIDCTNewHaven,15,18045.66,5604.06,4640.06
DRG066,PID70022,RIDCTNewHaven,53,29247.22,8926.49,7180.01
DRG066,PID70031,RIDCTNewHaven,13,16966.84,6368.38,5243.76
DRG066,PID70033,RIDCTNewHaven,56,15051.33,6439.16,5113.6
DRG066,PID330273,RIDCTNewHaven,19,29790.26,5565.1,4679.84
DRG069,PID70001,RIDCTNewHaven,73,18281.27,6030.72,4947.93
DRG069,PID70005,RIDCTNewHaven,43,25178.48,5806.97,4752.46
DRG069,PID70007,RIDCTNewHaven,48,15421,5107.37,4161.37
DRG069,PID70016,RIDCTNewHaven,61,15696.62,6059,5064.24
DRG069,PID70017,RIDCTNewHaven,69,16941.26,5149.43,3975.92
DRG069,PID70022,RIDCTNewHaven,71,22562.67,7594.29,6212.18
DRG069,PID70031,RIDCTNewHaven,25,15795.8,5635,4606.36
DRG069,PID70033,RIDCTNewHaven,89,12611.47,5605.7,4619.37
DRG069,PID330273,RIDCTNewHaven,41,26633.51,4963.09,3979.29
DRG074,PID70001,RIDCTNewHaven,27,27486.44,7795.62,6321.62
DRG074,PID70005,RIDCTNewHaven,11,24940.54,6849.27,6034.72
DRG074,PID70007,RIDCTNewHaven,18,13876.05,6004.72,5068.5
DRG074,PID70016,RIDCTNewHaven,12,11139.08,7381.16,5622.33
DRG074,PID70022,RIDCTNewHaven,47,30647.17,10751.48,7513.82
DRG074,PID70033,RIDCTNewHaven,11,16007.54,6692.09,6083.36
DRG101,PID70001,RIDCTNewHaven,42,22590.04,6448.76,5288.5
DRG101,PID70005,RIDCTNewHaven,39,24668.43,5946.94,4820.79
DRG101,PID70007,RIDCTNewHaven,30,15207.46,5323.73,4504.8
DRG101,PID70016,RIDCTNewHaven,18,15417.66,6460.72,5133.61
DRG101,PID70017,RIDCTNewHaven,19,13200.26,5257.94,4304.68
DRG101,PID70022,RIDCTNewHaven,101,34547.44,8944.05,7124.78
DRG101,PID70031,RIDCTNewHaven,11,14944.9,6259.27,3620.81
DRG101,PID70033,RIDCTNewHaven,49,14825.53,6196.65,4538.1
DRG101,PID330273,RIDCTNewHaven,15,17450.2,5073.6,4327.46
DRG149,PID70001,RIDCTNewHaven,29,15859.34,5432.96,3838.75
DRG149,PID70005,RIDCTNewHaven,19,21949.15,5043.84,4151.84
DRG149,PID70007,RIDCTNewHaven,24,13746.62,5239.29,3157.41
DRG149,PID70016,RIDCTNewHaven,27,11011.33,5328.48,4126.85
DRG149,PID70022,RIDCTNewHaven,42,18394.92,6870.88,4837.9
DRG149,PID70033,RIDCTNewHaven,40,10591,5184.27,3734.82
DRG176,PID70001,RIDCTNewHaven,25,35755.6,8783.32,8333.08
DRG176,PID70005,RIDCTNewHaven,11,30703.09,8052.45,7343.72
DRG176,PID70016,RIDCTNewHaven,13,13596.92,9500.76,7180.92
DRG176,PID70017,RIDCTNewHaven,20,23747,7121.2,6670
DRG176,PID70022,RIDCTNewHaven,29,31083.2,10672.17,9065.41
DRG176,PID70033,RIDCTNewHaven,38,19635.94,9104.28,6939.73
DRG177,PID70001,RIDCTNewHaven,62,53742.22,16317.01,15717.85
DRG177,PID70005,RIDCTNewHaven,31,46489.48,15517.96,14847.06
DRG177,PID70007,RIDCTNewHaven,57,28682.31,15156.28,13277.61
DRG177,PID70015,RIDCTNewHaven,13,42909.3,14038.53,12471.92
DRG177,PID70016,RIDCTNewHaven,27,17367.96,16025.07,14983
DRG177,PID70017,RIDCTNewHaven,41,30292.75,13591.56,12977.36
DRG177,PID70019,RIDCTNewHaven,14,29245.78,12246.42,11844.42
DRG177,PID70022,RIDCTNewHaven,73,81894.47,23883.04,21465.61
DRG177,PID70031,RIDCTNewHaven,53,35269.24,15330.03,14554.62
DRG177,PID70033,RIDCTNewHaven,105,32190.46,15545.13,14495.55
DRG177,PID70039,RIDCTNewHaven,17,8248.11,11973,11573.47
