drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID90001,RIDDCWashington,11,57137.45,10582.81,8871
DRG039,PID90004,RIDDCWashington,14,48336.14,9479.57,8680.14
DRG039,PID90011,RIDDCWashington,22,36636.04,8419.54,6781.31
DRG039,PID210001,RIDDCWashington,28,6495.89,6106.14,5225.85
DRG039,PID210005,RIDDCWashington,16,8113,7626.12,6645.62
DRG039,PID210022,RIDDCWashington,42,11885.78,11198.66,10027.88
DRG039,PID210023,RIDDCWashington,79,6150.84,5813.86,4726.69
DRG039,PID210027,RIDDCWashington,41,9271.43,8715.17,7922.29
DRG039,PID210057,RIDDCWashington,23,8602.17,8146.34,6815.52
DRG057,PID90001,RIDDCWashington,25,37544.56,9888.52,7601.96
DRG057,PID90004,RIDDCWashington,20,36903.25,10076,8493.85
DRG057,PID90006,RIDDCWashington,19,14635.68,7506.52,6403.21
DRG057,PID90011,RIDDCWashington,45,25516.91,8154.2,7104.02
DRG057,PID210001,RIDDCWashington,33,8565.96,8092.33,7043.87
DRG057,PID210005,RIDDCWashington,55,8767.8,8241.72,7402.52
DRG057,PID210022,RIDDCWashington,24,9016.75,8525.45,7409.41
DRG057,PID210023,RIDDCWashington,71,7641.38,7219.95,6243.32
DRG057,PID210027,RIDDCWashington,43,9084.23,8539.18,7754.62
DRG057,PID210028,RIDDCWashington,17,10726.29,10082.7,9289.29
DRG057,PID210035,RIDDCWashington,21,6618.52,6221.52,5308.19
DRG057,PID210054,RIDDCWashington,43,7071.11,6681.18,5558.25
DRG057,PID210057,RIDDCWashington,20,8692.25,8170.7,7379.9
DRG064,PID90001,RIDDCWashington,30,106102.9,19586.06,17173.43
DRG064,PID90003,RIDDCWashington,11,70826.72,27012.45,25989.09
DRG064,PID90004,RIDDCWashington,70,69010.8,19885.77,18657.65
DRG064,PID90006,RIDDCWashington,38,35605.63,15229.42,13972.97
DRG064,PID90011,RIDDCWashington,128,57675.75,16601.86,15067.35
DRG064,PID210001,RIDDCWashington,58,14629.67,13781.68,12644.77
DRG064,PID210005,RIDDCWashington,78,13726.65,12917.98,11742.01
DRG064,PID210022,RIDDCWashington,49,18838.67,17730.77,16832.02
DRG064,PID210023,RIDDCWashington,70,13548.61,12770.1,11495.67
DRG064,PID210027,RIDDCWashington,66,16672.65,15672.27,14907.24
DRG064,PID210028,RIDDCWashington,14,13395.5,12591.78,11873.21
DRG064,PID210039,RIDDCWashington,14,10701,10059.07,9252.78
DRG064,PID210054,RIDDCWashington,62,18585.48,17470.33,16635.11
DRG064,PID210057,RIDDCWashington,70,15820.52,14875.17,13932.02
DRG065,PID90001,RIDDCWashington,46,56647.28,10411.65,9482.8
DRG065,PID90003,RIDDCWashington,20,42920.9,17571.85,16672.65
DRG065,PID90004,RIDDCWashington,59,47935.08,12231.62,11187.72
DRG065,PID90005,RIDDCWashington,27,24711.59,6826.29,5951.77
DRG065,PID90006,RIDDCWashington,39,22669.97,9692.53,8737.97
DRG065,PID90008,RIDDCWashington,12,31247.16,8850.25,7914.91
DRG065,PID90011,RIDDCWashington,182,32926.96,10152.41,8759.84
DRG065,PID210001,RIDDCWashington,91,9165.48,8630.13,7668.24
DRG065,PID210005,RIDDCWashington,111,10746.75,10123.63,9111.13
DRG065,PID210022,RIDDCWashington,99,9509.47,8990.42,7675.67
DRG065,PID210023,RIDDCWashington,136,9688.78,9149.14,7996.5
DRG065,PID210027,RIDDCWashington,100,13136.46,12348.3,11527.06
DRG065,PID210028,RIDDCWashington,35,8208.37,7715.82,6685.08
DRG065,PID210035,RIDDCWashington,47,9180.34,8629.48,7699.7
DRG065,PID210039,RIDDCWashington,40,9030.22,8488.4,7699.2
DRG065,PID210054,RIDDCWashington,99,9231.38,8677.51,7848.94
DRG065,PID210057,RIDDCWashington,75,9158.38,8651.4,7324.42
DRG066,PID90001,RIDDCWashington,47,39751.8,7364.51,6381.23
DRG066,PID90003,RIDDCWashington,11,25553.81,11133.72,10110.45
DRG066,PID90004,RIDDCWashington,41,43079.09,10751.8,8868.26
DRG066,PID90005,RIDDCWashington,19,23594.57,4850,3910.21
DRG066,PID90006,RIDDCWashington,18,18006.16,6778.94,5652.27
DRG066,PID90011,RIDDCWashington,73,25606.1,7267.84,5762.02
DRG066,PID210001,RIDDCWashington,36,7207.75,6775.25,5810.25
DRG066,PID210005,RIDDCWashington,46,9023.28,8481.93,7483.41
DRG066,PID210022,RIDDCWashington,69,7544.78,7124.78,5978.07
DRG066,PID210023,RIDDCWashington,101,6044.92,5728.74,4661.85
DRG066,PID210027,RIDDCWashington,79,9609.89,9061.58,8043.64
DRG066,PID210028,RIDDCWashington,17,5982.11,5623.17,4633.76
DRG066,PID210035,RIDDCWashington,16,6885.25,6472.12,5487.62
DRG066,PID210039,RIDDCWashington,12,8918.83,8501.41,6865.41
DRG066,PID210054,RIDDCWashington,61,7786.22,7366.4,6491.44
DRG066,PID210057,RIDDCWashington,45,6310.6,5956.37,4801.55
DRG069,PID90001,RIDDCWashington,35,27204.71,6689.65,5094.45
DRG069,PID90005,RIDDCWashington,16,21158.81,4328.31,3412.56
DRG069,PID90006,RIDDCWashington,40,14174.02,6058.2,5074.1
DRG069,PID90011,RIDDCWashington,61,19044.13,6327.6,4976.09
DRG069,PID210001,RIDDCWashington,60,5927.9,5572.25,4766.85
DRG069,PID210005,RIDDCWashington,111,7975.78,7497.22,6530.5
DRG069,PID210022,RIDDCWashington,66,5354.31,5033.1,4006.45
DRG069,PID210023,RIDDCWashington,106,5211.33,4921.51,3917.28
DRG069,PID210027,RIDDCWashington,84,9272.5,8729.59,7749.47
DRG069,PID210028,RIDDCWashington,53,4610.88,4334.22,3314.45
DRG069,PID210035,RIDDCWashington,48,6029.39,5667.62,4827.29
DRG069,PID210039,RIDDCWashington,34,6988.44,6569.26,5608.44
DRG069,PID210054,RIDDCWashington,114,6287.49,5932.13,4941.07
DRG069,PID210057,RIDDCWashington,77,6171.02,5807.7,4814.7
DRG074,PID90001,RIDDCWashington,15,24204.46,7786.33,6962.6
DRG074,PID90003,RIDDCWashington,17,25278.41,12094.94,11486.52
DRG074,PID90004,RIDDCWashington,11,44757.27,8959.27,8347.63
DRG074,PID90006,RIDDCWashington,20,14737.85,7225,6435.8
DRG074,PID90011,RIDDCWashington,20,24332.6,7506.85,6774.25
DRG074,PID210005,RIDDCWashington,41,7439.21,7019.63,6152.78
DRG074,PID210022,RIDDCWashington,15,11592.06,10896.53,10070.66
DRG074,PID210023,RIDDCWashington,18,6463.77,6075.94,5171.16
DRG074,PID210027,RIDDCWashington,26,9256.26,8700.88,7958.76
DRG074,PID210035,RIDDCWashington,11,9141.54,8592.9,7669.63
DRG074,PID210054,RIDDCWashington,26,6621.15,6223.84,5377.3
DRG074,PID210057,RIDDCWashington,12,7217.66,6902.08,5447.08
DRG074,PID210060,RIDDCWashington,15,5695.53,5353.66,3965.53
DRG101,PID90001,RIDDCWashington,30,37208.53,7199.7,6319.63
DRG101,PID90003,RIDDCWashington,29,23516.37,10272.62,9501.86
DRG101,PID90004,RIDDCWashington,30,34866,9313.33,8451.86
DRG101,PID90006,RIDDCWashington,15,13591.8,6327.26,5275
DRG101,PID90008,RIDDCWashington,24,21676.12,6031,5165.08
DRG101,PID90011,RIDDCWashington,42,23438.64,6945,5464.21
DRG101,PID210001,RIDDCWashington,28,5090.1,4832.32,3765.78
DRG101,PID210005,RIDDCWashington,51,8387.15,7883.88,7136.11
DRG101,PID210022,RIDDCWashington,38,7084.05,6658.97,5835.81
DRG101,PID210023,RIDDCWashington,54,5922.35,5587.98,4787.81
DRG101,PID210027,RIDDCWashington,41,7844.82,7374.02,6475.26
DRG101,PID210028,RIDDCWashington,25,5381.08,5058.16,4386.64
DRG101,PID210035,RIDDCWashington,23,4999.26,4698.6,3869
DRG101,PID210039,RIDDCWashington,19,6710.05,6486.15,5177.05
DRG101,PID210054,RIDDCWashington,62,7325.37,6904.16,5970.45
DRG101,PID210057,RIDDCWashington,28,4735.21,4491.5,3511.92
DRG101,PID210060,RIDDCWashington,13,5971.84,5613.53,4668
DRG149,PID90001,RIDDCWashington,12,22767,5609.41,4679.41
DRG149,PID90003,RIDDCWashington,11,13699.81,7809.36,6789
DRG149,PID90006,RIDDCWashington,13,12963.76,5331.15,4388.07
DRG149,PID90011,RIDDCWashington,26,20902.07,5551.3,4289.38
DRG149,PID210001,RIDDCWashington,17,5084,4778.94,3922.7
DRG149,PID210005,RIDDCWashington,44,6086.34,5747.13,4564.52
DRG149,PID210022,RIDDCWashington,22,4573.86,4350.86,3300.54
DRG149,PID210023,RIDDCWashington,28,4710.28,4427.67,3502.39
DRG149,PID210027,RIDDCWashington,39,7297.76,6859.87,5851.35
DRG149,PID210028,RIDDCWashington,30,5185.16,4874,3864.8
DRG149,PID210035,RIDDCWashington,20,4899.75,4605.75,3646.75
DRG149,PID210039,RIDDCWashington,18,6712.88,6310.16,5249.94
DRG149,PID210054,RIDDCWashington,32,6077.9,5751.4,4650.59
