drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID80001,RIDDEWilmington,90,14336.66,7494.76,6071.21
DRG039,PID80004,RIDDEWilmington,13,18353.3,6672.69,5550.53
DRG039,PID210032,RIDDEWilmington,12,13051.83,12268.5,11335.83
DRG057,PID80001,RIDDEWilmington,81,19023.86,7939.08,6637.71
DRG057,PID80004,RIDDEWilmington,33,15919.36,5859.54,5043.78
DRG057,PID210032,RIDDEWilmington,23,8958.52,8420.86,7518.69
DRG057,PID310091,RIDDEWilmington,18,28612.61,5968.83,5469.27
DRG064,PID80001,RIDDEWilmington,192,27221.98,14413.58,12548.08
DRG064,PID80003,RIDDEWilmington,20,32885.25,12983.5,12040.25
DRG064,PID80004,RIDDEWilmington,47,40476.38,13092.74,12213.06
DRG064,PID210032,RIDDEWilmington,16,12375.93,11633.37,10853.37
DRG064,PID310091,RIDDEWilmington,12,57770.41,11457,10891
DRG065,PID80001,RIDDEWilmington,285,20078.65,8794.96,7644.11
DRG065,PID80003,RIDDEWilmington,30,30025.43,7927.83,7138.63
DRG065,PID80004,RIDDEWilmington,73,20227.02,7387,6297.63
DRG065,PID210032,RIDDEWilmington,39,9019.69,8478.51,7611.07
DRG065,PID310091,RIDDEWilmington,19,44301.1,7484.1,6658.42
DRG066,PID80001,RIDDEWilmington,165,14882.83,6353.34,4902.97
DRG066,PID80003,RIDDEWilmington,28,18569.5,5858.6,4578.17
DRG066,PID80004,RIDDEWilmington,58,15521.65,5456.05,4219.41
DRG066,PID210032,RIDDEWilmington,29,7859.17,7387.51,6304.48
DRG066,PID310091,RIDDEWilmington,22,31972.81,5339.63,4678
DRG069,PID80001,RIDDEWilmington,213,13710.17,5581.92,4453.45
DRG069,PID80003,RIDDEWilmington,32,14445.65,5134.31,4219.56
DRG069,PID80004,RIDDEWilmington,52,14218.5,4984.75,3728.46
DRG069,PID210032,RIDDEWilmington,53,6253.52,5878.39,4842.69
DRG069,PID310091,RIDDEWilmington,47,31653.65,4820.44,3888.61
DRG074,PID80001,RIDDEWilmington,66,17046.1,7431.8,5998.18
DRG074,PID80004,RIDDEWilmington,23,17798.39,5468.6,4539.26
DRG074,PID310091,RIDDEWilmington,19,26978.84,5671.73,4961.84
DRG101,PID80001,RIDDEWilmington,100,13215.65,5985.42,4578.33
DRG101,PID80003,RIDDEWilmington,14,12633.92,5252.07,4286.35
DRG101,PID80004,RIDDEWilmington,21,14778.09,4918.95,3906.95
DRG101,PID210032,RIDDEWilmington,27,5413.7,5129.55,4285.25
DRG101,PID310091,RIDDEWilmington,25,28810.48,4862.72,4143.36
DRG149,PID80001,RIDDEWilmington,70,11552.17,5110.27,3575.94
