drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100035,RIDFLBradenton,24,45774.58,6301.66,5253.87
DRG039,PID100213,RIDFLBradenton,35,36896.17,5417,4454.94
DRG057,PID100035,RIDFLBradenton,23,20125.34,5564.26,4820.65
DRG057,PID100213,RIDFLBradenton,45,29642.8,4792.75,3816.66
DRG064,PID100035,RIDFLBradenton,34,58750.67,11448.94,10620.35
DRG064,PID100213,RIDFLBradenton,37,50021.59,9589.89,8737.56
DRG065,PID100035,RIDFLBradenton,80,36337.33,7158.98,5864.43
DRG065,PID100213,RIDFLBradenton,54,35877.75,5975.22,5182.77
DRG065,PID100299,RIDFLBradenton,25,34420.28,5553.32,4474.28
DRG066,PID100035,RIDFLBradenton,40,27117.55,5054.4,3913.7
DRG066,PID100213,RIDFLBradenton,45,30962.04,4402.15,3314.4
DRG066,PID100299,RIDFLBradenton,40,27004.8,4576.67,3135.95
DRG069,PID100035,RIDFLBradenton,74,27837.35,4629.44,3581.7
DRG069,PID100213,RIDFLBradenton,76,32129.64,3910.09,3038.56
DRG069,PID100299,RIDFLBradenton,18,26489.05,3984.16,2803.38
DRG074,PID100035,RIDFLBradenton,14,28848.14,5251,4451.57
DRG074,PID100213,RIDFLBradenton,17,28741.11,4577,3850.17
DRG101,PID100035,RIDFLBradenton,32,22718.21,4770.25,3647.28
DRG101,PID100213,RIDFLBradenton,19,38248.68,4157.36,3505.36
DRG149,PID100035,RIDFLBradenton,17,18921.82,3899,2976.17
DRG149,PID100213,RIDFLBradenton,21,23545.61,3398,2436.85
DRG176,PID100035,RIDFLBradenton,15,27039.33,6491.53,5672.06
DRG176,PID100213,RIDFLBradenton,31,36851.93,5685.25,4998.67
DRG176,PID100299,RIDFLBradenton,11,22752.09,5429.54,4612.09
DRG177,PID100035,RIDFLBradenton,48,53796.1,12803.6,12287.39
DRG177,PID100213,RIDFLBradenton,49,55131.22,11024.36,9592.38
DRG178,PID100035,RIDFLBradenton,36,32241.16,9029.94,8311.16
DRG178,PID100213,RIDFLBradenton,47,46898.65,7748.14,6755.78
DRG189,PID100035,RIDFLBradenton,32,36129.59,7970,6904.62
DRG189,PID100213,RIDFLBradenton,40,41036.42,6813,6104.02
DRG190,PID100035,RIDFLBradenton,141,32161.44,7243.95,6291.41
DRG190,PID100213,RIDFLBradenton,95,40655.62,6170.66,5298.15
DRG190,PID100299,RIDFLBradenton,32,24916.15,7037.9,4913.09
