drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100127,RIDFLClearwater,23,31148.91,6010.13,4453.39
DRG039,PID100248,RIDFLClearwater,25,63012.28,6158.84,5258.36
DRG039,PID100265,RIDFLClearwater,36,24505.55,5493.16,4435.27
DRG057,PID100043,RIDFLClearwater,12,16761.83,4657.08,3979.16
DRG057,PID100127,RIDFLClearwater,25,22692.76,5856.28,4610.88
DRG057,PID100248,RIDFLClearwater,18,25519.77,5107.11,4233.77
DRG057,PID100265,RIDFLClearwater,27,17482.22,4807.66,4099.66
DRG064,PID100043,RIDFLClearwater,42,35037.97,9449.33,8675.33
DRG064,PID100127,RIDFLClearwater,27,35150.44,9651.77,7855.81
DRG064,PID100248,RIDFLClearwater,58,74632.1,11162.55,10403.81
DRG064,PID100265,RIDFLClearwater,38,38788.97,9492.78,8872.26
DRG065,PID100043,RIDFLClearwater,45,31662.75,6217.77,5138.44
DRG065,PID100055,RIDFLClearwater,28,27094.96,6116.28,5312.28
DRG065,PID100127,RIDFLClearwater,69,25218.62,6445.76,5461.59
DRG065,PID100248,RIDFLClearwater,62,45503.69,7282.4,5187.14
DRG065,PID100265,RIDFLClearwater,69,26305.68,6299.04,5062.05
DRG066,PID100043,RIDFLClearwater,25,19348.24,4226.96,3375.6
DRG066,PID100127,RIDFLClearwater,43,21494.25,4656.27,3689.67
DRG066,PID100248,RIDFLClearwater,26,41703.42,4663.11,3844.5
DRG066,PID100265,RIDFLClearwater,27,19307.51,4376.81,3122.44
DRG069,PID100043,RIDFLClearwater,26,23553.26,3849.26,3001.96
DRG069,PID100055,RIDFLClearwater,12,29743.58,3888.5,2953.16
DRG069,PID100127,RIDFLClearwater,28,20010.32,4177.85,3250.28
DRG069,PID100248,RIDFLClearwater,64,30906.42,4207,3295.25
DRG069,PID100265,RIDFLClearwater,45,22780.53,3955.88,2844
DRG074,PID100127,RIDFLClearwater,26,25953.19,5819.3,2974.96
DRG074,PID100248,RIDFLClearwater,21,33987.57,4962.09,3896
DRG074,PID100265,RIDFLClearwater,12,20186.33,4534,3504.33
DRG101,PID100043,RIDFLClearwater,17,16729.88,4223.11,2980.11
DRG101,PID100127,RIDFLClearwater,37,20514.94,4412.37,3454.37
DRG101,PID100248,RIDFLClearwater,22,36494.59,4399.9,3531
DRG101,PID100265,RIDFLClearwater,34,18800.38,3980.26,3188.73
DRG149,PID100248,RIDFLClearwater,24,25446.79,4230.58,2521
DRG149,PID100265,RIDFLClearwater,17,18494.35,3366,2308.11
DRG176,PID100127,RIDFLClearwater,29,21565.96,5722.55,4637.58
DRG176,PID100248,RIDFLClearwater,15,47735.46,5987.13,5238.86
DRG176,PID100265,RIDFLClearwater,29,25853.68,5613.68,4471.51
DRG189,PID100248,RIDFLClearwater,29,44885.89,7323.79,6695.27
DRG177,PID100043,RIDFLClearwater,19,43298.47,10881.42,10108.57
DRG177,PID100055,RIDFLClearwater,25,46923.2,11575.92,10789.92
DRG177,PID100127,RIDFLClearwater,59,39997.93,11542.35,10995.49
DRG177,PID100248,RIDFLClearwater,64,79733.57,11166.95,10405.56
DRG177,PID100265,RIDFLClearwater,72,47749.58,10606.98,9983.43
DRG178,PID100043,RIDFLClearwater,16,35775.06,7365.81,6771.43
DRG178,PID100055,RIDFLClearwater,11,31563.54,7373.63,6450.36
DRG178,PID100127,RIDFLClearwater,52,30267.53,8323.94,7421.28
DRG178,PID100248,RIDFLClearwater,77,51371.37,8229.12,7489.68
DRG178,PID100265,RIDFLClearwater,40,28894.17,7436.82,6688.4
DRG189,PID100043,RIDFLClearwater,34,32917.85,6804,5908.82
DRG189,PID100055,RIDFLClearwater,14,25747.71,6839.42,6194.85
DRG189,PID100127,RIDFLClearwater,20,27040.05,7457.25,6597.3
DRG189,PID100265,RIDFLClearwater,52,43164.09,7427.53,6813.19
DRG190,PID100043,RIDFLClearwater,26,28185.57,6090.42,5310.42
DRG190,PID100055,RIDFLClearwater,33,30395.18,6283.45,5467.93
DRG190,PID100127,RIDFLClearwater,91,26859.79,6798.56,6042.26
DRG190,PID100248,RIDFLClearwater,139,47538.76,6834.07,5841.22
DRG190,PID100265,RIDFLClearwater,71,34755.61,7496.43,5686.69
DRG191,PID100043,RIDFLClearwater,54,22247.9,5215.33,4278.5
DRG191,PID100055,RIDFLClearwater,23,20732.13,5082.13,4249.6
DRG191,PID100127,RIDFLClearwater,108,20315.33,5696.78,4466.38
DRG191,PID100248,RIDFLClearwater,132,37398.15,5552.24,4734.37
