drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100002,RIDFLFortLauderdale,23,40686.73,6523.78,5339.82
DRG039,PID100044,RIDFLFortLauderdale,54,34607.11,5983,4898.25
DRG039,PID100073,RIDFLFortLauderdale,19,53197.36,5892.26,4884.47
DRG039,PID100168,RIDFLFortLauderdale,27,26130.25,5820,4781.33
DRG039,PID100176,RIDFLFortLauderdale,49,39472.79,5826,4863.55
DRG039,PID100253,RIDFLFortLauderdale,29,35466.24,5822.31,4854.17
DRG039,PID100258,RIDFLFortLauderdale,22,54171.22,5825,4906.09
DRG039,PID100260,RIDFLFortLauderdale,23,54588.3,7336.82,4436.52
DRG057,PID100002,RIDFLFortLauderdale,20,41973.9,6039.15,5251.55
DRG057,PID100044,RIDFLFortLauderdale,35,25449.74,5374.17,4505.48
DRG057,PID100073,RIDFLFortLauderdale,23,22236.3,4916.04,4059.6
DRG057,PID100080,RIDFLFortLauderdale,40,32051.32,5725.77,4882.37
DRG057,PID100168,RIDFLFortLauderdale,16,18529.62,5126.37,4285.37
DRG057,PID100176,RIDFLFortLauderdale,12,27065,5059.83,4493.83
DRG057,PID100224,RIDFLFortLauderdale,12,40027.08,5264.5,4509.83
DRG057,PID100228,RIDFLFortLauderdale,16,31039.25,5361.81,4587.56
DRG057,PID100253,RIDFLFortLauderdale,17,19568.17,5225.11,4163.47
DRG057,PID100258,RIDFLFortLauderdale,27,33374.7,5218.55,4261.37
DRG057,PID100260,RIDFLFortLauderdale,28,36930.78,6143.25,4492.85
DRG057,PID100287,RIDFLFortLauderdale,19,34738.1,5562.57,4174
DRG064,PID100002,RIDFLFortLauderdale,40,66228.17,12107.75,11045.05
DRG064,PID100039,RIDFLFortLauderdale,22,59942.18,16184.95,15371.86
DRG064,PID100044,RIDFLFortLauderdale,36,57561.11,10509.94,9636.61
DRG064,PID100073,RIDFLFortLauderdale,31,60433.8,10605,9809.9
DRG064,PID100080,RIDFLFortLauderdale,67,76747.22,11808.17,11090.53
DRG064,PID100086,RIDFLFortLauderdale,23,38035.21,11448.65,10472.65
DRG064,PID100167,RIDFLFortLauderdale,15,117766.2,15284.06,14240.33
DRG064,PID100168,RIDFLFortLauderdale,61,51077.83,10915.77,9840.54
DRG064,PID100176,RIDFLFortLauderdale,19,54670.05,10064.73,9353.15
DRG064,PID100189,RIDFLFortLauderdale,19,62529.52,10083.42,9434.78
DRG064,PID100224,RIDFLFortLauderdale,20,99379.1,10767.05,8814.2
DRG064,PID100228,RIDFLFortLauderdale,16,94883.68,10424.87,9792.12
DRG064,PID100253,RIDFLFortLauderdale,15,52393.6,12063.93,8920.33
DRG064,PID100258,RIDFLFortLauderdale,56,72121.35,10385.25,9562.75
DRG064,PID100260,RIDFLFortLauderdale,38,63343.65,11182.81,9516.1
DRG064,PID100287,RIDFLFortLauderdale,18,46568.55,10429.94,9675.27
DRG064,PID100288,RIDFLFortLauderdale,36,108689.16,17334.72,15209.66
DRG065,PID100002,RIDFLFortLauderdale,60,44823.7,7634.56,6709.2
DRG065,PID100039,RIDFLFortLauderdale,27,28892.77,9444.44,8390.7
DRG065,PID100044,RIDFLFortLauderdale,90,37761.26,6823.82,5840.92
DRG065,PID100073,RIDFLFortLauderdale,81,36209.66,6605.02,5454.22
DRG065,PID100080,RIDFLFortLauderdale,118,46114.63,7229.5,6362.6
DRG065,PID100086,RIDFLFortLauderdale,42,27765.8,7200.3,5901.23
DRG065,PID100167,RIDFLFortLauderdale,29,76985.2,9079.41,8337.75
DRG065,PID100168,RIDFLFortLauderdale,87,27733.94,6687.19,5620.87
DRG065,PID100176,RIDFLFortLauderdale,25,34781.48,6733.04,5482.52
DRG065,PID100189,RIDFLFortLauderdale,41,43604.21,6702.56,5905.78
DRG065,PID100224,RIDFLFortLauderdale,28,56125.32,6375.96,5452.96
DRG065,PID100228,RIDFLFortLauderdale,32,48662.25,6800.28,5734.62
DRG065,PID100234,RIDFLFortLauderdale,15,53058.8,7676.26,6779.2
DRG065,PID100253,RIDFLFortLauderdale,34,37684.32,8056.35,5369.02
DRG065,PID100258,RIDFLFortLauderdale,101,50807.77,7199.92,5406.63
DRG065,PID100260,RIDFLFortLauderdale,71,41489.88,7258.46,5821.21
DRG065,PID100268,RIDFLFortLauderdale,31,39194.67,6839.03,5821.74
DRG065,PID100269,RIDFLFortLauderdale,18,57236.77,8002.66,7066.44
DRG065,PID100275,RIDFLFortLauderdale,18,32137.61,7603.5,6357.11
DRG065,PID100276,RIDFLFortLauderdale,18,30389.22,7314.44,6378.22
DRG065,PID100287,RIDFLFortLauderdale,25,30273.2,6969.04,5888.72
DRG065,PID100288,RIDFLFortLauderdale,41,64220.39,9217.46,8058.9
DRG066,PID100002,RIDFLFortLauderdale,46,34150.28,5382.47,4526.73
DRG066,PID100044,RIDFLFortLauderdale,73,30479.45,5054.04,3665.57
DRG066,PID100073,RIDFLFortLauderdale,43,25814.13,4964.88,3447.62
DRG066,PID100080,RIDFLFortLauderdale,47,34705.42,5654.02,3829.19
DRG066,PID100086,RIDFLFortLauderdale,13,20091.07,5025.15,3987.61
DRG066,PID100168,RIDFLFortLauderdale,31,21450.41,4566.51,3553.35
DRG066,PID100176,RIDFLFortLauderdale,16,31178.56,4747.68,3338.37
DRG066,PID100189,RIDFLFortLauderdale,13,42922.07,4990.84,4045.3
DRG066,PID100224,RIDFLFortLauderdale,21,47031.8,4631.95,3723.19
DRG066,PID100228,RIDFLFortLauderdale,27,36438.66,4711.92,3876.96
DRG066,PID100253,RIDFLFortLauderdale,26,27349.57,4546.15,3595.69
DRG066,PID100258,RIDFLFortLauderdale,50,35900.68,4663.7,3698.5
DRG066,PID100260,RIDFLFortLauderdale,21,33550.23,4970.52,3897
DRG066,PID100268,RIDFLFortLauderdale,21,29990.66,4843.33,3828.28
DRG066,PID100269,RIDFLFortLauderdale,14,48670.5,5885.78,5081.78
DRG066,PID100275,RIDFLFortLauderdale,20,25113.4,5405.9,4281.9
DRG066,PID100276,RIDFLFortLauderdale,13,22188.07,5200.3,4513.53
DRG066,PID100287,RIDFLFortLauderdale,17,28358.52,5078.88,3443.76
DRG066,PID100288,RIDFLFortLauderdale,25,51100.36,6665,5677.8
DRG069,PID100002,RIDFLFortLauderdale,76,27066.13,4766.15,3762.25
DRG069,PID100039,RIDFLFortLauderdale,14,28657.07,6300.21,5101.5
DRG069,PID100044,RIDFLFortLauderdale,60,28323.93,4445.41,3322.61
DRG069,PID100073,RIDFLFortLauderdale,65,27645.23,4300.53,3218.66
DRG069,PID100080,RIDFLFortLauderdale,115,30311.37,4663.13,3642.6
DRG069,PID100086,RIDFLFortLauderdale,17,16520.82,4472.29,3614.17
