drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100012,RIDFLFortMyers,70,31951.05,6382.4,4921.15
DRG039,PID100018,RIDFLFortMyers,51,28986.15,6483.64,4674.39
DRG039,PID100047,RIDFLFortMyers,30,33495.6,5422,4594
DRG039,PID100077,RIDFLFortMyers,16,39059.62,5840.75,4931
DRG039,PID100220,RIDFLFortMyers,76,33098.36,6007.46,4752.07
DRG039,PID100236,RIDFLFortMyers,75,62322.28,5441.06,4388.01
DRG039,PID100244,RIDFLFortMyers,25,33410.72,5842.8,3892.48
DRG039,PID100286,RIDFLFortMyers,13,41093.07,5610,4478
DRG057,PID100012,RIDFLFortMyers,55,19154.12,5479.16,4724.61
DRG057,PID100018,RIDFLFortMyers,77,20514.25,5310.57,4477.58
DRG057,PID100047,RIDFLFortMyers,21,21137.28,4823.28,4023.85
DRG057,PID100077,RIDFLFortMyers,19,30507.89,5592.21,4531.52
DRG057,PID100107,RIDFLFortMyers,17,28015.58,5287.23,4364.41
DRG057,PID100220,RIDFLFortMyers,18,17581.11,5103.16,4296.27
DRG057,PID100236,RIDFLFortMyers,28,31210.82,4908.78,3986.92
DRG057,PID100244,RIDFLFortMyers,29,18537.37,4924.31,3599.17
DRG064,PID100012,RIDFLFortMyers,46,31982.34,11009.84,9902.26
DRG064,PID100018,RIDFLFortMyers,99,33166.52,10483.5,9635.24
DRG064,PID100047,RIDFLFortMyers,32,68707.71,10256.93,9695.93
DRG064,PID100077,RIDFLFortMyers,25,54123.16,10603.36,9745.6
DRG064,PID100220,RIDFLFortMyers,53,40959.28,10934.2,9504.52
DRG064,PID100236,RIDFLFortMyers,35,74982.94,9786.82,8649.48
DRG064,PID100244,RIDFLFortMyers,16,30049.81,9217.93,8514.43
DRG064,PID100286,RIDFLFortMyers,17,80303.52,11231.76,10440.23
DRG065,PID100012,RIDFLFortMyers,106,25562.84,6762.32,5861.22
DRG065,PID100018,RIDFLFortMyers,195,25387.53,6674.38,5621.45
DRG065,PID100047,RIDFLFortMyers,39,35177.76,6172.41,4976.02
DRG065,PID100077,RIDFLFortMyers,30,34608.36,6584.73,5794.46
DRG065,PID100107,RIDFLFortMyers,13,32100.3,6401.07,5537.69
DRG065,PID100220,RIDFLFortMyers,117,26077.88,6519.29,5523.11
DRG065,PID100236,RIDFLFortMyers,83,51881.49,6063.36,5197.81
DRG065,PID100244,RIDFLFortMyers,27,24305.96,5881.74,4973.11
DRG065,PID100286,RIDFLFortMyers,26,30340.34,6769.65,4485.76
DRG066,PID100012,RIDFLFortMyers,80,20904.53,4933.38,3765.36
DRG066,PID100018,RIDFLFortMyers,79,18575.89,4778.35,3619.45
DRG066,PID100047,RIDFLFortMyers,23,24780.91,4364,3342.95
DRG066,PID100220,RIDFLFortMyers,78,22944.91,4856.01,3559.28
DRG066,PID100236,RIDFLFortMyers,37,29668.02,4575.02,3210.13
DRG066,PID100244,RIDFLFortMyers,40,19313.32,4582.55,3201.32
DRG066,PID100286,RIDFLFortMyers,21,27126.04,4403.57,3385.47
DRG069,PID100012,RIDFLFortMyers,152,17073.05,4329.1,3344.5
DRG069,PID100018,RIDFLFortMyers,134,17768.21,4261,3275.02
DRG069,PID100047,RIDFLFortMyers,78,20099.53,3906.51,2934.46
DRG069,PID100077,RIDFLFortMyers,21,29300,4195.47,3181.95
DRG069,PID100220,RIDFLFortMyers,181,18565.75,4289.81,3016.34
DRG069,PID100236,RIDFLFortMyers,84,30083.75,3939.29,2959.44
DRG069,PID100244,RIDFLFortMyers,73,16687.38,3868.08,2961.94
DRG069,PID100286,RIDFLFortMyers,12,30654.66,4027,3089
DRG074,PID100012,RIDFLFortMyers,48,23592.95,5136.54,4302.79
