drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100113,RIDFLGainesville,17,32075.35,9370.64,7588.52
DRG039,PID100204,RIDFLGainesville,108,50730.63,5906.22,4624
DRG039,PID100232,RIDFLGainesville,16,15778.5,6010.68,5030.18
DRG057,PID100113,RIDFLGainesville,53,18910.92,8337.15,7552.11
DRG057,PID100156,RIDFLGainesville,12,18858.91,6378,5351
DRG057,PID100204,RIDFLGainesville,56,37052.14,5411.55,4194.57
DRG057,PID100232,RIDFLGainesville,20,11002.2,5343.05,4442.25
DRG064,PID100113,RIDFLGainesville,137,36678.39,17120.43,16052.91
DRG064,PID100204,RIDFLGainesville,43,66248.65,10110.39,9188.74
DRG065,PID100113,RIDFLGainesville,101,27571.42,11654.42,9936.39
DRG065,PID100156,RIDFLGainesville,19,31066.31,8447.31,6460.05
DRG065,PID100204,RIDFLGainesville,105,47678.34,6638.2,5374
DRG065,PID100232,RIDFLGainesville,20,28500.7,6632.55,5645.25
DRG066,PID100113,RIDFLGainesville,42,16514.88,7744.5,6433.54
DRG066,PID100156,RIDFLGainesville,18,24856.88,5592,4592.88
DRG066,PID100204,RIDFLGainesville,75,36181.9,4889.48,3377.37
DRG069,PID100102,RIDFLGainesville,11,10071,4090,3072.54
DRG069,PID100113,RIDFLGainesville,50,17496.16,6809.12,5719.64
DRG069,PID100156,RIDFLGainesville,32,23321.21,5157.4,3846.65
DRG069,PID100204,RIDFLGainesville,45,34182.57,4181.91,3166.13
DRG069,PID100232,RIDFLGainesville,45,15978.97,4663.64,3418.62
DRG074,PID100102,RIDFLGainesville,19,29708.21,4861.94,4430
DRG074,PID100113,RIDFLGainesville,32,30667.46,11384.4,10085.21
DRG074,PID100204,RIDFLGainesville,35,41891.82,5279.82,3850.4
DRG101,PID100113,RIDFLGainesville,86,20772.69,7485.84,6403.32
DRG101,PID100156,RIDFLGainesville,13,24888.3,6210.84,3969.46
DRG101,PID100204,RIDFLGainesville,36,33397.86,4409.33,3111.55
DRG149,PID100113,RIDFLGainesville,21,16608.9,6428.71,5516.9
DRG149,PID100156,RIDFLGainesville,13,26238.69,4358,3325.38
DRG149,PID100204,RIDFLGainesville,30,28471,3795.2,2662.63
DRG149,PID100232,RIDFLGainesville,14,11331.64,3774,2722.85
DRG176,PID100113,RIDFLGainesville,41,25734.07,10644.36,9513.95
DRG176,PID100156,RIDFLGainesville,11,26557.09,7303,6385.54
DRG176,PID100204,RIDFLGainesville,42,52258.73,6261.52,4664.8
DRG176,PID100232,RIDFLGainesville,11,24228.18,11036.63,4329.63
DRG177,PID100113,RIDFLGainesville,70,55549.57,20694.97,19936.94
DRG177,PID100204,RIDFLGainesville,58,87951.53,11223.93,10665.56
DRG177,PID100232,RIDFLGainesville,14,59917,12634.35,12151.5
DRG178,PID100113,RIDFLGainesville,76,35060.22,14649.63,12872.19
DRG178,PID100156,RIDFLGainesville,22,39738.45,10170.09,8868.81
DRG178,PID100204,RIDFLGainesville,45,67142.88,8279.84,7368.31
DRG178,PID100232,RIDFLGainesville,29,40185.13,8849.27,7797.55
DRG189,PID100102,RIDFLGainesville,26,38788.73,7511.26,7056.53
DRG189,PID100113,RIDFLGainesville,70,27910.82,12597.6,11953.67
DRG189,PID100156,RIDFLGainesville,44,34630.31,9098.11,7925.59
DRG189,PID100204,RIDFLGainesville,75,55582.57,7713.85,6471.62
DRG190,PID100102,RIDFLGainesville,56,29394.73,6741.75,5932.69
DRG190,PID100113,RIDFLGainesville,101,23165.27,11227.76,10504.87
DRG190,PID100156,RIDFLGainesville,98,31466.34,8182.79,7171.09
DRG190,PID100204,RIDFLGainesville,142,45469.68,6671.9,5778.82
DRG190,PID100232,RIDFLGainesville,72,33834.48,6973.81,6241.11
DRG191,PID100102,RIDFLGainesville,63,25007.33,5408.88,4734.14
DRG191,PID100113,RIDFLGainesville,137,19029.52,9186.77,8104.62
DRG191,PID100156,RIDFLGainesville,62,24808.7,6766.67,5809.82
DRG191,PID100204,RIDFLGainesville,181,42219.75,5785.02,4572.76
DRG191,PID100232,RIDFLGainesville,70,22963.47,5937.68,4945.3
DRG192,PID100102,RIDFLGainesville,42,17782.35,3970.76,3378.88
DRG192,PID100113,RIDFLGainesville,50,13485.58,6934.28,6011.62
DRG192,PID100139,RIDFLGainesville,24,5729.91,4225,3191.33
DRG192,PID100156,RIDFLGainesville,54,22647.7,4922.83,4133.35
DRG192,PID100204,RIDFLGainesville,142,30479.19,4072.07,3121.83
DRG192,PID100232,RIDFLGainesville,97,15073.31,4244.01,3444.05
DRG193,PID100102,RIDFLGainesville,31,37758.83,8246.8,7568.32
DRG193,PID100113,RIDFLGainesville,59,33470.25,14455.16,13160.11
DRG193,PID100156,RIDFLGainesville,41,42110.39,10192.09,9093.19
DRG193,PID100204,RIDFLGainesville,114,61531.36,8432.71,7403.07
DRG193,PID100232,RIDFLGainesville,29,41199.75,9122.44,7821.89
DRG194,PID100102,RIDFLGainesville,43,24836.39,5679,4818.44
DRG194,PID100113,RIDFLGainesville,99,20884.51,9704.64,8707.21
DRG194,PID100139,RIDFLGainesville,17,7483.52,5824.47,4835.05
DRG194,PID100156,RIDFLGainesville,83,31393.73,6910.36,6192.91
DRG194,PID100204,RIDFLGainesville,182,47552,5914.46,4652.88
DRG194,PID100232,RIDFLGainesville,47,24448.36,5925.59,5092.14
DRG195,PID100102,RIDFLGainesville,11,16389.63,4112.45,2594.54
DRG195,PID100113,RIDFLGainesville,23,14046.39,6868.52,5940.34
DRG195,PID100139,RIDFLGainesville,11,5810,4018.09,3309.36
DRG195,PID100156,RIDFLGainesville,42,23888.69,5058.97,3723.4
DRG195,PID100204,RIDFLGainesville,100,33945.82,4193.57,2921.97
DRG195,PID100232,RIDFLGainesville,33,16529.6,4411.24,3109.54
DRG202,PID100113,RIDFLGainesville,30,14507.16,8083.1,7047
DRG202,PID100204,RIDFLGainesville,67,38195.26,4886.85,3676.76
DRG203,PID100102,RIDFLGainesville,11,12576.36,3402,2687.45
DRG203,PID100156,RIDFLGainesville,11,17188.63,4148,3121.81
DRG203,PID100204,RIDFLGainesville,55,28984.67,3483.85,2455.3
DRG203,PID100232,RIDFLGainesville,11,17858.27,3592,2565.81
DRG207,PID100113,RIDFLGainesville,33,133560.9,53437.96,51204.33
DRG207,PID100204,RIDFLGainesville,24,169092.54,32182.2,27437.75
DRG207,PID100232,RIDFLGainesville,14,99613.85,29741.78,29000.71
DRG208,PID100102,RIDFLGainesville,14,56649.14,12109.42,11709.71
DRG208,PID100113,RIDFLGainesville,71,48148.91,21777.9,20333.66
DRG208,PID100156,RIDFLGainesville,21,57636.47,16199.85,13616.66
DRG208,PID100204,RIDFLGainesville,68,91436.73,12840.83,11982.33
DRG208,PID100232,RIDFLGainesville,19,43934.47,13356.1,12646.21
DRG238,PID100113,RIDFLGainesville,64,80309.95,27782.73,26137.7
DRG238,PID100204,RIDFLGainesville,47,104186.95,18878.8,14040.25
DRG243,PID100113,RIDFLGainesville,16,49436.62,22806.81,20876.12
DRG243,PID100204,RIDFLGainesville,45,77147.04,15431.31,13582.51
DRG243,PID100232,RIDFLGainesville,25,50704.8,15638.8,14787.44
DRG244,PID100113,RIDFLGainesville,12,43338.91,17440.66,16500
DRG244,PID100156,RIDFLGainesville,11,46398.9,13915,12885.9
DRG244,PID100204,RIDFLGainesville,52,56722.67,11673.03,10112.76
DRG244,PID100232,RIDFLGainesville,17,40829.35,11963.82,11086.64
DRG246,PID100204,RIDFLGainesville,55,150891.45,19589.09,17473.98
DRG247,PID100113,RIDFLGainesville,36,61801.55,17831.05,16769.94
DRG247,PID100204,RIDFLGainesville,120,101949.83,11463.45,9834.73
DRG249,PID100113,RIDFLGainesville,21,56789.28,15928.95,13327.66
DRG249,PID100204,RIDFLGainesville,89,95178.6,10114.96,8904.94
DRG251,PID100113,RIDFLGainesville,63,47023.33,16994.49,14611.61
DRG251,PID100204,RIDFLGainesville,15,94967.6,10168,9348.53
DRG252,PID100113,RIDFLGainesville,59,81887.59,29572.37,28135.96
DRG252,PID100204,RIDFLGainesville,50,128136.34,17950.88,16376.18
DRG253,PID100113,RIDFLGainesville,40,74200.42,22736.05,22060.85
DRG253,PID100204,RIDFLGainesville,51,112278.72,14132.92,12201.21
DRG253,PID100232,RIDFLGainesville,11,71303.63,14215.18,13394.81
DRG254,PID100113,RIDFLGainesville,18,40419.61,14210.16,13460.83
DRG254,PID100204,RIDFLGainesville,70,75680.12,9574.67,7950.91
DRG280,PID100102,RIDFLGainesville,12,34675.83,8725.33,7981.33
DRG280,PID100113,RIDFLGainesville,58,38292.51,17749.7,17141
DRG280,PID100156,RIDFLGainesville,16,40490.5,12581.87,10392.62
DRG280,PID100204,RIDFLGainesville,68,84742.51,10536.05,9860.6
DRG280,PID100232,RIDFLGainesville,15,46006.4,9684.93,8863.33
DRG281,PID100102,RIDFLGainesville,13,24542.38,6122.84,5450.46
DRG281,PID100113,RIDFLGainesville,30,25656.93,11071.96,9977.16
DRG281,PID100156,RIDFLGainesville,11,33055.27,7399.18,6578.81
DRG281,PID100204,RIDFLGainesville,38,59123.52,6545,5715.1
DRG281,PID100232,RIDFLGainesville,18,24426.05,6427.94,5556.38
DRG282,PID100102,RIDFLGainesville,13,10759.84,4374.84,3289.92
DRG282,PID100113,RIDFLGainesville,20,20166.45,7547.9,6062.5
DRG282,PID100156,RIDFLGainesville,13,21944.23,6361.38,4388.07
DRG282,PID100204,RIDFLGainesville,17,53000,5491.7,3094.47
DRG286,PID100113,RIDFLGainesville,46,64250.65,22512.82,21522.8
DRG286,PID100204,RIDFLGainesville,51,89101.6,11311.27,10366.66
DRG286,PID100232,RIDFLGainesville,19,53362.89,11812.42,11105.89
DRG287,PID100113,RIDFLGainesville,121,33006.26,10836.52,9454.3
DRG287,PID100156,RIDFLGainesville,78,46913.5,7383.37,6335.87
DRG287,PID100204,RIDFLGainesville,201,62767.64,6392.56,4914.55
DRG287,PID100232,RIDFLGainesville,56,26057.57,6865.16,5387.42
DRG291,PID100102,RIDFLGainesville,27,28689.14,7859.14,7204.74
DRG291,PID100113,RIDFLGainesville,133,39473.32,16265.42,15315.42
DRG291,PID100156,RIDFLGainesville,84,35317.96,9977.52,9233.4
DRG291,PID100204,RIDFLGainesville,239,55074.71,8366.89,7406.78
DRG291,PID100232,RIDFLGainesville,77,34180.12,8886.19,8339.03
DRG292,PID100102,RIDFLGainesville,53,26121.66,6095.45,4847.92
DRG292,PID100113,RIDFLGainesville,174,20204.98,9787.43,8890.18
DRG292,PID100156,RIDFLGainesville,70,26930.74,7240.34,6061.38
DRG292,PID100204,RIDFLGainesville,350,36950.9,5937.33,4959.08
DRG292,PID100232,RIDFLGainesville,84,20978.33,5972.48,5324.22
DRG293,PID100102,RIDFLGainesville,24,14365.45,3742.66,3085
DRG293,PID100113,RIDFLGainesville,34,13664.02,6896.23,5825.02
DRG293,PID100156,RIDFLGainesville,53,20041.79,4656.39,4065.6
DRG293,PID100204,RIDFLGainesville,172,27067.51,3884.08,3083.83
DRG293,PID100232,RIDFLGainesville,35,12548.28,4046.4,3338.51
DRG300,PID100102,RIDFLGainesville,19,21618.63,5469,4759.1
DRG300,PID100113,RIDFLGainesville,59,21713.4,9338.67,8535.67
DRG300,PID100156,RIDFLGainesville,12,22253.58,7027.5,5382.16
DRG300,PID100204,RIDFLGainesville,47,32474.12,6766.87,4286.46
DRG300,PID100232,RIDFLGainesville,15,20214.6,5774.06,5097
DRG301,PID100113,RIDFLGainesville,20,14942.85,6392.75,5288.2
DRG301,PID100156,RIDFLGainesville,17,16060.94,4513,3653
DRG301,PID100204,RIDFLGainesville,22,22907.31,3664.4,2783.04
DRG301,PID100232,RIDFLGainesville,12,12303.83,3902.41,2961.75
DRG303,PID100102,RIDFLGainesville,28,15656.92,3261,2781.57
DRG303,PID100113,RIDFLGainesville,57,13065.92,5760.89,4715.73
DRG303,PID100156,RIDFLGainesville,25,17526.68,4303.96,2972.48
DRG303,PID100204,RIDFLGainesville,23,32155.69,3458.65,2177.34
DRG303,PID100232,RIDFLGainesville,58,13681.62,3619.75,2591.72
DRG305,PID100113,RIDFLGainesville,28,13184.85,6093.25,5028.82
DRG305,PID100156,RIDFLGainesville,21,21206.85,4441.71,3077.33
DRG305,PID100204,RIDFLGainesville,38,30185.55,3533.6,2458.44
DRG305,PID100232,RIDFLGainesville,19,12655.36,3625,2612.15
DRG308,PID100102,RIDFLGainesville,13,30233.92,6863.23,5889.84
DRG308,PID100113,RIDFLGainesville,58,27287.44,12467.17,11982.81
DRG308,PID100156,RIDFLGainesville,13,31082.76,8417,7558.53
DRG308,PID100204,RIDFLGainesville,94,38499.6,6935.91,6134.51
DRG308,PID100232,RIDFLGainesville,22,28605.4,7233.77,6567.77
DRG309,PID100102,RIDFLGainesville,33,16495.63,4549.81,3769.57
DRG309,PID100113,RIDFLGainesville,80,15723.13,7975.22,7145.97
DRG309,PID100156,RIDFLGainesville,22,24582.54,5971.09,4649.22
DRG309,PID100204,RIDFLGainesville,111,31875.6,4773.54,3879.02
DRG309,PID100232,RIDFLGainesville,34,18972.14,4905.44,4179.55
DRG310,PID100102,RIDFLGainesville,17,12211.58,3176.11,2382.7
DRG310,PID100113,RIDFLGainesville,73,10630.56,5540.19,4582.15
DRG310,PID100156,RIDFLGainesville,47,18072.31,4057.61,2946.23
DRG310,PID100204,RIDFLGainesville,162,23301.82,3305.59,2286.54
DRG310,PID100232,RIDFLGainesville,32,13663.06,3372.03,2460.28
DRG312,PID100102,RIDFLGainesville,31,13213.03,4058.9,2997.7
DRG312,PID100113,RIDFLGainesville,183,15178.74,6889.71,5898.89
DRG312,PID100156,RIDFLGainesville,44,21973.22,4955.95,3981.45
DRG312,PID100204,RIDFLGainesville,167,34475.08,4127.66,3192
DRG312,PID100232,RIDFLGainesville,58,15738.2,4381.03,3221.87
DRG313,PID100102,RIDFLGainesville,75,13281.78,3076,2136.64
DRG313,PID100113,RIDFLGainesville,152,13024.59,5268.04,4509.13
DRG313,PID100139,RIDFLGainesville,13,5338.15,3218,2444.15
DRG313,PID100156,RIDFLGainesville,71,22716.53,4039.42,2770.64
DRG313,PID100204,RIDFLGainesville,101,35349.07,3241.14,2131.35
DRG313,PID100232,RIDFLGainesville,70,13460.18,3875.08,2192.08
DRG314,PID100113,RIDFLGainesville,129,43780.64,18422.34,17120.4
DRG314,PID100204,RIDFLGainesville,95,73397.36,10039.48,8576.32
DRG314,PID100232,RIDFLGainesville,12,25751.66,10168.91,9885.91
DRG315,PID100113,RIDFLGainesville,44,25409.68,9275.54,8181.9
DRG315,PID100204,RIDFLGainesville,27,37879.85,5452.59,4734.4
DRG329,PID100113,RIDFLGainesville,44,110378.97,45727.56,44810.84
DRG329,PID100156,RIDFLGainesville,14,160042.5,34974.42,34089.5
DRG329,PID100204,RIDFLGainesville,54,238403.74,32276.31,26894.42
DRG329,PID100232,RIDFLGainesville,11,115937.18,49844.81,23175.9
DRG330,PID100113,RIDFLGainesville,44,63365.95,23877.11,21265.56
DRG330,PID100156,RIDFLGainesville,13,97449.46,17905.92,16865.84
DRG330,PID100204,RIDFLGainesville,85,121865.63,15853.72,12801.14
DRG372,PID100113,RIDFLGainesville,28,26766.46,12080.67,11436.1
DRG372,PID100156,RIDFLGainesville,16,38538.93,8800.93,8240.93
DRG372,PID100204,RIDFLGainesville,49,56763.26,7181.06,6597.18
DRG377,PID100113,RIDFLGainesville,56,43348.8,17142.8,16531.69
DRG377,PID100156,RIDFLGainesville,11,41116.27,11966,11360.18
DRG377,PID100204,RIDFLGainesville,43,78406.51,10099.67,9416.09
DRG377,PID100232,RIDFLGainesville,21,38259.9,10427.66,9677.57
DRG378,PID100102,RIDFLGainesville,20,21624.15,5775.05,4493.9
DRG378,PID100113,RIDFLGainesville,98,22066.28,9772.61,9005.76
DRG378,PID100156,RIDFLGainesville,37,26604.37,6829.24,6157.89
DRG378,PID100204,RIDFLGainesville,140,44822.76,5825.9,4965.95
DRG378,PID100232,RIDFLGainesville,47,20749.44,6029.34,5310.87
DRG379,PID100113,RIDFLGainesville,24,13960.75,6770.12,5688.7
DRG379,PID100156,RIDFLGainesville,12,23681.33,4969.33,3732.66
DRG379,PID100204,RIDFLGainesville,42,34719.14,4082.69,3190.95
DRG379,PID100232,RIDFLGainesville,28,13677.39,4589.75,3266.28
DRG389,PID100102,RIDFLGainesville,11,23473.45,5227,4409.54
DRG389,PID100113,RIDFLGainesville,44,25971.77,9886.29,9073.25
DRG389,PID100156,RIDFLGainesville,20,34420.8,6259.4,5640
DRG389,PID100204,RIDFLGainesville,56,39125.44,5403.32,4230.51
DRG389,PID100232,RIDFLGainesville,12,18619.66,5512.58,4852.25
DRG390,PID100102,RIDFLGainesville,11,14591.72,3470.45,2555.9
DRG390,PID100156,RIDFLGainesville,13,29772.23,4345,3658.23
DRG390,PID100204,RIDFLGainesville,59,37490.03,3806.96,2467.16
DRG391,PID100102,RIDFLGainesville,14,32168,7051.85,6508.35
DRG391,PID100113,RIDFLGainesville,66,30895.57,11971.03,10829.63
DRG391,PID100156,RIDFLGainesville,11,34254.63,7879,7213
DRG391,PID100204,RIDFLGainesville,41,54122.85,6503.68,5817.56
