drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100040,RIDFLJacksonville,88,22969.6,5777.48,4560.15
DRG039,PID100088,RIDFLJacksonville,103,21729.69,6745.63,4615.54
DRG039,PID100090,RIDFLJacksonville,51,36031.6,7055.78,5327.05
DRG039,PID100151,RIDFLJacksonville,31,36201.25,7024.16,5441.51
DRG039,PID100179,RIDFLJacksonville,36,48574.91,5917.97,4458.33
DRG039,PID100226,RIDFLJacksonville,15,68158.2,5829.6,4852.8
DRG039,PID110003,RIDFLJacksonville,11,12835.72,5754.72,4840.18
DRG057,PID100001,RIDFLJacksonville,38,25543.07,8183.39,7413.92
DRG057,PID100040,RIDFLJacksonville,24,15792.62,5137.29,4342.12
DRG057,PID100088,RIDFLJacksonville,22,30745.36,5621,4903.54
DRG057,PID100090,RIDFLJacksonville,21,16078.04,5871.61,5069.14
DRG057,PID100151,RIDFLJacksonville,13,16957.76,6818.3,6037.07
DRG057,PID100179,RIDFLJacksonville,26,44679.3,5045.53,4091.38
DRG057,PID100226,RIDFLJacksonville,60,41403.88,5203.23,4301.9
DRG057,PID100307,RIDFLJacksonville,11,18799.72,4655.54,3635.18
DRG057,PID110003,RIDFLJacksonville,16,12068,5029.75,4112
DRG057,PID110089,RIDFLJacksonville,11,11637.54,4982,4264.54
DRG064,PID100001,RIDFLJacksonville,58,51515.79,16127.91,15129.94
DRG064,PID100040,RIDFLJacksonville,68,34009.6,10137.05,8924.39
DRG064,PID100088,RIDFLJacksonville,51,62738.49,11579.23,10487.58
DRG064,PID100090,RIDFLJacksonville,37,48510.7,12095.37,11401.24
DRG064,PID100151,RIDFLJacksonville,36,31276.72,13730.25,13018.22
DRG064,PID100179,RIDFLJacksonville,48,82767.81,11451.35,9404.64
DRG064,PID100226,RIDFLJacksonville,35,82647.6,10521.48,9025.4
DRG064,PID110003,RIDFLJacksonville,19,34401.84,10552.05,9964.68
DRG064,PID110025,RIDFLJacksonville,18,50612.5,15976,15224.88
DRG065,PID100001,RIDFLJacksonville,78,30954.76,10144.43,9279
DRG065,PID100040,RIDFLJacksonville,76,25773.35,6671.71,5610.14
DRG065,PID100088,RIDFLJacksonville,105,50098.27,7063.35,6019.64
DRG065,PID100090,RIDFLJacksonville,73,35141.73,7520.13,6337.43
DRG065,PID100117,RIDFLJacksonville,22,32330,5929.81,5062.36
DRG065,PID100151,RIDFLJacksonville,61,24757.01,8959.62,8142.52
