drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100157,RIDFLLakeland,38,50063.71,5982.15,4702.52
DRG057,PID100132,RIDFLLakeland,13,16374.92,5197.92,4419.15
DRG057,PID100157,RIDFLLakeland,57,21923.03,5117.78,4387.47
DRG064,PID100157,RIDFLLakeland,66,53653.42,10902,10034.53
DRG065,PID100121,RIDFLLakeland,17,21942.64,6303,5644.64
DRG065,PID100132,RIDFLLakeland,14,29031.35,7392,5331.35
DRG065,PID100157,RIDFLLakeland,102,39793.88,6858.2,5774.93
DRG066,PID100121,RIDFLLakeland,11,24024.9,4563,3748.45
DRG066,PID100132,RIDFLLakeland,12,24845.16,4688.5,3564.5
DRG066,PID100157,RIDFLLakeland,49,31941.34,4900.1,3606.61
DRG069,PID100121,RIDFLLakeland,13,18515.07,4148.84,2784.92
DRG069,PID100132,RIDFLLakeland,24,22350.45,4932.66,2781.08
DRG069,PID100157,RIDFLLakeland,46,34160.28,4306.84,3194.6
DRG074,PID100132,RIDFLLakeland,12,21084.66,5034.41,4150.25
DRG074,PID100157,RIDFLLakeland,44,25167.81,5023.61,4251.7
DRG101,PID100132,RIDFLLakeland,12,15761.58,4473.66,4012.66
DRG101,PID100157,RIDFLLakeland,47,27634.23,4398.85,3390.51
DRG149,PID100157,RIDFLLakeland,18,24284.22,3673.33,2920.44
DRG176,PID100132,RIDFLLakeland,13,30428.3,6268.15,5489.38
DRG176,PID100157,RIDFLLakeland,47,26356.42,6024.42,5258.46
DRG177,PID100121,RIDFLLakeland,26,55343.92,10969.53,10363.69
DRG177,PID100157,RIDFLLakeland,63,54175.5,12989.46,11869.73
DRG178,PID100157,RIDFLLakeland,68,39092.8,8626.35,7723.2
DRG189,PID100121,RIDFLLakeland,26,27609,7035.96,6323.73
DRG189,PID100132,RIDFLLakeland,27,40837.22,7515.59,6769.22
DRG189,PID100157,RIDFLLakeland,92,37856.38,7414.06,6736.04
DRG190,PID100121,RIDFLLakeland,59,26552.59,6442.88,5479.1
DRG190,PID100132,RIDFLLakeland,49,30164.32,6882.12,6126.28
DRG190,PID100157,RIDFLLakeland,189,29646.56,6927.95,5985.64
DRG191,PID100121,RIDFLLakeland,29,22450.03,5325.58,4595.89
DRG191,PID100132,RIDFLLakeland,54,23817.33,5914.9,4709.62
DRG191,PID100157,RIDFLLakeland,205,23957.7,5647.59,4599.93
DRG192,PID100121,RIDFLLakeland,28,18610.5,4116.25,2992.89
DRG192,PID100132,RIDFLLakeland,40,17713.1,4510.92,3135.62
DRG192,PID100157,RIDFLLakeland,138,17508.05,4158.89,3132.33
DRG193,PID100121,RIDFLLakeland,63,33668.92,7914.14,7125.23
DRG193,PID100132,RIDFLLakeland,19,34115.15,8143.94,7612.78
DRG193,PID100157,RIDFLLakeland,80,39334.51,8408.05,7228.55
DRG194,PID100121,RIDFLLakeland,35,25803.2,5659.4,4639.54
DRG194,PID100132,RIDFLLakeland,70,24215.17,6051.71,4805.44
DRG194,PID100157,RIDFLLakeland,229,27589.93,5902.76,4860.83
DRG195,PID100132,RIDFLLakeland,16,20684.56,4154.12,3171.62
DRG195,PID100157,RIDFLLakeland,105,21856.2,4059.79,3031.44
