drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID100034,RIDFLMiami,11,35185.81,7558.9,6092.63
DRG039,PID100038,RIDFLMiami,14,66214.78,7246.35,6280.64
DRG039,PID100131,RIDFLMiami,17,66666.76,6341.05,5414.47
DRG039,PID100154,RIDFLMiami,16,54321.93,6765.06,5780.56
DRG057,PID100008,RIDFLMiami,25,33338.36,6657.88,5768.72
DRG057,PID100009,RIDFLMiami,17,49960.41,7098.76,6235
DRG057,PID100022,RIDFLMiami,29,29125.75,12789.27,11467.62
DRG057,PID100029,RIDFLMiami,25,27145.12,6668.88,5902.96
DRG057,PID100034,RIDFLMiami,21,30027.23,7292.76,6439.42
DRG057,PID100038,RIDFLMiami,22,37335,7131.86,6317.31
DRG057,PID100050,RIDFLMiami,18,16369.88,7240,6496
DRG057,PID100061,RIDFLMiami,12,22181.5,6786.5,5762.16
DRG057,PID100131,RIDFLMiami,29,42562.27,5832.48,4943.51
DRG057,PID100150,RIDFLMiami,11,23922.9,7291.72,6271.36
DRG057,PID100187,RIDFLMiami,15,53419.26,7888.06,6607.26
DRG057,PID100209,RIDFLMiami,23,39831.04,6868.47,6133
DRG057,PID100281,RIDFLMiami,14,40676.78,6251.28,4884.78
DRG057,PID100289,RIDFLMiami,11,35090.45,5403.09,4785.63
DRG057,PID100296,RIDFLMiami,20,53501.25,7260.25,5986.75
DRG064,PID100008,RIDFLMiami,81,88884.74,15159.83,14354.93
DRG064,PID100009,RIDFLMiami,26,92655.76,16038.15,15008.03
DRG064,PID100022,RIDFLMiami,55,81108.45,26157.76,25335.3
DRG064,PID100029,RIDFLMiami,45,91662.06,14543,13698.35
DRG064,PID100034,RIDFLMiami,24,70314.7,16272.12,15475.62
DRG064,PID100038,RIDFLMiami,39,66414.38,13438.15,12618.3
DRG064,PID100053,RIDFLMiami,20,98705.55,24207.45,15039.3
DRG064,PID100061,RIDFLMiami,14,62716.92,12724.57,12403.42
DRG064,PID100125,RIDFLMiami,11,99768.72,19571.54,18313.9
DRG064,PID100131,RIDFLMiami,31,92430.35,11955.9,10907.61
DRG064,PID100154,RIDFLMiami,18,68430.55,12038.94,11413.66
DRG064,PID100181,RIDFLMiami,11,46070.81,14990.9,14585.09
DRG064,PID100187,RIDFLMiami,29,125881.86,15192.17,14176.62
DRG064,PID100209,RIDFLMiami,35,104430.71,14198.42,13044.02
DRG064,PID100281,RIDFLMiami,29,65261.51,11949.51,10695.62
DRG064,PID100289,RIDFLMiami,14,43758.5,10493.78,9530.35
DRG065,PID100008,RIDFLMiami,88,56325.8,8371.48,7503.67
DRG065,PID100009,RIDFLMiami,35,63728.8,9163.14,8063.25
DRG065,PID100022,RIDFLMiami,62,52844.45,16304.64,15365.03
DRG065,PID100029,RIDFLMiami,48,67107.72,8854.81,7751.06
DRG065,PID100034,RIDFLMiami,64,48607.54,8589.12,7629.65
DRG065,PID100038,RIDFLMiami,63,44219.79,8259.53,7053.61
DRG065,PID100053,RIDFLMiami,33,65899.6,10335.03,9150.84
DRG065,PID100061,RIDFLMiami,23,44283,8536.69,7660.52
DRG065,PID100125,RIDFLMiami,16,41120.81,8499.06,7724.81
DRG065,PID100131,RIDFLMiami,54,63127.03,7687.42,6013.05
DRG065,PID100154,RIDFLMiami,23,46273.6,7477.82,6600.26
DRG065,PID100183,RIDFLMiami,11,86706.63,10161.9,9450.36
DRG065,PID100187,RIDFLMiami,36,67639.58,9230.91,8573.25
DRG065,PID100209,RIDFLMiami,38,69358.5,8650.47,7821.42
DRG065,PID100281,RIDFLMiami,42,44661.97,7210.83,6516.16
DRG065,PID100285,RIDFLMiami,14,39955.78,7471.42,6826.85
DRG065,PID100289,RIDFLMiami,18,25572.61,6389.33,4921.27
DRG065,PID100296,RIDFLMiami,12,60349.08,8135.33,7388.66
DRG066,PID100008,RIDFLMiami,51,46982,9245.8,5103.98
